General parameters:
Start time: 2023             10             24             10             32       36.23307
Finish time: 2023             10             24             12              5      27.154755
Raster type: raster_jump
Horizontal range (nm): -4073270.341532,-4473270.341532
Vertical range (nm): 32193.389986,-367806.610014
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.18e-07
Sample chamber pressure: 1.82e-08
Initial position (nm): -3189276.000000,-1271090.000000,-50002.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4073270.3415     -4473270.3415
hori_res:5000
vert_range:32193.38999       -367806.61
vert_res:5000
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 2.234628
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-3.678066e+05,-4.473270e+06,1.7453e-11,57.9,21.25
-3.678066e+05,-4.468270e+06,1.1863e-11,57.9,21.25
-3.678066e+05,-4.463270e+06,1.2833e-11,57.9,21.25
-3.678066e+05,-4.458270e+06,1.1567e-11,57.9,21.25
-3.678066e+05,-4.453270e+06,1.316e-11,57.9,21.25
-3.678066e+05,-4.448270e+06,1.249e-11,57.9,21.25
-3.678066e+05,-4.443270e+06,1.784e-11,57.9,21.25
-3.678066e+05,-4.438270e+06,2.1457e-11,57.9,21.25
-3.678066e+05,-4.433270e+06,2.3407e-11,57.9,21.25
-3.678066e+05,-4.428270e+06,2.4943e-11,57.9,21.25
-3.678066e+05,-4.423270e+06,2.3817e-11,57.9,21.25
-3.678066e+05,-4.418270e+06,2.4393e-11,57.9,21.25
-3.678066e+05,-4.413270e+06,2.3417e-11,57.9,21.25
-3.678066e+05,-4.408270e+06,2.4303e-11,57.9,21.25
-3.678066e+05,-4.403270e+06,2.4053e-11,57.9,21.25
-3.678066e+05,-4.398270e+06,2.387e-11,57.9,21.25
-3.678066e+05,-4.393270e+06,2.3367e-11,57.9,21.25
-3.678066e+05,-4.388270e+06,2.3113e-11,57.9,21.25
-3.678066e+05,-4.383270e+06,2.342e-11,57.9,21.25
-3.678066e+05,-4.378270e+06,2.418e-11,57.9,21.25
-3.678066e+05,-4.373270e+06,2.4953e-11,57.9,21.25
-3.678066e+05,-4.368270e+06,2.6053e-11,57.9,21.25
