General parameters:
Start time: 2023             10             24             17              0      52.376039
Finish time: 2023             10             24             18             33      46.555261
Raster type: raster_jump
Horizontal range (nm): -2822729.658468,-3222729.658468
Vertical range (nm): -1426193.389986,-1826193.389986
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.07e-07
Sample chamber pressure: 1.84e-08
Initial position (nm): -4073286.000000,32200.000000,-999999.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-2822729.6585     -3222729.6585
hori_res:5000
vert_range:-1426193.39       -1826193.39
vert_res:5000
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 2.232576
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.826193e+06,-3.222730e+06,2.8717e-11,57.2,21.25
-1.826193e+06,-3.217730e+06,2.7183e-11,57.2,21.25
-1.826193e+06,-3.212730e+06,2.7327e-11,NaN,21.25
-1.826193e+06,-3.207730e+06,2.768e-11,57.2,21.25
-1.826193e+06,-3.202730e+06,2.7093e-11,57.2,21.25
-1.826193e+06,-3.197730e+06,2.6887e-11,57.2,21.25
-1.826193e+06,-3.192730e+06,4.7743e-11,57.2,21.25
-1.826193e+06,-3.187730e+06,7.3453e-11,57.2,21.25
-1.826193e+06,-3.182730e+06,7.5287e-11,57.2,21.25
-1.826193e+06,-3.177730e+06,7.5197e-11,57.2,21.25
-1.826193e+06,-3.172730e+06,7.799e-11,57.2,21.25
-1.826193e+06,-3.167730e+06,7.5797e-11,57.2,21.25
-1.826193e+06,-3.162730e+06,5.1923e-11,57.2,21.25
-1.826193e+06,-3.157730e+06,3.2227e-11,57.2,21.25
-1.826193e+06,-3.152730e+06,2.748e-11,57.2,21.25
-1.826193e+06,-3.147730e+06,2.8053e-11,57.2,21.25
-1.826193e+06,-3.142730e+06,2.7603e-11,57.2,21.25
-1.826193e+06,-3.137730e+06,2.7163e-11,57.2,21.25
-1.826193e+06,-3.132730e+06,2.663e-11,57.2,21.25
-1.826193e+06,-3.127730e+06,2.5927e-11,57.2,21.25
-1.826193e+06,-3.122730e+06,2.607e-11,57.2,21.25
-1.826193e+06,-3.117730e+06,2.6447e-11,57.2,21.25
-1.826193e+06,-3.112730e+06,2.656e-11,57.2,21.25
-1.826193e+06,-3.107730e+06,2.7953e-11,57.2,21.25
-1.826193e+06,-3.102730e+06,2.7033e-11,57.2,21.25
-1.826193e+06,-3.097730e+06,3.4467e-11,57.2,21.25
-1.826193e+06,-3.092730e+06,2.9337e-11,57.2,21.25
-1.826193e+06,-3.087730e+06,2.7453e-11,57.2,21.25
-1.826193e+06,-3.082730e+06,2.7707e-11,57.2,21.25
-1.826193e+06,-3.077730e+06,2.5723e-11,57.2,21.25
-1.826193e+06,-3.072730e+06,2.7493e-11,57.2,21.25
-1.826193e+06,-3.067730e+06,2.654e-11,57.2,21.25
-1.826193e+06,-3.062730e+06,2.6973e-11,57.2,21.25
-1.826193e+06,-3.057730e+06,2.6087e-11,57.2,21.25
-1.826193e+06,-3.052730e+06,2.7737e-11,57.2,21.25
-1.826193e+06,-3.047730e+06,2.818e-11,57.2,21.25
-1.826193e+06,-3.042730e+06,2.671e-11,57.2,21.25
-1.826193e+06,-3.037730e+06,2.8993e-11,57.2,21.25
-1.826193e+06,-3.032730e+06,2.712e-11,57.2,21.25
-1.826193e+06,-3.027730e+06,2.6597e-11,57.2,21.25
-1.826193e+06,-3.022730e+06,2.6903e-11,57.2,21.25
-1.826193e+06,-3.017730e+06,2.6523e-11,57.2,21.25
-1.826193e+06,-3.012730e+06,2.655e-11,57.2,21.25
-1.826193e+06,-3.007730e+06,2.6793e-11,57.2,21.25
-1.826193e+06,-3.002730e+06,2.7917e-11,57.2,21.25
-1.826193e+06,-2.997730e+06,2.723e-11,57.2,21.25
-1.826193e+06,-2.992730e+06,2.6597e-11,57.2,21.25
-1.826193e+06,-2.987730e+06,2.7197e-11,57.2,21.25
-1.826193e+06,-2.982730e+06,2.552e-11,57.2,21.25
-1.826193e+06,-2.977730e+06,2.7727e-11,57.2,21.25
-1.826193e+06,-2.972730e+06,2.8663e-11,57.2,21.25
-1.826193e+06,-2.967730e+06,2.5753e-11,57.2,21.25
-1.826193e+06,-2.962730e+06,2.7077e-11,57.2,21.25
-1.826193e+06,-2.957730e+06,2.8487e-11,57.2,21.25
-1.826193e+06,-2.952730e+06,2.7283e-11,57.2,21.25
-1.826193e+06,-2.947730e+06,2.686e-11,57.2,21.25
-1.826193e+06,-2.942730e+06,2.6677e-11,57.2,21.25
-1.826193e+06,-2.937730e+06,2.8763e-11,57.2,21.25
-1.826193e+06,-2.932730e+06,2.703e-11,57.2,21.25
-1.826193e+06,-2.927730e+06,2.6073e-11,57.2,21.25
-1.826193e+06,-2.922730e+06,2.7223e-11,57.2,21.25
-1.826193e+06,-2.917730e+06,2.7477e-11,57.2,21.25
-1.826193e+06,-2.912730e+06,2.639e-11,57.2,21.25
-1.826193e+06,-2.907730e+06,2.6747e-11,57.2,21.25
-1.826193e+06,-2.902730e+06,2.6137e-11,57.2,21.25
-1.826193e+06,-2.897730e+06,2.7137e-11,57.2,21.25
-1.826193e+06,-2.892730e+06,2.8427e-11,57.2,21.25
-1.826193e+06,-2.887730e+06,2.649e-11,57.2,21.25
-1.826193e+06,-2.882730e+06,2.666e-11,57.2,21.25
-1.826193e+06,-2.877730e+06,2.7783e-11,57.2,21.25
-1.826193e+06,-2.872730e+06,2.835e-11,57.2,21.25
-1.826193e+06,-2.867730e+06,2.6457e-11,57.2,21.25
-1.826193e+06,-2.862730e+06,2.6407e-11,57.2,21.25
-1.826193e+06,-2.857730e+06,2.8023e-11,57.2,21.25
