General parameters:
Start time: 2023             10             25             14             26       7.308905
Finish time: 2023             10             25             14             54      58.681431
Raster type: raster_jump
Horizontal range (nm): -3162505.000000,-3339505.000000
Vertical range (nm): -1424500.000000,-1579500.000000
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 6.76e-07
Sample chamber pressure: 1.84e-08
Initial position (nm): -3174970.000000,-1708000.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3162505 -3339505
hori_res:5000
vert_range:-1424500 -1579500
vert_res:5000
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 2.245572
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1579500,-3339505,2.957e-11,54.6,21.25
-1579500,-3334505,2.703e-11,54.6,21.25
-1579500,-3329505,2.6836e-11,54.6,21.25
-1579500,-3324505,2.7657e-11,54.6,21.25
-1579500,-3319505,2.7163e-11,54.6,21.25
-1579500,-3314505,2.7393e-11,54.6,21.25
-1579500,-3309505,2.656e-11,54.6,21.25
-1579500,-3304505,2.7151e-11,54.6,21.25
-1579500,-3299505,2.7879e-11,54.6,21.25
-1579500,-3294505,2.6157e-11,54.6,21.25
-1579500,-3289505,2.6799e-11,54.6,21.25
-1579500,-3284505,2.719e-11,54.6,21.25
-1579500,-3279505,2.7507e-11,54.6,21.25
-1579500,-3274505,2.6452e-11,54.6,21.25
-1579500,-3269505,2.7581e-11,54.6,21.25
-1579500,-3264505,2.7601e-11,54.6,21.25
-1579500,-3259505,2.7363e-11,54.6,21.25
-1579500,-3254505,2.6301e-11,54.6,21.25
-1579500,-3249505,2.7249e-11,54.6,21.25
-1579500,-3244505,2.6924e-11,54.6,21.25
-1579500,-3239505,2.6742e-11,54.6,21.25
-1579500,-3234505,2.7867e-11,54.6,21.25
-1579500,-3229505,2.6927e-11,54.6,21.25
-1579500,-3224505,2.6737e-11,54.6,21.25
-1579500,-3219505,2.7681e-11,54.6,21.25
-1579500,-3214505,2.7793e-11,54.6,21.25
-1579500,-3209505,2.6833e-11,54.6,21.25
-1579500,-3204505,2.6585e-11,54.6,21.25
-1579500,-3199505,2.7867e-11,54.6,21.25
-1579500,-3194505,2.6906e-11,54.6,21.25
-1579500,-3189505,2.7679e-11,54.6,21.25
-1579500,-3184505,2.6481e-11,54.6,21.25
-1579500,-3179505,2.7827e-11,54.6,21.25
-1579500,-3174505,2.7185e-11,54.6,21.25
-1579500,-3169505,2.7061e-11,54.6,21.25
-1579500,-3164505,2.6666e-11,54.6,21.25
-1574500,-3339505,2.6796e-11,54.6,21.25
-1574500,-3334505,2.6931e-11,54.6,21.25
-1574500,-3329505,2.6099e-11,54.6,21.25
-1574500,-3324505,2.71e-11,54.6,21.25
-1574500,-3319505,2.701e-11,54.6,21.25
-1574500,-3314505,2.6452e-11,54.6,21.25
-1574500,-3309505,2.6981e-11,54.6,21.25
-1574500,-3304505,2.7424e-11,54.6,21.25
-1574500,-3299505,2.6573e-11,54.6,21.25
-1574500,-3294505,2.7663e-11,54.6,21.25
-1574500,-3289505,2.7216e-11,54.6,21.25
-1574500,-3284505,2.726e-11,54.6,21.25
-1574500,-3279505,2.7107e-11,54.6,21.25
-1574500,-3274505,2.7825e-11,54.6,21.25
-1574500,-3269505,2.6449e-11,54.6,21.25
-1574500,-3264505,2.7807e-11,54.6,21.25
-1574500,-3259505,2.7331e-11,54.6,21.25
-1574500,-3254505,2.6016e-11,54.6,21.25
-1574500,-3249505,2.7258e-11,54.6,21.25
-1574500,-3244505,2.7022e-11,54.6,21.25
-1574500,-3239505,2.727e-11,54.6,21.25
-1574500,-3234505,2.6533e-11,54.6,21.25
-1574500,-3229505,2.657e-11,54.6,21.25
-1574500,-3224505,2.6669e-11,54.6,21.25
-1574500,-3219505,2.7019e-11,54.6,21.25
-1574500,-3214505,2.6148e-11,54.6,21.25
-1574500,-3209505,2.6718e-11,54.6,21.25
-1574500,-3204505,2.7833e-11,54.6,21.25
-1574500,-3199505,2.8058e-11,54.6,21.25
-1574500,-3194505,2.6845e-11,54.6,21.25
-1574500,-3189505,2.6815e-11,54.6,21.25
-1574500,-3184505,2.6839e-11,54.6,21.25
-1574500,-3179505,2.7303e-11,54.6,21.25
-1574500,-3174505,2.6585e-11,54.6,21.25
-1574500,-3169505,2.6179e-11,54.6,21.25
-1574500,-3164505,2.7093e-11,54.6,21.25
-1569500,-3339505,2.7161e-11,54.6,21.25
-1569500,-3334505,2.6955e-11,54.6,21.25
-1569500,-3329505,2.556e-11,54.6,21.25
-1569500,-3324505,2.7066e-11,54.6,21.25
-1569500,-3319505,2.7294e-11,54.6,21.25
-1569500,-3314505,2.6058e-11,54.6,21.25
-1569500,-3309505,2.6393e-11,54.6,21.25
-1569500,-3304505,2.6745e-11,54.6,21.25
-1569500,-3299505,2.7376e-11,54.6,21.25
-1569500,-3294505,2.7551e-11,54.6,21.25
-1569500,-3289505,2.7433e-11,54.6,21.25
-1569500,-3284505,2.6381e-11,54.6,21.25
-1569500,-3279505,2.6687e-11,54.6,21.25
-1569500,-3274505,2.8113e-11,54.6,21.25
-1569500,-3269505,2.6918e-11,54.6,21.25
-1569500,-3264505,2.7846e-11,54.6,21.25
-1569500,-3259505,2.8042e-11,54.6,21.25
-1569500,-3254505,2.7367e-11,54.6,21.25
-1569500,-3249505,2.773e-11,54.6,21.25
-1569500,-3244505,2.6421e-11,54.6,21.25
-1569500,-3239505,2.7043e-11,54.6,21.25
-1569500,-3234505,2.7875e-11,54.6,21.25
-1569500,-3229505,2.6546e-11,54.6,21.25
-1569500,-3224505,2.733e-11,54.6,21.25
-1569500,-3219505,2.7461e-11,54.6,21.25
-1569500,-3214505,2.7085e-11,54.6,21.25
-1569500,-3209505,2.62e-11,54.6,21.25
-1569500,-3204505,2.6507e-11,54.6,21.25
-1569500,-3199505,2.8051e-11,54.6,21.25
-1569500,-3194505,2.7624e-11,54.6,21.25
-1569500,-3189505,2.6561e-11,54.6,21.25
-1569500,-3184505,2.7119e-11,54.6,21.25
-1569500,-3179505,2.7354e-11,54.6,21.25
-1569500,-3174505,2.764e-11,54.6,21.25
-1569500,-3169505,2.8191e-11,54.6,21.25
-1569500,-3164505,2.7791e-11,54.6,21.25
-1564500,-3339505,2.7251e-11,54.6,21.25
-1564500,-3334505,2.6458e-11,54.6,21.25
-1564500,-3329505,2.6378e-11,54.6,21.25
-1564500,-3324505,2.7867e-11,54.6,21.25
-1564500,-3319505,2.6788e-11,54.6,21.25
-1564500,-3314505,2.7563e-11,54.7,21.25
-1564500,-3309505,2.6899e-11,54.7,21.25
-1564500,-3304505,2.6945e-11,54.7,21.25
-1564500,-3299505,2.7257e-11,54.7,21.25
-1564500,-3294505,2.7452e-11,54.7,21.25
-1564500,-3289505,2.6828e-11,54.7,21.25
-1564500,-3284505,2.7445e-11,54.7,21.25
-1564500,-3279505,2.7094e-11,54.7,21.25
-1564500,-3274505,2.751e-11,54.7,21.25
-1564500,-3269505,2.7188e-11,54.7,21.25
-1564500,-3264505,2.5996e-11,54.7,21.25
-1564500,-3259505,2.7387e-11,54.7,21.25
-1564500,-3254505,2.6255e-11,54.7,21.25
-1564500,-3249505,2.7454e-11,54.7,21.25
-1564500,-3244505,2.766e-11,54.7,21.25
-1564500,-3239505,2.6948e-11,54.7,21.25
-1564500,-3234505,2.7346e-11,54.7,21.25
-1564500,-3229505,2.6864e-11,54.7,21.25
-1564500,-3224505,2.7082e-11,54.7,21.25
-1564500,-3219505,2.7578e-11,54.7,21.25
-1564500,-3214505,2.7327e-11,54.7,21.25
-1564500,-3209505,2.6487e-11,54.7,21.25
-1564500,-3204505,2.6607e-11,54.7,21.25
-1564500,-3199505,2.69e-11,54.7,21.25
-1564500,-3194505,2.7193e-11,54.7,21.25
-1564500,-3189505,2.7197e-11,54.7,21.25
-1564500,-3184505,2.6796e-11,54.7,21.25
-1564500,-3179505,2.7218e-11,54.7,21.25
-1564500,-3174505,2.7555e-11,54.7,21.25
-1564500,-3169505,2.7194e-11,54.7,21.25
-1564500,-3164505,2.9939e-11,54.7,21.25
-1559500,-3339505,2.7337e-11,54.7,21.25
-1559500,-3334505,2.697e-11,54.7,21.25
-1559500,-3329505,2.7887e-11,54.7,21.25
-1559500,-3324505,2.7055e-11,54.7,21.25
-1559500,-3319505,2.7076e-11,54.7,21.25
-1559500,-3314505,2.716e-11,54.7,21.25
-1559500,-3309505,2.6684e-11,54.7,21.25
-1559500,-3304505,2.6301e-11,54.7,21.25
-1559500,-3299505,2.6706e-11,54.7,21.25
-1559500,-3294505,2.6299e-11,54.7,21.25
-1559500,-3289505,2.7007e-11,54.7,21.25
-1559500,-3284505,2.7322e-11,54.7,21.25
-1559500,-3279505,2.7407e-11,54.7,21.25
-1559500,-3274505,2.7503e-11,54.7,21.25
-1559500,-3269505,2.7099e-11,54.7,21.25
-1559500,-3264505,2.7413e-11,54.7,21.25
-1559500,-3259505,2.6885e-11,54.7,21.25
-1559500,-3254505,2.7009e-11,54.7,21.25
-1559500,-3249505,2.7233e-11,54.7,21.25
-1559500,-3244505,2.6534e-11,54.7,21.25
-1559500,-3239505,2.731e-11,54.7,21.25
-1559500,-3234505,2.7743e-11,54.7,21.25
-1559500,-3229505,2.7773e-11,54.7,21.25
-1559500,-3224505,2.6758e-11,54.7,21.25
-1559500,-3219505,2.767e-11,54.7,21.25
-1559500,-3214505,2.711e-11,54.7,21.25
-1559500,-3209505,2.7021e-11,54.7,21.25
-1559500,-3204505,2.7279e-11,54.7,21.25
-1559500,-3199505,2.7391e-11,54.7,21.25
-1559500,-3194505,2.7645e-11,54.7,21.25
-1559500,-3189505,2.6963e-11,54.7,21.25
-1559500,-3184505,2.6579e-11,54.7,21.25
-1559500,-3179505,2.6948e-11,54.7,21.25
-1559500,-3174505,2.7101e-11,54.7,21.25
-1559500,-3169505,2.839e-11,54.7,21.25
-1559500,-3164505,3.6281e-11,54.7,21.25
-1554500,-3339505,2.7643e-11,54.7,21.25
-1554500,-3334505,2.576e-11,54.7,21.25
-1554500,-3329505,2.7448e-11,54.7,21.25
-1554500,-3324505,2.7724e-11,54.7,21.25
-1554500,-3319505,2.6903e-11,54.7,21.25
-1554500,-3314505,2.7433e-11,54.7,21.25
-1554500,-3309505,2.7357e-11,54.7,21.25
-1554500,-3304505,2.7027e-11,54.7,21.25
-1554500,-3299505,2.7513e-11,54.7,21.25
-1554500,-3294505,2.7051e-11,54.7,21.25
-1554500,-3289505,2.731e-11,54.7,21.25
-1554500,-3284505,2.7333e-11,54.7,21.25
-1554500,-3279505,2.6767e-11,54.7,21.25
-1554500,-3274505,2.8187e-11,54.7,21.25
-1554500,-3269505,2.6752e-11,54.7,21.25
-1554500,-3264505,2.7333e-11,54.7,21.25
-1554500,-3259505,2.7919e-11,54.7,21.25
-1554500,-3254505,2.6655e-11,54.7,21.25
-1554500,-3249505,2.7097e-11,54.7,21.25
-1554500,-3244505,2.834e-11,54.7,21.25
-1554500,-3239505,2.7688e-11,54.7,21.25
-1554500,-3234505,2.7675e-11,54.7,21.25
-1554500,-3229505,2.7082e-11,54.7,21.25
-1554500,-3224505,2.6796e-11,54.7,21.25
-1554500,-3219505,2.6519e-11,54.7,21.25
-1554500,-3214505,2.6176e-11,54.7,21.25
-1554500,-3209505,2.6881e-11,54.7,21.25
-1554500,-3204505,2.7181e-11,54.7,21.25
-1554500,-3199505,2.7127e-11,54.7,21.25
-1554500,-3194505,2.7845e-11,54.7,21.25
-1554500,-3189505,2.6594e-11,54.7,21.25
-1554500,-3184505,2.7485e-11,54.7,21.25
-1554500,-3179505,2.8685e-11,54.7,21.25
-1554500,-3174505,2.7613e-11,54.7,21.25
-1554500,-3169505,2.7397e-11,54.7,21.25
-1554500,-3164505,2.6739e-11,54.7,21.25
-1549500,-3339505,2.7625e-11,54.7,21.25
-1549500,-3334505,2.6867e-11,54.7,21.25
-1549500,-3329505,2.6931e-11,54.7,21.25
-1549500,-3324505,2.7094e-11,54.7,21.25
-1549500,-3319505,2.6639e-11,54.7,21.25
-1549500,-3314505,2.6778e-11,54.7,21.25
-1549500,-3309505,2.5866e-11,54.7,21.25
-1549500,-3304505,2.676e-11,54.7,21.25
-1549500,-3299505,2.646e-11,54.7,21.25
-1549500,-3294505,2.6915e-11,54.7,21.25
-1549500,-3289505,2.6891e-11,54.7,21.25
-1549500,-3284505,2.7652e-11,54.7,21.25
-1549500,-3279505,2.6934e-11,54.7,21.25
-1549500,-3274505,2.7031e-11,54.7,21.25
-1549500,-3269505,2.6306e-11,54.7,21.25
-1549500,-3264505,2.7051e-11,54.7,21.25
-1549500,-3259505,2.6782e-11,54.7,21.25
-1549500,-3254505,2.7572e-11,54.7,21.25
-1549500,-3249505,2.7867e-11,54.7,21.25
-1549500,-3244505,2.7612e-11,54.7,21.25
-1549500,-3239505,2.7212e-11,54.7,21.25
-1549500,-3234505,2.6281e-11,54.7,21.25
-1549500,-3229505,2.7336e-11,54.7,21.25
-1549500,-3224505,2.6931e-11,54.7,21.25
-1549500,-3219505,2.7276e-11,54.7,21.25
-1549500,-3214505,2.6299e-11,54.7,21.25
-1549500,-3209505,2.7164e-11,54.7,21.25
-1549500,-3204505,2.7979e-11,54.7,21.25
-1549500,-3199505,2.7027e-11,54.7,21.25
-1549500,-3194505,2.6545e-11,54.7,21.25
-1549500,-3189505,2.667e-11,54.7,21.25
-1549500,-3184505,2.7018e-11,54.7,21.25
-1549500,-3179505,2.6918e-11,54.7,21.25
-1549500,-3174505,2.7412e-11,54.7,21.25
-1549500,-3169505,2.7225e-11,54.7,21.25
-1549500,-3164505,2.7803e-11,54.7,21.25
-1544500,-3339505,2.6618e-11,54.7,21.25
-1544500,-3334505,2.6899e-11,54.7,21.25
-1544500,-3329505,2.7845e-11,54.7,21.25
-1544500,-3324505,2.741e-11,54.7,21.25
-1544500,-3319505,2.7476e-11,54.7,21.25
-1544500,-3314505,2.6534e-11,54.7,21.25
