General parameters:
Start time: 2023             10             26             15              5       8.460421
Finish time: 2023             10             26             15             36       34.54662
Raster type: raster_jump
Horizontal range (nm): -3196000.000000,-3298000.000000
Vertical range (nm): -1472500.000000,-1547500.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 6.43e-07
Sample chamber pressure: 1.92e-08
Initial position (nm): -3164492.000000,-1424500.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3196000 -3298000
hori_res:2500
vert_range:-1472500 -1547500
vert_res:2500
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 2.242152
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1547500,-3298000,2.6828e-11,51.9,21.25
-1547500,-3295500,2.5181e-11,51.9,21.25
-1547500,-3293000,2.5549e-11,51.9,21.25
-1547500,-3290500,2.5318e-11,51.9,21.25
-1547500,-3288000,2.5007e-11,51.9,21.25
-1547500,-3285500,2.5578e-11,51.9,21.25
-1547500,-3283000,2.5952e-11,51.9,21.25
-1547500,-3280500,2.5684e-11,51.9,21.25
-1547500,-3278000,2.5513e-11,51.9,21.25
-1547500,-3275500,2.5572e-11,51.9,21.25
-1547500,-3273000,2.5431e-11,51.9,21.25
-1547500,-3270500,2.6039e-11,51.9,21.25
-1547500,-3268000,2.551e-11,51.9,21.25
-1547500,-3265500,2.5566e-11,51.9,21.25
-1547500,-3263000,2.5485e-11,51.9,21.25
-1547500,-3260500,2.5712e-11,51.9,21.25
-1547500,-3258000,2.6145e-11,51.9,21.25
-1547500,-3255500,2.5625e-11,51.9,21.25
-1547500,-3253000,2.6445e-11,51.9,21.25
-1547500,-3250500,2.6587e-11,51.9,21.25
-1547500,-3248000,2.6115e-11,51.9,21.25
-1547500,-3245500,2.5754e-11,51.9,21.25
-1547500,-3243000,2.5299e-11,51.9,21.25
-1547500,-3240500,2.5185e-11,51.9,21.25
-1547500,-3238000,2.6e-11,51.9,21.25
-1547500,-3235500,2.5894e-11,51.9,21.25
-1547500,-3233000,2.543e-11,51.9,21.25
-1547500,-3230500,2.5246e-11,51.9,21.25
-1547500,-3228000,2.5975e-11,51.9,21.25
-1547500,-3225500,2.5431e-11,51.9,21.25
-1547500,-3223000,2.5443e-11,51.9,21.25
-1547500,-3220500,2.563e-11,51.9,21.25
-1547500,-3218000,2.5479e-11,51.9,21.25
-1547500,-3215500,2.6696e-11,51.9,21.25
-1547500,-3213000,2.4427e-11,51.9,21.25
-1547500,-3210500,2.5525e-11,51.9,21.25
-1547500,-3208000,2.4978e-11,51.9,21.25
-1547500,-3205500,2.5209e-11,51.9,21.25
-1547500,-3203000,2.5724e-11,51.9,21.25
-1547500,-3200500,2.5696e-11,51.9,21.25
-1547500,-3198000,2.6354e-11,51.9,21.25
-1545000,-3298000,2.4684e-11,51.9,21.25
-1545000,-3295500,2.5036e-11,51.9,21.25
-1545000,-3293000,2.593e-11,51.9,21.25
-1545000,-3290500,2.5894e-11,51.9,21.25
-1545000,-3288000,2.5869e-11,51.9,21.25
-1545000,-3285500,2.5634e-11,51.9,21.25
-1545000,-3283000,2.6234e-11,51.9,21.25
-1545000,-3280500,2.6021e-11,51.9,21.25
-1545000,-3278000,2.6088e-11,51.9,21.25
-1545000,-3275500,2.5585e-11,51.9,21.25
-1545000,-3273000,2.6413e-11,51.9,21.25
-1545000,-3270500,2.5533e-11,51.9,21.25
-1545000,-3268000,2.5622e-11,51.9,21.25
-1545000,-3265500,2.5879e-11,51.9,21.25
-1545000,-3263000,2.4754e-11,51.9,21.25
-1545000,-3260500,2.4793e-11,51.9,21.25
-1545000,-3258000,2.5691e-11,51.9,21.25
-1545000,-3255500,2.5303e-11,51.9,21.25
-1545000,-3253000,2.4996e-11,51.9,21.25
-1545000,-3250500,2.6124e-11,51.9,21.25
-1545000,-3248000,2.5925e-11,51.9,21.25
-1545000,-3245500,2.5424e-11,51.9,21.25
-1545000,-3243000,2.5422e-11,51.9,21.25
-1545000,-3240500,2.4497e-11,51.9,21.25
-1545000,-3238000,2.6119e-11,51.9,21.25
-1545000,-3235500,2.531e-11,51.9,21.25
-1545000,-3233000,2.5573e-11,51.9,21.25
-1545000,-3230500,2.6439e-11,51.9,21.25
-1545000,-3228000,2.5393e-11,51.9,21.25
-1545000,-3225500,2.58e-11,51.9,21.25
-1545000,-3223000,2.6103e-11,51.9,21.25
-1545000,-3220500,2.4628e-11,51.9,21.25
-1545000,-3218000,2.5051e-11,51.9,21.25
-1545000,-3215500,2.5631e-11,51.9,21.25
-1545000,-3213000,2.499e-11,51.9,21.25
-1545000,-3210500,2.5399e-11,51.9,21.25
-1545000,-3208000,2.6901e-11,51.9,21.25
-1545000,-3205500,2.6355e-11,51.9,21.25
-1545000,-3203000,2.6428e-11,51.9,21.25
-1545000,-3200500,2.563e-11,51.9,21.25
-1545000,-3198000,2.6167e-11,51.9,21.25
-1542500,-3298000,2.5004e-11,51.9,21.25
-1542500,-3295500,2.5246e-11,51.9,21.25
-1542500,-3293000,2.5545e-11,51.9,21.25
-1542500,-3290500,2.4794e-11,51.9,21.25
-1542500,-3288000,2.5542e-11,51.9,21.25
-1542500,-3285500,2.5754e-11,51.9,21.25
-1542500,-3283000,2.5836e-11,51.9,21.25
-1542500,-3280500,2.6467e-11,51.9,21.25
-1542500,-3278000,2.4772e-11,51.9,21.25
-1542500,-3275500,2.6916e-11,51.9,21.25
-1542500,-3273000,2.5466e-11,51.9,21.25
-1542500,-3270500,2.6252e-11,51.9,21.25
-1542500,-3268000,2.6357e-11,51.9,21.25
-1542500,-3265500,2.5609e-11,51.9,21.25
-1542500,-3263000,2.5319e-11,51.9,21.25
-1542500,-3260500,2.5797e-11,51.9,21.25
-1542500,-3258000,2.5539e-11,51.9,21.25
-1542500,-3255500,2.5293e-11,51.9,21.25
-1542500,-3253000,2.5113e-11,51.9,21.25
-1542500,-3250500,2.6015e-11,51.9,21.25
-1542500,-3248000,2.597e-11,51.9,21.25
-1542500,-3245500,2.5675e-11,51.9,21.25
-1542500,-3243000,2.471e-11,51.9,21.25
-1542500,-3240500,2.5576e-11,51.9,21.25
-1542500,-3238000,2.5387e-11,51.9,21.25
-1542500,-3235500,2.6234e-11,51.9,21.25
-1542500,-3233000,2.5461e-11,51.9,21.25
-1542500,-3230500,2.5416e-11,51.9,21.25
-1542500,-3228000,2.6531e-11,51.9,21.25
-1542500,-3225500,2.6228e-11,51.9,21.25
-1542500,-3223000,2.5254e-11,51.9,21.25
-1542500,-3220500,2.5701e-11,51.9,21.25
-1542500,-3218000,2.6264e-11,51.9,21.25
-1542500,-3215500,2.5546e-11,51.9,21.25
-1542500,-3213000,2.5594e-11,51.9,21.25
-1542500,-3210500,2.539e-11,51.9,21.25
-1542500,-3208000,2.5481e-11,51.9,21.25
-1542500,-3205500,2.5782e-11,51.9,21.25
-1542500,-3203000,2.6682e-11,51.9,21.25
-1542500,-3200500,2.5613e-11,51.9,21.25
-1542500,-3198000,2.611e-11,51.9,21.25
-1540000,-3298000,2.4616e-11,51.9,21.25
-1540000,-3295500,2.5322e-11,51.9,21.25
-1540000,-3293000,2.516e-11,51.9,21.25
-1540000,-3290500,2.5178e-11,51.9,21.25
-1540000,-3288000,2.5091e-11,51.9,21.25
-1540000,-3285500,2.4997e-11,51.9,21.25
-1540000,-3283000,2.5119e-11,51.9,21.25
-1540000,-3280500,2.4846e-11,51.9,21.25
-1540000,-3278000,2.5494e-11,51.9,21.25
-1540000,-3275500,2.6245e-11,51.9,21.25
