General parameters:
Start time: 2023             10             27             12              0      12.702597
Finish time: 2023             10             27             13             29       45.98035
Raster type: raster_jump
Horizontal range (nm): -3986000.000000,-4372000.000000
Vertical range (nm): -337500.000000,-600500.000000
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 6.17e-07
Sample chamber pressure: 1.86e-08
Initial position (nm): -2329282.000000,-1547080.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3986000 -4372000
hori_res:5000
vert_range:-337500 -600500
vert_res:5000
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 2.264724
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-600500,-4372000,2.6769e-11,49.7,21.25
-600500,-4367000,2.6443e-11,49.7,21.25
-600500,-4362000,2.6724e-11,49.7,21.25
-600500,-4357000,2.6643e-11,49.7,21.25
-600500,-4352000,2.6407e-11,49.7,21.25
-600500,-4347000,2.5504e-11,49.7,21.25
-600500,-4342000,2.4542e-11,49.7,21.25
-600500,-4337000,2.629e-11,49.7,21.25
-600500,-4332000,2.5979e-11,49.7,21.25
-600500,-4327000,2.5972e-11,49.7,21.25
-600500,-4322000,2.5681e-11,49.7,21.25
-600500,-4317000,2.6601e-11,49.7,21.25
-600500,-4312000,2.6319e-11,49.7,21.25
-600500,-4307000,2.5993e-11,49.7,21.25
-600500,-4302000,2.7401e-11,49.7,21.25
-600500,-4297000,2.7563e-11,49.7,21.25
-600500,-4292000,3.999e-11,49.7,21.25
-600500,-4287000,5.6991e-11,49.7,21.25
-600500,-4282000,3.0148e-11,49.7,21.25
-600500,-4277000,5.0599e-11,49.7,21.25
-600500,-4272000,4.3584e-11,49.7,21.25
-600500,-4267000,2.7933e-11,49.7,21.25
-600500,-4262000,2.7534e-11,49.7,21.25
-600500,-4257000,2.669e-11,49.7,21.25
-600500,-4252000,2.6988e-11,49.7,21.25
-600500,-4247000,2.5533e-11,49.7,21.25
-600500,-4242000,2.6834e-11,49.7,21.25
-600500,-4237000,2.7216e-11,49.7,21.25
-600500,-4232000,3.2416e-11,49.7,21.25
-600500,-4227000,4.7003e-11,49.7,21.25
-600500,-4222000,2.8982e-11,49.7,21.25
-600500,-4217000,2.6891e-11,49.7,21.25
-600500,-4212000,2.7275e-11,49.7,21.25
-600500,-4207000,2.7122e-11,49.7,21.25
