General parameters:
Start time: 2023             10             27             23             55       24.22721
Finish time: 2023             10             28              0             40      45.470667
Raster type: raster_jump
Horizontal range (nm): -3983000.000000,-4283000.000000
Vertical range (nm): -1029000.000000,-1329000.000000
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 6.01e-07
Sample chamber pressure: 1.84e-08
Initial position (nm): -3134003.000000,-1379500.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3983000 -4283000
hori_res:5000
vert_range:-1029000 -1329000
vert_res:5000
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 2.287296
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1329000,-4283000,2.0065e-10,48.5,21.25
-1329000,-4278000,7.8736e-11,48.5,21.25
-1329000,-4273000,5.7393e-11,48.5,21.25
-1329000,-4268000,1.4244e-10,48.5,21.25
-1329000,-4263000,4.799e-11,48.5,21.25
-1329000,-4258000,3.2225e-11,48.5,21.25
-1329000,-4253000,3.1151e-11,48.5,21.25
-1329000,-4248000,3.0036e-11,48.5,21.25
-1329000,-4243000,2.9472e-11,48.5,21.25
-1329000,-4238000,2.8694e-11,48.5,21.25
-1329000,-4233000,2.9816e-11,48.5,21.25
-1329000,-4228000,2.8304e-11,48.5,21.25
-1329000,-4223000,3.0657e-11,48.5,21.25
-1329000,-4218000,2.9699e-11,48.5,21.25
-1329000,-4213000,2.9503e-11,48.5,21.25
-1329000,-4208000,3.2566e-11,48.5,21.25
-1329000,-4203000,3.1715e-11,48.5,21.25
-1329000,-4198000,3.1912e-11,48.5,21.25
-1329000,-4193000,3.0285e-11,48.5,21.25
-1329000,-4188000,2.9976e-11,48.5,21.25
-1329000,-4183000,3.0107e-11,48.5,21.25
-1329000,-4178000,3.06e-11,48.5,21.25
-1329000,-4173000,3.0451e-11,48.5,21.25
-1329000,-4168000,3.0509e-11,48.5,21.25
-1329000,-4163000,2.9712e-11,48.5,21.25
-1329000,-4158000,2.9782e-11,48.5,21.25
