General parameters:
Start time: 2023             10             28              0             41      16.473423
Finish time: 2023             10             28              1              9      13.109262
Raster type: raster_jump
Horizontal range (nm): -4088000.000000,-4158000.000000
Vertical range (nm): -1167500.000000,-1262500.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 6.01e-07
Sample chamber pressure: 1.79e-08
Initial position (nm): -4107980.000000,-1184000.000000,-999999.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4088000 -4158000
hori_res:2500
vert_range:-1167500 -1262500
vert_res:2500
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 2.295162
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1262500,-4158000,3.0215e-11,48.5,21.25
-1262500,-4155500,2.9906e-11,48.5,21.25
-1262500,-4153000,2.9628e-11,48.5,21.25
-1262500,-4150500,2.9925e-11,48.5,21.25
-1262500,-4148000,3.0131e-11,48.5,21.25
-1262500,-4145500,2.9376e-11,48.5,21.25
-1262500,-4143000,2.9684e-11,48.5,21.25
-1262500,-4140500,2.9101e-11,48.5,21.25
-1262500,-4138000,2.904e-11,48.5,21.25
-1262500,-4135500,2.9269e-11,48.5,21.25
-1262500,-4133000,2.8246e-11,48.5,21.25
-1262500,-4130500,2.9328e-11,48.5,21.25
-1262500,-4128000,2.9342e-11,48.5,21.25
-1262500,-4125500,2.9872e-11,48.5,21.25
-1262500,-4123000,3.0015e-11,48.5,21.25
-1262500,-4120500,3.0537e-11,48.5,21.25
-1262500,-4118000,2.9651e-11,48.5,21.25
-1262500,-4115500,2.9234e-11,48.5,21.25
-1262500,-4113000,3.0754e-11,48.5,21.25
-1262500,-4110500,2.8894e-11,48.5,21.25
-1262500,-4108000,2.9055e-11,48.5,21.25
-1262500,-4105500,2.9633e-11,48.5,21.25
-1262500,-4103000,2.9399e-11,48.5,21.25
-1262500,-4100500,3.0248e-11,48.5,21.25
-1262500,-4098000,3.0204e-11,NaN,21.25
-1262500,-4095500,2.8649e-11,48.5,21.25
