General parameters:
Start time: 2023             10             28             16             11      30.696534
Finish time: 2023             10             28             17             25      40.902008
Raster type: raster_jump
Horizontal range (nm): -4010500.000000,-4295500.000000
Vertical range (nm): -1053000.000000,-1307000.000000
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 5.83e-07
Sample chamber pressure: 1.75e-08
Initial position (nm): -3219304.000000,-1222088.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4010500 -4295500
hori_res:5000
vert_range:-1053000 -1307000
vert_res:5000
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 2.323890
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1307000,-4295500,3.2363e-11,46.9,21.25
-1307000,-4290500,3.2455e-11,46.9,21.25
-1307000,-4285500,3.23e-11,46.9,21.25
-1307000,-4280500,3.246e-11,46.9,21.25
-1307000,-4275500,3.2012e-11,46.9,21.25
-1307000,-4270500,5.5452e-11,46.9,21.25
-1307000,-4265500,9.3524e-11,46.9,21.25
-1307000,-4260500,4.0325e-11,46.9,21.25
-1307000,-4255500,3.3331e-11,46.9,21.25
-1307000,-4250500,3.2888e-11,46.9,21.25
-1307000,-4245500,3.3934e-11,46.9,21.25
-1307000,-4240500,4.2137e-11,46.9,21.25
-1307000,-4235500,3.3349e-11,46.9,21.25
-1307000,-4230500,3.2463e-11,46.9,21.25
-1307000,-4225500,3.2563e-11,46.9,21.25
-1307000,-4220500,3.3516e-11,46.9,21.25
-1307000,-4215500,3.2782e-11,46.9,21.25
-1307000,-4210500,3.1509e-11,46.9,21.25
-1307000,-4205500,3.1167e-11,46.9,21.25
-1307000,-4200500,3.1134e-11,46.9,21.25
-1307000,-4195500,3.2272e-11,46.9,21.25
-1307000,-4190500,3.2913e-11,46.9,21.25
-1307000,-4185500,3.2293e-11,46.9,21.25
-1307000,-4180500,3.336e-11,46.9,21.25
-1307000,-4175500,3.3161e-11,46.9,21.25
-1307000,-4170500,3.2197e-11,46.9,21.25
-1307000,-4165500,3.3303e-11,46.9,21.25
-1307000,-4160500,3.237e-11,46.9,21.25
-1307000,-4155500,3.2366e-11,46.9,21.25
-1307000,-4150500,3.2833e-11,46.9,21.25
-1307000,-4145500,3.264e-11,46.9,21.25
-1307000,-4140500,3.1791e-11,46.9,21.25
-1307000,-4135500,3.1666e-11,46.9,21.25
-1307000,-4130500,3.1587e-11,46.9,21.25
-1307000,-4125500,3.2519e-11,46.9,21.25
-1307000,-4120500,3.2816e-11,46.9,21.25
-1307000,-4115500,3.2876e-11,46.9,21.25
-1307000,-4110500,3.1252e-11,46.9,21.25
-1307000,-4105500,3.2734e-11,46.9,21.25
-1307000,-4100500,3.2325e-11,46.9,21.25
-1307000,-4095500,3.2309e-11,46.9,21.25
-1307000,-4090500,3.2293e-11,46.9,21.25
-1307000,-4085500,3.2007e-11,46.9,21.25
-1307000,-4080500,3.2416e-11,46.9,21.25
-1307000,-4075500,3.3122e-11,46.9,21.25
-1307000,-4070500,3.2866e-11,46.9,21.25
-1307000,-4065500,3.2107e-11,46.9,21.25
-1307000,-4060500,3.2688e-11,46.9,21.25
-1307000,-4055500,3.3252e-11,46.9,21.25
-1307000,-4050500,3.5797e-11,46.9,21.25
-1307000,-4045500,3.2339e-11,46.9,21.25
-1307000,-4040500,3.2222e-11,46.9,21.25
-1307000,-4035500,3.2501e-11,46.9,21.25
-1307000,-4030500,3.2251e-11,46.9,21.25
-1307000,-4025500,3.2961e-11,46.9,21.25
-1307000,-4020500,3.1788e-11,46.9,21.25
-1307000,-4015500,3.247e-11,46.9,21.25
-1307000,-4010500,3.1966e-11,46.9,21.25
-1302000,-4295500,3.3027e-11,46.9,21.25
-1302000,-4290500,3.24e-11,46.9,21.25
