General parameters:
Start time: 2023             10             30             15             52       8.445717
Finish time: 2023             10             30             16             35      25.950356
Raster type: raster_jump
Horizontal range (nm): -1000000.000000,-3000000.000000
Vertical range (nm): 1000000.000000,-1000000.000000
Horizontal pixel size (nm): 25000.000000
Vertical pixel size (nm): 25000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 5.62e-07
Sample chamber pressure: 3.57e-08
Initial position (nm): -10.000000,0.000000,-3000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-1000000 -3000000
hori_res:25000
vert_range:1000000 -1000000
vert_res:25000
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 2.060892
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1000000,-3000000,2.2618e-10,46.3,21.25
-1000000,-2975000,2.0234e-10,46.3,21.25
-1000000,-2950000,1.9958e-10,46.3,21.25
-1000000,-2925000,1.9966e-10,46.3,21.25
-1000000,-2900000,1.9639e-10,46.3,21.25
-1000000,-2875000,1.9659e-10,46.3,21.25
-1000000,-2850000,1.9085e-10,46.3,21.25
-1000000,-2825000,1.9163e-10,46.3,21.25
-1000000,-2800000,1.8864e-10,46.3,21.25
-1000000,-2775000,1.872e-10,46.3,21.25
-1000000,-2750000,1.8613e-10,46.3,21.25
-1000000,-2725000,1.8632e-10,46.3,21.25
-1000000,-2700000,1.8495e-10,46.3,21.25
-1000000,-2675000,1.8183e-10,46.3,21.25
-1000000,-2650000,1.8201e-10,46.3,21.25
-1000000,-2625000,1.7776e-10,46.3,21.25
-1000000,-2600000,1.8067e-10,46.3,21.25
-1000000,-2575000,1.7587e-10,46.3,21.25
-1000000,-2550000,1.7494e-10,46.3,21.25
-1000000,-2525000,1.7401e-10,46.3,21.25
-1000000,-2500000,1.7083e-10,46.3,21.25
-1000000,-2475000,1.727e-10,46.3,21.25
-1000000,-2450000,1.7025e-10,46.3,21.25
-1000000,-2425000,1.6881e-10,46.3,21.25
-1000000,-2400000,1.6871e-10,46.3,21.25
-1000000,-2375000,1.7061e-10,46.3,21.25
-1000000,-2350000,1.6727e-10,46.3,21.25
-1000000,-2325000,1.6613e-10,46.3,21.25
