General parameters:
Start time: 2023             10             30             16             35      44.546953
Finish time: 2023             10             30             17             20      39.933892
Raster type: raster_jump
Horizontal range (nm): -1000000.000000,-3000000.000000
Vertical range (nm): 1000000.000000,-1000000.000000
Horizontal pixel size (nm): 50000.000000
Vertical pixel size (nm): 50000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 5.62e-07
Sample chamber pressure: 3.42e-08
Initial position (nm): -2049990.000000,-500000.000000,-3000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-1000000 -3000000
hori_res:50000
vert_range:1000000 -1000000
vert_res:50000
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.776348
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1000000,-3000000,3.7716e-11,46.3,21.25
-1000000,-2950000,3.6906e-11,46.3,21.25
-1000000,-2900000,3.8057e-11,46.3,21.25
-1000000,-2850000,3.7591e-11,46.3,21.25
-1000000,-2800000,3.7575e-11,46.3,21.25
-1000000,-2750000,3.8225e-11,46.3,21.25
-1000000,-2700000,3.8082e-11,46.3,21.25
-1000000,-2650000,3.5976e-11,46.3,21.25
-1000000,-2600000,3.7545e-11,46.3,21.25
-1000000,-2550000,3.6349e-11,46.3,21.25
-1000000,-2500000,3.7219e-11,46.3,21.25
-1000000,-2450000,3.7773e-11,46.3,21.25
-1000000,-2400000,3.7225e-11,46.3,21.25
-1000000,-2350000,3.701e-11,46.3,21.25
-1000000,-2300000,3.7818e-11,46.3,21.25
-1000000,-2250000,3.6979e-11,46.3,21.25
-1000000,-2200000,3.7107e-11,46.3,21.25
-1000000,-2150000,3.6079e-11,46.3,21.25
-1000000,-2100000,3.6551e-11,46.3,21.25
-1000000,-2050000,3.726e-11,46.3,21.25
-1000000,-2000000,3.6419e-11,46.3,21.25
-1000000,-1950000,3.6536e-11,46.3,21.25
-1000000,-1900000,3.5967e-11,46.3,21.25
-1000000,-1850000,3.6587e-11,46.3,21.25
-1000000,-1800000,3.5496e-11,46.3,21.25
-1000000,-1750000,3.7013e-11,46.3,21.25
