General parameters:
Start time: 2023             10             30             17             41      12.293901
Finish time: 2023             10             30             18             14       3.219374
Raster type: raster_jump
Horizontal range (nm): -1500000.000000,-2500000.000000
Vertical range (nm): 2000000.000000,1000000.000000
Horizontal pixel size (nm): 25000.000000
Vertical pixel size (nm): 25000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 5.61e-07
Sample chamber pressure: 3.38e-08
Initial position (nm): -999995.000000,1000000.000000,-3000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-1500000 -2500000
hori_res:25000
vert_range:2000000  1000000
vert_res:25000
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.414512
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
1000000,-2500000,5.0728e-11,46.1,21.25
1000000,-2475000,5.0658e-11,46.1,21.25
1000000,-2450000,5.0242e-11,46.1,21.25
1000000,-2425000,5.1251e-11,46.1,21.25
1000000,-2400000,4.9958e-11,46.1,21.25
1000000,-2375000,5.1404e-11,46.1,21.25
1000000,-2350000,5.1557e-11,46.1,21.25
1000000,-2325000,5.0587e-11,46.1,21.25
1000000,-2300000,5.0806e-11,46.1,21.25
1000000,-2275000,5.2213e-11,46.1,21.25
1000000,-2250000,5.1236e-11,46.1,21.25
1000000,-2225000,5.2057e-11,46.1,21.25
1000000,-2200000,5.1928e-11,46.1,21.25
1000000,-2175000,5.1093e-11,46.1,21.25
1000000,-2150000,5.243e-11,46.1,21.25
1000000,-2125000,5.1566e-11,46.0,21.25
1000000,-2100000,5.3219e-11,46.0,21.25
1000000,-2075000,5.0652e-11,46.0,21.25
1000000,-2050000,5.0746e-11,46.1,21.25
1000000,-2025000,5.2666e-11,46.0,21.25
1000000,-2000000,5.1501e-11,46.0,21.25
1000000,-1975000,5.1818e-11,46.0,21.25
1000000,-1950000,5.3303e-11,46.0,21.25
1000000,-1925000,5.2334e-11,46.0,21.25
1000000,-1900000,5.1975e-11,46.0,21.25
1000000,-1875000,5.1918e-11,46.0,21.25
1000000,-1850000,5.1724e-11,46.0,21.25
1000000,-1825000,5.2751e-11,46.0,21.25
1000000,-1800000,5.2128e-11,46.0,21.25
1000000,-1775000,5.257e-11,46.0,21.25
1000000,-1750000,5.3827e-11,46.0,21.25
1000000,-1725000,5.1972e-11,46.0,21.25
1000000,-1700000,5.3039e-11,46.0,21.25
1000000,-1675000,5.1725e-11,46.0,21.25
1000000,-1650000,5.2806e-11,46.0,21.25
1000000,-1625000,5.3073e-11,46.0,21.25
1000000,-1600000,5.1484e-11,46.0,21.25
1000000,-1575000,5.3204e-11,46.0,21.25
1000000,-1550000,5.2506e-11,46.0,21.25
1000000,-1525000,5.2578e-11,46.0,21.25
1000000,-1500000,5.2827e-11,46.0,21.25
1025000,-2500000,5.2788e-11,46.0,21.25
1025000,-2475000,5.1991e-11,46.0,21.25
1025000,-2450000,5.1525e-11,46.0,21.25
