General parameters:
Start time: 2023             10             30             18             19       13.23713
Finish time: 2023             10             30             21             10      15.044197
Raster type: raster_jump
Horizontal range (nm): -4399999.000000,-6399999.000000
Vertical range (nm): -500000.000000,-2500000.000000
Horizontal pixel size (nm): 25000.000000
Vertical pixel size (nm): 25000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 5.60e-07
Sample chamber pressure: 3.34e-08
Initial position (nm): -2000001.000000,100000.000000,-2500000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4399999 -6399999
hori_res:25000
vert_range:-500000 -2500000
vert_res:25000
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.357740
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-2500000,-6399999,3.8981e-11,46.0,21.25
-2500000,-6374999,4.0136e-11,46.0,21.25
-2500000,-6349999,3.9548e-11,46.0,21.25
-2500000,-6324999,3.93e-11,46.0,21.25
-2500000,-6299999,3.84e-11,46.0,21.25
-2500000,-6274999,3.8378e-11,46.0,21.25
-2500000,-6249999,3.7215e-11,46.0,21.25
-2500000,-6224999,3.7681e-11,46.0,21.25
-2500000,-6199999,3.7693e-11,46.0,21.25
-2500000,-6174999,3.6209e-11,46.0,21.25
-2500000,-6149999,3.6622e-11,46.0,21.25
-2500000,-6124999,3.6666e-11,46.0,21.25
-2500000,-6099999,3.7185e-11,46.0,21.25
-2500000,-6074999,4.9767e-11,46.0,21.25
-2500000,-6049999,5.0891e-11,46.0,21.25
-2500000,-6024999,5.0309e-11,46.0,21.25
-2500000,-5999999,5.0155e-11,46.0,21.25
-2500000,-5974999,5.1718e-11,46.0,21.25
-2500000,-5949999,5.1193e-11,46.0,21.25
-2500000,-5924999,4.9537e-11,46.0,21.25
-2500000,-5899999,5.1522e-11,46.0,21.25
-2500000,-5874999,5.0891e-11,46.0,21.25
-2500000,-5849999,5.0337e-11,46.0,21.25
-2500000,-5824999,5.1284e-11,46.0,21.25
-2500000,-5799999,5.1057e-11,46.0,21.25
-2500000,-5774999,5.1088e-11,46.0,21.25
-2500000,-5749999,5.0833e-11,46.0,21.25
-2500000,-5724999,5.0967e-11,46.0,21.25
-2500000,-5699999,5.0946e-11,46.0,21.25
-2500000,-5674999,5.1858e-11,46.0,21.25
-2500000,-5649999,5.0785e-11,46.0,21.25
-2500000,-5624999,5.1067e-11,46.0,21.25
-2500000,-5599999,5.2057e-11,46.0,21.25
-2500000,-5574999,5.123e-11,46.0,21.25
-2500000,-5549999,5.1088e-11,46.0,21.25
-2500000,-5524999,5.0866e-11,46.0,21.25
-2500000,-5499999,5.2009e-11,46.0,21.25
-2500000,-5474999,5.07e-11,46.0,21.25
-2500000,-5449999,4.9066e-11,46.0,21.25
-2500000,-5424999,5.1085e-11,46.0,21.25
-2500000,-5399999,5.1082e-11,46.0,21.25
-2500000,-5374999,5.0867e-11,46.0,21.25
-2500000,-5349999,5.2179e-11,46.0,21.25
-2500000,-5324999,5.2355e-11,46.0,21.25
-2500000,-5299999,5.1839e-11,46.0,21.25
-2500000,-5274999,5.106e-11,46.0,21.25
-2500000,-5249999,5.0482e-11,46.0,21.25
-2500000,-5224999,5.173e-11,46.0,21.25
-2500000,-5199999,5.1866e-11,46.0,21.25
