General parameters:
Start time: 2023             12             18             17             54      21.508408
Finish time: 2023             12             18             20              4      24.610573
Raster type: raster_jump
Horizontal range (nm): -2095468.000000,-6618468.000000
Vertical range (nm): 1875000.000000,-1573000.000000
Horizontal pixel size (nm): 50000.000000
Vertical pixel size (nm): 50000.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.02e-03
Sample chamber pressure: 2.00e-08
Initial position (nm): -5428000.000000,-538951.000000,-1500066.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-2095468 -6618468
hori_res:50000
vert_range:1875000 -1573000
vert_res:50000
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 3.050640
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1573000,-6618468,1.6623e-10,65.6,21.25
-1573000,-6568468,1.6268e-10,65.6,21.25
-1573000,-6518468,1.6405e-10,65.6,21.25
-1573000,-6468468,1.6547e-10,65.6,21.25
-1573000,-6418468,1.639e-10,65.6,21.25
-1573000,-6368468,1.6497e-10,65.6,21.25
-1573000,-6318468,1.6409e-10,65.6,21.25
-1573000,-6268468,1.6535e-10,65.6,21.25
-1573000,-6218468,1.6462e-10,65.6,21.25
-1573000,-6168468,1.6666e-10,NaN,21.25
-1573000,-6118468,1.6486e-10,65.6,21.25
-1573000,-6068468,1.6537e-10,65.6,21.25
-1573000,-6018468,1.6583e-10,65.6,21.25
-1573000,-5968468,1.6654e-10,65.6,21.25
-1573000,-5918468,1.6416e-10,65.6,21.25
-1573000,-5868468,1.6428e-10,65.6,21.25
-1573000,-5818468,1.6772e-10,65.6,21.25
-1573000,-5768468,1.6364e-10,65.6,21.25
-1573000,-5718468,1.6175e-10,65.6,21.25
-1573000,-5668468,1.6817e-10,65.6,21.25
-1573000,-5618468,1.6426e-10,65.6,21.25
-1573000,-5568468,1.6627e-10,65.6,21.25
-1573000,-5518468,1.6899e-10,65.6,21.25
-1573000,-5468468,1.6573e-10,65.6,21.25
-1573000,-5418468,1.6863e-10,65.6,21.25
-1573000,-5368468,1.6764e-10,65.6,21.25
-1573000,-5318468,1.6391e-10,65.6,21.25
-1573000,-5268468,1.6696e-10,65.6,21.25
-1573000,-5218468,1.6803e-10,65.6,21.25
-1573000,-5168468,1.6586e-10,65.6,21.25
-1573000,-5118468,1.6629e-10,65.6,21.25
-1573000,-5068468,1.6674e-10,65.6,21.25
-1573000,-5018468,1.7002e-10,65.6,21.25
-1573000,-4968468,1.6705e-10,65.6,21.25
-1573000,-4918468,1.6809e-10,65.6,21.25
-1573000,-4868468,1.6336e-10,65.6,21.25
-1573000,-4818468,1.6534e-10,65.6,21.25
-1573000,-4768468,1.6985e-10,65.6,21.25
-1573000,-4718468,1.7169e-10,65.6,21.25
-1573000,-4668468,1.7151e-10,65.6,21.25
-1573000,-4618468,1.7047e-10,65.6,21.25
-1573000,-4568468,1.7151e-10,65.6,21.25
-1573000,-4518468,1.7115e-10,65.6,21.25
-1573000,-4468468,1.7034e-10,65.6,21.25
-1573000,-4418468,1.6951e-10,65.6,21.25
-1573000,-4368468,1.7093e-10,65.6,21.25
-1573000,-4318468,1.7246e-10,65.6,21.25
-1573000,-4268468,1.7147e-10,65.6,21.25
-1573000,-4218468,1.7221e-10,65.6,21.25
-1573000,-4168468,1.7363e-10,65.6,21.25
-1573000,-4118468,1.737e-10,65.6,21.25
-1573000,-4068468,1.7342e-10,65.6,21.25
-1573000,-4018468,1.7154e-10,65.6,21.25
-1573000,-3968468,1.7376e-10,65.6,21.25
-1573000,-3918468,1.7325e-10,65.6,21.25
-1573000,-3868468,1.7203e-10,65.6,21.25
