General parameters:
Start time: 2023             12             19             11             21        2.30914
Finish time: 2023             12             19             14              5      32.595478
Raster type: raster_jump
Horizontal range (nm): -739999.000000,-6739999.000000
Vertical range (nm): 3172000.000000,-2828000.000000
Horizontal pixel size (nm): 30000.000000
Vertical pixel size (nm): 30000.000000
Dwell time (ms): 195.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.05e-03
Sample chamber pressure: 1.67e-08
Initial position (nm): -5999989.000000,0.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-739999 -6739999
hori_res:30000
vert_range:3172000 -2828000
vert_res:30000
pause:0.35
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:13
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 13.000000
Filament current (A): 1.540000
Filament emission (mA): 3.057138
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-2828000,-6739999,1.5668e-10,65.6,21.25
-2828000,-6709999,1.4999e-10,65.6,21.25
-2828000,-6679999,1.4937e-10,65.6,21.25
-2828000,-6649999,1.4312e-10,65.6,21.25
-2828000,-6619999,1.4373e-10,65.6,21.25
-2828000,-6589999,1.489e-10,65.6,21.25
-2828000,-6559999,1.4627e-10,65.6,21.25
-2828000,-6529999,1.4266e-10,65.6,21.25
-2828000,-6499999,1.4735e-10,65.6,21.25
-2828000,-6469999,1.4377e-10,65.6,21.25
-2828000,-6439999,1.4635e-10,65.6,21.25
-2828000,-6409999,1.4595e-10,65.6,21.25
-2828000,-6379999,1.5365e-10,65.6,21.25
-2828000,-6349999,1.4422e-10,65.6,21.25
-2828000,-6319999,1.4983e-10,65.6,21.25
-2828000,-6289999,1.4421e-10,65.6,21.25
-2828000,-6259999,1.4931e-10,65.6,21.25
-2828000,-6229999,1.4656e-10,65.6,21.25
-2828000,-6199999,1.4845e-10,65.6,21.25
-2828000,-6169999,1.485e-10,65.6,21.25
-2828000,-6139999,1.4451e-10,65.6,21.25
-2828000,-6109999,1.4302e-10,65.6,21.25
-2828000,-6079999,1.4768e-10,65.6,21.25
-2828000,-6049999,1.4648e-10,65.6,21.25
-2828000,-6019999,1.4516e-10,65.6,21.25
-2828000,-5989999,1.4523e-10,65.6,21.25
-2828000,-5959999,1.469e-10,65.6,21.25
-2828000,-5929999,1.4381e-10,65.6,21.25
-2828000,-5899999,1.472e-10,65.6,21.25
-2828000,-5869999,1.4284e-10,65.6,21.25
-2828000,-5839999,1.4474e-10,65.6,21.25
-2828000,-5809999,1.4484e-10,65.6,21.25
-2828000,-5779999,1.4488e-10,65.6,21.25
-2828000,-5749999,1.4712e-10,65.6,21.25
-2828000,-5719999,1.452e-10,65.6,21.25
-2828000,-5689999,1.4222e-10,65.6,21.25
-2828000,-5659999,1.4654e-10,65.6,21.25
-2828000,-5629999,1.4885e-10,65.6,21.25
-2828000,-5599999,1.4298e-10,65.6,21.25
-2828000,-5569999,1.4558e-10,65.6,21.25
-2828000,-5539999,1.5007e-10,65.6,21.25
-2828000,-5509999,1.4512e-10,65.6,21.25
-2828000,-5479999,1.4427e-10,65.6,21.25
-2828000,-5449999,1.4254e-10,65.6,21.25
-2828000,-5419999,1.488e-10,65.6,21.25
-2828000,-5389999,1.5055e-10,65.6,21.25
-2828000,-5359999,1.471e-10,65.6,21.25
-2828000,-5329999,1.5118e-10,65.6,21.25
-2828000,-5299999,1.4546e-10,65.6,21.25
-2828000,-5269999,1.4692e-10,65.6,21.25
-2828000,-5239999,1.5067e-10,65.6,21.25
-2828000,-5209999,1.4408e-10,65.6,21.25
-2828000,-5179999,1.4202e-10,65.6,21.25
-2828000,-5149999,1.4148e-10,65.6,21.25
-2828000,-5119999,1.3688e-10,65.6,21.25
-2828000,-5089999,1.3968e-10,65.6,21.25
-2828000,-5059999,1.3475e-10,65.6,21.25
-2828000,-5029999,1.364e-10,65.6,21.25
-2828000,-4999999,1.3812e-10,65.6,21.25
-2828000,-4969999,1.4323e-10,65.6,21.25
-2828000,-4939999,1.4554e-10,65.6,21.25
-2828000,-4909999,1.4753e-10,65.6,21.25
-2828000,-4879999,1.5393e-10,65.6,21.25
-2828000,-4849999,1.2107e-10,65.6,21.25
-2828000,-4819999,1.05e-10,65.6,21.25
-2828000,-4789999,1.1172e-10,65.6,21.25
-2828000,-4759999,1.0584e-10,65.6,21.25
-2828000,-4729999,1.0709e-10,65.6,21.25
