General parameters:
Start time: 2023             12             19             14              7      36.450499
Finish time: 2023             12             19             16              2      13.263048
Raster type: raster_jump
Horizontal range (nm): -3475000.000000,-3725000.000000
Vertical range (nm): -985000.000000,-1235000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 195.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.05e-03
Sample chamber pressure: 1.65e-08
Initial position (nm): -5929983.000000,-908000.000000,-750001.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3475000 -3725000
hori_res:2500
vert_range:-985000 -1235000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:13
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 13.000000
Filament current (A): 1.540000
Filament emission (mA): 3.070818
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1235000,-3725000,1.521e-10,65.6,21.25
-1235000,-3722500,1.6115e-10,65.6,21.25
-1235000,-3720000,1.5908e-10,65.6,21.25
-1235000,-3717500,1.5718e-10,65.6,21.25
-1235000,-3715000,1.575e-10,65.6,21.25
-1235000,-3712500,1.61e-10,65.6,21.25
-1235000,-3710000,1.5558e-10,65.6,21.25
-1235000,-3707500,1.5802e-10,65.6,21.25
-1235000,-3705000,1.5976e-10,65.6,21.25
-1235000,-3702500,1.5875e-10,65.6,21.25
-1235000,-3700000,1.5475e-10,65.6,21.25
-1235000,-3697500,1.5672e-10,65.6,21.25
-1235000,-3695000,1.549e-10,65.6,21.25
-1235000,-3692500,1.5491e-10,65.6,21.25
-1235000,-3690000,1.5378e-10,65.6,21.25
-1235000,-3687500,1.5897e-10,65.6,21.25
-1235000,-3685000,1.5285e-10,65.6,21.25
-1235000,-3682500,1.5797e-10,65.6,21.25
-1235000,-3680000,1.5771e-10,65.6,21.25
-1235000,-3677500,1.5522e-10,65.6,21.25
-1235000,-3675000,1.554e-10,65.6,21.25
-1235000,-3672500,1.6146e-10,65.6,21.25
-1235000,-3670000,1.5514e-10,65.6,21.25
-1235000,-3667500,1.5871e-10,65.6,21.25
-1235000,-3665000,1.5735e-10,65.6,21.25
-1235000,-3662500,1.5555e-10,65.6,21.25
-1235000,-3660000,1.5732e-10,65.6,21.25
-1235000,-3657500,1.5399e-10,65.6,21.25
-1235000,-3655000,1.5699e-10,65.6,21.25
-1235000,-3652500,1.5462e-10,65.6,21.25
-1235000,-3650000,1.572e-10,65.6,21.25
-1235000,-3647500,1.5914e-10,65.6,21.25
-1235000,-3645000,1.6022e-10,65.6,21.25
-1235000,-3642500,1.5701e-10,65.6,21.25
-1235000,-3640000,1.6019e-10,65.6,21.25
-1235000,-3637500,1.5782e-10,65.6,21.25
-1235000,-3635000,1.5681e-10,65.6,21.25
-1235000,-3632500,1.5721e-10,65.6,21.25
-1235000,-3630000,1.5984e-10,65.6,21.25
-1235000,-3627500,1.6014e-10,65.6,21.25
-1235000,-3625000,1.6175e-10,65.6,21.25
-1235000,-3622500,1.5847e-10,65.6,21.25
-1235000,-3620000,1.6235e-10,65.6,21.25
-1235000,-3617500,1.5533e-10,65.6,21.25
-1235000,-3615000,1.5311e-10,65.6,21.25
-1235000,-3612500,1.5893e-10,65.6,21.25
-1235000,-3610000,1.5832e-10,65.6,21.25
-1235000,-3607500,1.5886e-10,65.6,21.25
-1235000,-3605000,1.5741e-10,65.6,21.25
-1235000,-3602500,1.585e-10,65.6,21.25
-1235000,-3600000,1.5448e-10,65.6,21.25
-1235000,-3597500,1.5777e-10,65.6,21.25
-1235000,-3595000,1.5661e-10,65.6,21.25
-1235000,-3592500,1.5639e-10,65.6,21.25
-1235000,-3590000,1.5793e-10,65.6,21.25
-1235000,-3587500,1.5606e-10,65.6,21.25
-1235000,-3585000,1.5972e-10,65.6,21.25
-1235000,-3582500,1.5599e-10,65.6,21.25
-1235000,-3580000,1.5896e-10,65.6,21.25
-1235000,-3577500,1.6408e-10,65.6,21.25
-1235000,-3575000,1.591e-10,65.6,21.25
-1235000,-3572500,1.6075e-10,65.6,21.25
-1235000,-3570000,1.5384e-10,65.6,21.25
-1235000,-3567500,1.5643e-10,65.6,21.25
-1235000,-3565000,1.5983e-10,65.6,21.25
-1235000,-3562500,1.5997e-10,65.6,21.25
-1235000,-3560000,1.5603e-10,65.6,21.25
-1235000,-3557500,1.5371e-10,65.6,21.25
-1235000,-3555000,1.615e-10,65.6,21.25
-1235000,-3552500,1.6065e-10,65.6,21.25
-1235000,-3550000,1.5912e-10,65.6,21.25
-1235000,-3547500,1.6257e-10,65.6,21.25
-1235000,-3545000,1.6125e-10,65.6,21.25
-1235000,-3542500,1.582e-10,65.6,21.25
-1235000,-3540000,1.6112e-10,65.6,21.25
-1235000,-3537500,1.6343e-10,65.6,21.25
-1235000,-3535000,1.6319e-10,65.6,21.25
-1235000,-3532500,1.6225e-10,65.6,21.25
-1235000,-3530000,1.6238e-10,65.6,21.25
-1235000,-3527500,1.6464e-10,65.6,21.25
-1235000,-3525000,1.5814e-10,65.6,21.25
-1235000,-3522500,1.587e-10,65.6,21.25
-1235000,-3520000,1.6105e-10,65.6,21.25
-1235000,-3517500,1.6358e-10,65.6,21.25
-1235000,-3515000,1.6232e-10,65.6,21.25
-1235000,-3512500,1.6405e-10,65.6,21.25
-1235000,-3510000,1.6433e-10,65.6,21.25
-1235000,-3507500,1.5918e-10,65.6,21.25
-1235000,-3505000,1.6525e-10,65.6,21.25
-1235000,-3502500,1.6229e-10,65.6,21.25
-1235000,-3500000,1.6191e-10,NaN,21.25
-1235000,-3497500,1.6065e-10,65.6,21.25
-1235000,-3495000,1.6507e-10,NaN,21.25
-1235000,-3492500,1.6202e-10,65.6,21.25
-1235000,-3490000,1.6496e-10,65.6,21.25
-1235000,-3487500,1.6548e-10,65.6,21.25
-1235000,-3485000,1.6395e-10,65.6,21.25
-1235000,-3482500,1.5938e-10,65.6,21.25
-1235000,-3480000,1.5835e-10,65.6,21.25
-1235000,-3477500,1.6128e-10,65.6,21.25
-1235000,-3475000,1.6498e-10,65.6,21.25
-1232500,-3725000,1.5918e-10,65.6,21.25
-1232500,-3722500,1.571e-10,65.6,21.25
-1232500,-3720000,1.5635e-10,65.6,21.25
-1232500,-3717500,1.6081e-10,65.6,21.25
-1232500,-3715000,1.5614e-10,65.6,21.25
-1232500,-3712500,1.5815e-10,65.6,21.25
-1232500,-3710000,1.584e-10,65.6,21.25
-1232500,-3707500,1.5692e-10,65.6,21.25
-1232500,-3705000,1.5646e-10,65.6,21.25
-1232500,-3702500,1.5877e-10,65.6,21.25
-1232500,-3700000,1.6078e-10,65.6,21.25
-1232500,-3697500,1.6205e-10,65.6,21.25
-1232500,-3695000,1.559e-10,65.6,21.25
-1232500,-3692500,1.5478e-10,65.6,21.25
-1232500,-3690000,1.6022e-10,65.6,21.25
-1232500,-3687500,1.5504e-10,65.6,21.25
-1232500,-3685000,1.616e-10,65.6,21.25
-1232500,-3682500,1.5629e-10,65.6,21.25
-1232500,-3680000,1.5977e-10,65.6,21.25
-1232500,-3677500,1.5989e-10,65.6,21.25
-1232500,-3675000,1.5684e-10,65.6,21.25
-1232500,-3672500,1.5445e-10,65.6,21.25
-1232500,-3670000,1.5552e-10,65.6,21.25
-1232500,-3667500,1.5761e-10,65.6,21.25
-1232500,-3665000,1.575e-10,65.6,21.25
-1232500,-3662500,1.5718e-10,65.6,21.25
-1232500,-3660000,1.5536e-10,65.6,21.25
