General parameters:
Start time: 2023             12             19             16             53       58.13528
Finish time: 2023             12             19             18              7      24.128909
Raster type: raster_jump
Horizontal range (nm): -3441325.000000,-3241325.000000
Vertical range (nm): -1214000.000000,-1014000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 195.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.06e-03
Sample chamber pressure: 1.67e-08
Initial position (nm): -2869604.000000,-1085780.000000,-500000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3441325 -3241325
hori_res:2500
vert_range:-1214000 -1014000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:13
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 13.000000
Filament current (A): 1.540000
Filament emission (mA): 3.071502
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1214000,-3441325,1.6162e-10,65.6,21.25
-1214000,-3438825,1.5787e-10,65.6,21.25
-1214000,-3436325,1.5439e-10,65.6,21.25
-1214000,-3433825,1.5431e-10,65.6,21.25
-1214000,-3431325,1.5845e-10,65.6,21.25
-1214000,-3428825,1.5223e-10,65.6,21.25
-1214000,-3426325,1.5768e-10,65.6,21.25
-1214000,-3423825,1.5857e-10,65.6,21.25
-1214000,-3421325,1.5828e-10,65.6,21.25
-1214000,-3418825,1.5367e-10,65.6,21.25
-1214000,-3416325,1.5504e-10,65.6,21.25
-1214000,-3413825,1.5662e-10,65.6,21.25
-1214000,-3411325,1.5574e-10,65.6,21.25
-1214000,-3408825,1.5696e-10,65.6,21.25
-1214000,-3406325,1.5485e-10,65.6,21.25
-1214000,-3403825,1.6098e-10,65.6,21.25
-1214000,-3401325,1.5781e-10,65.6,21.25
-1214000,-3398825,1.5428e-10,65.6,21.25
-1214000,-3396325,1.5726e-10,65.6,21.25
-1214000,-3393825,1.5662e-10,65.6,21.25
-1214000,-3391325,1.5336e-10,65.6,21.25
-1214000,-3388825,1.5785e-10,65.6,21.25
-1214000,-3386325,1.5944e-10,65.6,21.25
-1214000,-3383825,1.5711e-10,65.6,21.25
-1214000,-3381325,1.6099e-10,65.6,21.25
-1214000,-3378825,1.5662e-10,65.6,21.25
-1214000,-3376325,1.5985e-10,65.6,21.25
-1214000,-3373825,1.565e-10,65.6,21.25
-1214000,-3371325,1.5826e-10,65.6,21.25
-1214000,-3368825,1.5767e-10,65.6,21.25
-1214000,-3366325,1.5915e-10,65.6,21.25
-1214000,-3363825,1.6142e-10,65.6,21.25
-1214000,-3361325,1.5752e-10,65.6,21.25
-1214000,-3358825,1.5386e-10,65.6,21.25
-1214000,-3356325,1.5986e-10,65.6,21.25
-1214000,-3353825,1.554e-10,65.6,21.25
-1214000,-3351325,1.5516e-10,65.6,21.25
-1214000,-3348825,1.5456e-10,65.6,21.25
-1214000,-3346325,1.5615e-10,65.6,21.25
-1214000,-3343825,1.5434e-10,65.6,21.25
-1214000,-3341325,1.5394e-10,65.6,21.25
-1214000,-3338825,1.6379e-10,65.6,21.25
-1214000,-3336325,1.5561e-10,65.6,21.25
-1214000,-3333825,1.5725e-10,65.6,21.25
-1214000,-3331325,1.5471e-10,65.6,21.25
-1214000,-3328825,1.6366e-10,65.6,21.25
-1214000,-3326325,1.5866e-10,65.6,21.25
-1214000,-3323825,1.6235e-10,65.6,21.25
-1214000,-3321325,1.5915e-10,65.6,21.25
-1214000,-3318825,1.5295e-10,65.6,21.25
-1214000,-3316325,1.5928e-10,65.6,21.25
-1214000,-3313825,1.6076e-10,65.6,21.25
-1214000,-3311325,1.5473e-10,65.6,21.25
-1214000,-3308825,1.5878e-10,65.6,21.25
-1214000,-3306325,1.5277e-10,65.6,21.25
-1214000,-3303825,1.5764e-10,65.6,21.25
-1214000,-3301325,1.5929e-10,65.6,21.25
-1214000,-3298825,1.5575e-10,65.6,21.25
-1214000,-3296325,1.5696e-10,65.6,21.25
-1214000,-3293825,1.5834e-10,65.6,21.25
-1214000,-3291325,1.5525e-10,65.6,21.25
-1214000,-3288825,1.563e-10,65.6,21.25
-1214000,-3286325,1.6163e-10,65.6,21.25
-1214000,-3283825,1.5955e-10,65.6,21.25
-1214000,-3281325,1.5954e-10,65.6,21.25
-1214000,-3278825,1.5908e-10,65.6,21.25
-1214000,-3276325,1.5977e-10,65.6,21.25
-1214000,-3273825,1.5703e-10,65.6,21.25
-1214000,-3271325,1.6067e-10,65.6,21.25
-1214000,-3268825,1.6132e-10,65.6,21.25
-1214000,-3266325,1.6148e-10,65.6,21.25
-1214000,-3263825,1.6025e-10,65.6,21.25
-1214000,-3261325,1.6093e-10,65.6,21.25
-1214000,-3258825,1.6137e-10,65.6,21.25
-1214000,-3256325,1.5996e-10,65.6,21.25
-1214000,-3253825,1.6268e-10,65.6,21.25
-1214000,-3251325,1.5836e-10,65.6,21.25
-1214000,-3248825,1.5861e-10,65.6,21.25
-1214000,-3246325,1.6132e-10,65.6,21.25
-1214000,-3243825,1.6076e-10,65.6,21.25
-1214000,-3241325,1.6246e-10,65.6,21.25
-1211500,-3441325,1.5353e-10,65.6,21.25
-1211500,-3438825,1.5591e-10,65.6,21.25
-1211500,-3436325,1.6204e-10,65.6,21.25
-1211500,-3433825,1.5688e-10,65.6,21.25
-1211500,-3431325,1.571e-10,65.6,21.25
-1211500,-3428825,1.5438e-10,65.6,21.25
-1211500,-3426325,1.559e-10,65.6,21.25
-1211500,-3423825,1.5603e-10,65.6,21.25
-1211500,-3421325,1.5331e-10,65.6,21.25
-1211500,-3418825,1.5582e-10,65.6,21.25
-1211500,-3416325,1.5449e-10,65.6,21.25
-1211500,-3413825,1.5313e-10,65.6,21.25
-1211500,-3411325,1.5225e-10,65.6,21.25
-1211500,-3408825,1.5805e-10,65.6,21.25
-1211500,-3406325,1.5484e-10,65.6,21.25
-1211500,-3403825,1.5872e-10,65.6,21.25
-1211500,-3401325,1.5392e-10,65.6,21.25
-1211500,-3398825,1.5279e-10,65.6,21.25
-1211500,-3396325,1.5435e-10,65.6,21.25
-1211500,-3393825,1.5148e-10,65.6,21.25
-1211500,-3391325,1.6103e-10,65.6,21.25
-1211500,-3388825,1.5708e-10,65.6,21.25
-1211500,-3386325,1.582e-10,65.6,21.25
-1211500,-3383825,1.5695e-10,65.6,21.25
-1211500,-3381325,1.5818e-10,65.6,21.25
-1211500,-3378825,1.5759e-10,65.6,21.25
-1211500,-3376325,1.6017e-10,65.6,21.25
-1211500,-3373825,1.5512e-10,65.6,21.25
-1211500,-3371325,1.5443e-10,65.6,21.25
-1211500,-3368825,1.5421e-10,65.6,21.25
-1211500,-3366325,1.5764e-10,65.6,21.25
-1211500,-3363825,1.618e-10,65.6,21.25
-1211500,-3361325,1.57e-10,65.6,21.25
-1211500,-3358825,1.5925e-10,65.6,21.25
-1211500,-3356325,1.5368e-10,65.6,21.25
-1211500,-3353825,1.5186e-10,65.6,21.25
-1211500,-3351325,1.581e-10,65.6,21.25
-1211500,-3348825,1.5901e-10,65.6,21.25
-1211500,-3346325,1.5749e-10,65.6,21.25
-1211500,-3343825,1.5483e-10,65.6,21.25
-1211500,-3341325,1.5975e-10,65.6,21.25
-1211500,-3338825,1.6068e-10,65.6,21.25
-1211500,-3336325,1.5484e-10,65.6,21.25
-1211500,-3333825,1.5872e-10,65.6,21.25
-1211500,-3331325,1.5762e-10,65.6,21.25
-1211500,-3328825,1.5901e-10,65.6,21.25
-1211500,-3326325,1.5622e-10,65.6,21.25
-1211500,-3323825,1.5786e-10,65.6,21.25
-1211500,-3321325,1.5982e-10,65.6,21.25
-1211500,-3318825,1.5749e-10,65.6,21.25
-1211500,-3316325,1.5197e-10,65.6,21.25
-1211500,-3313825,1.6234e-10,65.6,21.25
-1211500,-3311325,1.5942e-10,65.6,21.25
-1211500,-3308825,1.5909e-10,65.6,21.25
-1211500,-3306325,1.57e-10,65.6,21.25
-1211500,-3303825,1.5695e-10,65.6,21.25
-1211500,-3301325,1.5935e-10,65.6,21.25
-1211500,-3298825,1.5958e-10,65.6,21.25
-1211500,-3296325,1.597e-10,65.6,21.25
-1211500,-3293825,1.6044e-10,65.6,21.25
-1211500,-3291325,1.5816e-10,65.6,21.25
-1211500,-3288825,1.5719e-10,65.6,21.25
-1211500,-3286325,1.6004e-10,65.6,21.25
-1211500,-3283825,1.5807e-10,65.6,21.25
-1211500,-3281325,1.543e-10,65.6,21.25
-1211500,-3278825,1.6365e-10,65.6,21.25
-1211500,-3276325,1.5955e-10,65.6,21.25
-1211500,-3273825,1.6112e-10,65.6,21.25
-1211500,-3271325,1.6158e-10,65.6,21.25
-1211500,-3268825,1.6138e-10,65.6,21.25
-1211500,-3266325,1.5682e-10,65.6,21.25
-1211500,-3263825,1.5545e-10,65.6,21.25
-1211500,-3261325,1.5968e-10,65.6,21.25
-1211500,-3258825,1.5908e-10,65.6,21.25
-1211500,-3256325,1.5652e-10,65.6,21.25
-1211500,-3253825,1.6352e-10,65.6,21.25
-1211500,-3251325,1.5728e-10,65.6,21.25
-1211500,-3248825,1.5532e-10,65.6,21.25
-1211500,-3246325,1.5774e-10,65.6,21.25
-1211500,-3243825,1.6125e-10,65.6,21.25
-1211500,-3241325,1.567e-10,65.6,21.25
-1209000,-3441325,1.5712e-10,65.6,21.25
-1209000,-3438825,1.5502e-10,65.6,21.25
-1209000,-3436325,1.5783e-10,65.6,21.25
