General parameters:
Start time: 2023             12             19             18              7      32.873812
Finish time: 2023             12             19             19             21       8.490408
Raster type: raster_jump
Horizontal range (nm): -3934675.000000,-3734675.000000
Vertical range (nm): -1210000.000000,-1010000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 195.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.07e-03
Sample chamber pressure: 1.64e-08
Initial position (nm): -3241335.000000,-1014000.000000,-999999.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3934675 -3734675
hori_res:2500
vert_range:-1210000 -1010000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:13
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 13.000000
Filament current (A): 1.540000
Filament emission (mA): 3.077316
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1210000,-3934675,1.6321e-10,65.7,21.25
-1210000,-3932175,1.579e-10,65.7,21.25
-1210000,-3929675,1.5706e-10,65.7,21.25
-1210000,-3927175,1.5758e-10,65.7,21.25
-1210000,-3924675,1.5381e-10,65.7,21.25
-1210000,-3922175,1.5525e-10,65.7,21.25
-1210000,-3919675,1.5683e-10,65.7,21.25
-1210000,-3917175,1.5599e-10,65.7,21.25
-1210000,-3914675,1.541e-10,65.7,21.25
-1210000,-3912175,1.5661e-10,65.7,21.25
-1210000,-3909675,1.5617e-10,65.7,21.25
-1210000,-3907175,1.5795e-10,65.7,21.25
-1210000,-3904675,1.57e-10,65.7,21.25
-1210000,-3902175,1.6052e-10,65.7,21.25
-1210000,-3899675,1.6055e-10,65.7,21.25
-1210000,-3897175,1.5571e-10,65.7,21.25
-1210000,-3894675,1.5561e-10,65.7,21.25
-1210000,-3892175,1.5625e-10,65.7,21.25
-1210000,-3889675,1.5798e-10,65.7,21.25
-1210000,-3887175,1.5302e-10,65.7,21.25
-1210000,-3884675,1.5603e-10,65.7,21.25
-1210000,-3882175,1.5725e-10,65.7,21.25
-1210000,-3879675,1.5565e-10,65.7,21.25
-1210000,-3877175,1.5945e-10,65.7,21.25
-1210000,-3874675,1.5686e-10,65.7,21.25
-1210000,-3872175,1.5693e-10,65.7,21.25
