General parameters:
Start time: 2023             12             19             19             21      12.226349
Finish time: 2023             12             19             20             34      57.237514
Raster type: raster_jump
Horizontal range (nm): -4428025.000000,-4228025.000000
Vertical range (nm): -1206000.000000,-1006000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 195.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.08e-03
Sample chamber pressure: 1.62e-08
Initial position (nm): -3734641.000000,-1010000.000000,-1500000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4428025 -4228025
hori_res:2500
vert_range:-1206000 -1006000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:13
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 13.000000
Filament current (A): 1.540000
Filament emission (mA): 3.084840
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1206000,-4428025,1.5773e-10,65.7,21.25
-1206000,-4425525,1.5585e-10,65.7,21.25
-1206000,-4423025,1.544e-10,65.7,21.25
-1206000,-4420525,1.5343e-10,65.7,21.25
-1206000,-4418025,1.5834e-10,65.7,21.25
-1206000,-4415525,1.5248e-10,65.7,21.25
-1206000,-4413025,1.5738e-10,65.7,21.25
-1206000,-4410525,1.5041e-10,65.7,21.25
-1206000,-4408025,1.5149e-10,65.7,21.25
-1206000,-4405525,1.5319e-10,65.7,21.25
-1206000,-4403025,1.5786e-10,65.7,21.25
-1206000,-4400525,1.526e-10,65.7,21.25
-1206000,-4398025,1.5579e-10,65.7,21.25
-1206000,-4395525,1.5488e-10,65.7,21.25
-1206000,-4393025,1.5752e-10,65.7,21.25
-1206000,-4390525,1.5843e-10,65.7,21.25
-1206000,-4388025,1.5591e-10,65.7,21.25
-1206000,-4385525,1.5579e-10,65.7,21.25
-1206000,-4383025,1.5582e-10,65.7,21.25
-1206000,-4380525,1.5072e-10,65.7,21.25
-1206000,-4378025,1.5713e-10,65.7,21.25
-1206000,-4375525,1.5407e-10,65.7,21.25
-1206000,-4373025,1.5235e-10,65.7,21.25
-1206000,-4370525,1.5395e-10,65.7,21.25
-1206000,-4368025,1.5305e-10,65.7,21.25
-1206000,-4365525,1.531e-10,65.7,21.25
-1206000,-4363025,1.5215e-10,65.7,21.25
-1206000,-4360525,1.5381e-10,65.7,21.25
-1206000,-4358025,1.5425e-10,65.7,21.25
-1206000,-4355525,1.5555e-10,65.7,21.25
-1206000,-4353025,1.5532e-10,65.7,21.25
-1206000,-4350525,1.5415e-10,65.7,21.25
-1206000,-4348025,1.5561e-10,65.7,21.25
-1206000,-4345525,1.543e-10,65.7,21.25
-1206000,-4343025,1.5462e-10,65.7,21.25
-1206000,-4340525,1.5245e-10,65.7,21.25
-1206000,-4338025,1.5498e-10,65.7,21.25
-1206000,-4335525,1.5495e-10,65.7,21.25
-1206000,-4333025,1.527e-10,65.7,21.25
-1206000,-4330525,1.5223e-10,65.7,21.25
-1206000,-4328025,1.5859e-10,65.7,21.25
-1206000,-4325525,1.5182e-10,65.7,21.25
-1206000,-4323025,1.5402e-10,65.7,21.25
-1206000,-4320525,1.5541e-10,65.7,21.25
-1206000,-4318025,1.5392e-10,65.7,21.25
-1206000,-4315525,1.5514e-10,65.7,21.25
-1206000,-4313025,1.5845e-10,65.7,21.25
-1206000,-4310525,1.5334e-10,65.7,21.25
-1206000,-4308025,1.5045e-10,65.7,21.25
-1206000,-4305525,1.5179e-10,65.7,21.25
-1206000,-4303025,1.552e-10,65.7,21.25
-1206000,-4300525,1.5868e-10,65.7,21.25
-1206000,-4298025,1.5711e-10,65.7,21.25
-1206000,-4295525,1.5469e-10,65.7,21.25
-1206000,-4293025,1.5465e-10,65.7,21.25
-1206000,-4290525,1.5447e-10,65.7,21.25
-1206000,-4288025,1.5809e-10,65.7,21.25
-1206000,-4285525,1.557e-10,65.7,21.25
-1206000,-4283025,1.5367e-10,65.7,21.25
-1206000,-4280525,1.5563e-10,65.7,21.25
-1206000,-4278025,1.5501e-10,65.7,21.25
-1206000,-4275525,1.5713e-10,65.7,21.25
-1206000,-4273025,1.5651e-10,65.7,21.25
-1206000,-4270525,1.5581e-10,65.7,21.25
-1206000,-4268025,1.5908e-10,65.7,21.25
-1206000,-4265525,1.5775e-10,65.7,21.25
-1206000,-4263025,1.5527e-10,65.7,21.25
-1206000,-4260525,1.5622e-10,65.7,21.25
-1206000,-4258025,1.5568e-10,65.7,21.25
-1206000,-4255525,1.5215e-10,65.7,21.25
-1206000,-4253025,1.5964e-10,65.7,21.25
-1206000,-4250525,1.6058e-10,65.7,21.25
-1206000,-4248025,1.5614e-10,65.7,21.25
-1206000,-4245525,1.5448e-10,65.7,21.25
-1206000,-4243025,1.5761e-10,65.7,21.25
-1206000,-4240525,1.5673e-10,65.7,21.25
-1206000,-4238025,1.5539e-10,65.7,21.25
-1206000,-4235525,1.5712e-10,65.7,21.25
-1206000,-4233025,1.5762e-10,65.7,21.25
-1206000,-4230525,1.5635e-10,65.7,21.25
-1206000,-4228025,1.5755e-10,65.7,21.25
-1203500,-4428025,1.5263e-10,65.7,21.25
-1203500,-4425525,1.5135e-10,65.7,21.25
-1203500,-4423025,1.524e-10,65.7,21.25
-1203500,-4420525,1.5177e-10,65.7,21.25
-1203500,-4418025,1.5031e-10,65.7,21.25
-1203500,-4415525,1.5552e-10,65.7,21.25
-1203500,-4413025,1.5371e-10,65.7,21.25
-1203500,-4410525,1.5122e-10,65.7,21.25
-1203500,-4408025,1.5552e-10,65.7,21.25
-1203500,-4405525,1.5738e-10,65.7,21.25
-1203500,-4403025,1.5013e-10,65.7,21.25
-1203500,-4400525,1.5635e-10,65.7,21.25
-1203500,-4398025,1.5237e-10,65.7,21.25
