General parameters:
Start time: 2023             12             19             20             35       1.000773
Finish time: 2023             12             19             21             48      36.663534
Raster type: raster_jump
Horizontal range (nm): -4921375.000000,-4721375.000000
Vertical range (nm): -1202000.000000,-1002000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 195.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.08e-03
Sample chamber pressure: 1.60e-08
Initial position (nm): -4228032.000000,-1006000.000000,-2000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4921375 -4721375
hori_res:2500
vert_range:-1202000 -1002000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:13
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 13.000000
Filament current (A): 1.540000
Filament emission (mA): 3.093048
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1202000,-4921375,1.5277e-10,65.7,21.25
-1202000,-4918875,1.4666e-10,65.7,21.25
-1202000,-4916375,1.4739e-10,65.7,21.25
-1202000,-4913875,1.4936e-10,65.7,21.25
-1202000,-4911375,1.4972e-10,65.7,21.25
-1202000,-4908875,1.4605e-10,65.7,21.25
-1202000,-4906375,1.5066e-10,65.7,21.25
-1202000,-4903875,1.5168e-10,65.7,21.25
-1202000,-4901375,1.4695e-10,65.7,21.25
-1202000,-4898875,1.5032e-10,65.7,21.25
-1202000,-4896375,1.4525e-10,65.7,21.25
-1202000,-4893875,1.5003e-10,65.7,21.25
-1202000,-4891375,1.4715e-10,65.7,21.25
-1202000,-4888875,1.4728e-10,65.7,21.25
-1202000,-4886375,1.4821e-10,65.7,21.25
-1202000,-4883875,1.4879e-10,65.7,21.25
-1202000,-4881375,1.4922e-10,65.7,21.25
-1202000,-4878875,1.5298e-10,65.7,21.25
-1202000,-4876375,1.5323e-10,65.7,21.25
-1202000,-4873875,1.4887e-10,65.7,21.25
-1202000,-4871375,1.4838e-10,65.7,21.25
-1202000,-4868875,1.4792e-10,65.7,21.25
-1202000,-4866375,1.4915e-10,65.7,21.25
-1202000,-4863875,1.5075e-10,65.7,21.25
-1202000,-4861375,1.4675e-10,65.7,21.25
-1202000,-4858875,1.5085e-10,65.7,21.25
-1202000,-4856375,1.5015e-10,65.7,21.25
-1202000,-4853875,1.4973e-10,65.7,21.25
-1202000,-4851375,1.5155e-10,65.7,21.25
-1202000,-4848875,1.5229e-10,65.7,21.25
-1202000,-4846375,1.4365e-10,65.7,21.25
-1202000,-4843875,1.4689e-10,65.7,21.25
-1202000,-4841375,1.4708e-10,65.7,21.25
-1202000,-4838875,1.5304e-10,65.7,21.25
-1202000,-4836375,1.4857e-10,65.7,21.25
-1202000,-4833875,1.4959e-10,65.7,21.25
-1202000,-4831375,1.4636e-10,65.7,21.25
-1202000,-4828875,1.4947e-10,65.7,21.25
-1202000,-4826375,1.4828e-10,65.7,21.25
-1202000,-4823875,1.4636e-10,65.7,21.25
-1202000,-4821375,1.5145e-10,65.7,21.25
-1202000,-4818875,1.4578e-10,65.7,21.25
-1202000,-4816375,1.4933e-10,65.7,21.25
-1202000,-4813875,1.4871e-10,65.7,21.25
-1202000,-4811375,1.4831e-10,65.7,21.25
-1202000,-4808875,1.5032e-10,65.7,21.25
-1202000,-4806375,1.5052e-10,65.7,21.25
-1202000,-4803875,1.4662e-10,65.7,21.25
-1202000,-4801375,1.4707e-10,65.7,21.25
-1202000,-4798875,1.5015e-10,65.7,21.25
-1202000,-4796375,1.5104e-10,65.7,21.25
-1202000,-4793875,1.5301e-10,65.7,21.25
-1202000,-4791375,1.4525e-10,65.7,21.25
-1202000,-4788875,1.5125e-10,65.7,21.25
-1202000,-4786375,1.4676e-10,65.7,21.25
-1202000,-4783875,1.4982e-10,65.7,21.25
-1202000,-4781375,1.4781e-10,65.7,21.25
-1202000,-4778875,1.5057e-10,65.7,21.25
-1202000,-4776375,1.4689e-10,65.7,21.25
-1202000,-4773875,1.5212e-10,65.7,21.25
-1202000,-4771375,1.482e-10,65.7,21.25
-1202000,-4768875,1.475e-10,65.7,21.25
-1202000,-4766375,1.5346e-10,65.7,21.25
-1202000,-4763875,1.4652e-10,65.7,21.25
-1202000,-4761375,1.486e-10,65.7,21.25
-1202000,-4758875,1.4935e-10,65.7,21.25
-1202000,-4756375,1.5148e-10,65.7,21.25
-1202000,-4753875,1.5302e-10,65.7,21.25
-1202000,-4751375,1.4838e-10,65.7,21.25
-1202000,-4748875,1.5071e-10,65.7,21.25
-1202000,-4746375,1.5009e-10,65.7,21.25
-1202000,-4743875,1.4841e-10,65.7,21.25
-1202000,-4741375,1.5418e-10,65.7,21.25
-1202000,-4738875,1.494e-10,65.7,21.25
-1202000,-4736375,1.5321e-10,65.7,21.25
-1202000,-4733875,1.5188e-10,65.7,21.25
-1202000,-4731375,1.4798e-10,65.7,21.25
-1202000,-4728875,1.4877e-10,65.7,21.25
-1202000,-4726375,1.4965e-10,65.7,21.25
-1202000,-4723875,1.4997e-10,65.7,21.25
-1202000,-4721375,1.5241e-10,65.7,21.25
-1199500,-4921375,1.4841e-10,65.7,21.25
-1199500,-4918875,1.4889e-10,65.7,21.25
-1199500,-4916375,1.4925e-10,65.7,21.25
-1199500,-4913875,1.5182e-10,65.7,21.25
-1199500,-4911375,1.476e-10,65.7,21.25
-1199500,-4908875,1.5065e-10,65.7,21.25
-1199500,-4906375,1.4835e-10,65.7,21.25
-1199500,-4903875,1.4395e-10,65.7,21.25
-1199500,-4901375,1.5145e-10,65.7,21.25
-1199500,-4898875,1.4898e-10,65.7,21.25
-1199500,-4896375,1.4639e-10,65.7,21.25
-1199500,-4893875,1.4972e-10,65.7,21.25
-1199500,-4891375,1.467e-10,65.7,21.25
-1199500,-4888875,1.4808e-10,65.7,21.25
-1199500,-4886375,1.4919e-10,65.7,21.25
-1199500,-4883875,1.5112e-10,65.7,21.25
-1199500,-4881375,1.5195e-10,65.7,21.25
-1199500,-4878875,1.452e-10,65.7,21.25
-1199500,-4876375,1.4668e-10,65.7,21.25
-1199500,-4873875,1.5402e-10,65.7,21.25
-1199500,-4871375,1.4988e-10,65.7,21.25
-1199500,-4868875,1.474e-10,65.7,21.25
-1199500,-4866375,1.499e-10,65.7,21.25
-1199500,-4863875,1.4697e-10,65.7,21.25
-1199500,-4861375,1.5056e-10,65.7,21.25
-1199500,-4858875,1.5349e-10,65.7,21.25
-1199500,-4856375,1.4895e-10,65.7,21.25
-1199500,-4853875,1.481e-10,65.7,21.25
-1199500,-4851375,1.4938e-10,65.7,21.25
-1199500,-4848875,1.5142e-10,65.7,21.25
-1199500,-4846375,1.4871e-10,65.7,21.25
-1199500,-4843875,1.4387e-10,65.7,21.25
-1199500,-4841375,1.5242e-10,65.7,21.25
-1199500,-4838875,1.4955e-10,65.7,21.25
-1199500,-4836375,1.4878e-10,65.7,21.25
-1199500,-4833875,1.4918e-10,65.7,21.25
-1199500,-4831375,1.507e-10,65.7,21.25
-1199500,-4828875,1.4702e-10,65.7,21.25
-1199500,-4826375,1.5228e-10,65.7,21.25
-1199500,-4823875,1.4723e-10,65.7,21.25
-1199500,-4821375,1.4891e-10,65.7,21.25
-1199500,-4818875,1.4887e-10,65.7,21.25
-1199500,-4816375,1.467e-10,65.7,21.25
-1199500,-4813875,1.4822e-10,65.7,21.25
-1199500,-4811375,1.4761e-10,65.7,21.25
-1199500,-4808875,1.4831e-10,65.7,21.25
-1199500,-4806375,1.4472e-10,65.7,21.25
-1199500,-4803875,1.5039e-10,65.7,21.25
-1199500,-4801375,1.5225e-10,65.7,21.25
-1199500,-4798875,1.5098e-10,65.7,21.25
-1199500,-4796375,1.4631e-10,65.7,21.25
-1199500,-4793875,1.4861e-10,65.7,21.25
-1199500,-4791375,1.4642e-10,65.7,21.25
-1199500,-4788875,1.476e-10,65.7,21.25
-1199500,-4786375,1.4692e-10,65.7,21.25
-1199500,-4783875,1.4767e-10,65.7,21.25
-1199500,-4781375,1.5025e-10,65.7,21.25
-1199500,-4778875,1.471e-10,65.7,21.25
-1199500,-4776375,1.5048e-10,65.7,21.25
-1199500,-4773875,1.4946e-10,65.7,21.25
-1199500,-4771375,1.5101e-10,65.7,21.25
-1199500,-4768875,1.5249e-10,65.7,21.25
-1199500,-4766375,1.4915e-10,65.7,21.25
-1199500,-4763875,1.4762e-10,65.7,21.25
-1199500,-4761375,1.4592e-10,65.7,21.25
-1199500,-4758875,1.5169e-10,65.7,21.25
-1199500,-4756375,1.5043e-10,65.7,21.25
-1199500,-4753875,1.5301e-10,65.7,21.25
-1199500,-4751375,1.5045e-10,65.7,21.25
-1199500,-4748875,1.5031e-10,65.7,21.25
-1199500,-4746375,1.5158e-10,65.7,21.25
-1199500,-4743875,1.5058e-10,65.7,21.25
-1199500,-4741375,1.5354e-10,65.7,21.25
-1199500,-4738875,1.463e-10,65.7,21.25
-1199500,-4736375,1.5018e-10,65.7,21.25
-1199500,-4733875,1.4912e-10,65.7,21.25
-1199500,-4731375,1.5152e-10,65.7,21.25
-1199500,-4728875,1.5282e-10,65.7,21.25
-1199500,-4726375,1.5298e-10,65.7,21.25
-1199500,-4723875,1.5055e-10,65.7,21.25
-1199500,-4721375,1.5231e-10,65.7,21.25
-1197000,-4921375,1.4858e-10,65.7,21.25
-1197000,-4918875,1.4912e-10,65.7,21.25
-1197000,-4916375,1.4658e-10,65.7,21.25
-1197000,-4913875,1.4929e-10,65.7,21.25
-1197000,-4911375,1.4827e-10,65.7,21.25
-1197000,-4908875,1.4768e-10,65.7,21.25
-1197000,-4906375,1.5092e-10,65.7,21.25
-1197000,-4903875,1.5228e-10,65.7,21.25
-1197000,-4901375,1.5189e-10,65.7,21.25
-1197000,-4898875,1.4943e-10,65.7,21.25
-1197000,-4896375,1.4532e-10,65.7,21.25
-1197000,-4893875,1.4792e-10,65.7,21.25
-1197000,-4891375,1.4915e-10,65.7,21.25
-1197000,-4888875,1.5008e-10,65.7,21.25
-1197000,-4886375,1.4772e-10,65.7,21.25
-1197000,-4883875,1.4946e-10,65.7,21.25
-1197000,-4881375,1.5131e-10,65.7,21.25
-1197000,-4878875,1.4977e-10,65.7,21.25
-1197000,-4876375,1.5257e-10,65.7,21.25
-1197000,-4873875,1.4775e-10,65.7,21.25
-1197000,-4871375,1.4773e-10,65.7,21.25
-1197000,-4868875,1.4895e-10,65.7,21.25
-1197000,-4866375,1.4858e-10,65.7,21.25
-1197000,-4863875,1.5194e-10,65.7,21.25
-1197000,-4861375,1.4902e-10,65.7,21.25
-1197000,-4858875,1.4965e-10,65.7,21.25
-1197000,-4856375,1.4812e-10,65.7,21.25
-1197000,-4853875,1.4745e-10,65.7,21.25
-1197000,-4851375,1.4953e-10,65.7,21.25
-1197000,-4848875,1.4564e-10,65.7,21.25
-1197000,-4846375,1.4655e-10,65.7,21.25
-1197000,-4843875,1.4988e-10,65.7,21.25
-1197000,-4841375,1.5008e-10,65.7,21.25
-1197000,-4838875,1.4908e-10,65.7,21.25
-1197000,-4836375,1.5137e-10,65.7,21.25
-1197000,-4833875,1.4698e-10,65.7,21.25
-1197000,-4831375,1.4782e-10,65.7,21.25
-1197000,-4828875,1.4747e-10,65.7,21.25
-1197000,-4826375,1.5019e-10,65.7,21.25
-1197000,-4823875,1.5605e-10,65.7,21.25
-1197000,-4821375,1.5068e-10,65.7,21.25
-1197000,-4818875,1.471e-10,65.7,21.25
-1197000,-4816375,1.485e-10,65.7,21.25
-1197000,-4813875,1.5028e-10,65.7,21.25
-1197000,-4811375,1.5284e-10,65.7,21.25
-1197000,-4808875,1.5315e-10,65.7,21.25
-1197000,-4806375,1.5242e-10,65.7,21.25
-1197000,-4803875,1.4452e-10,65.7,21.25
-1197000,-4801375,1.4947e-10,65.7,21.25
-1197000,-4798875,1.5178e-10,65.7,21.25
-1197000,-4796375,1.4755e-10,65.7,21.25
-1197000,-4793875,1.4625e-10,65.7,21.25
-1197000,-4791375,1.5157e-10,65.7,21.25
-1197000,-4788875,1.4774e-10,65.7,21.25
-1197000,-4786375,1.4159e-10,65.7,21.25
-1197000,-4783875,1.4808e-10,65.7,21.25
-1197000,-4781375,1.5203e-10,65.7,21.25
-1197000,-4778875,1.4865e-10,65.7,21.25
-1197000,-4776375,1.5203e-10,65.7,21.25
-1197000,-4773875,1.4734e-10,65.7,21.25
-1197000,-4771375,1.5168e-10,65.7,21.25
-1197000,-4768875,1.5229e-10,65.7,21.25
-1197000,-4766375,1.4898e-10,65.7,21.25
-1197000,-4763875,1.5082e-10,65.7,21.25
-1197000,-4761375,1.5248e-10,65.7,21.25
-1197000,-4758875,1.4964e-10,65.7,21.25
-1197000,-4756375,1.5445e-10,65.7,21.25
-1197000,-4753875,1.4966e-10,65.7,21.25
-1197000,-4751375,1.4518e-10,65.7,21.25
-1197000,-4748875,1.5344e-10,65.7,21.25
-1197000,-4746375,1.512e-10,65.7,21.25
-1197000,-4743875,1.5014e-10,65.7,21.25
-1197000,-4741375,1.4978e-10,65.7,21.25
-1197000,-4738875,1.5315e-10,65.7,21.25
-1197000,-4736375,1.5088e-10,65.7,21.25
-1197000,-4733875,1.5176e-10,65.7,21.25
-1197000,-4731375,1.4815e-10,65.7,21.25
-1197000,-4728875,1.5414e-10,65.7,21.25
-1197000,-4726375,1.4892e-10,65.7,21.25
-1197000,-4723875,1.5253e-10,65.7,21.25
-1197000,-4721375,1.5604e-10,65.7,21.25
-1194500,-4921375,1.485e-10,65.7,21.25
-1194500,-4918875,1.4781e-10,65.7,21.25
-1194500,-4916375,1.4862e-10,65.7,21.25
-1194500,-4913875,1.4945e-10,65.7,21.25
-1194500,-4911375,1.4878e-10,65.7,21.25
-1194500,-4908875,1.4756e-10,65.7,21.25
-1194500,-4906375,1.5035e-10,65.7,21.25
-1194500,-4903875,1.4828e-10,65.7,21.25
-1194500,-4901375,1.481e-10,65.7,21.25
-1194500,-4898875,1.5539e-10,65.7,21.25
-1194500,-4896375,1.4709e-10,65.7,21.25
-1194500,-4893875,1.4617e-10,65.7,21.25
-1194500,-4891375,1.4977e-10,65.7,21.25
-1194500,-4888875,1.4865e-10,65.7,21.25
-1194500,-4886375,1.5286e-10,65.7,21.25
-1194500,-4883875,1.4576e-10,65.7,21.25
-1194500,-4881375,1.4743e-10,65.7,21.25
-1194500,-4878875,1.516e-10,65.7,21.25
-1194500,-4876375,1.5198e-10,65.7,21.25
-1194500,-4873875,1.4978e-10,65.7,21.25
-1194500,-4871375,1.464e-10,65.7,21.25
-1194500,-4868875,1.4613e-10,65.7,21.25
-1194500,-4866375,1.5095e-10,65.7,21.25
-1194500,-4863875,1.4754e-10,65.7,21.25
-1194500,-4861375,1.5218e-10,65.7,21.25
-1194500,-4858875,1.4779e-10,65.7,21.25
-1194500,-4856375,1.4996e-10,65.7,21.25
-1194500,-4853875,1.5159e-10,65.7,21.25
-1194500,-4851375,1.4935e-10,65.7,21.25
-1194500,-4848875,1.4954e-10,65.7,21.25
-1194500,-4846375,1.4959e-10,65.7,21.25
-1194500,-4843875,1.4985e-10,65.7,21.25
-1194500,-4841375,1.4546e-10,65.7,21.25
-1194500,-4838875,1.4834e-10,65.7,21.25
-1194500,-4836375,1.4668e-10,65.7,21.25
-1194500,-4833875,1.4899e-10,65.7,21.25
-1194500,-4831375,1.5065e-10,65.7,21.25
-1194500,-4828875,1.5175e-10,65.7,21.25
-1194500,-4826375,1.4871e-10,65.7,21.25
-1194500,-4823875,1.505e-10,65.7,21.25
-1194500,-4821375,1.501e-10,65.7,21.25
-1194500,-4818875,1.5373e-10,65.7,21.25
-1194500,-4816375,1.5046e-10,65.7,21.25
-1194500,-4813875,1.4842e-10,65.7,21.25
-1194500,-4811375,1.5298e-10,65.7,21.25
-1194500,-4808875,1.4937e-10,65.7,21.25
-1194500,-4806375,1.4956e-10,65.7,21.25
-1194500,-4803875,1.519e-10,65.7,21.25
-1194500,-4801375,1.5085e-10,65.7,21.25
-1194500,-4798875,1.4816e-10,65.7,21.25
-1194500,-4796375,1.4723e-10,65.7,21.25
-1194500,-4793875,1.5095e-10,65.7,21.25
-1194500,-4791375,1.4758e-10,65.7,21.25
-1194500,-4788875,1.4957e-10,65.7,21.25
-1194500,-4786375,1.5105e-10,65.7,21.25
-1194500,-4783875,1.5227e-10,65.7,21.25
-1194500,-4781375,1.5027e-10,65.7,21.25
-1194500,-4778875,1.5127e-10,65.7,21.25
-1194500,-4776375,1.4704e-10,65.7,21.25
-1194500,-4773875,1.4763e-10,65.7,21.25
-1194500,-4771375,1.4878e-10,65.7,21.25
-1194500,-4768875,1.4777e-10,65.7,21.25
-1194500,-4766375,1.465e-10,65.7,21.25
-1194500,-4763875,1.4925e-10,65.7,21.25
-1194500,-4761375,1.5043e-10,65.7,21.25
-1194500,-4758875,1.4939e-10,65.7,21.25
-1194500,-4756375,1.5093e-10,65.7,21.25
-1194500,-4753875,1.5006e-10,65.7,21.25
-1194500,-4751375,1.5238e-10,65.7,21.25
-1194500,-4748875,1.4635e-10,65.7,21.25
-1194500,-4746375,1.5278e-10,65.7,21.25
-1194500,-4743875,1.5314e-10,65.7,21.25
-1194500,-4741375,1.5396e-10,65.7,21.25
-1194500,-4738875,1.4905e-10,65.7,21.25
-1194500,-4736375,1.4912e-10,65.7,21.25
-1194500,-4733875,1.5014e-10,65.7,21.25
-1194500,-4731375,1.5061e-10,65.7,21.25
-1194500,-4728875,1.5197e-10,65.7,21.25
-1194500,-4726375,1.4895e-10,65.7,21.25
-1194500,-4723875,1.5144e-10,65.7,21.25
