General parameters:
Start time: 2023             12             19             21             48      40.418744
Finish time: 2023             12             19             23              2      30.609554
Raster type: raster_jump
Horizontal range (nm): -4674700.000000,-4474700.000000
Vertical range (nm): -1204000.000000,-1004000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 195.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.09e-03
Sample chamber pressure: 1.60e-08
Initial position (nm): -4721372.000000,-1002000.000000,-1750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4674700 -4474700
hori_res:2500
vert_range:-1204000 -1004000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:13
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 13.000000
Filament current (A): 1.540000
Filament emission (mA): 3.099888
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1204000,-4674700,1.5035e-10,65.8,21.25
-1204000,-4672200,1.486e-10,65.8,21.25
-1204000,-4669700,1.4917e-10,65.8,21.25
-1204000,-4667200,1.4472e-10,65.8,21.25
-1204000,-4664700,1.5082e-10,65.8,21.25
-1204000,-4662200,1.4898e-10,65.8,21.25
-1204000,-4659700,1.4765e-10,65.8,21.25
-1204000,-4657200,1.4962e-10,65.8,21.25
-1204000,-4654700,1.5318e-10,65.8,21.25
-1204000,-4652200,1.5112e-10,65.8,21.25
-1204000,-4649700,1.5079e-10,65.8,21.25
-1204000,-4647200,1.5352e-10,65.8,21.25
-1204000,-4644700,1.4898e-10,65.8,21.25
-1204000,-4642200,1.5166e-10,65.8,21.25
-1204000,-4639700,1.5368e-10,65.8,21.25
-1204000,-4637200,1.5363e-10,65.8,21.25
-1204000,-4634700,1.5044e-10,65.8,21.25
-1204000,-4632200,1.4857e-10,65.8,21.25
-1204000,-4629700,1.5105e-10,65.8,21.25
-1204000,-4627200,1.5022e-10,65.8,21.25
-1204000,-4624700,1.4872e-10,65.8,21.25
-1204000,-4622200,1.4772e-10,65.8,21.25
-1204000,-4619700,1.4968e-10,65.8,21.25
-1204000,-4617200,1.5042e-10,65.8,21.25
-1204000,-4614700,1.5151e-10,65.8,21.25
-1204000,-4612200,1.5341e-10,65.8,21.25
-1204000,-4609700,1.4803e-10,65.8,21.25
-1204000,-4607200,1.5173e-10,65.8,21.25
-1204000,-4604700,1.5156e-10,65.8,21.25
-1204000,-4602200,1.5044e-10,65.8,21.25
-1204000,-4599700,1.492e-10,65.8,21.25
-1204000,-4597200,1.4934e-10,65.8,21.25
-1204000,-4594700,1.5323e-10,65.8,21.25
-1204000,-4592200,1.4979e-10,65.8,21.25
-1204000,-4589700,1.4798e-10,65.8,21.25
-1204000,-4587200,1.4818e-10,65.8,21.25
-1204000,-4584700,1.4962e-10,65.8,21.25
-1204000,-4582200,1.57e-10,65.8,21.25
-1204000,-4579700,1.516e-10,65.8,21.25
-1204000,-4577200,1.4778e-10,65.8,21.25
-1204000,-4574700,1.5087e-10,65.8,21.25
-1204000,-4572200,1.4755e-10,65.8,21.25
-1204000,-4569700,1.4646e-10,65.8,21.25
-1204000,-4567200,1.4868e-10,65.8,21.25
-1204000,-4564700,1.5038e-10,65.8,21.25
-1204000,-4562200,1.5212e-10,65.8,21.25
-1204000,-4559700,1.5242e-10,65.8,21.25
-1204000,-4557200,1.5152e-10,65.8,21.25
-1204000,-4554700,1.4988e-10,65.8,21.25
-1204000,-4552200,1.5002e-10,65.8,21.25
-1204000,-4549700,1.4872e-10,65.8,21.25
-1204000,-4547200,1.5195e-10,65.8,21.25
-1204000,-4544700,1.5018e-10,65.8,21.25
-1204000,-4542200,1.5313e-10,65.8,21.25
-1204000,-4539700,1.4989e-10,65.8,21.25
-1204000,-4537200,1.5002e-10,65.8,21.25
-1204000,-4534700,1.5047e-10,65.8,21.25
-1204000,-4532200,1.5005e-10,65.8,21.25
-1204000,-4529700,1.4962e-10,65.8,21.25
-1204000,-4527200,1.5348e-10,65.8,21.25
-1204000,-4524700,1.5009e-10,65.8,21.25
-1204000,-4522200,1.5128e-10,65.8,21.25
-1204000,-4519700,1.5083e-10,65.8,21.25
-1204000,-4517200,1.4635e-10,65.8,21.25
-1204000,-4514700,1.511e-10,65.8,21.25
-1204000,-4512200,1.5278e-10,65.8,21.25
-1204000,-4509700,1.5075e-10,65.8,21.25
-1204000,-4507200,1.5056e-10,65.8,21.25
-1204000,-4504700,1.5269e-10,65.8,21.25
-1204000,-4502200,1.5092e-10,65.8,21.25
-1204000,-4499700,1.5114e-10,65.8,21.25
-1204000,-4497200,1.4799e-10,65.8,21.25
-1204000,-4494700,1.5785e-10,65.8,21.25
-1204000,-4492200,1.5278e-10,65.8,21.25
-1204000,-4489700,1.5088e-10,65.8,21.25
-1204000,-4487200,1.5036e-10,65.8,21.25
-1204000,-4484700,1.5302e-10,65.8,21.25
-1204000,-4482200,1.5406e-10,65.8,21.25
-1204000,-4479700,1.5452e-10,65.8,21.25
-1204000,-4477200,1.5256e-10,65.8,21.25
-1204000,-4474700,1.52e-10,65.8,21.25
-1201500,-4674700,1.475e-10,65.8,21.25
-1201500,-4672200,1.4929e-10,65.8,21.25
-1201500,-4669700,1.457e-10,65.8,21.25
-1201500,-4667200,1.4602e-10,65.8,21.25
-1201500,-4664700,1.49e-10,65.8,21.25
-1201500,-4662200,1.4993e-10,65.8,21.25
-1201500,-4659700,1.5115e-10,65.8,21.25
-1201500,-4657200,1.4828e-10,65.8,21.25
-1201500,-4654700,1.4981e-10,65.8,21.25
-1201500,-4652200,1.4897e-10,65.8,21.25
-1201500,-4649700,1.473e-10,65.8,21.25
-1201500,-4647200,1.4702e-10,65.8,21.25
-1201500,-4644700,1.4889e-10,65.8,21.25
-1201500,-4642200,1.5005e-10,65.8,21.25
-1201500,-4639700,1.4968e-10,65.8,21.25
-1201500,-4637200,1.5132e-10,65.8,21.25
-1201500,-4634700,1.4822e-10,65.8,21.25
-1201500,-4632200,1.5179e-10,65.8,21.25
-1201500,-4629700,1.4566e-10,65.8,21.25
-1201500,-4627200,1.4586e-10,65.8,21.25
-1201500,-4624700,1.4915e-10,65.8,21.25
-1201500,-4622200,1.5052e-10,65.8,21.25
-1201500,-4619700,1.5168e-10,65.8,21.25
-1201500,-4617200,1.5021e-10,65.8,21.25
-1201500,-4614700,1.5192e-10,65.8,21.25
-1201500,-4612200,1.5048e-10,65.8,21.25
-1201500,-4609700,1.4985e-10,65.8,21.25
-1201500,-4607200,1.4701e-10,65.8,21.25
-1201500,-4604700,1.507e-10,65.8,21.25
-1201500,-4602200,1.5265e-10,65.8,21.25
-1201500,-4599700,1.5219e-10,65.8,21.25
-1201500,-4597200,1.4584e-10,65.8,21.25
-1201500,-4594700,1.4552e-10,65.8,21.25
-1201500,-4592200,1.4998e-10,65.8,21.25
-1201500,-4589700,1.5228e-10,65.8,21.25
-1201500,-4587200,1.4686e-10,65.8,21.25
-1201500,-4584700,1.488e-10,65.8,21.25
-1201500,-4582200,1.5342e-10,65.8,21.25
-1201500,-4579700,1.4882e-10,65.8,21.25
-1201500,-4577200,1.4785e-10,65.8,21.25
-1201500,-4574700,1.4942e-10,65.8,21.25
-1201500,-4572200,1.4688e-10,65.8,21.25
-1201500,-4569700,1.49e-10,65.8,21.25
-1201500,-4567200,1.457e-10,65.8,21.25
-1201500,-4564700,1.5079e-10,65.8,21.25
-1201500,-4562200,1.5346e-10,65.8,21.25
-1201500,-4559700,1.4961e-10,65.8,21.25
-1201500,-4557200,1.5043e-10,65.8,21.25
-1201500,-4554700,1.5216e-10,65.8,21.25
-1201500,-4552200,1.4873e-10,65.8,21.25
-1201500,-4549700,1.4793e-10,65.8,21.25
-1201500,-4547200,1.5047e-10,65.8,21.25
-1201500,-4544700,1.5175e-10,65.8,21.25
-1201500,-4542200,1.5126e-10,65.8,21.25
-1201500,-4539700,1.5056e-10,65.8,21.25
-1201500,-4537200,1.5443e-10,65.8,21.25
-1201500,-4534700,1.538e-10,65.8,21.25
-1201500,-4532200,1.5039e-10,65.8,21.25
-1201500,-4529700,1.4546e-10,65.8,21.25
-1201500,-4527200,1.5449e-10,65.8,21.25
-1201500,-4524700,1.4971e-10,65.8,21.25
-1201500,-4522200,1.5264e-10,65.8,21.25
-1201500,-4519700,1.516e-10,65.8,21.25
-1201500,-4517200,1.5059e-10,65.8,21.25
-1201500,-4514700,1.5358e-10,65.8,21.25
-1201500,-4512200,1.5255e-10,65.8,21.25
-1201500,-4509700,1.5143e-10,65.8,21.25
-1201500,-4507200,1.5312e-10,65.8,21.25
-1201500,-4504700,1.5693e-10,65.8,21.25
-1201500,-4502200,1.5072e-10,65.8,21.25
-1201500,-4499700,1.5268e-10,65.8,21.25
-1201500,-4497200,1.5313e-10,65.8,21.25
-1201500,-4494700,1.5117e-10,65.8,21.25
-1201500,-4492200,1.5181e-10,65.8,21.25
-1201500,-4489700,1.5124e-10,65.8,21.25
-1201500,-4487200,1.5255e-10,65.8,21.25
-1201500,-4484700,1.5354e-10,65.8,21.25
-1201500,-4482200,1.5503e-10,65.8,21.25
-1201500,-4479700,1.5094e-10,65.8,21.25
-1201500,-4477200,1.4998e-10,65.8,21.25
-1201500,-4474700,1.5098e-10,65.8,21.25
-1199000,-4674700,1.4655e-10,65.8,21.25
-1199000,-4672200,1.4662e-10,65.8,21.25
-1199000,-4669700,1.506e-10,65.8,21.25
-1199000,-4667200,1.4831e-10,65.8,21.25
-1199000,-4664700,1.5107e-10,65.8,21.25
-1199000,-4662200,1.4732e-10,65.8,21.25
-1199000,-4659700,1.5286e-10,65.8,21.25
-1199000,-4657200,1.5344e-10,65.8,21.25
-1199000,-4654700,1.5555e-10,65.8,21.25
-1199000,-4652200,1.486e-10,65.8,21.25
-1199000,-4649700,1.5015e-10,65.8,21.25
-1199000,-4647200,1.4902e-10,65.8,21.25
-1199000,-4644700,1.4984e-10,65.8,21.25
-1199000,-4642200,1.5004e-10,65.8,21.25
-1199000,-4639700,1.4883e-10,65.8,21.25
-1199000,-4637200,1.4633e-10,65.8,21.25
-1199000,-4634700,1.4981e-10,65.8,21.25
-1199000,-4632200,1.4658e-10,65.8,21.25
-1199000,-4629700,1.5203e-10,65.8,21.25
-1199000,-4627200,1.5418e-10,65.8,21.25
-1199000,-4624700,1.4766e-10,65.8,21.25
-1199000,-4622200,1.5224e-10,65.8,21.25
-1199000,-4619700,1.492e-10,65.8,21.25
-1199000,-4617200,1.5306e-10,65.8,21.25
-1199000,-4614700,1.4952e-10,65.8,21.25
-1199000,-4612200,1.5323e-10,65.8,21.25
-1199000,-4609700,1.5444e-10,65.8,21.25
-1199000,-4607200,1.5061e-10,65.8,21.25
-1199000,-4604700,1.4871e-10,65.8,21.25
-1199000,-4602200,1.4787e-10,65.8,21.25
-1199000,-4599700,1.5055e-10,65.8,21.25
-1199000,-4597200,1.4889e-10,65.8,21.25
-1199000,-4594700,1.5078e-10,65.8,21.25
-1199000,-4592200,1.5013e-10,65.8,21.25
-1199000,-4589700,1.4668e-10,65.8,21.25
-1199000,-4587200,1.4773e-10,65.8,21.25
-1199000,-4584700,1.4995e-10,65.8,21.25
-1199000,-4582200,1.5123e-10,65.8,21.25
-1199000,-4579700,1.4828e-10,65.8,21.25
-1199000,-4577200,1.5046e-10,65.8,21.25
-1199000,-4574700,1.5156e-10,65.8,21.25
-1199000,-4572200,1.4983e-10,65.8,21.25
-1199000,-4569700,1.5218e-10,65.8,21.25
-1199000,-4567200,1.5026e-10,65.8,21.25
-1199000,-4564700,1.4666e-10,65.8,21.25
-1199000,-4562200,1.4995e-10,65.8,21.25
-1199000,-4559700,1.4636e-10,65.8,21.25
-1199000,-4557200,1.5043e-10,65.8,21.25
-1199000,-4554700,1.5099e-10,65.8,21.25
-1199000,-4552200,1.5203e-10,65.8,21.25
-1199000,-4549700,1.5266e-10,65.8,21.25
-1199000,-4547200,1.4548e-10,65.8,21.25
-1199000,-4544700,1.5095e-10,65.8,21.25
-1199000,-4542200,1.4946e-10,65.8,21.25
-1199000,-4539700,1.4925e-10,65.8,21.25
-1199000,-4537200,1.5163e-10,65.8,21.25
-1199000,-4534700,1.5122e-10,65.8,21.25
-1199000,-4532200,1.4706e-10,65.8,21.25
-1199000,-4529700,1.5307e-10,65.8,21.25
-1199000,-4527200,1.5293e-10,65.8,21.25
-1199000,-4524700,1.5164e-10,65.8,21.25
-1199000,-4522200,1.4932e-10,65.8,21.25
-1199000,-4519700,1.5525e-10,65.8,21.25
-1199000,-4517200,1.5301e-10,65.8,21.25
-1199000,-4514700,1.4941e-10,65.8,21.25
-1199000,-4512200,1.4814e-10,65.8,21.25
-1199000,-4509700,1.4769e-10,65.8,21.25
-1199000,-4507200,1.486e-10,65.8,21.25
-1199000,-4504700,1.5585e-10,65.8,21.25
-1199000,-4502200,1.5061e-10,65.8,21.25
-1199000,-4499700,1.5144e-10,65.8,21.25
-1199000,-4497200,1.5318e-10,65.8,21.25
-1199000,-4494700,1.5242e-10,65.8,21.25
-1199000,-4492200,1.4773e-10,65.8,21.25
-1199000,-4489700,1.5282e-10,65.8,21.25
-1199000,-4487200,1.5004e-10,65.8,21.25
-1199000,-4484700,1.5172e-10,65.8,21.25
-1199000,-4482200,1.5331e-10,65.8,21.25
-1199000,-4479700,1.5102e-10,65.8,21.25
-1199000,-4477200,1.5028e-10,65.8,21.25
-1199000,-4474700,1.5478e-10,65.8,21.25
-1196500,-4674700,1.4997e-10,65.8,21.25
-1196500,-4672200,1.5103e-10,65.8,21.25
-1196500,-4669700,1.4835e-10,65.8,21.25
-1196500,-4667200,1.5296e-10,65.8,21.25
-1196500,-4664700,1.4935e-10,65.8,21.25
