General parameters:
Start time: 2023             12             19             23              2      34.357558
Finish time: 2023             12             20              0             16      27.362536
Raster type: raster_jump
Horizontal range (nm): -4181350.000000,-3981350.000000
Vertical range (nm): -1208000.000000,-1008000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 195.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.06e-03
Sample chamber pressure: 1.60e-08
Initial position (nm): -4474699.000000,-1004000.000000,-1250000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4181350 -3981350
hori_res:2500
vert_range:-1208000 -1008000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:13
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 13.000000
Filament current (A): 1.540000
Filament emission (mA): 3.100914
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1208000,-4181350,1.5017e-10,65.7,21.25
-1208000,-4178850,1.5194e-10,65.7,21.25
-1208000,-4176350,1.4966e-10,65.7,21.25
-1208000,-4173850,1.5108e-10,65.7,21.25
-1208000,-4171350,1.5174e-10,65.7,21.25
-1208000,-4168850,1.5353e-10,65.7,21.25
-1208000,-4166350,1.5235e-10,65.7,21.25
-1208000,-4163850,1.4925e-10,65.7,21.25
-1208000,-4161350,1.5019e-10,65.7,21.25
-1208000,-4158850,1.5128e-10,65.7,21.25
-1208000,-4156350,1.5178e-10,65.7,21.25
-1208000,-4153850,1.4968e-10,65.7,21.25
-1208000,-4151350,1.5243e-10,65.7,21.25
-1208000,-4148850,1.4907e-10,65.7,21.25
-1208000,-4146350,1.4913e-10,65.7,21.25
-1208000,-4143850,1.5196e-10,65.7,21.25
-1208000,-4141350,1.4879e-10,65.7,21.25
-1208000,-4138850,1.5022e-10,65.7,21.25
-1208000,-4136350,1.5088e-10,65.7,21.25
-1208000,-4133850,1.4666e-10,65.7,21.25
-1208000,-4131350,1.5152e-10,65.7,21.25
-1208000,-4128850,1.5374e-10,65.7,21.25
-1208000,-4126350,1.5517e-10,65.7,21.25
-1208000,-4123850,1.5139e-10,65.7,21.25
-1208000,-4121350,1.5064e-10,65.7,21.25
-1208000,-4118850,1.5119e-10,65.7,21.25
-1208000,-4116350,1.5274e-10,65.7,21.25
-1208000,-4113850,1.4878e-10,65.7,21.25
-1208000,-4111350,1.5173e-10,65.7,21.25
-1208000,-4108850,1.5216e-10,65.7,21.25
-1208000,-4106350,1.5268e-10,65.7,21.25
-1208000,-4103850,1.4905e-10,65.7,21.25
