General parameters:
Start time: 2023             12             20              0             16      36.130172
Finish time: 2023             12             20              1             30      22.600025
Raster type: raster_jump
Horizontal range (nm): -3688000.000000,-3488000.000000
Vertical range (nm): -1212000.000000,-1012000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 195.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.07e-03
Sample chamber pressure: 1.60e-08
Initial position (nm): -3981348.000000,-1008000.000000,-749997.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3688000 -3488000
hori_res:2500
vert_range:-1212000 -1012000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:13
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 13.000000
Filament current (A): 1.540000
Filament emission (mA): 3.103992
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1212000,-3688000,1.4996e-10,65.7,21.25
-1212000,-3685500,1.5132e-10,65.7,21.25
-1212000,-3683000,1.5029e-10,65.7,21.25
-1212000,-3680500,1.4902e-10,65.7,21.25
-1212000,-3678000,1.5002e-10,65.7,21.25
-1212000,-3675500,1.5186e-10,65.7,21.25
-1212000,-3673000,1.516e-10,65.7,21.25
-1212000,-3670500,1.4794e-10,65.7,21.25
-1212000,-3668000,1.5225e-10,65.7,21.25
-1212000,-3665500,1.5108e-10,65.7,21.25
-1212000,-3663000,1.5323e-10,65.7,21.25
-1212000,-3660500,1.4628e-10,65.7,21.25
-1212000,-3658000,1.5425e-10,65.7,21.25
-1212000,-3655500,1.5328e-10,65.7,21.25
-1212000,-3653000,1.5232e-10,65.7,21.25
-1212000,-3650500,1.4847e-10,65.7,21.25
-1212000,-3648000,1.4929e-10,65.7,21.25
-1212000,-3645500,1.5371e-10,65.7,21.25
-1212000,-3643000,1.5338e-10,65.7,21.25
-1212000,-3640500,1.5061e-10,65.7,21.25
-1212000,-3638000,1.519e-10,65.7,21.25
-1212000,-3635500,1.5061e-10,65.7,21.25
-1212000,-3633000,1.486e-10,65.7,21.25
-1212000,-3630500,1.5237e-10,65.7,21.25
-1212000,-3628000,1.5055e-10,65.7,21.25
-1212000,-3625500,1.4978e-10,65.7,21.25
-1212000,-3623000,1.5442e-10,65.7,21.25
-1212000,-3620500,1.5444e-10,65.7,21.25
-1212000,-3618000,1.5007e-10,65.7,21.25
-1212000,-3615500,1.4828e-10,65.7,21.25
-1212000,-3613000,1.5032e-10,65.7,21.25
-1212000,-3610500,1.5497e-10,65.7,21.25
-1212000,-3608000,1.5281e-10,65.7,21.25
-1212000,-3605500,1.4977e-10,65.7,21.25
-1212000,-3603000,1.4938e-10,65.7,21.25
-1212000,-3600500,1.4932e-10,65.7,21.25
-1212000,-3598000,1.5266e-10,65.7,21.25
-1212000,-3595500,1.5319e-10,65.7,21.25
-1212000,-3593000,1.5324e-10,65.7,21.25
-1212000,-3590500,1.4852e-10,65.7,21.25
-1212000,-3588000,1.4658e-10,65.7,21.25
-1212000,-3585500,1.5372e-10,65.7,21.25
-1212000,-3583000,1.4995e-10,65.7,21.25
-1212000,-3580500,1.5152e-10,65.7,21.25
-1212000,-3578000,1.5419e-10,65.7,21.25
-1212000,-3575500,1.5228e-10,65.7,21.25
-1212000,-3573000,1.5596e-10,65.7,21.25
-1212000,-3570500,1.5315e-10,65.7,21.25
-1212000,-3568000,1.5541e-10,65.7,21.25
-1212000,-3565500,1.5342e-10,65.7,21.25
-1212000,-3563000,1.5529e-10,65.7,21.25
-1212000,-3560500,1.5525e-10,65.7,21.25
-1212000,-3558000,1.4973e-10,65.7,21.25
-1212000,-3555500,1.4885e-10,65.7,21.25
-1212000,-3553000,1.5298e-10,65.7,21.25
-1212000,-3550500,1.492e-10,65.7,21.25
-1212000,-3548000,1.5415e-10,65.7,21.25
-1212000,-3545500,1.4924e-10,65.7,21.25
-1212000,-3543000,1.5403e-10,65.7,21.25
