General parameters:
Start time: 2023             12             20             14             48       9.221617
Finish time: 2023             12             20             14             59      34.364139
Raster type: raster_jump
Horizontal range (nm): -3260500.000000,-3923500.000000
Vertical range (nm): -860000.000000,-1376000.000000
Horizontal pixel size (nm): 25000.000000
Vertical pixel size (nm): 25000.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.05e-03
Sample chamber pressure: 1.60e-08
Initial position (nm): -3487986.000000,-1012000.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3260500 -3923500
hori_res:25000
vert_range:-860000 -1376000
vert_res:25000
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 3.124512
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1376000,-3923500,1.4943e-10,65.7,21.25
-1376000,-3898500,1.5069e-10,65.7,21.25
-1376000,-3873500,1.5346e-10,65.7,21.25
-1376000,-3848500,1.5413e-10,65.7,21.25
-1376000,-3823500,1.5394e-10,65.7,21.25
-1376000,-3798500,1.5389e-10,65.7,21.25
-1376000,-3773500,1.5659e-10,65.7,21.25
-1376000,-3748500,1.5386e-10,65.7,21.25
-1376000,-3723500,1.5167e-10,65.7,21.25
-1376000,-3698500,1.5244e-10,65.7,21.25
-1376000,-3673500,1.5417e-10,65.7,21.25
-1376000,-3648500,1.5581e-10,65.7,21.25
-1376000,-3623500,1.6019e-10,65.7,21.25
-1376000,-3598500,1.5493e-10,65.7,21.25
-1376000,-3573500,1.5383e-10,65.7,21.25
-1376000,-3548500,1.5492e-10,65.7,21.25
-1376000,-3523500,1.5582e-10,65.7,21.25
-1376000,-3498500,1.5801e-10,65.7,21.25
-1376000,-3473500,1.5458e-10,65.7,21.25
-1376000,-3448500,1.5409e-10,65.7,21.25
-1376000,-3423500,1.5682e-10,65.7,21.25
-1376000,-3398500,1.5574e-10,65.7,21.25
-1376000,-3373500,1.5825e-10,65.7,21.25
-1376000,-3348500,1.5903e-10,65.7,21.25
-1376000,-3323500,1.5887e-10,65.7,21.25
-1376000,-3298500,1.5548e-10,65.7,21.25
-1376000,-3273500,1.5911e-10,65.7,21.25
-1351000,-3923500,1.5062e-10,65.7,21.25
-1351000,-3898500,1.4873e-10,65.7,21.25
-1351000,-3873500,1.4915e-10,65.7,21.25
-1351000,-3848500,1.5194e-10,65.7,21.25
-1351000,-3823500,1.5099e-10,65.7,21.25
-1351000,-3798500,1.5214e-10,65.7,21.25
-1351000,-3773500,1.5221e-10,65.7,21.25
-1351000,-3748500,1.5172e-10,65.7,21.25
-1351000,-3723500,1.5317e-10,65.7,21.25
-1351000,-3698500,1.5413e-10,65.7,21.25
-1351000,-3673500,1.5571e-10,65.7,21.25
-1351000,-3648500,1.5452e-10,65.7,21.25
-1351000,-3623500,1.5165e-10,65.7,21.25
-1351000,-3598500,1.5398e-10,65.7,21.25
-1351000,-3573500,1.5625e-10,65.7,21.25
-1351000,-3548500,1.5517e-10,65.7,21.25
-1351000,-3523500,1.548e-10,65.7,21.25
-1351000,-3498500,1.5394e-10,65.7,21.25
-1351000,-3473500,1.566e-10,65.7,21.25
-1351000,-3448500,1.546e-10,65.7,21.25
-1351000,-3423500,1.5876e-10,65.7,21.25
-1351000,-3398500,1.5854e-10,65.7,21.25
-1351000,-3373500,1.5963e-10,65.7,21.25
-1351000,-3348500,1.574e-10,65.7,21.25
-1351000,-3323500,1.5431e-10,65.7,21.25
-1351000,-3298500,1.5346e-10,65.7,21.25
-1351000,-3273500,1.5666e-10,65.7,21.25
-1326000,-3923500,1.4826e-10,65.7,21.25
-1326000,-3898500,1.4936e-10,65.7,21.25
-1326000,-3873500,1.5038e-10,65.7,21.25
-1326000,-3848500,1.4865e-10,65.7,21.25
-1326000,-3823500,1.4861e-10,65.7,21.25
-1326000,-3798500,1.5215e-10,65.7,21.25
-1326000,-3773500,1.2504e-10,65.7,21.25
-1326000,-3748500,1.5061e-10,65.7,21.25
-1326000,-3723500,1.5641e-10,65.7,21.25
-1326000,-3698500,1.5361e-10,65.7,21.25
-1326000,-3673500,1.5372e-10,65.7,21.25
-1326000,-3648500,1.5428e-10,65.7,21.25
-1326000,-3623500,1.5459e-10,65.7,21.25
-1326000,-3598500,1.5377e-10,65.7,21.25
-1326000,-3573500,1.5296e-10,65.7,21.25
-1326000,-3548500,1.5427e-10,65.7,21.25
-1326000,-3523500,1.5552e-10,65.7,21.25
-1326000,-3498500,1.5859e-10,65.7,21.25
-1326000,-3473500,1.5778e-10,65.7,21.25
-1326000,-3448500,1.5579e-10,65.7,21.25
-1326000,-3423500,1.5733e-10,65.7,21.25
-1326000,-3398500,1.5833e-10,65.7,21.25
-1326000,-3373500,1.5541e-10,65.7,21.25
-1326000,-3348500,1.547e-10,65.7,21.25
-1326000,-3323500,1.5666e-10,65.7,21.25
-1326000,-3298500,1.5698e-10,65.7,21.25
-1326000,-3273500,1.5713e-10,65.7,21.25
-1301000,-3923500,1.494e-10,65.7,21.25
-1301000,-3898500,1.4706e-10,65.7,21.25
-1301000,-3873500,1.4712e-10,65.7,21.25
-1301000,-3848500,1.5052e-10,65.7,21.25
-1301000,-3823500,1.4923e-10,65.7,21.25
-1301000,-3798500,1.503e-10,65.7,21.25
-1301000,-3773500,1.5044e-10,65.7,21.25
-1301000,-3748500,1.5062e-10,65.7,21.25
-1301000,-3723500,1.5342e-10,65.7,21.25
-1301000,-3698500,1.5469e-10,65.7,21.25
-1301000,-3673500,1.55e-10,65.7,21.25
-1301000,-3648500,1.5691e-10,65.7,21.25
-1301000,-3623500,1.5392e-10,65.7,21.25
-1301000,-3598500,1.5509e-10,65.7,21.25
-1301000,-3573500,1.5606e-10,65.7,21.25
-1301000,-3548500,1.5499e-10,65.7,21.25
-1301000,-3523500,1.558e-10,65.7,21.25
-1301000,-3498500,1.5939e-10,65.7,21.25
-1301000,-3473500,1.5628e-10,65.7,21.25
-1301000,-3448500,1.5718e-10,65.7,21.25
-1301000,-3423500,1.5896e-10,65.7,21.25
-1301000,-3398500,1.5528e-10,65.7,21.25
-1301000,-3373500,1.5417e-10,65.7,21.25
-1301000,-3348500,1.5709e-10,65.7,21.25
-1301000,-3323500,1.5573e-10,65.7,21.25
-1301000,-3298500,1.581e-10,65.7,21.25
-1301000,-3273500,1.5751e-10,65.7,21.25
-1276000,-3923500,1.5237e-10,65.7,21.25
-1276000,-3898500,1.4863e-10,65.7,21.25
-1276000,-3873500,1.4963e-10,65.7,21.25
-1276000,-3848500,1.4855e-10,65.7,21.25
-1276000,-3823500,1.4951e-10,65.7,21.25
-1276000,-3798500,1.4588e-10,65.7,21.25
-1276000,-3773500,1.5306e-10,65.7,21.25
-1276000,-3748500,1.5205e-10,65.7,21.25
-1276000,-3723500,1.4964e-10,65.7,21.25
-1276000,-3698500,1.5298e-10,65.7,21.25
-1276000,-3673500,1.5477e-10,65.7,21.25
-1276000,-3648500,1.5299e-10,65.7,21.25
-1276000,-3623500,1.5906e-10,65.7,21.25
-1276000,-3598500,1.5164e-10,65.7,21.25
-1276000,-3573500,1.5508e-10,65.7,21.25
-1276000,-3548500,1.5229e-10,65.7,21.25
-1276000,-3523500,1.5393e-10,65.7,21.25
-1276000,-3498500,1.5559e-10,65.7,21.25
