General parameters:
Start time: 2023             12             20             15              4      19.258701
Finish time: 2023             12             20             15             39      25.240425
Raster type: raster_jump
Horizontal range (nm): -3534000.000000,-3706000.000000
Vertical range (nm): -1001000.000000,-1129000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.03e-03
Sample chamber pressure: 1.60e-08
Initial position (nm): -3273497.000000,-876000.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3534000 -3706000
hori_res:2500
vert_range:-1001000 -1129000
vert_res:2500
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 3.124170
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1129000,-3706000,1.5314e-10,65.6,21.25
-1129000,-3703500,1.5087e-10,65.6,21.25
-1129000,-3701000,1.4805e-10,65.6,21.25
-1129000,-3698500,1.5274e-10,65.6,21.25
-1129000,-3696000,1.5007e-10,65.6,21.25
-1129000,-3693500,1.4946e-10,65.6,21.25
-1129000,-3691000,1.5006e-10,65.6,21.25
-1129000,-3688500,1.5109e-10,65.6,21.25
-1129000,-3686000,1.4992e-10,65.6,21.25
-1129000,-3683500,1.483e-10,65.6,21.25
-1129000,-3681000,1.5539e-10,65.6,21.25
-1129000,-3678500,1.5045e-10,65.6,21.25
-1129000,-3676000,1.4798e-10,65.6,21.25
-1129000,-3673500,1.4939e-10,65.6,21.25
-1129000,-3671000,1.4927e-10,65.6,21.25
-1129000,-3668500,1.511e-10,65.6,21.25
-1129000,-3666000,1.4881e-10,65.6,21.25
-1129000,-3663500,1.5029e-10,65.6,21.25
-1129000,-3661000,1.4947e-10,65.6,21.25
-1129000,-3658500,1.4717e-10,65.6,21.25
-1129000,-3656000,1.5137e-10,65.6,21.25
-1129000,-3653500,1.5093e-10,65.6,21.25
-1129000,-3651000,1.5179e-10,65.6,21.25
-1129000,-3648500,1.508e-10,65.6,21.25
-1129000,-3646000,1.4896e-10,65.6,21.25
-1129000,-3643500,1.5011e-10,65.6,21.25
-1129000,-3641000,1.4933e-10,65.6,21.25
-1129000,-3638500,1.5003e-10,65.6,21.25
-1129000,-3636000,1.5135e-10,65.6,21.25
-1129000,-3633500,1.4952e-10,65.6,21.25
-1129000,-3631000,1.4926e-10,65.6,21.25
-1129000,-3628500,1.5171e-10,65.6,21.25
-1129000,-3626000,1.4843e-10,65.6,21.25
-1129000,-3623500,1.4926e-10,65.6,21.25
-1129000,-3621000,1.5053e-10,65.6,21.25
-1129000,-3618500,1.502e-10,65.6,21.25
-1129000,-3616000,1.5188e-10,65.6,21.25
-1129000,-3613500,1.4927e-10,65.6,21.25
-1129000,-3611000,1.5066e-10,65.6,21.25
-1129000,-3608500,1.4918e-10,65.6,21.25
-1129000,-3606000,1.5062e-10,65.6,21.25
-1129000,-3603500,1.514e-10,65.6,21.25
-1129000,-3601000,1.4859e-10,65.6,21.25
-1129000,-3598500,1.5003e-10,65.6,21.25
-1129000,-3596000,1.4847e-10,65.6,21.25
-1129000,-3593500,1.5316e-10,65.6,21.25
-1129000,-3591000,1.5128e-10,65.6,21.25
-1129000,-3588500,1.4942e-10,65.6,21.25
-1129000,-3586000,1.5221e-10,65.6,21.25
-1129000,-3583500,1.4827e-10,65.6,21.25
-1129000,-3581000,1.4717e-10,65.6,21.25
-1129000,-3578500,1.5064e-10,65.6,21.25
-1129000,-3576000,1.5046e-10,65.6,21.25
-1129000,-3573500,1.5165e-10,65.6,21.25
-1129000,-3571000,1.4932e-10,65.6,21.25
-1129000,-3568500,1.5145e-10,65.6,21.25
-1129000,-3566000,1.4922e-10,65.6,21.25
-1129000,-3563500,1.4813e-10,65.6,21.25
-1129000,-3561000,1.5043e-10,65.6,21.25
-1129000,-3558500,1.5037e-10,65.6,21.25
-1129000,-3556000,1.5204e-10,65.6,21.25
-1129000,-3553500,1.5385e-10,65.6,21.25
-1129000,-3551000,1.5174e-10,65.6,21.25
-1129000,-3548500,1.5421e-10,65.6,21.25
-1129000,-3546000,1.5476e-10,65.6,21.25
-1129000,-3543500,1.5385e-10,65.6,21.25
-1129000,-3541000,1.5484e-10,65.6,21.25
-1129000,-3538500,1.5592e-10,65.6,21.25
-1129000,-3536000,1.539e-10,65.6,21.25
-1126500,-3706000,1.4916e-10,65.6,21.25
-1126500,-3703500,1.5068e-10,65.6,21.25
-1126500,-3701000,1.5119e-10,65.6,21.25
-1126500,-3698500,1.5255e-10,65.6,21.25
-1126500,-3696000,1.4859e-10,65.6,21.25
-1126500,-3693500,1.4872e-10,65.6,21.25
-1126500,-3691000,1.4884e-10,65.6,21.25
-1126500,-3688500,1.512e-10,65.6,21.25
-1126500,-3686000,1.5054e-10,65.6,21.25
-1126500,-3683500,1.495e-10,65.6,21.25
-1126500,-3681000,1.5057e-10,65.6,21.25
-1126500,-3678500,1.4959e-10,65.6,21.25
-1126500,-3676000,1.5027e-10,65.6,21.25
-1126500,-3673500,1.5218e-10,65.6,21.25
-1126500,-3671000,1.493e-10,65.6,21.25
-1126500,-3668500,1.4797e-10,65.6,21.25
-1126500,-3666000,1.5072e-10,65.6,21.25
-1126500,-3663500,1.5159e-10,65.6,21.25
-1126500,-3661000,1.4731e-10,65.6,21.25
-1126500,-3658500,1.4752e-10,65.6,21.25
-1126500,-3656000,1.5169e-10,65.6,21.25
-1126500,-3653500,1.5038e-10,65.6,21.25
-1126500,-3651000,1.4909e-10,65.6,21.25
-1126500,-3648500,1.5168e-10,65.6,21.25
-1126500,-3646000,1.4962e-10,65.6,21.25
-1126500,-3643500,1.493e-10,65.6,21.25
-1126500,-3641000,1.507e-10,65.6,21.25
-1126500,-3638500,1.5259e-10,65.6,21.25
-1126500,-3636000,1.4956e-10,65.6,21.25
-1126500,-3633500,1.5044e-10,65.6,21.25
-1126500,-3631000,1.4833e-10,65.6,21.25
-1126500,-3628500,1.4977e-10,65.6,21.25
-1126500,-3626000,1.4992e-10,65.6,21.25
-1126500,-3623500,1.5283e-10,65.6,21.25
-1126500,-3621000,1.5101e-10,65.6,21.25
-1126500,-3618500,1.5041e-10,65.6,21.25
-1126500,-3616000,1.5067e-10,65.6,21.25
-1126500,-3613500,1.5002e-10,65.6,21.25
-1126500,-3611000,1.5105e-10,65.6,21.25
-1126500,-3608500,1.4853e-10,65.6,21.25
-1126500,-3606000,1.516e-10,65.6,21.25
-1126500,-3603500,1.5478e-10,65.6,21.25
-1126500,-3601000,1.5003e-10,65.6,21.25
-1126500,-3598500,1.5041e-10,65.6,21.25
-1126500,-3596000,1.4941e-10,65.6,21.25
-1126500,-3593500,1.5101e-10,65.6,21.25
-1126500,-3591000,1.4711e-10,65.6,21.25
-1126500,-3588500,1.5394e-10,65.6,21.25
-1126500,-3586000,1.4988e-10,65.6,21.25
-1126500,-3583500,1.5213e-10,65.6,21.25
-1126500,-3581000,1.5056e-10,65.6,21.25
-1126500,-3578500,1.4748e-10,65.6,21.25
-1126500,-3576000,1.5251e-10,65.6,21.25
-1126500,-3573500,1.5148e-10,65.6,21.25
-1126500,-3571000,1.5104e-10,65.6,21.25
-1126500,-3568500,1.4856e-10,65.6,21.25
-1126500,-3566000,1.5003e-10,65.6,21.25
-1126500,-3563500,1.5161e-10,65.6,21.25
-1126500,-3561000,1.4905e-10,65.6,21.25
-1126500,-3558500,1.4813e-10,65.6,21.25
-1126500,-3556000,1.4908e-10,65.6,21.25
-1126500,-3553500,1.5242e-10,65.6,21.25
-1126500,-3551000,1.4678e-10,65.6,21.25
-1126500,-3548500,1.5115e-10,65.6,21.25
-1126500,-3546000,1.5126e-10,65.6,21.25
-1126500,-3543500,1.5148e-10,65.6,21.25
-1126500,-3541000,1.5452e-10,65.6,21.25
-1126500,-3538500,1.5e-10,65.6,21.25
-1126500,-3536000,1.5407e-10,65.6,21.25
-1124000,-3706000,1.5e-10,65.6,21.25
-1124000,-3703500,1.4601e-10,65.6,21.25
-1124000,-3701000,1.4716e-10,65.6,21.25
-1124000,-3698500,1.4947e-10,65.6,21.25
-1124000,-3696000,1.4891e-10,65.6,21.25
-1124000,-3693500,1.5007e-10,65.6,21.25
-1124000,-3691000,1.5075e-10,65.6,21.25
-1124000,-3688500,1.4797e-10,65.6,21.25
-1124000,-3686000,1.5101e-10,65.6,21.25
-1124000,-3683500,1.5179e-10,65.6,21.25
-1124000,-3681000,1.5109e-10,65.6,21.25
-1124000,-3678500,1.5153e-10,65.6,21.25
-1124000,-3676000,1.5386e-10,65.6,21.25
-1124000,-3673500,1.5091e-10,65.6,21.25
-1124000,-3671000,1.5166e-10,65.6,21.25
-1124000,-3668500,1.4972e-10,65.6,21.25
-1124000,-3666000,1.5037e-10,65.6,21.25
-1124000,-3663500,1.4887e-10,65.6,21.25
-1124000,-3661000,1.4927e-10,65.6,21.25
-1124000,-3658500,1.4979e-10,65.6,21.25
-1124000,-3656000,1.4899e-10,65.6,21.25
-1124000,-3653500,1.4938e-10,65.6,21.25
-1124000,-3651000,1.4979e-10,65.6,21.25
-1124000,-3648500,1.4855e-10,65.6,21.25
-1124000,-3646000,1.5249e-10,65.6,21.25
-1124000,-3643500,1.4577e-10,65.6,21.25
-1124000,-3641000,1.5059e-10,65.6,21.25
-1124000,-3638500,1.5102e-10,65.6,21.25
-1124000,-3636000,1.5229e-10,65.6,21.25
-1124000,-3633500,1.5088e-10,65.6,21.25
-1124000,-3631000,1.4913e-10,65.6,21.25
-1124000,-3628500,1.4906e-10,65.6,21.25
-1124000,-3626000,1.5107e-10,65.6,21.25
-1124000,-3623500,1.497e-10,65.7,21.25
-1124000,-3621000,1.4832e-10,65.7,21.25
-1124000,-3618500,1.4914e-10,65.6,21.25
-1124000,-3616000,1.4878e-10,65.6,21.25
-1124000,-3613500,1.5013e-10,65.7,21.25
-1124000,-3611000,1.5194e-10,65.7,21.25
-1124000,-3608500,1.5037e-10,65.7,21.25
-1124000,-3606000,1.5227e-10,65.7,21.25
-1124000,-3603500,1.5203e-10,65.7,21.25
-1124000,-3601000,1.5321e-10,65.7,21.25
-1124000,-3598500,1.5261e-10,65.7,21.25
-1124000,-3596000,1.4961e-10,65.7,21.25
-1124000,-3593500,1.5111e-10,65.7,21.25
-1124000,-3591000,1.5e-10,65.7,21.25
-1124000,-3588500,1.5078e-10,65.7,21.25
-1124000,-3586000,1.5279e-10,65.7,21.25
-1124000,-3583500,1.4929e-10,65.7,21.25
-1124000,-3581000,1.4986e-10,65.7,21.25
-1124000,-3578500,1.5114e-10,65.7,21.25
-1124000,-3576000,1.5232e-10,65.7,21.25
-1124000,-3573500,1.5112e-10,65.7,21.25
-1124000,-3571000,1.5019e-10,65.7,21.25
-1124000,-3568500,1.5025e-10,65.7,21.25
-1124000,-3566000,1.5106e-10,65.7,21.25
-1124000,-3563500,1.5355e-10,65.7,21.25
-1124000,-3561000,1.5136e-10,65.7,21.25
-1124000,-3558500,1.4932e-10,65.7,21.25
-1124000,-3556000,1.4843e-10,65.7,21.25
-1124000,-3553500,1.5055e-10,65.7,21.25
-1124000,-3551000,1.5265e-10,65.7,21.25
-1124000,-3548500,1.5239e-10,65.7,21.25
-1124000,-3546000,1.5219e-10,65.7,21.25
-1124000,-3543500,1.5338e-10,65.7,21.25
-1124000,-3541000,1.5284e-10,65.7,21.25
-1124000,-3538500,1.5027e-10,65.7,21.25
-1124000,-3536000,1.5136e-10,65.7,21.25
-1121500,-3706000,1.498e-10,65.7,21.25
-1121500,-3703500,1.4954e-10,65.7,21.25
-1121500,-3701000,1.5182e-10,65.7,21.25
-1121500,-3698500,1.4848e-10,65.7,21.25
-1121500,-3696000,1.4806e-10,65.7,21.25
-1121500,-3693500,1.4831e-10,65.7,21.25
-1121500,-3691000,1.4829e-10,65.7,21.25
-1121500,-3688500,1.4957e-10,65.7,21.25
-1121500,-3686000,1.5028e-10,65.7,21.25
-1121500,-3683500,1.5405e-10,65.7,21.25
-1121500,-3681000,1.5106e-10,65.7,21.25
-1121500,-3678500,1.5198e-10,65.7,21.25
-1121500,-3676000,1.521e-10,65.7,21.25
-1121500,-3673500,1.5177e-10,65.7,21.25
-1121500,-3671000,1.5114e-10,65.7,21.25
-1121500,-3668500,1.4878e-10,65.7,21.25
-1121500,-3666000,1.5196e-10,65.7,21.25
-1121500,-3663500,1.4928e-10,65.7,21.25
-1121500,-3661000,1.4931e-10,65.7,21.25
-1121500,-3658500,1.4999e-10,65.7,21.25
-1121500,-3656000,1.4722e-10,65.7,21.25
-1121500,-3653500,1.5099e-10,65.7,21.25
-1121500,-3651000,1.4928e-10,65.7,21.25
-1121500,-3648500,1.5083e-10,65.7,21.25
-1121500,-3646000,1.5301e-10,65.7,21.25
-1121500,-3643500,1.5193e-10,65.7,21.25
-1121500,-3641000,1.5354e-10,65.7,21.25
-1121500,-3638500,1.5168e-10,65.7,21.25
-1121500,-3636000,1.5069e-10,65.7,21.25
-1121500,-3633500,1.4902e-10,65.7,21.25
-1121500,-3631000,1.5087e-10,65.7,21.25
-1121500,-3628500,1.4867e-10,65.7,21.25
-1121500,-3626000,1.4962e-10,65.7,21.25
-1121500,-3623500,1.5145e-10,65.7,21.25
-1121500,-3621000,1.5032e-10,65.7,21.25
-1121500,-3618500,1.4932e-10,65.7,21.25
-1121500,-3616000,1.4993e-10,65.7,21.25
-1121500,-3613500,1.479e-10,65.7,21.25
-1121500,-3611000,1.4693e-10,65.7,21.25
-1121500,-3608500,1.5041e-10,65.7,21.25
-1121500,-3606000,1.4989e-10,65.7,21.25
-1121500,-3603500,1.4913e-10,65.7,21.25
-1121500,-3601000,1.5261e-10,65.7,21.25
-1121500,-3598500,1.5065e-10,65.7,21.25
-1121500,-3596000,1.492e-10,65.7,21.25
-1121500,-3593500,1.4842e-10,65.7,21.25
-1121500,-3591000,1.4815e-10,65.7,21.25
-1121500,-3588500,1.502e-10,65.7,21.25
-1121500,-3586000,1.5034e-10,65.7,21.25
-1121500,-3583500,1.5207e-10,65.7,21.25
-1121500,-3581000,1.4864e-10,65.7,21.25
-1121500,-3578500,1.5046e-10,65.7,21.25
-1121500,-3576000,1.4985e-10,65.7,21.25
-1121500,-3573500,1.5262e-10,65.7,21.25
-1121500,-3571000,1.5231e-10,65.7,21.25
-1121500,-3568500,1.4905e-10,65.7,21.25
-1121500,-3566000,1.4932e-10,65.7,21.25
-1121500,-3563500,1.5201e-10,65.7,21.25
-1121500,-3561000,1.5038e-10,65.7,21.25
-1121500,-3558500,1.5175e-10,65.7,21.25
-1121500,-3556000,1.4994e-10,65.7,21.25
-1121500,-3553500,1.4941e-10,65.7,21.25
-1121500,-3551000,1.5102e-10,65.7,21.25
-1121500,-3548500,1.5191e-10,65.7,21.25
-1121500,-3546000,1.5129e-10,65.7,21.25
-1121500,-3543500,1.4997e-10,65.7,21.25
-1121500,-3541000,1.5024e-10,65.7,21.25
-1121500,-3538500,1.5242e-10,65.7,21.25
-1121500,-3536000,1.5347e-10,65.7,21.25
-1119000,-3706000,1.4975e-10,65.7,21.25
-1119000,-3703500,1.4836e-10,65.7,21.25
-1119000,-3701000,1.4852e-10,65.7,21.25
-1119000,-3698500,1.4927e-10,65.7,21.25
-1119000,-3696000,1.5106e-10,65.7,21.25
-1119000,-3693500,1.4843e-10,65.7,21.25
-1119000,-3691000,1.4791e-10,65.7,21.25
-1119000,-3688500,1.4995e-10,65.7,21.25
-1119000,-3686000,1.4942e-10,65.7,21.25
-1119000,-3683500,1.5207e-10,65.7,21.25
-1119000,-3681000,1.5326e-10,65.7,21.25
-1119000,-3678500,1.5144e-10,65.7,21.25
-1119000,-3676000,1.5307e-10,65.7,21.25
-1119000,-3673500,1.5336e-10,65.7,21.25
-1119000,-3671000,1.5332e-10,65.7,21.25
-1119000,-3668500,1.5101e-10,65.7,21.25
-1119000,-3666000,1.5013e-10,65.7,21.25
-1119000,-3663500,1.4745e-10,65.7,21.25
-1119000,-3661000,1.5087e-10,65.7,21.25
-1119000,-3658500,1.5088e-10,65.7,21.25
-1119000,-3656000,1.5051e-10,65.7,21.25
-1119000,-3653500,1.5104e-10,65.7,21.25
-1119000,-3651000,1.5292e-10,65.7,21.25
-1119000,-3648500,1.5141e-10,65.7,21.25
-1119000,-3646000,1.5826e-10,65.7,21.25
-1119000,-3643500,1.5938e-10,65.7,21.25
-1119000,-3641000,1.5958e-10,65.7,21.25
-1119000,-3638500,1.5871e-10,65.7,21.25
-1119000,-3636000,1.5559e-10,65.7,21.25
-1119000,-3633500,1.5247e-10,65.7,21.25
-1119000,-3631000,1.4813e-10,65.7,21.25
-1119000,-3628500,1.5222e-10,65.7,21.25
-1119000,-3626000,1.5125e-10,65.7,21.25
-1119000,-3623500,1.496e-10,65.7,21.25
-1119000,-3621000,1.513e-10,65.7,21.25
-1119000,-3618500,1.4973e-10,65.7,21.25
-1119000,-3616000,1.5342e-10,65.7,21.25
-1119000,-3613500,1.504e-10,65.7,21.25
-1119000,-3611000,1.5057e-10,65.7,21.25
-1119000,-3608500,1.5076e-10,65.7,21.25
-1119000,-3606000,1.5055e-10,65.7,21.25
-1119000,-3603500,1.5245e-10,65.7,21.25
-1119000,-3601000,1.5311e-10,65.7,21.25
-1119000,-3598500,1.5064e-10,65.7,21.25
-1119000,-3596000,1.5022e-10,65.7,21.25
-1119000,-3593500,1.5338e-10,65.7,21.25
-1119000,-3591000,1.5161e-10,65.7,21.25
-1119000,-3588500,1.4991e-10,65.7,21.25
-1119000,-3586000,1.5118e-10,65.7,21.25
-1119000,-3583500,1.5018e-10,65.7,21.25
-1119000,-3581000,1.4873e-10,65.7,21.25
-1119000,-3578500,1.5045e-10,65.7,21.25
-1119000,-3576000,1.5143e-10,65.7,21.25
-1119000,-3573500,1.5229e-10,65.7,21.25
-1119000,-3571000,1.4964e-10,65.7,21.25
-1119000,-3568500,1.5169e-10,65.7,21.25
-1119000,-3566000,1.4928e-10,65.7,21.25
-1119000,-3563500,1.5065e-10,65.7,21.25
-1119000,-3561000,1.5034e-10,65.7,21.25
-1119000,-3558500,1.5143e-10,65.7,21.25
-1119000,-3556000,1.5548e-10,65.7,21.25
-1119000,-3553500,1.4891e-10,65.7,21.25
-1119000,-3551000,1.5428e-10,65.7,21.25
-1119000,-3548500,1.5105e-10,65.7,21.25
-1119000,-3546000,1.4932e-10,65.7,21.25
-1119000,-3543500,1.498e-10,65.7,21.25
-1119000,-3541000,1.5131e-10,65.7,21.25
-1119000,-3538500,1.5063e-10,65.7,21.25
-1119000,-3536000,1.5304e-10,65.7,21.25
-1116500,-3706000,1.511e-10,65.7,21.25
-1116500,-3703500,1.4949e-10,65.7,21.25
-1116500,-3701000,1.5058e-10,65.7,21.25
-1116500,-3698500,1.4942e-10,65.7,21.25
-1116500,-3696000,1.4788e-10,65.7,21.25
-1116500,-3693500,1.5083e-10,65.7,21.25
-1116500,-3691000,1.4614e-10,65.7,21.25
-1116500,-3688500,1.4925e-10,65.7,21.25
-1116500,-3686000,1.5067e-10,65.7,21.25
-1116500,-3683500,1.5235e-10,65.7,21.25
-1116500,-3681000,1.4995e-10,65.7,21.25
-1116500,-3678500,1.5122e-10,65.7,21.25
-1116500,-3676000,1.4929e-10,65.7,21.25
-1116500,-3673500,1.5103e-10,65.7,21.25
-1116500,-3671000,1.5094e-10,65.7,21.25
-1116500,-3668500,1.5057e-10,65.7,21.25
-1116500,-3666000,1.4941e-10,65.7,21.25
-1116500,-3663500,1.4984e-10,65.7,21.25
-1116500,-3661000,1.514e-10,65.7,21.25
-1116500,-3658500,1.5107e-10,65.7,21.25
-1116500,-3656000,1.5355e-10,65.7,21.25
-1116500,-3653500,1.5286e-10,65.7,21.25
-1116500,-3651000,1.5817e-10,65.7,21.25
-1116500,-3648500,1.5801e-10,65.7,21.25
-1116500,-3646000,1.6337e-10,65.7,21.25
-1116500,-3643500,1.6423e-10,65.7,21.25
-1116500,-3641000,1.6161e-10,65.7,21.25
-1116500,-3638500,1.6209e-10,65.7,21.25
-1116500,-3636000,1.6051e-10,65.7,21.25
-1116500,-3633500,1.5456e-10,65.7,21.25
-1116500,-3631000,1.4938e-10,65.7,21.25
-1116500,-3628500,1.5299e-10,65.7,21.25
-1116500,-3626000,1.5222e-10,65.7,21.25
-1116500,-3623500,1.5242e-10,65.7,21.25
-1116500,-3621000,1.504e-10,65.7,21.25
-1116500,-3618500,1.5593e-10,65.7,21.25
-1116500,-3616000,1.5502e-10,65.7,21.25
-1116500,-3613500,1.5104e-10,65.7,21.25
-1116500,-3611000,1.5221e-10,65.7,21.25
-1116500,-3608500,1.505e-10,65.7,21.25
-1116500,-3606000,1.5094e-10,65.7,21.25
-1116500,-3603500,1.5376e-10,65.7,21.25
-1116500,-3601000,1.6202e-10,65.7,21.25
-1116500,-3598500,1.6574e-10,65.7,21.25
-1116500,-3596000,1.5723e-10,65.7,21.25
-1116500,-3593500,1.5052e-10,65.7,21.25
-1116500,-3591000,1.506e-10,65.7,21.25
-1116500,-3588500,1.5253e-10,65.7,21.25
