General parameters:
Start time: 2023             12             20             16             49      45.410335
Finish time: 2023             12             20             17             42      47.470044
Raster type: raster_jump
Horizontal range (nm): -3195881.211470,-3495881.211470
Vertical range (nm): -1033615.518647,-1333615.518647
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.02e-03
Sample chamber pressure: 1.62e-08
Initial position (nm): -3619022.000000,-1076500.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3195881.2115     -3495881.2115
hori_res:5000
vert_range:-1033615.5186     -1333615.5186
vert_res:5000
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 3.124854
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.333616e+06,-3.495881e+06,1.5804e-10,65.7,21.25
-1.333616e+06,-3.490881e+06,1.5182e-10,65.7,21.25
-1.333616e+06,-3.485881e+06,1.4809e-10,65.7,21.25
-1.333616e+06,-3.480881e+06,1.498e-10,65.7,21.25
-1.333616e+06,-3.475881e+06,1.4635e-10,65.7,21.25
-1.333616e+06,-3.470881e+06,1.5194e-10,65.7,21.25
-1.333616e+06,-3.465881e+06,1.5029e-10,65.7,21.25
-1.333616e+06,-3.460881e+06,1.5309e-10,65.7,21.25
-1.333616e+06,-3.455881e+06,1.4781e-10,65.7,21.25
-1.333616e+06,-3.450881e+06,1.5258e-10,65.7,21.25
-1.333616e+06,-3.445881e+06,1.5029e-10,65.7,21.25
-1.333616e+06,-3.440881e+06,1.5025e-10,65.7,21.25
-1.333616e+06,-3.435881e+06,1.476e-10,65.7,21.25
-1.333616e+06,-3.430881e+06,1.4644e-10,65.7,21.25
-1.333616e+06,-3.425881e+06,1.4989e-10,65.7,21.25
-1.333616e+06,-3.420881e+06,1.4777e-10,65.7,21.25
-1.333616e+06,-3.415881e+06,1.4896e-10,65.7,21.25
-1.333616e+06,-3.410881e+06,1.4959e-10,65.7,21.25
-1.333616e+06,-3.405881e+06,1.4972e-10,65.7,21.25
-1.333616e+06,-3.400881e+06,1.4558e-10,65.7,21.25
-1.333616e+06,-3.395881e+06,1.5222e-10,65.7,21.25
-1.333616e+06,-3.390881e+06,1.5337e-10,65.7,21.25
-1.333616e+06,-3.385881e+06,1.4949e-10,65.7,21.25
-1.333616e+06,-3.380881e+06,1.5019e-10,65.7,21.25
-1.333616e+06,-3.375881e+06,1.5143e-10,65.7,21.25
-1.333616e+06,-3.370881e+06,1.5545e-10,65.7,21.25
-1.333616e+06,-3.365881e+06,1.5064e-10,65.7,21.25
-1.333616e+06,-3.360881e+06,1.5138e-10,65.7,21.25
-1.333616e+06,-3.355881e+06,1.485e-10,65.7,21.25
-1.333616e+06,-3.350881e+06,1.4922e-10,65.7,21.25
-1.333616e+06,-3.345881e+06,1.4874e-10,65.7,21.25
-1.333616e+06,-3.340881e+06,1.5147e-10,65.7,21.25
-1.333616e+06,-3.335881e+06,1.5076e-10,65.7,21.25
-1.333616e+06,-3.330881e+06,1.4828e-10,65.7,21.25
-1.333616e+06,-3.325881e+06,1.4859e-10,65.7,21.25
-1.333616e+06,-3.320881e+06,1.4831e-10,65.7,21.25
-1.333616e+06,-3.315881e+06,1.4863e-10,65.7,21.25
-1.333616e+06,-3.310881e+06,1.4978e-10,65.7,21.25
-1.333616e+06,-3.305881e+06,1.5019e-10,65.7,21.25
-1.333616e+06,-3.300881e+06,1.4932e-10,65.7,21.25
-1.333616e+06,-3.295881e+06,1.4904e-10,65.7,21.25
-1.333616e+06,-3.290881e+06,1.498e-10,65.7,21.25
-1.333616e+06,-3.285881e+06,1.4701e-10,65.7,21.25
-1.333616e+06,-3.280881e+06,1.4984e-10,65.7,21.25
-1.333616e+06,-3.275881e+06,1.4891e-10,65.7,21.25
-1.333616e+06,-3.270881e+06,1.4639e-10,65.7,21.25
-1.333616e+06,-3.265881e+06,1.5126e-10,65.7,21.25
-1.333616e+06,-3.260881e+06,1.4883e-10,65.7,21.25
-1.333616e+06,-3.255881e+06,1.4883e-10,65.7,21.25
-1.333616e+06,-3.250881e+06,1.5189e-10,65.7,21.25
-1.333616e+06,-3.245881e+06,1.5015e-10,65.7,21.25
-1.333616e+06,-3.240881e+06,1.5104e-10,65.7,21.25
-1.333616e+06,-3.235881e+06,1.4759e-10,65.7,21.25
-1.333616e+06,-3.230881e+06,1.4673e-10,65.7,21.25
-1.333616e+06,-3.225881e+06,1.4854e-10,65.7,21.25
-1.333616e+06,-3.220881e+06,1.5545e-10,65.7,21.25
-1.333616e+06,-3.215881e+06,1.4726e-10,65.7,21.25
-1.333616e+06,-3.210881e+06,1.5715e-10,65.7,21.25
-1.333616e+06,-3.205881e+06,1.5718e-10,65.7,21.25
-1.333616e+06,-3.200881e+06,1.5455e-10,65.7,21.25
-1.333616e+06,-3.195881e+06,1.527e-10,65.7,21.25
-1.328616e+06,-3.495881e+06,1.5164e-10,65.7,21.25
-1.328616e+06,-3.490881e+06,1.4773e-10,65.7,21.25
-1.328616e+06,-3.485881e+06,1.5007e-10,65.7,21.25
-1.328616e+06,-3.480881e+06,1.4787e-10,65.7,21.25
-1.328616e+06,-3.475881e+06,1.4934e-10,65.7,21.25
-1.328616e+06,-3.470881e+06,1.5031e-10,65.7,21.25
-1.328616e+06,-3.465881e+06,1.4432e-10,65.7,21.25
-1.328616e+06,-3.460881e+06,1.5133e-10,65.7,21.25
-1.328616e+06,-3.455881e+06,1.4791e-10,65.7,21.25
-1.328616e+06,-3.450881e+06,1.494e-10,65.7,21.25
-1.328616e+06,-3.445881e+06,1.5114e-10,65.7,21.25
-1.328616e+06,-3.440881e+06,1.4823e-10,65.7,21.25
-1.328616e+06,-3.435881e+06,1.5092e-10,65.7,21.25
-1.328616e+06,-3.430881e+06,1.5104e-10,65.7,21.25
-1.328616e+06,-3.425881e+06,1.4539e-10,65.7,21.25
-1.328616e+06,-3.420881e+06,1.4649e-10,65.7,21.25
-1.328616e+06,-3.415881e+06,1.5175e-10,65.7,21.25
-1.328616e+06,-3.410881e+06,1.507e-10,65.7,21.25
-1.328616e+06,-3.405881e+06,1.4808e-10,65.7,21.25
-1.328616e+06,-3.400881e+06,1.4812e-10,65.7,21.25
-1.328616e+06,-3.395881e+06,1.5006e-10,65.7,21.25
-1.328616e+06,-3.390881e+06,1.5151e-10,65.7,21.25
-1.328616e+06,-3.385881e+06,1.5285e-10,65.7,21.25
-1.328616e+06,-3.380881e+06,1.4824e-10,65.7,21.25
-1.328616e+06,-3.375881e+06,1.4948e-10,65.7,21.25
-1.328616e+06,-3.370881e+06,1.5045e-10,65.7,21.25
-1.328616e+06,-3.365881e+06,1.5002e-10,65.7,21.25
-1.328616e+06,-3.360881e+06,1.5067e-10,65.7,21.25
-1.328616e+06,-3.355881e+06,1.4972e-10,65.7,21.25
-1.328616e+06,-3.350881e+06,1.4951e-10,65.7,21.25
-1.328616e+06,-3.345881e+06,1.4927e-10,65.7,21.25
-1.328616e+06,-3.340881e+06,1.4711e-10,65.7,21.25
-1.328616e+06,-3.335881e+06,1.4961e-10,65.7,21.25
-1.328616e+06,-3.330881e+06,1.4792e-10,65.7,21.25
-1.328616e+06,-3.325881e+06,1.4743e-10,65.7,21.25
-1.328616e+06,-3.320881e+06,1.5107e-10,65.7,21.25
-1.328616e+06,-3.315881e+06,1.5118e-10,65.7,21.25
-1.328616e+06,-3.310881e+06,1.5012e-10,65.7,21.25
-1.328616e+06,-3.305881e+06,1.5077e-10,65.7,21.25
-1.328616e+06,-3.300881e+06,1.4597e-10,65.7,21.25
-1.328616e+06,-3.295881e+06,1.4942e-10,65.7,21.25
-1.328616e+06,-3.290881e+06,1.4919e-10,65.7,21.25
-1.328616e+06,-3.285881e+06,1.5062e-10,65.7,21.25
-1.328616e+06,-3.280881e+06,1.4983e-10,65.7,21.25
-1.328616e+06,-3.275881e+06,1.5066e-10,65.7,21.25
-1.328616e+06,-3.270881e+06,1.5101e-10,65.7,21.25
-1.328616e+06,-3.265881e+06,1.5182e-10,65.7,21.25
-1.328616e+06,-3.260881e+06,1.4713e-10,65.7,21.25
-1.328616e+06,-3.255881e+06,1.4954e-10,65.7,21.25
-1.328616e+06,-3.250881e+06,1.4896e-10,65.7,21.25
-1.328616e+06,-3.245881e+06,1.5218e-10,65.7,21.25
-1.328616e+06,-3.240881e+06,1.479e-10,65.7,21.25
-1.328616e+06,-3.235881e+06,1.4899e-10,65.7,21.25
-1.328616e+06,-3.230881e+06,1.5226e-10,65.7,21.25
-1.328616e+06,-3.225881e+06,1.5236e-10,65.7,21.25
-1.328616e+06,-3.220881e+06,1.4908e-10,65.7,21.25
-1.328616e+06,-3.215881e+06,1.5188e-10,65.7,21.25
-1.328616e+06,-3.210881e+06,1.5413e-10,65.7,21.25
-1.328616e+06,-3.205881e+06,1.5168e-10,65.7,21.25
-1.328616e+06,-3.200881e+06,1.5639e-10,65.7,21.25
-1.328616e+06,-3.195881e+06,1.5625e-10,65.7,21.25
