General parameters:
Start time: 2023             12             20             17             43       0.071428
Finish time: 2023             12             20             18             36       5.058594
Raster type: raster_jump
Horizontal range (nm): -3361083.868187,-3661083.868187
Vertical range (nm): -993775.304945,-1293775.304945
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.04e-03
Sample chamber pressure: 1.60e-08
Initial position (nm): -3195883.000000,-1033610.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3361083.8682     -3661083.8682
hori_res:5000
vert_range:-993775.30495     -1293775.3049
vert_res:5000
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 3.127248
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.293775e+06,-3.661084e+06,1.5225e-10,65.8,21.25
-1.293775e+06,-3.656084e+06,1.5249e-10,65.8,21.25
-1.293775e+06,-3.651084e+06,1.4996e-10,65.8,21.25
-1.293775e+06,-3.646084e+06,1.5176e-10,65.8,21.25
-1.293775e+06,-3.641084e+06,1.4947e-10,65.8,21.25
-1.293775e+06,-3.636084e+06,1.489e-10,65.8,21.25
-1.293775e+06,-3.631084e+06,1.5217e-10,65.8,21.25
-1.293775e+06,-3.626084e+06,1.4988e-10,65.8,21.25
-1.293775e+06,-3.621084e+06,1.5067e-10,65.8,21.25
-1.293775e+06,-3.616084e+06,1.5388e-10,65.8,21.25
-1.293775e+06,-3.611084e+06,1.5206e-10,65.8,21.25
-1.293775e+06,-3.606084e+06,1.508e-10,65.8,21.25
-1.293775e+06,-3.601084e+06,1.5087e-10,65.8,21.25
-1.293775e+06,-3.596084e+06,1.5351e-10,65.8,21.25
-1.293775e+06,-3.591084e+06,1.5281e-10,65.8,21.25
-1.293775e+06,-3.586084e+06,1.5272e-10,65.8,21.25
-1.293775e+06,-3.581084e+06,1.5427e-10,65.8,21.25
-1.293775e+06,-3.576084e+06,1.5322e-10,65.8,21.25
-1.293775e+06,-3.571084e+06,1.5177e-10,65.8,21.25
-1.293775e+06,-3.566084e+06,1.508e-10,65.8,21.25
-1.293775e+06,-3.561084e+06,1.515e-10,65.8,21.25
-1.293775e+06,-3.556084e+06,1.5139e-10,65.8,21.25
-1.293775e+06,-3.551084e+06,1.5161e-10,65.8,21.25
-1.293775e+06,-3.546084e+06,1.5158e-10,65.8,21.25
-1.293775e+06,-3.541084e+06,1.516e-10,65.8,21.25
-1.293775e+06,-3.536084e+06,1.5276e-10,65.8,21.25
-1.293775e+06,-3.531084e+06,1.522e-10,65.8,21.25
-1.293775e+06,-3.526084e+06,1.5235e-10,65.8,21.25
-1.293775e+06,-3.521084e+06,1.5195e-10,65.8,21.25
-1.293775e+06,-3.516084e+06,1.5327e-10,65.8,21.25
-1.293775e+06,-3.511084e+06,1.515e-10,65.8,21.25
-1.293775e+06,-3.506084e+06,1.528e-10,65.8,21.25
-1.293775e+06,-3.501084e+06,1.5473e-10,65.8,21.25
-1.293775e+06,-3.496084e+06,1.508e-10,65.8,21.25
-1.293775e+06,-3.491084e+06,1.5282e-10,65.8,21.25
-1.293775e+06,-3.486084e+06,1.5003e-10,65.8,21.25
-1.293775e+06,-3.481084e+06,1.5067e-10,65.8,21.25
-1.293775e+06,-3.476084e+06,1.5326e-10,65.8,21.25
-1.293775e+06,-3.471084e+06,1.517e-10,65.8,21.25
-1.293775e+06,-3.466084e+06,1.5263e-10,65.8,21.25
-1.293775e+06,-3.461084e+06,1.5277e-10,65.8,21.25
-1.293775e+06,-3.456084e+06,1.5271e-10,65.8,21.25
-1.293775e+06,-3.451084e+06,1.527e-10,65.8,21.25
-1.293775e+06,-3.446084e+06,1.5574e-10,65.8,21.25
-1.293775e+06,-3.441084e+06,1.5976e-10,65.8,21.25
-1.293775e+06,-3.436084e+06,1.5435e-10,65.8,21.25
-1.293775e+06,-3.431084e+06,1.5713e-10,65.8,21.25
-1.293775e+06,-3.426084e+06,1.5507e-10,65.8,21.25
-1.293775e+06,-3.421084e+06,1.5769e-10,65.8,21.25
-1.293775e+06,-3.416084e+06,1.5944e-10,65.8,21.25
-1.293775e+06,-3.411084e+06,1.5647e-10,65.8,21.25
-1.293775e+06,-3.406084e+06,1.5706e-10,65.8,21.25
-1.293775e+06,-3.401084e+06,1.5753e-10,65.8,21.25
-1.293775e+06,-3.396084e+06,1.5968e-10,65.8,21.25
-1.293775e+06,-3.391084e+06,1.524e-10,65.8,21.25
-1.293775e+06,-3.386084e+06,1.6016e-10,65.8,21.25
-1.293775e+06,-3.381084e+06,1.6024e-10,65.8,21.25
-1.293775e+06,-3.376084e+06,1.5928e-10,65.8,21.25
-1.293775e+06,-3.371084e+06,1.5599e-10,65.8,21.25
-1.293775e+06,-3.366084e+06,1.5376e-10,65.8,21.25
-1.293775e+06,-3.361084e+06,1.5531e-10,65.8,21.25
-1.288775e+06,-3.661084e+06,1.5202e-10,65.8,21.25
-1.288775e+06,-3.656084e+06,1.5159e-10,65.8,21.25
-1.288775e+06,-3.651084e+06,1.5209e-10,65.8,21.25
-1.288775e+06,-3.646084e+06,1.4948e-10,65.8,21.25
-1.288775e+06,-3.641084e+06,1.4932e-10,65.8,21.25
-1.288775e+06,-3.636084e+06,1.53e-10,65.8,21.25
-1.288775e+06,-3.631084e+06,1.5174e-10,65.8,21.25
-1.288775e+06,-3.626084e+06,1.5121e-10,65.8,21.25
-1.288775e+06,-3.621084e+06,1.5187e-10,65.8,21.25
-1.288775e+06,-3.616084e+06,1.5191e-10,65.8,21.25
-1.288775e+06,-3.611084e+06,1.5198e-10,65.8,21.25
-1.288775e+06,-3.606084e+06,1.5243e-10,65.8,21.25
-1.288775e+06,-3.601084e+06,1.5097e-10,65.8,21.25
-1.288775e+06,-3.596084e+06,1.5266e-10,65.8,21.25
-1.288775e+06,-3.591084e+06,1.5234e-10,65.8,21.25
-1.288775e+06,-3.586084e+06,1.5369e-10,65.8,21.25
-1.288775e+06,-3.581084e+06,1.5261e-10,65.8,21.25
-1.288775e+06,-3.576084e+06,1.5206e-10,65.8,21.25
-1.288775e+06,-3.571084e+06,1.5295e-10,65.8,21.25
-1.288775e+06,-3.566084e+06,1.5306e-10,65.8,21.25
-1.288775e+06,-3.561084e+06,1.5435e-10,65.8,21.25
-1.288775e+06,-3.556084e+06,1.517e-10,65.8,21.25
-1.288775e+06,-3.551084e+06,1.5255e-10,65.8,21.25
-1.288775e+06,-3.546084e+06,1.5229e-10,65.8,21.25
-1.288775e+06,-3.541084e+06,1.5114e-10,65.8,21.25
-1.288775e+06,-3.536084e+06,1.4889e-10,65.8,21.25
-1.288775e+06,-3.531084e+06,1.5355e-10,65.8,21.25
-1.288775e+06,-3.526084e+06,1.5325e-10,65.8,21.25
-1.288775e+06,-3.521084e+06,1.5336e-10,65.8,21.25
-1.288775e+06,-3.516084e+06,1.5354e-10,65.8,21.25
-1.288775e+06,-3.511084e+06,1.5356e-10,65.8,21.25
-1.288775e+06,-3.506084e+06,1.4801e-10,65.8,21.25
-1.288775e+06,-3.501084e+06,1.4801e-10,65.8,21.25
-1.288775e+06,-3.496084e+06,1.5378e-10,65.8,21.25
-1.288775e+06,-3.491084e+06,1.509e-10,65.8,21.25
-1.288775e+06,-3.486084e+06,1.5229e-10,65.8,21.25
-1.288775e+06,-3.481084e+06,1.5385e-10,65.8,21.25
-1.288775e+06,-3.476084e+06,1.493e-10,65.8,21.25
-1.288775e+06,-3.471084e+06,1.5078e-10,65.8,21.25
-1.288775e+06,-3.466084e+06,1.5296e-10,65.8,21.25
-1.288775e+06,-3.461084e+06,1.5382e-10,65.8,21.25
-1.288775e+06,-3.456084e+06,1.541e-10,65.8,21.25
-1.288775e+06,-3.451084e+06,1.5606e-10,65.8,21.25
-1.288775e+06,-3.446084e+06,1.5481e-10,65.8,21.25
-1.288775e+06,-3.441084e+06,1.555e-10,65.8,21.25
-1.288775e+06,-3.436084e+06,1.5593e-10,65.8,21.25
-1.288775e+06,-3.431084e+06,1.5629e-10,65.8,21.25
-1.288775e+06,-3.426084e+06,1.5909e-10,65.8,21.25
-1.288775e+06,-3.421084e+06,1.5785e-10,65.8,21.25
-1.288775e+06,-3.416084e+06,1.5686e-10,65.8,21.25
-1.288775e+06,-3.411084e+06,1.5646e-10,65.8,21.25
-1.288775e+06,-3.406084e+06,1.5917e-10,65.8,21.25
-1.288775e+06,-3.401084e+06,1.5506e-10,65.8,21.25
-1.288775e+06,-3.396084e+06,1.5697e-10,65.8,21.25
-1.288775e+06,-3.391084e+06,1.5609e-10,65.8,21.25
-1.288775e+06,-3.386084e+06,1.5431e-10,65.8,21.25
-1.288775e+06,-3.381084e+06,1.5838e-10,65.8,21.25
-1.288775e+06,-3.376084e+06,1.5789e-10,65.8,21.25
-1.288775e+06,-3.371084e+06,1.5619e-10,65.8,21.25
-1.288775e+06,-3.366084e+06,1.5753e-10,65.8,21.25
-1.288775e+06,-3.361084e+06,1.6053e-10,65.8,21.25
-1.283775e+06,-3.661084e+06,1.4966e-10,65.8,21.25
-1.283775e+06,-3.656084e+06,1.5132e-10,65.8,21.25
-1.283775e+06,-3.651084e+06,1.5268e-10,65.8,21.25
-1.283775e+06,-3.646084e+06,1.5109e-10,65.8,21.25
-1.283775e+06,-3.641084e+06,1.5108e-10,65.8,21.25
-1.283775e+06,-3.636084e+06,1.516e-10,65.8,21.25
-1.283775e+06,-3.631084e+06,1.4933e-10,65.8,21.25
-1.283775e+06,-3.626084e+06,1.5506e-10,65.8,21.25
-1.283775e+06,-3.621084e+06,1.5268e-10,65.8,21.25
-1.283775e+06,-3.616084e+06,1.5103e-10,65.8,21.25
-1.283775e+06,-3.611084e+06,1.527e-10,65.8,21.25
-1.283775e+06,-3.606084e+06,1.5251e-10,65.8,21.25
-1.283775e+06,-3.601084e+06,1.5093e-10,65.8,21.25
-1.283775e+06,-3.596084e+06,1.5425e-10,65.8,21.25
-1.283775e+06,-3.591084e+06,1.5356e-10,65.8,21.25
-1.283775e+06,-3.586084e+06,1.5275e-10,65.8,21.25
-1.283775e+06,-3.581084e+06,1.5221e-10,65.8,21.25
-1.283775e+06,-3.576084e+06,1.5193e-10,65.8,21.25
-1.283775e+06,-3.571084e+06,1.5054e-10,65.8,21.25
-1.283775e+06,-3.566084e+06,1.5274e-10,65.8,21.25
-1.283775e+06,-3.561084e+06,1.5111e-10,65.8,21.25
-1.283775e+06,-3.556084e+06,1.533e-10,65.8,21.25
-1.283775e+06,-3.551084e+06,1.5211e-10,65.8,21.25
-1.283775e+06,-3.546084e+06,1.5246e-10,65.8,21.25
-1.283775e+06,-3.541084e+06,1.503e-10,65.8,21.25
-1.283775e+06,-3.536084e+06,1.5154e-10,65.8,21.25
-1.283775e+06,-3.531084e+06,1.5261e-10,65.8,21.25
-1.283775e+06,-3.526084e+06,1.502e-10,65.8,21.25
-1.283775e+06,-3.521084e+06,1.5353e-10,65.8,21.25
-1.283775e+06,-3.516084e+06,1.5051e-10,65.8,21.25
-1.283775e+06,-3.511084e+06,1.5236e-10,65.8,21.25
-1.283775e+06,-3.506084e+06,1.525e-10,65.8,21.25
-1.283775e+06,-3.501084e+06,1.5165e-10,65.8,21.25
-1.283775e+06,-3.496084e+06,1.4958e-10,65.8,21.25
-1.283775e+06,-3.491084e+06,1.4993e-10,65.8,21.25
-1.283775e+06,-3.486084e+06,1.5283e-10,65.8,21.25
-1.283775e+06,-3.481084e+06,1.4777e-10,65.8,21.25
-1.283775e+06,-3.476084e+06,1.5272e-10,65.8,21.25
-1.283775e+06,-3.471084e+06,1.5341e-10,65.8,21.25
-1.283775e+06,-3.466084e+06,1.5265e-10,65.8,21.25
-1.283775e+06,-3.461084e+06,1.5089e-10,65.8,21.25
-1.283775e+06,-3.456084e+06,1.5293e-10,65.8,21.25
-1.283775e+06,-3.451084e+06,1.5203e-10,65.8,21.25
-1.283775e+06,-3.446084e+06,1.5369e-10,65.8,21.25
-1.283775e+06,-3.441084e+06,1.5747e-10,65.8,21.25
-1.283775e+06,-3.436084e+06,1.5811e-10,65.8,21.25
-1.283775e+06,-3.431084e+06,1.5592e-10,65.8,21.25
-1.283775e+06,-3.426084e+06,1.5447e-10,65.8,21.25
