General parameters:
Start time: 2023             12             20             18             36      17.672005
Finish time: 2023             12             20             19             29      22.239903
Raster type: raster_jump
Horizontal range (nm): -3502697.430038,-3802697.430038
Vertical range (nm): -899835.113791,-1199835.113791
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.03e-03
Sample chamber pressure: 1.59e-08
Initial position (nm): -3361083.000000,-993772.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3502697.43       -3802697.43
hori_res:5000
vert_range:-899835.11379     -1199835.1138
vert_res:5000
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 3.132036
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.199835e+06,-3.802697e+06,1.532e-10,65.8,21.25
-1.199835e+06,-3.797697e+06,1.5103e-10,65.8,21.25
-1.199835e+06,-3.792697e+06,1.5141e-10,65.8,21.25
-1.199835e+06,-3.787697e+06,1.5383e-10,65.8,21.25
-1.199835e+06,-3.782697e+06,1.5234e-10,65.8,21.25
-1.199835e+06,-3.777697e+06,1.5325e-10,65.8,21.25
-1.199835e+06,-3.772697e+06,1.5389e-10,65.8,21.25
-1.199835e+06,-3.767697e+06,1.5317e-10,65.8,21.25
-1.199835e+06,-3.762697e+06,1.5021e-10,65.8,21.25
-1.199835e+06,-3.757697e+06,1.5261e-10,65.8,21.25
-1.199835e+06,-3.752697e+06,1.4704e-10,65.8,21.25
-1.199835e+06,-3.747697e+06,1.5178e-10,65.8,21.25
-1.199835e+06,-3.742697e+06,1.5232e-10,65.8,21.25
-1.199835e+06,-3.737697e+06,1.5192e-10,65.8,21.25
-1.199835e+06,-3.732697e+06,1.5416e-10,65.8,21.25
-1.199835e+06,-3.727697e+06,1.5335e-10,65.8,21.25
-1.199835e+06,-3.722697e+06,1.4962e-10,65.8,21.25
-1.199835e+06,-3.717697e+06,1.4975e-10,65.8,21.25
-1.199835e+06,-3.712697e+06,1.5313e-10,65.8,21.25
-1.199835e+06,-3.707697e+06,1.5222e-10,65.8,21.25
