General parameters:
Start time: 2023             12             21             14             39      54.304476
Finish time: 2023             12             21             15             33       5.419052
Raster type: raster_jump
Horizontal range (nm): -3124495.185570,-3424495.185570
Vertical range (nm): -1029551.794255,-1329551.794255
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.05e-03
Sample chamber pressure: 1.56e-08
Initial position (nm): -3651739.000000,-600135.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3124495.1856     -3424495.1856
hori_res:5000
vert_range:-1029551.7943     -1329551.7943
vert_res:5000
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 3.176496
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.329552e+06,-3.424495e+06,1.5469e-10,61.6,21.25
-1.329552e+06,-3.419495e+06,1.5329e-10,61.6,21.25
-1.329552e+06,-3.414495e+06,1.5272e-10,61.6,21.25
-1.329552e+06,-3.409495e+06,1.5306e-10,61.6,21.25
-1.329552e+06,-3.404495e+06,1.5599e-10,61.6,21.25
-1.329552e+06,-3.399495e+06,1.5377e-10,61.6,21.25
-1.329552e+06,-3.394495e+06,1.57e-10,61.6,21.25
-1.329552e+06,-3.389495e+06,1.5495e-10,61.6,21.25
-1.329552e+06,-3.384495e+06,1.5323e-10,61.6,21.25
-1.329552e+06,-3.379495e+06,1.547e-10,61.6,21.25
-1.329552e+06,-3.374495e+06,1.5273e-10,61.6,21.25
-1.329552e+06,-3.369495e+06,1.5546e-10,61.6,21.25
-1.329552e+06,-3.364495e+06,1.5132e-10,61.6,21.25
-1.329552e+06,-3.359495e+06,1.5723e-10,61.6,21.25
-1.329552e+06,-3.354495e+06,1.557e-10,61.6,21.25
-1.329552e+06,-3.349495e+06,1.5441e-10,61.6,21.25
-1.329552e+06,-3.344495e+06,1.5698e-10,61.6,21.25
-1.329552e+06,-3.339495e+06,1.5319e-10,61.6,21.25
-1.329552e+06,-3.334495e+06,1.5311e-10,61.6,21.25
-1.329552e+06,-3.329495e+06,1.5544e-10,61.6,21.25
