General parameters:
Start time: 2023             12             21             16             26       47.45884
Finish time: 2023             12             21             17             20       1.828464
Raster type: raster_jump
Horizontal range (nm): -3525754.555523,-3825754.555523
Vertical range (nm): -892899.264034,-1192899.264034
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.04e-03
Sample chamber pressure: 1.59e-08
Initial position (nm): -3337167.000000,-996600.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3525754.5555     -3825754.5555
hori_res:5000
vert_range:-892899.26403      -1192899.264
vert_res:5000
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 3.176838
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.192899e+06,-3.825755e+06,1.6538e-10,61.4,21.25
-1.192899e+06,-3.820755e+06,1.6545e-10,61.4,21.25
-1.192899e+06,-3.815755e+06,1.5954e-10,61.4,21.25
-1.192899e+06,-3.810755e+06,1.639e-10,61.4,21.25
-1.192899e+06,-3.805755e+06,1.6328e-10,61.4,21.25
-1.192899e+06,-3.800755e+06,1.6169e-10,61.4,21.25
-1.192899e+06,-3.795755e+06,1.61e-10,61.4,21.25
-1.192899e+06,-3.790755e+06,1.6279e-10,61.4,21.25
-1.192899e+06,-3.785755e+06,1.6168e-10,61.4,21.25
-1.192899e+06,-3.780755e+06,1.6329e-10,61.4,21.25
-1.192899e+06,-3.775755e+06,1.644e-10,61.4,21.25
-1.192899e+06,-3.770755e+06,1.6385e-10,61.4,21.25
-1.192899e+06,-3.765755e+06,1.64e-10,61.4,21.25
-1.192899e+06,-3.760755e+06,1.6604e-10,61.4,21.25
-1.192899e+06,-3.755755e+06,1.6262e-10,61.4,21.25
-1.192899e+06,-3.750755e+06,1.6419e-10,61.4,21.25
-1.192899e+06,-3.745755e+06,1.6497e-10,61.4,21.25
-1.192899e+06,-3.740755e+06,1.6136e-10,61.4,21.25
-1.192899e+06,-3.735755e+06,1.6515e-10,61.4,21.25
-1.192899e+06,-3.730755e+06,1.6246e-10,61.4,21.25
-1.192899e+06,-3.725755e+06,1.6269e-10,61.4,21.25
-1.192899e+06,-3.720755e+06,1.6254e-10,61.4,21.25
-1.192899e+06,-3.715755e+06,1.6724e-10,61.4,21.25
-1.192899e+06,-3.710755e+06,1.6392e-10,61.5,21.25
-1.192899e+06,-3.705755e+06,1.6318e-10,61.4,21.25
-1.192899e+06,-3.700755e+06,1.6737e-10,61.4,21.25
-1.192899e+06,-3.695755e+06,1.6317e-10,61.4,21.25
-1.192899e+06,-3.690755e+06,1.6299e-10,61.5,21.25
-1.192899e+06,-3.685755e+06,1.6458e-10,61.5,21.25
-1.192899e+06,-3.680755e+06,1.6386e-10,61.4,21.25
-1.192899e+06,-3.675755e+06,1.7237e-10,61.4,21.25
-1.192899e+06,-3.670755e+06,1.6962e-10,61.4,21.25
-1.192899e+06,-3.665755e+06,1.6872e-10,61.4,21.25
-1.192899e+06,-3.660755e+06,1.6575e-10,61.4,21.25
-1.192899e+06,-3.655755e+06,1.6618e-10,61.4,21.25
-1.192899e+06,-3.650755e+06,1.6617e-10,61.4,21.25
-1.192899e+06,-3.645755e+06,1.6992e-10,61.4,21.25
-1.192899e+06,-3.640755e+06,1.6777e-10,61.4,21.25
-1.192899e+06,-3.635755e+06,1.6943e-10,61.4,21.25
-1.192899e+06,-3.630755e+06,1.6906e-10,61.4,21.25
-1.192899e+06,-3.625755e+06,1.6896e-10,61.4,21.25
-1.192899e+06,-3.620755e+06,1.6968e-10,61.4,21.25
-1.192899e+06,-3.615755e+06,1.6825e-10,61.4,21.25
-1.192899e+06,-3.610755e+06,1.6952e-10,61.4,21.25
-1.192899e+06,-3.605755e+06,1.6933e-10,61.4,21.25
-1.192899e+06,-3.600755e+06,1.6939e-10,61.4,21.25
-1.192899e+06,-3.595755e+06,1.7329e-10,61.4,21.25
-1.192899e+06,-3.590755e+06,1.7308e-10,61.5,21.25
-1.192899e+06,-3.585755e+06,1.6963e-10,61.5,21.25
-1.192899e+06,-3.580755e+06,1.6978e-10,61.5,21.25
