General parameters:
Start time: 2023             12             26             17             57       44.01774
Finish time: 2023             12             26             18              5      18.312037
Raster type: raster_jump
Horizontal range (nm): -3299500.000000,-3348500.000000
Vertical range (nm): -1184500.000000,-1233500.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.07e-03
Sample chamber pressure: 1.54e-08
Initial position (nm): -2497288.000000,-1154600.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3299500 -3348500
hori_res:2500
vert_range:-1184500 -1233500
vert_res:2500
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 3.314664
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1233500,-3348500,2.2411e-10,64.3,21.25
-1233500,-3346000,2.183e-10,64.3,21.25
-1233500,-3343500,2.0027e-10,64.3,21.25
-1233500,-3341000,1.752e-10,64.3,21.25
-1233500,-3338500,1.5567e-10,64.3,21.25
-1233500,-3336000,1.5906e-10,64.3,21.25
-1233500,-3333500,1.9195e-10,64.3,21.25
-1233500,-3331000,2.3111e-10,64.3,21.25
-1233500,-3328500,2.5345e-10,64.3,21.25
-1233500,-3326000,2.5435e-10,64.3,21.25
-1233500,-3323500,2.5687e-10,64.3,21.25
-1233500,-3321000,2.547e-10,64.3,21.25
-1233500,-3318500,2.5324e-10,64.3,21.25
-1233500,-3316000,2.5274e-10,64.3,21.25
-1233500,-3313500,2.5439e-10,64.3,21.25
-1233500,-3311000,2.42e-10,64.3,21.25
-1233500,-3308500,2.4108e-10,64.3,21.25
-1233500,-3306000,2.4055e-10,64.3,21.25
-1233500,-3303500,2.252e-10,64.3,21.25
-1233500,-3301000,2.0009e-10,64.3,21.25
-1231000,-3348500,1.7904e-10,64.3,21.25
-1231000,-3346000,1.7337e-10,64.3,21.25
-1231000,-3343500,1.6054e-10,64.3,21.25
-1231000,-3341000,1.5106e-10,64.3,21.25
-1231000,-3338500,1.5464e-10,64.3,21.25
-1231000,-3336000,1.7847e-10,64.3,21.25
-1231000,-3333500,2.1372e-10,64.3,21.25
-1231000,-3331000,2.4198e-10,64.3,21.25
-1231000,-3328500,2.4443e-10,64.3,21.25
-1231000,-3326000,2.4195e-10,64.3,21.25
-1231000,-3323500,2.5055e-10,64.3,21.25
-1231000,-3321000,2.604e-10,64.3,21.25
-1231000,-3318500,2.6187e-10,64.3,21.25
-1231000,-3316000,2.6547e-10,64.3,21.25
-1231000,-3313500,2.5962e-10,64.3,21.25
-1231000,-3311000,2.5442e-10,64.3,21.25
-1231000,-3308500,2.514e-10,64.3,21.25
-1231000,-3306000,2.4965e-10,64.3,21.25
-1231000,-3303500,2.5146e-10,64.3,21.25
-1231000,-3301000,2.429e-10,64.3,21.25
-1228500,-3348500,1.6374e-10,64.3,21.25
-1228500,-3346000,1.4714e-10,64.3,21.25
-1228500,-3343500,1.4664e-10,64.3,21.25
-1228500,-3341000,1.4656e-10,64.3,21.25
-1228500,-3338500,1.563e-10,64.3,21.25
-1228500,-3336000,1.8306e-10,64.3,21.25
-1228500,-3333500,2.1813e-10,64.3,21.25
-1228500,-3331000,2.317e-10,64.3,21.25
-1228500,-3328500,2.3554e-10,64.3,21.25
-1228500,-3326000,2.3771e-10,64.3,21.25
-1228500,-3323500,2.4506e-10,64.3,21.25
-1228500,-3321000,2.5942e-10,64.3,21.25
-1228500,-3318500,2.7021e-10,64.3,21.25
-1228500,-3316000,2.7236e-10,64.3,21.25
-1228500,-3313500,2.6647e-10,64.3,21.25
-1228500,-3311000,2.6313e-10,64.3,21.25
-1228500,-3308500,2.6579e-10,64.3,21.25
-1228500,-3306000,2.5955e-10,64.3,21.25
-1228500,-3303500,2.6392e-10,64.3,21.25
-1228500,-3301000,2.6725e-10,64.3,21.25
-1226000,-3348500,1.6195e-10,64.3,21.25
-1226000,-3346000,1.4692e-10,64.3,21.25
-1226000,-3343500,1.4708e-10,64.3,21.25
-1226000,-3341000,1.4841e-10,64.3,21.25
-1226000,-3338500,1.5711e-10,64.3,21.25
-1226000,-3336000,1.9283e-10,64.3,21.25
-1226000,-3333500,2.4664e-10,64.3,21.25
-1226000,-3331000,2.6962e-10,64.3,21.25
-1226000,-3328500,2.7409e-10,64.3,21.25
-1226000,-3326000,2.6857e-10,64.3,21.25
-1226000,-3323500,2.6314e-10,64.3,21.25
-1226000,-3321000,2.664e-10,64.3,21.25
-1226000,-3318500,2.757e-10,64.3,21.25
-1226000,-3316000,2.8082e-10,64.3,21.25
-1226000,-3313500,2.7535e-10,64.3,21.25
-1226000,-3311000,2.7083e-10,64.3,21.25
-1226000,-3308500,2.7469e-10,64.3,21.25
-1226000,-3306000,2.6501e-10,64.3,21.25
-1226000,-3303500,2.6087e-10,64.3,21.25
-1226000,-3301000,2.6205e-10,64.3,21.25
-1223500,-3348500,1.6318e-10,64.3,21.25
-1223500,-3346000,1.48e-10,64.3,21.25
-1223500,-3343500,1.4624e-10,64.3,21.25
-1223500,-3341000,1.4807e-10,64.3,21.25
-1223500,-3338500,1.7127e-10,64.3,21.25
-1223500,-3336000,2.4301e-10,64.3,21.25
-1223500,-3333500,3.1959e-10,64.3,21.25
-1223500,-3331000,3.6549e-10,64.3,21.25
-1223500,-3328500,3.6789e-10,64.3,21.25
-1223500,-3326000,3.6039e-10,64.3,21.25
-1223500,-3323500,3.5794e-10,64.3,21.25
-1223500,-3321000,3.3877e-10,64.3,21.25
-1223500,-3318500,3.3476e-10,64.3,21.25
-1223500,-3316000,3.3024e-10,64.3,21.25
-1223500,-3313500,2.9776e-10,64.3,21.25
-1223500,-3311000,2.7421e-10,64.3,21.25
-1223500,-3308500,2.6801e-10,64.3,21.25
-1223500,-3306000,2.6031e-10,64.3,21.25
-1223500,-3303500,2.6183e-10,64.3,21.25
-1223500,-3301000,2.6323e-10,64.3,21.25
-1221000,-3348500,1.659e-10,64.3,21.25
-1221000,-3346000,1.4934e-10,64.3,21.25
-1221000,-3343500,1.4615e-10,64.3,21.25
-1221000,-3341000,1.4974e-10,64.3,21.25
-1221000,-3338500,1.8509e-10,64.3,21.25
-1221000,-3336000,2.7099e-10,64.3,21.25
-1221000,-3333500,3.678e-10,64.3,21.25
-1221000,-3331000,4.0838e-10,64.3,21.25
-1221000,-3328500,4.2833e-10,64.3,21.25
-1221000,-3326000,4.381e-10,64.3,21.25
-1221000,-3323500,4.404e-10,64.3,21.25
-1221000,-3321000,4.2922e-10,64.3,21.25
-1221000,-3318500,4.1137e-10,64.3,21.25
-1221000,-3316000,3.7681e-10,64.3,21.25
-1221000,-3313500,3.2319e-10,64.3,21.25
-1221000,-3311000,2.7842e-10,64.3,21.25
-1221000,-3308500,2.6314e-10,64.3,21.25
-1221000,-3306000,2.6063e-10,64.3,21.25
-1221000,-3303500,2.5654e-10,64.3,21.25
-1221000,-3301000,2.5496e-10,64.3,21.25
