General parameters:
Start time: 2023             12             26             19             18       5.483951
Finish time: 2023             12             26             20             10      32.887563
Raster type: raster_jump
Horizontal range (nm): -3232275.278741,-3532275.278741
Vertical range (nm): -1022380.307884,-1322380.307884
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.07e-03
Sample chamber pressure: 1.54e-08
Initial position (nm): -3178553.000000,-1028317.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3232275.2787     -3532275.2787
hori_res:5000
vert_range:-1022380.3079     -1322380.3079
vert_res:5000
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 3.319794
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.322380e+06,-3.532275e+06,1.4587e-10,64.4,21.25
-1.322380e+06,-3.527275e+06,1.4427e-10,64.4,21.25
-1.322380e+06,-3.522275e+06,1.4333e-10,64.4,21.25
-1.322380e+06,-3.517275e+06,1.4202e-10,64.4,21.25
-1.322380e+06,-3.512275e+06,1.4092e-10,64.4,21.25
-1.322380e+06,-3.507275e+06,1.4629e-10,64.4,21.25
-1.322380e+06,-3.502275e+06,1.4237e-10,64.4,21.25
-1.322380e+06,-3.497275e+06,1.4177e-10,64.4,21.25
-1.322380e+06,-3.492275e+06,1.4424e-10,64.4,21.25
-1.322380e+06,-3.487275e+06,1.427e-10,64.4,21.25
-1.322380e+06,-3.482275e+06,1.4578e-10,64.4,21.25
-1.322380e+06,-3.477275e+06,1.4523e-10,64.4,21.25
-1.322380e+06,-3.472275e+06,1.4522e-10,64.4,21.25
-1.322380e+06,-3.467275e+06,1.4235e-10,64.4,21.25
-1.322380e+06,-3.462275e+06,1.4484e-10,64.4,21.25
-1.322380e+06,-3.457275e+06,1.4181e-10,64.4,21.25
-1.322380e+06,-3.452275e+06,1.4689e-10,64.4,21.25
-1.322380e+06,-3.447275e+06,1.4251e-10,64.4,21.25
-1.322380e+06,-3.442275e+06,1.4395e-10,64.4,21.25
-1.322380e+06,-3.437275e+06,1.434e-10,64.4,21.25
-1.322380e+06,-3.432275e+06,1.4164e-10,64.4,21.25
-1.322380e+06,-3.427275e+06,1.4519e-10,64.4,21.25
-1.322380e+06,-3.422275e+06,1.4531e-10,64.4,21.25
-1.322380e+06,-3.417275e+06,1.4182e-10,64.4,21.25
-1.322380e+06,-3.412275e+06,1.4299e-10,64.4,21.25
-1.322380e+06,-3.407275e+06,1.4592e-10,64.4,21.25
-1.322380e+06,-3.402275e+06,1.4321e-10,64.4,21.25
-1.322380e+06,-3.397275e+06,1.4343e-10,64.4,21.25
-1.322380e+06,-3.392275e+06,1.4467e-10,64.4,21.25
-1.322380e+06,-3.387275e+06,1.4541e-10,64.4,21.25
-1.322380e+06,-3.382275e+06,1.4615e-10,64.4,21.25
-1.322380e+06,-3.377275e+06,1.4158e-10,64.4,21.25
-1.322380e+06,-3.372275e+06,1.425e-10,64.4,21.25
-1.322380e+06,-3.367275e+06,1.4511e-10,64.4,21.25
-1.322380e+06,-3.362275e+06,1.4143e-10,64.4,21.25
-1.322380e+06,-3.357275e+06,1.4279e-10,64.4,21.25
-1.322380e+06,-3.352275e+06,1.4546e-10,64.4,21.25
-1.322380e+06,-3.347275e+06,1.4556e-10,64.4,21.25
-1.322380e+06,-3.342275e+06,1.4375e-10,64.4,21.25
-1.322380e+06,-3.337275e+06,1.4645e-10,64.4,21.25
-1.322380e+06,-3.332275e+06,1.4753e-10,64.4,21.25
-1.322380e+06,-3.327275e+06,1.4663e-10,64.4,21.25
-1.322380e+06,-3.322275e+06,1.4758e-10,64.4,21.25
-1.322380e+06,-3.317275e+06,1.4501e-10,64.4,21.25
-1.322380e+06,-3.312275e+06,1.4758e-10,64.4,21.25
-1.322380e+06,-3.307275e+06,1.4886e-10,64.4,21.25
-1.322380e+06,-3.302275e+06,1.4494e-10,64.4,21.25
-1.322380e+06,-3.297275e+06,1.4905e-10,64.4,21.25
-1.322380e+06,-3.292275e+06,1.4974e-10,64.4,21.25
-1.322380e+06,-3.287275e+06,1.4963e-10,64.4,21.25
-1.322380e+06,-3.282275e+06,1.4996e-10,64.4,21.25
-1.322380e+06,-3.277275e+06,1.4579e-10,64.4,21.25
-1.322380e+06,-3.272275e+06,1.4437e-10,64.4,21.25
-1.322380e+06,-3.267275e+06,1.479e-10,64.4,21.25
-1.322380e+06,-3.262275e+06,1.502e-10,64.4,21.25
-1.322380e+06,-3.257275e+06,1.474e-10,64.4,21.25
-1.322380e+06,-3.252275e+06,1.4854e-10,64.4,21.25
-1.322380e+06,-3.247275e+06,1.4665e-10,64.4,21.25
-1.322380e+06,-3.242275e+06,1.4708e-10,64.4,21.25
