General parameters:
Start time: 2023             12             26             20             10      45.504676
Finish time: 2023             12             26             21              3      11.993383
Raster type: raster_jump
Horizontal range (nm): -3285286.710239,-3585286.710239
Vertical range (nm): -1011781.090543,-1311781.090543
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.08e-03
Sample chamber pressure: 1.52e-08
Initial position (nm): -3232273.000000,-1022380.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3285286.7102     -3585286.7102
hori_res:5000
vert_range:-1011781.0905     -1311781.0905
vert_res:5000
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 3.319110
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.311781e+06,-3.585287e+06,1.4455e-10,64.4,21.25
-1.311781e+06,-3.580287e+06,1.4343e-10,64.4,21.25
-1.311781e+06,-3.575287e+06,1.454e-10,64.4,21.25
-1.311781e+06,-3.570287e+06,1.4745e-10,64.4,21.25
-1.311781e+06,-3.565287e+06,1.4803e-10,64.4,21.25
-1.311781e+06,-3.560287e+06,1.4331e-10,64.4,21.25
-1.311781e+06,-3.555287e+06,1.4413e-10,64.4,21.25
-1.311781e+06,-3.550287e+06,1.4605e-10,64.4,21.25
-1.311781e+06,-3.545287e+06,1.4499e-10,64.4,21.25
-1.311781e+06,-3.540287e+06,1.4577e-10,64.4,21.25
-1.311781e+06,-3.535287e+06,1.4485e-10,64.4,21.25
-1.311781e+06,-3.530287e+06,1.481e-10,64.4,21.25
-1.311781e+06,-3.525287e+06,1.4356e-10,64.4,21.25
-1.311781e+06,-3.520287e+06,1.4436e-10,64.4,21.25
-1.311781e+06,-3.515287e+06,1.4712e-10,64.4,21.25
-1.311781e+06,-3.510287e+06,1.434e-10,64.4,21.25
-1.311781e+06,-3.505287e+06,1.4207e-10,64.4,21.25
-1.311781e+06,-3.500287e+06,1.4571e-10,64.4,21.25
-1.311781e+06,-3.495287e+06,1.4112e-10,64.4,21.25
-1.311781e+06,-3.490287e+06,1.4184e-10,64.4,21.25
