General parameters:
Start time: 2023             12             26             21              3      24.522235
Finish time: 2023             12             26             21             56        1.16819
Raster type: raster_jump
Horizontal range (nm): -3337172.634576,-3637172.634576
Vertical range (nm): -996601.955737,-1296601.955737
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.07e-03
Sample chamber pressure: 1.54e-08
Initial position (nm): -3285269.000000,-1011780.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3337172.6346     -3637172.6346
hori_res:5000
vert_range:-996601.95574     -1296601.9557
vert_res:5000
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 3.319110
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.296602e+06,-3.637173e+06,1.4492e-10,64.5,21.25
-1.296602e+06,-3.632173e+06,1.4528e-10,64.5,21.25
-1.296602e+06,-3.627173e+06,1.439e-10,64.5,21.25
-1.296602e+06,-3.622173e+06,1.4345e-10,64.5,21.25
-1.296602e+06,-3.617173e+06,1.4358e-10,64.5,21.25
-1.296602e+06,-3.612173e+06,1.4446e-10,64.5,21.25
-1.296602e+06,-3.607173e+06,1.4486e-10,64.5,21.25
-1.296602e+06,-3.602173e+06,1.4316e-10,64.5,21.25
-1.296602e+06,-3.597173e+06,1.4149e-10,64.5,21.25
-1.296602e+06,-3.592173e+06,1.4331e-10,64.5,21.25
-1.296602e+06,-3.587173e+06,1.469e-10,64.5,21.25
-1.296602e+06,-3.582173e+06,1.4313e-10,64.5,21.25
-1.296602e+06,-3.577173e+06,1.4797e-10,64.5,21.25
-1.296602e+06,-3.572173e+06,1.4259e-10,64.5,21.25
-1.296602e+06,-3.567173e+06,1.443e-10,64.5,21.25
-1.296602e+06,-3.562173e+06,1.4246e-10,64.5,21.25
-1.296602e+06,-3.557173e+06,1.4526e-10,64.5,21.25
-1.296602e+06,-3.552173e+06,1.452e-10,64.5,21.25
-1.296602e+06,-3.547173e+06,1.4615e-10,64.5,21.25
-1.296602e+06,-3.542173e+06,1.4356e-10,64.5,21.25
-1.296602e+06,-3.537173e+06,1.4497e-10,64.5,21.25
-1.296602e+06,-3.532173e+06,1.4405e-10,64.5,21.25
-1.296602e+06,-3.527173e+06,1.4298e-10,64.5,21.25
-1.296602e+06,-3.522173e+06,1.4484e-10,64.5,21.25
-1.296602e+06,-3.517173e+06,1.4362e-10,64.5,21.25
-1.296602e+06,-3.512173e+06,1.454e-10,64.5,21.25
-1.296602e+06,-3.507173e+06,1.4467e-10,64.5,21.25
-1.296602e+06,-3.502173e+06,1.409e-10,64.5,21.25
-1.296602e+06,-3.497173e+06,1.4107e-10,64.5,21.25
-1.296602e+06,-3.492173e+06,1.4627e-10,64.5,21.25
-1.296602e+06,-3.487173e+06,1.4228e-10,64.5,21.25
-1.296602e+06,-3.482173e+06,1.4389e-10,64.5,21.25
-1.296602e+06,-3.477173e+06,1.4732e-10,64.5,21.25
-1.296602e+06,-3.472173e+06,1.4611e-10,64.5,21.25
-1.296602e+06,-3.467173e+06,1.4457e-10,64.5,21.25
-1.296602e+06,-3.462173e+06,1.4572e-10,64.5,21.25
-1.296602e+06,-3.457173e+06,1.4898e-10,64.5,21.25
-1.296602e+06,-3.452173e+06,1.4821e-10,64.5,21.25
-1.296602e+06,-3.447173e+06,1.4472e-10,64.5,21.25
-1.296602e+06,-3.442173e+06,1.4776e-10,64.5,21.25
-1.296602e+06,-3.437173e+06,1.5057e-10,64.5,21.25
-1.296602e+06,-3.432173e+06,1.5207e-10,64.5,21.25
-1.296602e+06,-3.427173e+06,1.4599e-10,64.5,21.25
-1.296602e+06,-3.422173e+06,1.5195e-10,64.5,21.25
