General parameters:
Start time: 2023             12             26             22             49          0.366
Finish time: 2023             12             26             23             41      30.115699
Raster type: raster_jump
Horizontal range (nm): -3436000.000000,-3736000.000000
Vertical range (nm): -953000.000000,-1253000.000000
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.05e-03
Sample chamber pressure: 1.54e-08
Initial position (nm): -3387544.000000,-976957.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3436000 -3736000
hori_res:5000
vert_range:-953000 -1253000
vert_res:5000
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 3.319794
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1253000,-3736000,1.4291e-10,64.4,21.25
-1253000,-3731000,1.4105e-10,64.4,21.25
-1253000,-3726000,1.4268e-10,64.4,21.25
-1253000,-3721000,1.4383e-10,64.4,21.25
-1253000,-3716000,1.4493e-10,64.4,21.25
-1253000,-3711000,1.4163e-10,64.4,21.25
-1253000,-3706000,1.4305e-10,64.4,21.25
-1253000,-3701000,1.4552e-10,64.4,21.25
-1253000,-3696000,1.4553e-10,64.4,21.25
-1253000,-3691000,1.4472e-10,64.4,21.25
-1253000,-3686000,1.4119e-10,64.4,21.25
-1253000,-3681000,1.4098e-10,64.4,21.25
-1253000,-3676000,1.4392e-10,64.4,21.25
-1253000,-3671000,1.4526e-10,64.4,21.25
-1253000,-3666000,1.4451e-10,64.4,21.25
-1253000,-3661000,1.4412e-10,64.4,21.25
-1253000,-3656000,1.4398e-10,64.4,21.25
-1253000,-3651000,1.4338e-10,64.4,21.25
-1253000,-3646000,1.4636e-10,64.4,21.25
-1253000,-3641000,1.4588e-10,64.4,21.25
-1253000,-3636000,1.4414e-10,64.4,21.25
-1253000,-3631000,1.453e-10,64.4,21.25
-1253000,-3626000,1.4683e-10,64.4,21.25
-1253000,-3621000,1.4433e-10,64.4,21.25
-1253000,-3616000,1.4306e-10,64.4,21.25
-1253000,-3611000,1.4215e-10,64.4,21.25
-1253000,-3606000,1.411e-10,64.4,21.25
-1253000,-3601000,1.4462e-10,64.4,21.25
-1253000,-3596000,1.4569e-10,64.4,21.25
-1253000,-3591000,1.4588e-10,64.4,21.25
-1253000,-3586000,1.4413e-10,64.4,21.25
-1253000,-3581000,1.4455e-10,64.4,21.25
-1253000,-3576000,1.4498e-10,64.4,21.25
-1253000,-3571000,1.4521e-10,64.4,21.25
-1253000,-3566000,1.4518e-10,64.4,21.25
-1253000,-3561000,1.4769e-10,64.4,21.25
-1253000,-3556000,1.4795e-10,64.4,21.25
-1253000,-3551000,1.4864e-10,64.4,21.25
-1253000,-3546000,1.4689e-10,64.4,21.25
-1253000,-3541000,1.4962e-10,64.4,21.25
-1253000,-3536000,1.48e-10,64.4,21.25
-1253000,-3531000,1.4875e-10,64.4,21.25
-1253000,-3526000,1.4891e-10,64.4,21.25
-1253000,-3521000,1.5013e-10,64.4,21.25
-1253000,-3516000,1.4799e-10,64.4,21.25
-1253000,-3511000,1.4841e-10,64.4,21.25
-1253000,-3506000,1.4646e-10,64.4,21.25
-1253000,-3501000,1.4912e-10,64.4,21.25
-1253000,-3496000,1.4894e-10,64.4,21.25
-1253000,-3491000,1.4967e-10,64.4,21.25
-1253000,-3486000,1.4717e-10,64.4,21.25
-1253000,-3481000,1.4513e-10,64.4,21.25
-1253000,-3476000,1.4757e-10,64.4,21.25
-1253000,-3471000,1.4986e-10,64.4,21.25
-1253000,-3466000,1.5257e-10,64.4,21.25
-1253000,-3461000,1.4773e-10,64.4,21.25
-1253000,-3456000,1.519e-10,64.4,21.25
-1253000,-3451000,1.5102e-10,64.4,21.25
-1253000,-3446000,1.4977e-10,64.4,21.25
-1253000,-3441000,1.4995e-10,64.4,21.25
-1253000,-3436000,1.4899e-10,64.4,21.25
-1248000,-3736000,1.4481e-10,64.4,21.25
-1248000,-3731000,1.4478e-10,64.4,21.25
-1248000,-3726000,1.4449e-10,64.4,21.25
-1248000,-3721000,1.426e-10,64.4,21.25
-1248000,-3716000,1.4066e-10,64.4,21.25
-1248000,-3711000,1.4412e-10,64.4,21.25
