General parameters:
Start time: 2023             12             26             23             41      42.663355
Finish time: 2023             12             27              0             34      18.585137
Raster type: raster_jump
Horizontal range (nm): -3482189.305162,-3782189.305162
Vertical range (nm): -924909.016279,-1224909.016279
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.06e-03
Sample chamber pressure: 1.54e-08
Initial position (nm): -3436027.000000,-953000.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3482189.3052     -3782189.3052
hori_res:5000
vert_range:-924909.01628     -1224909.0163
vert_res:5000
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 3.320478
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.224909e+06,-3.782189e+06,1.4486e-10,64.4,21.25
-1.224909e+06,-3.777189e+06,1.4402e-10,64.4,21.25
-1.224909e+06,-3.772189e+06,1.4508e-10,64.4,21.25
-1.224909e+06,-3.767189e+06,1.4452e-10,64.4,21.25
-1.224909e+06,-3.762189e+06,1.4623e-10,64.4,21.25
-1.224909e+06,-3.757189e+06,1.4608e-10,64.4,21.25
-1.224909e+06,-3.752189e+06,1.4458e-10,64.4,21.25
-1.224909e+06,-3.747189e+06,1.799e-10,64.4,21.25
-1.224909e+06,-3.742189e+06,3.3904e-10,64.4,21.25
-1.224909e+06,-3.737189e+06,3.5856e-10,64.4,21.25
-1.224909e+06,-3.732189e+06,2.2021e-10,64.4,21.25
-1.224909e+06,-3.727189e+06,1.5931e-10,64.4,21.25
-1.224909e+06,-3.722189e+06,1.8866e-10,64.4,21.25
-1.224909e+06,-3.717189e+06,1.6914e-10,64.4,21.25
-1.224909e+06,-3.712189e+06,1.4876e-10,64.4,21.25
-1.224909e+06,-3.707189e+06,1.4147e-10,64.4,21.25
-1.224909e+06,-3.702189e+06,1.4312e-10,64.4,21.25
-1.224909e+06,-3.697189e+06,1.4289e-10,64.4,21.25
-1.224909e+06,-3.692189e+06,1.4272e-10,64.4,21.25
-1.224909e+06,-3.687189e+06,1.4581e-10,64.4,21.25
-1.224909e+06,-3.682189e+06,1.4488e-10,64.4,21.25
-1.224909e+06,-3.677189e+06,1.4584e-10,64.4,21.25
-1.224909e+06,-3.672189e+06,1.4561e-10,64.4,21.25
-1.224909e+06,-3.667189e+06,1.4292e-10,64.4,21.25
-1.224909e+06,-3.662189e+06,1.4298e-10,64.4,21.25
-1.224909e+06,-3.657189e+06,1.4317e-10,64.4,21.25
-1.224909e+06,-3.652189e+06,1.4534e-10,64.4,21.25
-1.224909e+06,-3.647189e+06,1.4221e-10,64.4,21.25
-1.224909e+06,-3.642189e+06,1.4469e-10,64.4,21.25
-1.224909e+06,-3.637189e+06,1.4724e-10,64.4,21.25
-1.224909e+06,-3.632189e+06,1.4464e-10,64.4,21.25
-1.224909e+06,-3.627189e+06,1.4742e-10,64.4,21.25
-1.224909e+06,-3.622189e+06,1.4653e-10,64.4,21.25
-1.224909e+06,-3.617189e+06,1.495e-10,64.4,21.25
-1.224909e+06,-3.612189e+06,1.4829e-10,64.4,21.25
-1.224909e+06,-3.607189e+06,1.4854e-10,64.4,21.25
-1.224909e+06,-3.602189e+06,1.4787e-10,64.4,21.25
-1.224909e+06,-3.597189e+06,1.4826e-10,64.4,21.25
-1.224909e+06,-3.592189e+06,1.4917e-10,64.4,21.25
-1.224909e+06,-3.587189e+06,1.4711e-10,64.4,21.25
-1.224909e+06,-3.582189e+06,1.5196e-10,64.4,21.25
-1.224909e+06,-3.577189e+06,1.475e-10,64.4,21.25
-1.224909e+06,-3.572189e+06,1.4852e-10,64.4,21.25
-1.224909e+06,-3.567189e+06,1.5139e-10,64.4,21.25
-1.224909e+06,-3.562189e+06,1.4919e-10,64.4,21.25
-1.224909e+06,-3.557189e+06,1.4997e-10,64.4,21.25
-1.224909e+06,-3.552189e+06,1.4881e-10,64.4,21.25
-1.224909e+06,-3.547189e+06,1.4793e-10,64.4,21.25
-1.224909e+06,-3.542189e+06,1.4463e-10,64.4,21.25
-1.224909e+06,-3.537189e+06,1.4818e-10,64.4,21.25
-1.224909e+06,-3.532189e+06,1.482e-10,64.4,21.25
-1.224909e+06,-3.527189e+06,1.4922e-10,64.4,21.25
-1.224909e+06,-3.522189e+06,1.4728e-10,64.4,21.25
-1.224909e+06,-3.517189e+06,1.4772e-10,64.4,21.25
-1.224909e+06,-3.512189e+06,1.5006e-10,64.4,21.25
-1.224909e+06,-3.507189e+06,1.4781e-10,64.4,21.25
-1.224909e+06,-3.502189e+06,1.493e-10,64.4,21.25
-1.224909e+06,-3.497189e+06,1.4868e-10,64.4,21.25
-1.224909e+06,-3.492189e+06,1.48e-10,64.4,21.25
-1.224909e+06,-3.487189e+06,1.4827e-10,64.4,21.25
-1.224909e+06,-3.482189e+06,1.5032e-10,64.4,21.25
-1.219909e+06,-3.782189e+06,1.4943e-10,64.4,21.25
-1.219909e+06,-3.777189e+06,1.4243e-10,64.4,21.25
-1.219909e+06,-3.772189e+06,1.4718e-10,64.4,21.25
-1.219909e+06,-3.767189e+06,1.4207e-10,64.4,21.25
-1.219909e+06,-3.762189e+06,1.4505e-10,64.4,21.25
-1.219909e+06,-3.757189e+06,1.4371e-10,64.4,21.25
-1.219909e+06,-3.752189e+06,1.4775e-10,64.4,21.25
-1.219909e+06,-3.747189e+06,1.6337e-10,64.4,21.25
-1.219909e+06,-3.742189e+06,2.956e-10,64.4,21.25
-1.219909e+06,-3.737189e+06,4.6751e-10,64.4,21.25
-1.219909e+06,-3.732189e+06,2.5803e-10,64.4,21.25
-1.219909e+06,-3.727189e+06,1.6142e-10,64.4,21.25
-1.219909e+06,-3.722189e+06,2.2078e-10,64.4,21.25
-1.219909e+06,-3.717189e+06,2.2418e-10,64.4,21.25
-1.219909e+06,-3.712189e+06,1.7183e-10,64.4,21.25
-1.219909e+06,-3.707189e+06,1.4695e-10,64.4,21.25
-1.219909e+06,-3.702189e+06,1.4546e-10,64.4,21.25
-1.219909e+06,-3.697189e+06,1.4691e-10,64.4,21.25
-1.219909e+06,-3.692189e+06,1.4224e-10,64.4,21.25
-1.219909e+06,-3.687189e+06,1.4809e-10,64.4,21.25
-1.219909e+06,-3.682189e+06,1.4721e-10,64.4,21.25
-1.219909e+06,-3.677189e+06,1.4406e-10,64.4,21.25
-1.219909e+06,-3.672189e+06,1.4427e-10,64.4,21.25
-1.219909e+06,-3.667189e+06,1.4555e-10,64.4,21.25
-1.219909e+06,-3.662189e+06,1.4308e-10,64.4,21.25
-1.219909e+06,-3.657189e+06,1.4636e-10,64.4,21.25
-1.219909e+06,-3.652189e+06,1.4369e-10,64.4,21.25
-1.219909e+06,-3.647189e+06,1.4515e-10,64.4,21.25
-1.219909e+06,-3.642189e+06,1.4501e-10,64.4,21.25
-1.219909e+06,-3.637189e+06,1.4244e-10,64.4,21.25
-1.219909e+06,-3.632189e+06,1.469e-10,64.4,21.25
-1.219909e+06,-3.627189e+06,1.4734e-10,64.4,21.25
-1.219909e+06,-3.622189e+06,1.4799e-10,64.4,21.25
-1.219909e+06,-3.617189e+06,1.4598e-10,64.4,21.25
-1.219909e+06,-3.612189e+06,1.4752e-10,64.4,21.25
-1.219909e+06,-3.607189e+06,1.5108e-10,64.4,21.25
-1.219909e+06,-3.602189e+06,1.4886e-10,64.4,21.25
-1.219909e+06,-3.597189e+06,1.4716e-10,64.4,21.25
-1.219909e+06,-3.592189e+06,1.5203e-10,64.4,21.25
-1.219909e+06,-3.587189e+06,1.5098e-10,64.4,21.25
-1.219909e+06,-3.582189e+06,1.4689e-10,64.4,21.25
-1.219909e+06,-3.577189e+06,1.4641e-10,64.4,21.25
-1.219909e+06,-3.572189e+06,1.533e-10,64.4,21.25
-1.219909e+06,-3.567189e+06,1.5103e-10,64.4,21.25
-1.219909e+06,-3.562189e+06,1.495e-10,64.4,21.25
-1.219909e+06,-3.557189e+06,1.5001e-10,64.4,21.25
-1.219909e+06,-3.552189e+06,1.505e-10,64.4,21.25
-1.219909e+06,-3.547189e+06,1.4918e-10,64.4,21.25
-1.219909e+06,-3.542189e+06,1.4645e-10,64.4,21.25
-1.219909e+06,-3.537189e+06,1.5157e-10,64.4,21.25
-1.219909e+06,-3.532189e+06,1.4774e-10,64.4,21.25
-1.219909e+06,-3.527189e+06,1.5083e-10,64.4,21.25
-1.219909e+06,-3.522189e+06,1.4956e-10,64.4,21.25
-1.219909e+06,-3.517189e+06,1.4784e-10,64.4,21.25
-1.219909e+06,-3.512189e+06,1.4928e-10,64.4,21.25
-1.219909e+06,-3.507189e+06,1.5195e-10,64.4,21.25
-1.219909e+06,-3.502189e+06,1.4719e-10,64.4,21.25
-1.219909e+06,-3.497189e+06,1.4752e-10,64.4,21.25
-1.219909e+06,-3.492189e+06,1.4521e-10,64.4,21.25
-1.219909e+06,-3.487189e+06,1.4793e-10,64.4,21.25
-1.219909e+06,-3.482189e+06,1.4775e-10,64.4,21.25
-1.214909e+06,-3.782189e+06,1.4335e-10,64.4,21.25
-1.214909e+06,-3.777189e+06,1.4294e-10,64.4,21.25
-1.214909e+06,-3.772189e+06,1.4505e-10,64.4,21.25
-1.214909e+06,-3.767189e+06,1.438e-10,64.4,21.25
-1.214909e+06,-3.762189e+06,1.438e-10,64.4,21.25
-1.214909e+06,-3.757189e+06,1.4238e-10,64.4,21.25
-1.214909e+06,-3.752189e+06,1.4649e-10,64.4,21.25
-1.214909e+06,-3.747189e+06,1.4818e-10,64.4,21.25
-1.214909e+06,-3.742189e+06,1.5691e-10,64.4,21.25
-1.214909e+06,-3.737189e+06,1.6921e-10,64.4,21.25
-1.214909e+06,-3.732189e+06,1.5292e-10,64.4,21.25
-1.214909e+06,-3.727189e+06,1.476e-10,64.4,21.25
-1.214909e+06,-3.722189e+06,1.6237e-10,64.4,21.25
-1.214909e+06,-3.717189e+06,1.618e-10,64.4,21.25
-1.214909e+06,-3.712189e+06,1.484e-10,64.4,21.25
-1.214909e+06,-3.707189e+06,1.4274e-10,64.4,21.25
-1.214909e+06,-3.702189e+06,1.4437e-10,64.4,21.25
-1.214909e+06,-3.697189e+06,1.4292e-10,64.4,21.25
-1.214909e+06,-3.692189e+06,1.4321e-10,64.4,21.25
-1.214909e+06,-3.687189e+06,1.4497e-10,64.4,21.25
-1.214909e+06,-3.682189e+06,1.4372e-10,64.4,21.25
-1.214909e+06,-3.677189e+06,1.4379e-10,64.4,21.25
-1.214909e+06,-3.672189e+06,1.4577e-10,64.4,21.25
-1.214909e+06,-3.667189e+06,1.4282e-10,64.4,21.25
-1.214909e+06,-3.662189e+06,1.4284e-10,64.4,21.25
-1.214909e+06,-3.657189e+06,1.4483e-10,64.4,21.25
-1.214909e+06,-3.652189e+06,1.4447e-10,64.4,21.25
-1.214909e+06,-3.647189e+06,1.4367e-10,64.4,21.25
-1.214909e+06,-3.642189e+06,1.4272e-10,64.4,21.25
-1.214909e+06,-3.637189e+06,1.4461e-10,64.4,21.25
-1.214909e+06,-3.632189e+06,1.4691e-10,64.4,21.25
-1.214909e+06,-3.627189e+06,1.479e-10,64.4,21.25
-1.214909e+06,-3.622189e+06,1.4597e-10,64.4,21.25
-1.214909e+06,-3.617189e+06,1.4595e-10,64.4,21.25
-1.214909e+06,-3.612189e+06,1.4706e-10,64.4,21.25
-1.214909e+06,-3.607189e+06,1.491e-10,64.4,21.25
-1.214909e+06,-3.602189e+06,1.4826e-10,64.4,21.25
-1.214909e+06,-3.597189e+06,1.4797e-10,64.4,21.25
-1.214909e+06,-3.592189e+06,1.4928e-10,64.4,21.25
-1.214909e+06,-3.587189e+06,1.4778e-10,64.4,21.25
-1.214909e+06,-3.582189e+06,1.4901e-10,64.4,21.25
-1.214909e+06,-3.577189e+06,1.4774e-10,64.4,21.25
-1.214909e+06,-3.572189e+06,1.4782e-10,64.4,21.25
-1.214909e+06,-3.567189e+06,1.47e-10,64.4,21.25
-1.214909e+06,-3.562189e+06,1.5017e-10,64.4,21.25
-1.214909e+06,-3.557189e+06,1.4752e-10,64.4,21.25
-1.214909e+06,-3.552189e+06,1.4949e-10,64.4,21.25
-1.214909e+06,-3.547189e+06,1.4757e-10,64.4,21.25
-1.214909e+06,-3.542189e+06,1.4646e-10,64.4,21.25
-1.214909e+06,-3.537189e+06,1.4863e-10,64.4,21.25
-1.214909e+06,-3.532189e+06,1.503e-10,64.4,21.25
-1.214909e+06,-3.527189e+06,1.501e-10,64.4,21.25
-1.214909e+06,-3.522189e+06,1.503e-10,64.4,21.25
-1.214909e+06,-3.517189e+06,1.4838e-10,64.4,21.25
-1.214909e+06,-3.512189e+06,1.4711e-10,64.4,21.25
-1.214909e+06,-3.507189e+06,1.4847e-10,64.4,21.25
-1.214909e+06,-3.502189e+06,1.4707e-10,64.4,21.25
-1.214909e+06,-3.497189e+06,1.5054e-10,64.4,21.25
-1.214909e+06,-3.492189e+06,1.5057e-10,64.4,21.25
-1.214909e+06,-3.487189e+06,1.4826e-10,64.4,21.25
-1.214909e+06,-3.482189e+06,1.4864e-10,64.4,21.25
-1.209909e+06,-3.782189e+06,1.4395e-10,64.4,21.25
-1.209909e+06,-3.777189e+06,1.4269e-10,64.4,21.25
-1.209909e+06,-3.772189e+06,1.4177e-10,64.4,21.25
-1.209909e+06,-3.767189e+06,1.4535e-10,64.4,21.25
-1.209909e+06,-3.762189e+06,1.4244e-10,64.4,21.25
-1.209909e+06,-3.757189e+06,1.4208e-10,64.4,21.25
-1.209909e+06,-3.752189e+06,1.4249e-10,64.4,21.25
-1.209909e+06,-3.747189e+06,1.4163e-10,64.4,21.25
-1.209909e+06,-3.742189e+06,1.4328e-10,64.4,21.25
-1.209909e+06,-3.737189e+06,1.4499e-10,64.4,21.25
-1.209909e+06,-3.732189e+06,1.4327e-10,64.4,21.25
-1.209909e+06,-3.727189e+06,1.4237e-10,64.4,21.25
-1.209909e+06,-3.722189e+06,1.4416e-10,64.4,21.25
-1.209909e+06,-3.717189e+06,1.4715e-10,64.4,21.25
-1.209909e+06,-3.712189e+06,1.4311e-10,64.4,21.25
