General parameters:
Start time: 2023             12             27              0             34      31.180736
Finish time: 2023             12             27              1             27       1.129295
Raster type: raster_jump
Horizontal range (nm): -3525754.555523,-3825754.555523
Vertical range (nm): -892899.264034,-1192899.264034
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.07e-03
Sample chamber pressure: 1.52e-08
Initial position (nm): -3482190.000000,-924910.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3525754.5555     -3825754.5555
hori_res:5000
vert_range:-892899.26403      -1192899.264
vert_res:5000
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 3.323898
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.192899e+06,-3.825755e+06,1.4455e-10,64.5,21.25
-1.192899e+06,-3.820755e+06,1.4641e-10,64.5,21.25
-1.192899e+06,-3.815755e+06,1.4536e-10,64.5,21.25
-1.192899e+06,-3.810755e+06,1.4472e-10,64.5,21.25
-1.192899e+06,-3.805755e+06,1.4379e-10,64.5,21.25
-1.192899e+06,-3.800755e+06,1.4497e-10,64.5,21.25
-1.192899e+06,-3.795755e+06,1.4274e-10,64.5,21.25
-1.192899e+06,-3.790755e+06,1.4514e-10,64.5,21.25
-1.192899e+06,-3.785755e+06,1.4393e-10,64.5,21.25
-1.192899e+06,-3.780755e+06,1.4594e-10,64.5,21.25
-1.192899e+06,-3.775755e+06,1.4273e-10,64.5,21.25
-1.192899e+06,-3.770755e+06,1.447e-10,64.5,21.25
-1.192899e+06,-3.765755e+06,1.4475e-10,64.5,21.25
-1.192899e+06,-3.760755e+06,1.4567e-10,64.5,21.25
-1.192899e+06,-3.755755e+06,1.4483e-10,64.5,21.25
-1.192899e+06,-3.750755e+06,1.4442e-10,64.5,21.25
-1.192899e+06,-3.745755e+06,1.4336e-10,64.5,21.25
-1.192899e+06,-3.740755e+06,1.4371e-10,64.5,21.25
-1.192899e+06,-3.735755e+06,1.4077e-10,64.5,21.25
-1.192899e+06,-3.730755e+06,1.4638e-10,64.5,21.25
-1.192899e+06,-3.725755e+06,1.4449e-10,64.5,21.25
-1.192899e+06,-3.720755e+06,1.4616e-10,64.5,21.25
-1.192899e+06,-3.715755e+06,1.4664e-10,64.5,21.25
-1.192899e+06,-3.710755e+06,1.4384e-10,64.5,21.25
-1.192899e+06,-3.705755e+06,1.4239e-10,64.5,21.25
-1.192899e+06,-3.700755e+06,1.4381e-10,64.5,21.25
-1.192899e+06,-3.695755e+06,1.4398e-10,64.5,21.25
-1.192899e+06,-3.690755e+06,1.4492e-10,64.5,21.25
-1.192899e+06,-3.685755e+06,1.432e-10,64.5,21.25
-1.192899e+06,-3.680755e+06,1.4449e-10,64.5,21.25
-1.192899e+06,-3.675755e+06,1.4728e-10,64.5,21.25
-1.192899e+06,-3.670755e+06,1.4605e-10,64.5,21.25
-1.192899e+06,-3.665755e+06,1.4893e-10,64.5,21.25
-1.192899e+06,-3.660755e+06,1.4916e-10,64.5,21.25
-1.192899e+06,-3.655755e+06,1.5102e-10,64.5,21.25
-1.192899e+06,-3.650755e+06,1.4641e-10,64.5,21.25
-1.192899e+06,-3.645755e+06,1.495e-10,64.5,21.25
-1.192899e+06,-3.640755e+06,1.5125e-10,64.5,21.25
-1.192899e+06,-3.635755e+06,1.4963e-10,64.5,21.25
-1.192899e+06,-3.630755e+06,1.4555e-10,64.5,21.25
-1.192899e+06,-3.625755e+06,1.4955e-10,64.5,21.25
-1.192899e+06,-3.620755e+06,1.4888e-10,64.5,21.25
-1.192899e+06,-3.615755e+06,1.5039e-10,64.5,21.25
-1.192899e+06,-3.610755e+06,1.4722e-10,64.5,21.25
-1.192899e+06,-3.605755e+06,1.5263e-10,64.5,21.25
-1.192899e+06,-3.600755e+06,1.4991e-10,64.5,21.25
-1.192899e+06,-3.595755e+06,1.5063e-10,64.5,21.25
-1.192899e+06,-3.590755e+06,1.4847e-10,64.5,21.25
-1.192899e+06,-3.585755e+06,1.4637e-10,64.5,21.25
-1.192899e+06,-3.580755e+06,1.4914e-10,64.5,21.25
-1.192899e+06,-3.575755e+06,1.489e-10,64.5,21.25
-1.192899e+06,-3.570755e+06,1.5017e-10,64.5,21.25
-1.192899e+06,-3.565755e+06,1.4865e-10,64.5,21.25
-1.192899e+06,-3.560755e+06,1.492e-10,64.5,21.25
-1.192899e+06,-3.555755e+06,1.4691e-10,64.5,21.25
-1.192899e+06,-3.550755e+06,1.4979e-10,64.5,21.25
-1.192899e+06,-3.545755e+06,1.4918e-10,64.5,21.25
-1.192899e+06,-3.540755e+06,1.4709e-10,64.5,21.25
-1.192899e+06,-3.535755e+06,1.4689e-10,64.5,21.25
-1.192899e+06,-3.530755e+06,1.4776e-10,64.5,21.25
-1.192899e+06,-3.525755e+06,1.4923e-10,64.5,21.25
-1.187899e+06,-3.825755e+06,1.4268e-10,64.5,21.25
-1.187899e+06,-3.820755e+06,1.4311e-10,64.5,21.25
-1.187899e+06,-3.815755e+06,1.4599e-10,64.5,21.25
-1.187899e+06,-3.810755e+06,1.4476e-10,64.5,21.25
-1.187899e+06,-3.805755e+06,1.4312e-10,64.5,21.25
-1.187899e+06,-3.800755e+06,1.4349e-10,64.5,21.25
-1.187899e+06,-3.795755e+06,1.55e-10,64.5,21.25
-1.187899e+06,-3.790755e+06,1.5769e-10,64.5,21.25
