General parameters:
Start time: 2023             12             27              3             12      36.388689
Finish time: 2023             12             27              4              5       9.266165
Raster type: raster_jump
Horizontal range (nm): -3637505.221334,-3937505.221334
Vertical range (nm): -775931.315405,-1075931.315405
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.05e-03
Sample chamber pressure: 1.54e-08
Initial position (nm): -3603710.000000,-818124.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3637505.2213     -3937505.2213
hori_res:5000
vert_range:-775931.31541     -1075931.3154
vert_res:5000
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 3.319794
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.075931e+06,-3.937505e+06,1.4659e-10,64.5,21.25
-1.075931e+06,-3.932505e+06,1.4373e-10,64.5,21.25
-1.075931e+06,-3.927505e+06,1.406e-10,64.5,21.25
-1.075931e+06,-3.922505e+06,1.4424e-10,64.5,21.25
-1.075931e+06,-3.917505e+06,1.4597e-10,64.5,21.25
-1.075931e+06,-3.912505e+06,1.4494e-10,64.5,21.25
-1.075931e+06,-3.907505e+06,1.4514e-10,64.5,21.25
-1.075931e+06,-3.902505e+06,1.4386e-10,64.5,21.25
-1.075931e+06,-3.897505e+06,1.4185e-10,64.5,21.25
-1.075931e+06,-3.892505e+06,1.4798e-10,64.5,21.25
-1.075931e+06,-3.887505e+06,1.4562e-10,64.5,21.25
-1.075931e+06,-3.882505e+06,1.4774e-10,64.5,21.25
-1.075931e+06,-3.877505e+06,1.4719e-10,64.5,21.25
-1.075931e+06,-3.872505e+06,1.4929e-10,64.5,21.25
-1.075931e+06,-3.867505e+06,1.509e-10,64.5,21.25
-1.075931e+06,-3.862505e+06,1.4933e-10,64.5,21.25
-1.075931e+06,-3.857505e+06,1.4756e-10,64.5,21.25
-1.075931e+06,-3.852505e+06,1.4877e-10,64.5,21.25
-1.075931e+06,-3.847505e+06,1.4936e-10,64.5,21.25
-1.075931e+06,-3.842505e+06,1.4552e-10,64.5,21.25
-1.075931e+06,-3.837505e+06,1.4655e-10,64.5,21.25
-1.075931e+06,-3.832505e+06,1.4668e-10,64.5,21.25
-1.075931e+06,-3.827505e+06,1.4812e-10,64.5,21.25
-1.075931e+06,-3.822505e+06,1.462e-10,64.5,21.25
-1.075931e+06,-3.817505e+06,1.4959e-10,64.5,21.25
-1.075931e+06,-3.812505e+06,1.4668e-10,64.5,21.25
-1.075931e+06,-3.807505e+06,1.4686e-10,64.5,21.25
-1.075931e+06,-3.802505e+06,1.4824e-10,64.5,21.25
-1.075931e+06,-3.797505e+06,1.4973e-10,64.5,21.25
-1.075931e+06,-3.792505e+06,1.4605e-10,64.5,21.25
-1.075931e+06,-3.787505e+06,1.4918e-10,64.5,21.25
-1.075931e+06,-3.782505e+06,1.4673e-10,64.5,21.25
-1.075931e+06,-3.777505e+06,1.4824e-10,64.5,21.25
-1.075931e+06,-3.772505e+06,1.4841e-10,64.5,21.25
-1.075931e+06,-3.767505e+06,1.4691e-10,64.5,21.25
-1.075931e+06,-3.762505e+06,1.4657e-10,64.5,21.25
-1.075931e+06,-3.757505e+06,1.4817e-10,64.5,21.25
-1.075931e+06,-3.752505e+06,1.4826e-10,64.5,21.25
-1.075931e+06,-3.747505e+06,1.4929e-10,64.5,21.25
-1.075931e+06,-3.742505e+06,1.4783e-10,64.5,21.25
-1.075931e+06,-3.737505e+06,1.4746e-10,64.5,21.25
-1.075931e+06,-3.732505e+06,1.4923e-10,64.5,21.25
-1.075931e+06,-3.727505e+06,1.4969e-10,64.5,21.25
-1.075931e+06,-3.722505e+06,1.4763e-10,64.5,21.25
-1.075931e+06,-3.717505e+06,1.4875e-10,64.5,21.25
-1.075931e+06,-3.712505e+06,1.4917e-10,64.5,21.25
-1.075931e+06,-3.707505e+06,1.4929e-10,64.5,21.25
-1.075931e+06,-3.702505e+06,1.4764e-10,64.5,21.25
-1.075931e+06,-3.697505e+06,1.4904e-10,64.5,21.25
-1.075931e+06,-3.692505e+06,1.4908e-10,64.5,21.25
-1.075931e+06,-3.687505e+06,1.4888e-10,64.5,21.25
-1.075931e+06,-3.682505e+06,1.5025e-10,64.5,21.25
-1.075931e+06,-3.677505e+06,1.4756e-10,64.5,21.25
-1.075931e+06,-3.672505e+06,1.4647e-10,64.5,21.25
-1.075931e+06,-3.667505e+06,1.4751e-10,64.5,21.25
-1.075931e+06,-3.662505e+06,1.4649e-10,64.5,21.25
-1.075931e+06,-3.657505e+06,1.4947e-10,64.5,21.25
