General parameters:
Start time: 2023             12             27              4             58       8.633252
Finish time: 2023             12             27              5             50      41.234014
Raster type: raster_jump
Horizontal range (nm): -3693450.805363,-3993450.805363
Vertical range (nm): -683529.636155,-983529.636155
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.08e-03
Sample chamber pressure: 1.54e-08
Initial position (nm): -3667502.000000,-730950.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3693450.8054     -3993450.8054
hori_res:5000
vert_range:-683529.6362     -983529.6362
vert_res:5000
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 3.317400
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-9.835296e+05,-3.993451e+06,1.4508e-10,64.5,21.25
-9.835296e+05,-3.988451e+06,1.4508e-10,64.5,21.25
-9.835296e+05,-3.983451e+06,1.4904e-10,64.5,21.25
-9.835296e+05,-3.978451e+06,1.4756e-10,64.5,21.25
-9.835296e+05,-3.973451e+06,1.4448e-10,64.5,21.25
-9.835296e+05,-3.968451e+06,1.489e-10,64.5,21.25
-9.835296e+05,-3.963451e+06,1.4575e-10,64.5,21.25
-9.835296e+05,-3.958451e+06,1.4458e-10,64.5,21.25
-9.835296e+05,-3.953451e+06,1.4631e-10,64.5,21.25
-9.835296e+05,-3.948451e+06,1.4621e-10,64.5,21.25
-9.835296e+05,-3.943451e+06,1.4707e-10,64.5,21.25
-9.835296e+05,-3.938451e+06,1.4851e-10,64.5,21.25
-9.835296e+05,-3.933451e+06,1.4613e-10,64.5,21.25
-9.835296e+05,-3.928451e+06,1.5017e-10,64.5,21.25
-9.835296e+05,-3.923451e+06,1.4856e-10,64.5,21.25
-9.835296e+05,-3.918451e+06,1.4861e-10,64.5,21.25
-9.835296e+05,-3.913451e+06,1.4885e-10,64.5,21.25
-9.835296e+05,-3.908451e+06,1.4538e-10,64.5,21.25
-9.835296e+05,-3.903451e+06,1.4715e-10,64.5,21.25
-9.835296e+05,-3.898451e+06,1.4785e-10,64.5,21.25
-9.835296e+05,-3.893451e+06,1.4663e-10,64.5,21.25
-9.835296e+05,-3.888451e+06,1.4377e-10,64.5,21.25
-9.835296e+05,-3.883451e+06,1.4588e-10,64.5,21.25
-9.835296e+05,-3.878451e+06,1.4817e-10,64.5,21.25
-9.835296e+05,-3.873451e+06,1.4586e-10,64.5,21.25
-9.835296e+05,-3.868451e+06,1.4781e-10,64.5,21.25
-9.835296e+05,-3.863451e+06,1.4798e-10,64.5,21.25
-9.835296e+05,-3.858451e+06,1.4548e-10,64.5,21.25
-9.835296e+05,-3.853451e+06,1.4769e-10,64.5,21.25
-9.835296e+05,-3.848451e+06,1.4741e-10,64.5,21.25
-9.835296e+05,-3.843451e+06,1.4714e-10,64.5,21.25
-9.835296e+05,-3.838451e+06,1.4608e-10,64.5,21.25
-9.835296e+05,-3.833451e+06,1.4804e-10,64.5,21.25
-9.835296e+05,-3.828451e+06,1.4466e-10,64.5,21.25
-9.835296e+05,-3.823451e+06,1.4747e-10,64.5,21.25
-9.835296e+05,-3.818451e+06,1.479e-10,64.5,21.25
-9.835296e+05,-3.813451e+06,1.4632e-10,64.5,21.25
-9.835296e+05,-3.808451e+06,1.4696e-10,64.5,21.25
-9.835296e+05,-3.803451e+06,1.4526e-10,64.5,21.25
-9.835296e+05,-3.798451e+06,1.4431e-10,64.5,21.25
-9.835296e+05,-3.793451e+06,1.4496e-10,64.5,21.25
-9.835296e+05,-3.788451e+06,1.4954e-10,64.5,21.25
-9.835296e+05,-3.783451e+06,1.4858e-10,64.5,21.25
-9.835296e+05,-3.778451e+06,1.4627e-10,64.5,21.25
-9.835296e+05,-3.773451e+06,1.4657e-10,64.5,21.25
-9.835296e+05,-3.768451e+06,1.4977e-10,64.5,21.25
-9.835296e+05,-3.763451e+06,1.475e-10,64.5,21.25
-9.835296e+05,-3.758451e+06,1.4632e-10,64.5,21.25
-9.835296e+05,-3.753451e+06,1.4647e-10,64.5,21.25
-9.835296e+05,-3.748451e+06,1.4599e-10,64.5,21.25
-9.835296e+05,-3.743451e+06,1.4692e-10,64.5,21.25
-9.835296e+05,-3.738451e+06,1.4804e-10,64.5,21.25
-9.835296e+05,-3.733451e+06,1.4586e-10,64.5,21.25
-9.835296e+05,-3.728451e+06,1.4399e-10,64.5,21.25
-9.835296e+05,-3.723451e+06,1.4545e-10,64.5,21.25
-9.835296e+05,-3.718451e+06,1.4662e-10,64.5,21.25
-9.835296e+05,-3.713451e+06,1.4632e-10,64.5,21.25
-9.835296e+05,-3.708451e+06,1.4559e-10,64.5,21.25
-9.835296e+05,-3.703451e+06,1.4536e-10,64.5,21.25
-9.835296e+05,-3.698451e+06,1.4925e-10,64.5,21.25
-9.835296e+05,-3.693451e+06,1.4491e-10,64.5,21.25
-9.785296e+05,-3.993451e+06,1.4918e-10,64.5,21.25
-9.785296e+05,-3.988451e+06,1.4782e-10,64.5,21.25
-9.785296e+05,-3.983451e+06,1.4523e-10,64.5,21.25
-9.785296e+05,-3.978451e+06,1.4661e-10,64.5,21.25
-9.785296e+05,-3.973451e+06,1.4662e-10,64.5,21.25
-9.785296e+05,-3.968451e+06,1.4845e-10,64.5,21.25
-9.785296e+05,-3.963451e+06,1.4757e-10,64.5,21.25
