General parameters:
Start time: 2023             12             27              5             50      53.759431
Finish time: 2023             12             27              6             43      22.853046
Raster type: raster_jump
Horizontal range (nm): -3715174.542775,-4015174.542775
Vertical range (nm): -634025.752361,-934025.752361
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.07e-03
Sample chamber pressure: 1.56e-08
Initial position (nm): -3693469.000000,-683526.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3715174.5428     -4015174.5428
hori_res:5000
vert_range:-634025.7524     -934025.7524
vert_res:5000
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 3.315006
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-9.340258e+05,-4.015175e+06,1.4512e-10,64.5,21.25
-9.340258e+05,-4.010175e+06,1.4749e-10,64.5,21.25
-9.340258e+05,-4.005175e+06,1.4524e-10,64.5,21.25
-9.340258e+05,-4.000175e+06,1.4719e-10,64.5,21.25
-9.340258e+05,-3.995175e+06,1.4975e-10,64.5,21.25
-9.340258e+05,-3.990175e+06,1.4712e-10,64.5,21.25
-9.340258e+05,-3.985175e+06,1.4875e-10,64.5,21.25
-9.340258e+05,-3.980175e+06,1.5079e-10,64.5,21.25
-9.340258e+05,-3.975175e+06,1.4639e-10,64.5,21.25
-9.340258e+05,-3.970175e+06,1.4831e-10,64.5,21.25
-9.340258e+05,-3.965175e+06,1.4797e-10,64.5,21.25
-9.340258e+05,-3.960175e+06,1.4926e-10,64.5,21.25
-9.340258e+05,-3.955175e+06,1.4727e-10,64.5,21.25
-9.340258e+05,-3.950175e+06,1.4746e-10,64.5,21.25
-9.340258e+05,-3.945175e+06,1.4435e-10,64.5,21.25
-9.340258e+05,-3.940175e+06,1.4754e-10,64.5,21.25
-9.340258e+05,-3.935175e+06,1.4705e-10,64.5,21.25
-9.340258e+05,-3.930175e+06,1.4626e-10,64.5,21.25
-9.340258e+05,-3.925175e+06,1.4822e-10,64.5,21.25
-9.340258e+05,-3.920175e+06,1.4966e-10,64.5,21.25
-9.340258e+05,-3.915175e+06,1.4811e-10,64.5,21.25
-9.340258e+05,-3.910175e+06,1.4757e-10,64.5,21.25
-9.340258e+05,-3.905175e+06,1.4455e-10,64.5,21.25
-9.340258e+05,-3.900175e+06,1.4873e-10,64.5,21.25
-9.340258e+05,-3.895175e+06,1.4506e-10,64.5,21.25
-9.340258e+05,-3.890175e+06,1.4542e-10,64.5,21.25
-9.340258e+05,-3.885175e+06,1.4973e-10,64.5,21.25
-9.340258e+05,-3.880175e+06,1.474e-10,64.5,21.25
-9.340258e+05,-3.875175e+06,1.4591e-10,64.5,21.25
-9.340258e+05,-3.870175e+06,1.4821e-10,64.5,21.25
-9.340258e+05,-3.865175e+06,1.4635e-10,64.5,21.25
-9.340258e+05,-3.860175e+06,1.4438e-10,64.5,21.25
-9.340258e+05,-3.855175e+06,1.4937e-10,64.5,21.25
-9.340258e+05,-3.850175e+06,1.4619e-10,64.5,21.25
-9.340258e+05,-3.845175e+06,1.4757e-10,64.5,21.25
-9.340258e+05,-3.840175e+06,1.4516e-10,64.5,21.25
-9.340258e+05,-3.835175e+06,1.4584e-10,64.5,21.25
-9.340258e+05,-3.830175e+06,1.467e-10,64.5,21.25
-9.340258e+05,-3.825175e+06,1.4701e-10,64.5,21.25
-9.340258e+05,-3.820175e+06,1.4867e-10,64.5,21.25
-9.340258e+05,-3.815175e+06,1.4357e-10,64.5,21.25
-9.340258e+05,-3.810175e+06,1.4843e-10,64.5,21.25
-9.340258e+05,-3.805175e+06,1.4541e-10,64.5,21.25
-9.340258e+05,-3.800175e+06,1.4721e-10,64.5,21.25
-9.340258e+05,-3.795175e+06,1.4821e-10,64.5,21.25
-9.340258e+05,-3.790175e+06,1.454e-10,64.5,21.25
-9.340258e+05,-3.785175e+06,1.4559e-10,64.5,21.25
-9.340258e+05,-3.780175e+06,1.4737e-10,64.5,21.25
-9.340258e+05,-3.775175e+06,1.4801e-10,64.5,21.25
-9.340258e+05,-3.770175e+06,1.4743e-10,64.5,21.25
-9.340258e+05,-3.765175e+06,1.5052e-10,64.5,21.25
-9.340258e+05,-3.760175e+06,1.4705e-10,64.5,21.25
-9.340258e+05,-3.755175e+06,1.4743e-10,64.5,21.25
-9.340258e+05,-3.750175e+06,1.461e-10,64.5,21.25
-9.340258e+05,-3.745175e+06,1.4522e-10,64.5,21.25
-9.340258e+05,-3.740175e+06,1.4632e-10,64.5,21.25
-9.340258e+05,-3.735175e+06,1.4746e-10,64.5,21.25
-9.340258e+05,-3.730175e+06,1.4802e-10,64.5,21.25
-9.340258e+05,-3.725175e+06,1.4754e-10,64.5,21.25
-9.340258e+05,-3.720175e+06,1.4588e-10,64.5,21.25
-9.340258e+05,-3.715175e+06,1.4613e-10,64.5,21.25
-9.290258e+05,-4.015175e+06,1.4793e-10,64.5,21.25
-9.290258e+05,-4.010175e+06,1.43e-10,64.5,21.25
-9.290258e+05,-4.005175e+06,1.4604e-10,64.5,21.25
-9.290258e+05,-4.000175e+06,1.49e-10,64.5,21.25
-9.290258e+05,-3.995175e+06,1.5065e-10,64.5,21.25
-9.290258e+05,-3.990175e+06,1.4769e-10,64.5,21.25
-9.290258e+05,-3.985175e+06,1.4869e-10,64.5,21.25
-9.290258e+05,-3.980175e+06,1.4614e-10,64.5,21.25
-9.290258e+05,-3.975175e+06,1.4564e-10,64.5,21.25
-9.290258e+05,-3.970175e+06,1.4478e-10,64.5,21.25
-9.290258e+05,-3.965175e+06,1.4827e-10,64.5,21.25
-9.290258e+05,-3.960175e+06,1.4757e-10,64.5,21.25
-9.290258e+05,-3.955175e+06,1.4532e-10,64.5,21.25
-9.290258e+05,-3.950175e+06,1.454e-10,64.5,21.25
-9.290258e+05,-3.945175e+06,1.4577e-10,64.5,21.25
-9.290258e+05,-3.940175e+06,1.483e-10,64.5,21.25
-9.290258e+05,-3.935175e+06,1.475e-10,64.5,21.25
-9.290258e+05,-3.930175e+06,1.4659e-10,64.5,21.25
-9.290258e+05,-3.925175e+06,1.4444e-10,64.5,21.25
-9.290258e+05,-3.920175e+06,1.4428e-10,NaN,21.25
-9.290258e+05,-3.915175e+06,1.4615e-10,64.5,21.25
-9.290258e+05,-3.910175e+06,1.4584e-10,64.5,21.25
-9.290258e+05,-3.905175e+06,1.4662e-10,64.5,21.25
-9.290258e+05,-3.900175e+06,1.4609e-10,64.5,21.25
-9.290258e+05,-3.895175e+06,1.4675e-10,64.5,21.25
-9.290258e+05,-3.890175e+06,1.4956e-10,64.5,21.25
-9.290258e+05,-3.885175e+06,1.4492e-10,64.5,21.25
-9.290258e+05,-3.880175e+06,1.4497e-10,64.5,21.25
-9.290258e+05,-3.875175e+06,1.4781e-10,64.5,21.25
-9.290258e+05,-3.870175e+06,1.462e-10,64.5,21.25
-9.290258e+05,-3.865175e+06,1.4708e-10,64.5,21.25
-9.290258e+05,-3.860175e+06,1.4762e-10,64.5,21.25
