General parameters:
Start time: 2023             12             27              6             43      35.451317
Finish time: 2023             12             27              7             36      12.566133
Raster type: raster_jump
Horizontal range (nm): -3732501.067047,-4032501.067047
Vertical range (nm): -582816.897322,-882816.897322
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.05e-03
Sample chamber pressure: 1.56e-08
Initial position (nm): -3715137.000000,-634029.000000,-750001.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3732501.067      -4032501.067
hori_res:5000
vert_range:-582816.8973     -882816.8973
vert_res:5000
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 3.318768
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-8.828169e+05,-4.032501e+06,1.4847e-10,64.5,21.25
-8.828169e+05,-4.027501e+06,1.4853e-10,64.5,21.25
-8.828169e+05,-4.022501e+06,1.4313e-10,64.5,21.25
-8.828169e+05,-4.017501e+06,1.4908e-10,64.5,21.25
-8.828169e+05,-4.012501e+06,1.4414e-10,64.5,21.25
-8.828169e+05,-4.007501e+06,1.4664e-10,64.5,21.25
-8.828169e+05,-4.002501e+06,1.4649e-10,64.5,21.25
-8.828169e+05,-3.997501e+06,1.4672e-10,64.5,21.25
-8.828169e+05,-3.992501e+06,1.4636e-10,64.5,21.25
-8.828169e+05,-3.987501e+06,1.4468e-10,64.5,21.25
-8.828169e+05,-3.982501e+06,1.4692e-10,64.5,21.25
-8.828169e+05,-3.977501e+06,1.4886e-10,64.5,21.25
-8.828169e+05,-3.972501e+06,1.4644e-10,64.5,21.25
-8.828169e+05,-3.967501e+06,1.5009e-10,64.5,21.25
-8.828169e+05,-3.962501e+06,1.4331e-10,64.5,21.25
-8.828169e+05,-3.957501e+06,1.4599e-10,64.5,21.25
-8.828169e+05,-3.952501e+06,1.4623e-10,64.5,21.25
-8.828169e+05,-3.947501e+06,1.4263e-10,64.5,21.25
-8.828169e+05,-3.942501e+06,1.5173e-10,64.5,21.25
-8.828169e+05,-3.937501e+06,1.5622e-10,64.5,21.25
