General parameters:
Start time: 2023             12             28             17             46      19.775532
Finish time: 2023             12             28             17             50       1.943811
Raster type: raster_jump
Horizontal range (nm): -3638000.000000,-3672000.000000
Vertical range (nm): -999500.000000,-1032500.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.05e-03
Sample chamber pressure: 1.62e-08
Initial position (nm): -2859320.000000,-1055600.000000,-750001.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3638000 -3672000
hori_res:2500
vert_range:-999500 -1032500
vert_res:2500
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 3.324582
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1032500,-3672000,2.1293e-10,65.0,21.25
-1032500,-3669500,2.3456e-10,65.0,21.25
-1032500,-3667000,2.4108e-10,65.0,21.25
-1032500,-3664500,2.5211e-10,65.0,21.25
-1032500,-3662000,2.6514e-10,65.0,21.25
-1032500,-3659500,2.6963e-10,65.0,21.25
-1032500,-3657000,2.6966e-10,65.0,21.25
-1032500,-3654500,2.6708e-10,65.0,21.25
-1032500,-3652000,2.6573e-10,65.0,21.25
-1032500,-3649500,2.708e-10,65.0,21.25
-1032500,-3647000,2.6829e-10,65.0,21.25
-1032500,-3644500,2.645e-10,65.0,21.25
-1032500,-3642000,2.4606e-10,65.0,21.25
-1032500,-3639500,2.0104e-10,65.0,21.25
-1030000,-3672000,2.3315e-10,65.0,21.25
-1030000,-3669500,2.3554e-10,65.0,21.25
-1030000,-3667000,2.3855e-10,65.0,21.25
-1030000,-3664500,2.5502e-10,65.0,21.25
-1030000,-3662000,2.6556e-10,65.0,21.25
-1030000,-3659500,2.6586e-10,65.0,21.25
-1030000,-3657000,2.7966e-10,65.0,21.25
-1030000,-3654500,2.8662e-10,65.0,21.25
-1030000,-3652000,2.7455e-10,65.0,21.25
-1030000,-3649500,2.6723e-10,65.0,21.25
-1030000,-3647000,2.6302e-10,65.0,21.25
-1030000,-3644500,2.6196e-10,65.0,21.25
-1030000,-3642000,2.3665e-10,65.0,21.25
-1030000,-3639500,1.9196e-10,65.0,21.25
-1027500,-3672000,2.2891e-10,65.0,21.25
-1027500,-3669500,2.3106e-10,65.0,21.25
-1027500,-3667000,2.3815e-10,65.0,21.25
-1027500,-3664500,2.4863e-10,65.0,21.25
-1027500,-3662000,2.5531e-10,65.0,21.25
-1027500,-3659500,2.7954e-10,65.0,21.25
-1027500,-3657000,3.0488e-10,65.0,21.25
-1027500,-3654500,3.169e-10,65.0,21.25
-1027500,-3652000,3.0344e-10,65.0,21.25
-1027500,-3649500,2.7918e-10,65.0,21.25
-1027500,-3647000,2.7078e-10,65.0,21.25
-1027500,-3644500,2.6421e-10,65.0,21.25
-1027500,-3642000,2.3098e-10,65.0,21.25
-1027500,-3639500,1.857e-10,65.0,21.25
-1025000,-3672000,2.2507e-10,65.0,21.25
-1025000,-3669500,2.301e-10,65.0,21.25
-1025000,-3667000,2.3987e-10,65.0,21.25
-1025000,-3664500,2.5623e-10,65.0,21.25
-1025000,-3662000,2.8345e-10,65.0,21.25
-1025000,-3659500,3.129e-10,65.0,21.25
-1025000,-3657000,3.358e-10,65.0,21.25
-1025000,-3654500,3.418e-10,65.0,21.25
-1025000,-3652000,3.3059e-10,65.0,21.25
-1025000,-3649500,3.0482e-10,65.0,21.25
-1025000,-3647000,2.9612e-10,65.0,21.25
-1025000,-3644500,2.7923e-10,65.0,21.25
-1025000,-3642000,2.336e-10,65.0,21.25
-1025000,-3639500,1.791e-10,65.0,21.25
-1022500,-3672000,2.197e-10,65.0,21.25
-1022500,-3669500,2.4143e-10,65.0,21.25
-1022500,-3667000,2.7283e-10,65.0,21.25
-1022500,-3664500,3.006e-10,65.0,21.25
-1022500,-3662000,3.3569e-10,65.0,21.25
-1022500,-3659500,3.6491e-10,65.0,21.25
-1022500,-3657000,3.7262e-10,65.0,21.25
-1022500,-3654500,3.6297e-10,65.0,21.25
-1022500,-3652000,3.3553e-10,65.0,21.25
-1022500,-3649500,3.2306e-10,65.0,21.25
-1022500,-3647000,3.2506e-10,65.0,21.25
-1022500,-3644500,3.0401e-10,65.0,21.25
-1022500,-3642000,2.3931e-10,65.0,21.25
-1022500,-3639500,1.7403e-10,65.0,21.25
-1020000,-3672000,2.2536e-10,65.0,21.25
-1020000,-3669500,2.6992e-10,65.0,21.25
-1020000,-3667000,3.1902e-10,65.0,21.25
-1020000,-3664500,3.449e-10,65.0,21.25
-1020000,-3662000,3.6568e-10,65.0,21.25
-1020000,-3659500,3.7981e-10,65.0,21.25
-1020000,-3657000,3.8959e-10,65.0,21.25
-1020000,-3654500,3.8022e-10,65.0,21.25
-1020000,-3652000,3.4944e-10,65.0,21.25
-1020000,-3649500,3.2971e-10,65.0,21.25
-1020000,-3647000,3.3845e-10,65.0,21.25
-1020000,-3644500,3.1023e-10,65.0,21.25
-1020000,-3642000,2.3459e-10,65.0,21.25
-1020000,-3639500,1.6608e-10,65.0,21.25
-1017500,-3672000,2.2316e-10,65.0,21.25
-1017500,-3669500,2.8673e-10,65.0,21.25
-1017500,-3667000,3.383e-10,65.0,21.25
-1017500,-3664500,3.5487e-10,65.0,21.25
-1017500,-3662000,3.6174e-10,65.0,21.25
