General parameters:
Start time: 2023             12             28             18             15       7.694218
Finish time: 2023             12             28             18             19       5.360395
Raster type: raster_jump
Horizontal range (nm): -3674500.000000,-3711500.000000
Vertical range (nm): -955000.000000,-989000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.05e-03
Sample chamber pressure: 1.62e-08
Initial position (nm): -2884320.000000,-1005600.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3674500 -3711500
hori_res:2500
vert_range:-955000 -989000
vert_res:2500
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 3.322188
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-989000,-3711500,2.1238e-10,65.0,21.25
-989000,-3709000,2.3432e-10,65.0,21.25
-989000,-3706500,2.3588e-10,65.0,21.25
-989000,-3704000,2.4279e-10,65.0,21.25
-989000,-3701500,2.5435e-10,65.0,21.25
-989000,-3699000,2.6697e-10,65.0,21.25
-989000,-3696500,2.6778e-10,65.0,21.25
-989000,-3694000,2.6766e-10,65.0,21.25
-989000,-3691500,2.6928e-10,65.0,21.25
-989000,-3689000,2.7109e-10,65.0,21.25
-989000,-3686500,2.6944e-10,65.0,21.25
-989000,-3684000,2.6072e-10,65.0,21.25
-989000,-3681500,2.5148e-10,65.0,21.25
-989000,-3679000,2.1144e-10,65.0,21.25
-989000,-3676500,1.6005e-10,65.0,21.25
-986500,-3711500,2.2765e-10,65.0,21.25
-986500,-3709000,2.3188e-10,65.0,21.25
-986500,-3706500,2.4008e-10,65.0,21.25
-986500,-3704000,2.5015e-10,65.0,21.25
-986500,-3701500,2.6579e-10,65.0,21.25
-986500,-3699000,2.6892e-10,65.0,21.25
-986500,-3696500,2.7321e-10,65.0,21.25
-986500,-3694000,2.7614e-10,65.0,21.25
-986500,-3691500,2.7699e-10,65.0,21.25
-986500,-3689000,2.6895e-10,65.0,21.25
-986500,-3686500,2.6798e-10,65.0,21.25
-986500,-3684000,2.6516e-10,65.0,21.25
-986500,-3681500,2.4692e-10,65.0,21.25
-986500,-3679000,2.0616e-10,65.0,21.25
-986500,-3676500,1.5913e-10,65.0,21.25
-984000,-3711500,2.25e-10,65.0,21.25
-984000,-3709000,2.2942e-10,65.0,21.25
-984000,-3706500,2.3144e-10,65.0,21.25
-984000,-3704000,2.4326e-10,65.0,21.25
-984000,-3701500,2.5208e-10,65.0,21.25
-984000,-3699000,2.6054e-10,65.0,21.25
-984000,-3696500,2.7891e-10,65.0,21.25
-984000,-3694000,2.9771e-10,65.0,21.25
-984000,-3691500,2.9962e-10,65.0,21.25
-984000,-3689000,2.8586e-10,65.0,21.25
-984000,-3686500,2.6901e-10,65.0,21.25
-984000,-3684000,2.681e-10,65.0,21.25
-984000,-3681500,2.4834e-10,65.0,21.25
-984000,-3679000,2.03e-10,65.0,21.25
-984000,-3676500,1.6113e-10,65.0,21.25
-981500,-3711500,2.23e-10,65.0,21.25
-981500,-3709000,2.2704e-10,65.0,21.25
-981500,-3706500,2.3203e-10,65.0,21.25
-981500,-3704000,2.3789e-10,65.0,21.25
-981500,-3701500,2.5144e-10,65.0,21.25
-981500,-3699000,2.7056e-10,65.0,21.25
-981500,-3696500,3.0352e-10,65.0,21.25
-981500,-3694000,3.2784e-10,65.0,21.25
-981500,-3691500,3.2709e-10,65.0,21.25
-981500,-3689000,3.076e-10,65.0,21.25
-981500,-3686500,2.9857e-10,65.0,21.25
-981500,-3684000,2.8911e-10,65.0,21.25
-981500,-3681500,2.5722e-10,65.0,21.25
-981500,-3679000,1.9817e-10,65.0,21.25
-981500,-3676500,1.6125e-10,65.0,21.25
-979000,-3711500,2.152e-10,65.0,21.25
-979000,-3709000,2.2632e-10,65.0,21.25
-979000,-3706500,2.3213e-10,65.0,21.25
-979000,-3704000,2.5676e-10,65.0,21.25
-979000,-3701500,2.7986e-10,65.0,21.25
-979000,-3699000,3.1482e-10,65.0,21.25
-979000,-3696500,3.4355e-10,65.0,21.25
-979000,-3694000,3.4922e-10,65.0,21.25
-979000,-3691500,3.3416e-10,65.0,21.25
-979000,-3689000,3.2382e-10,65.0,21.25
-979000,-3686500,3.1619e-10,65.0,21.25
-979000,-3684000,3.1531e-10,65.0,21.25
-979000,-3681500,2.7917e-10,65.0,21.25
-979000,-3679000,2.0693e-10,65.0,21.25
-979000,-3676500,1.5772e-10,65.0,21.25
-976500,-3711500,2.0581e-10,65.0,21.25
-976500,-3709000,2.2041e-10,65.0,21.25
-976500,-3706500,2.5581e-10,65.0,21.25
-976500,-3704000,2.8982e-10,65.0,21.25
-976500,-3701500,3.1772e-10,65.0,21.25
-976500,-3699000,3.5148e-10,65.0,21.25
-976500,-3696500,3.7154e-10,65.0,21.25
-976500,-3694000,3.6745e-10,65.0,21.25
-976500,-3691500,3.5343e-10,65.0,21.25
-976500,-3689000,3.2625e-10,65.0,21.25
-976500,-3686500,3.2219e-10,65.0,21.25
-976500,-3684000,3.2594e-10,65.0,21.25
-976500,-3681500,2.8669e-10,65.0,21.25
-976500,-3679000,2.0821e-10,65.0,21.25
-976500,-3676500,1.5744e-10,65.0,21.25
-974000,-3711500,1.9328e-10,65.0,21.25
-974000,-3709000,2.2812e-10,65.0,21.25
-974000,-3706500,2.7831e-10,65.0,21.25
-974000,-3704000,3.1965e-10,65.0,21.25
-974000,-3701500,3.4986e-10,65.0,21.25
-974000,-3699000,3.5431e-10,65.0,21.25
-974000,-3696500,3.6132e-10,65.0,21.25
-974000,-3694000,3.7388e-10,65.0,21.25
-974000,-3691500,3.6989e-10,65.0,21.25
-974000,-3689000,3.4329e-10,65.0,21.25
-974000,-3686500,3.2745e-10,65.0,21.25
-974000,-3684000,3.2657e-10,65.0,21.25
-974000,-3681500,2.831e-10,65.0,21.25
-974000,-3679000,2.0347e-10,65.0,21.25
-974000,-3676500,1.5261e-10,65.0,21.25
-971500,-3711500,1.7114e-10,65.0,21.25
-971500,-3709000,2.1941e-10,65.0,21.25
