General parameters:
Start time: 2023             12             28             20              0      47.996603
Finish time: 2023             12             28             20              5        0.93848
Raster type: raster_jump
Horizontal range (nm): -3733001.000000,-3771001.000000
Vertical range (nm): -829500.000000,-862500.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.05e-03
Sample chamber pressure: 1.60e-08
Initial position (nm): -3059308.000000,-805600.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3733001 -3771001
hori_res:2500
vert_range:-829500 -862500
vert_res:2500
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 3.323898
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-862500,-3771001,2.0599e-10,65.1,21.25
-862500,-3768501,2.2548e-10,65.1,21.25
-862500,-3766001,2.3811e-10,65.1,21.25
-862500,-3763501,2.5552e-10,65.1,21.25
-862500,-3761001,2.5828e-10,65.1,21.25
-862500,-3758501,2.616e-10,65.1,21.25
-862500,-3756001,2.7045e-10,65.1,21.25
-862500,-3753501,2.7189e-10,65.1,21.25
-862500,-3751001,2.7415e-10,65.1,21.25
-862500,-3748501,2.7099e-10,65.1,21.25
-862500,-3746001,2.6195e-10,65.1,21.25
-862500,-3743501,2.3323e-10,65.1,21.25
-862500,-3741001,1.9026e-10,65.1,21.25
-862500,-3738501,1.5794e-10,65.1,21.25
-862500,-3736001,1.4586e-10,65.1,21.25
-862500,-3733501,1.3893e-10,65.1,21.25
-860000,-3771001,2.2074e-10,65.1,21.25
-860000,-3768501,2.2487e-10,65.1,21.25
-860000,-3766001,2.4172e-10,65.1,21.25
-860000,-3763501,2.6197e-10,65.1,21.25
-860000,-3761001,2.6847e-10,65.1,21.25
-860000,-3758501,2.7082e-10,65.1,21.25
-860000,-3756001,2.7422e-10,65.1,21.25
-860000,-3753501,2.7115e-10,65.1,21.25
-860000,-3751001,2.7302e-10,65.1,21.25
-860000,-3748501,2.7377e-10,65.1,21.25
-860000,-3746001,2.6934e-10,65.1,21.25
