General parameters:
Start time: 2023             12             30             15              9      30.427682
Finish time: 2023             12             30             15             14       1.823268
Raster type: raster_jump
Horizontal range (nm): -3746500.000000,-3785500.000000
Vertical range (nm): -741500.000000,-776500.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.05e-03
Sample chamber pressure: 1.60e-08
Initial position (nm): -3034300.000000,-705600.000000,-749999.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3746500 -3785500
hori_res:2500
vert_range:-741500 -776500
vert_res:2500
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 3.337236
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-776500,-3785500,2.0361e-10,65.6,21.25
-776500,-3783000,2.4537e-10,65.6,21.25
-776500,-3780500,2.6465e-10,65.6,21.25
-776500,-3778000,2.7182e-10,65.6,21.25
-776500,-3775500,2.787e-10,65.6,21.25
-776500,-3773000,2.7477e-10,65.6,21.25
-776500,-3770500,2.8159e-10,65.6,21.25
-776500,-3768000,2.8532e-10,65.6,21.25
-776500,-3765500,2.7816e-10,65.6,21.25
-776500,-3763000,2.6843e-10,65.6,21.25
-776500,-3760500,2.3205e-10,65.6,21.25
-776500,-3758000,1.8461e-10,65.6,21.25
-776500,-3755500,1.577e-10,65.6,21.25
-776500,-3753000,1.4393e-10,65.6,21.25
-776500,-3750500,1.4018e-10,65.6,21.25
-776500,-3748000,1.3755e-10,65.6,21.25
-774000,-3785500,2.1799e-10,65.6,21.25
-774000,-3783000,2.5346e-10,65.6,21.25
-774000,-3780500,2.7016e-10,65.6,21.25
-774000,-3778000,2.8169e-10,65.6,21.25
-774000,-3775500,2.8023e-10,65.6,21.25
-774000,-3773000,2.8408e-10,65.6,21.25
-774000,-3770500,2.8796e-10,65.6,21.25
-774000,-3768000,2.954e-10,65.6,21.25
-774000,-3765500,2.9716e-10,65.6,21.25
-774000,-3763000,2.8034e-10,65.6,21.25
-774000,-3760500,2.5565e-10,65.6,21.25
-774000,-3758000,2.0915e-10,65.6,21.25
-774000,-3755500,1.6465e-10,65.6,21.25
-774000,-3753000,1.443e-10,65.6,21.25
-774000,-3750500,1.3626e-10,65.6,21.25
-774000,-3748000,1.3776e-10,65.6,21.25
-771500,-3785500,2.2154e-10,65.6,21.25
-771500,-3783000,2.5173e-10,65.6,21.25
-771500,-3780500,2.696e-10,65.6,21.25
-771500,-3778000,2.7362e-10,65.6,21.25
-771500,-3775500,2.7395e-10,65.6,21.25
-771500,-3773000,2.8723e-10,65.6,21.25
-771500,-3770500,2.9707e-10,65.6,21.25
-771500,-3768000,3.0198e-10,65.6,21.25
-771500,-3765500,2.9801e-10,65.6,21.25
-771500,-3763000,2.9457e-10,65.6,21.25
-771500,-3760500,2.9009e-10,65.6,21.25
-771500,-3758000,2.4398e-10,65.6,21.25
-771500,-3755500,1.7841e-10,65.6,21.25
-771500,-3753000,1.4593e-10,65.6,21.25
-771500,-3750500,1.379e-10,65.6,21.25
-771500,-3748000,1.3843e-10,65.6,21.25
-769000,-3785500,2.2229e-10,65.6,21.25
-769000,-3783000,2.4298e-10,65.6,21.25
-769000,-3780500,2.5851e-10,65.6,21.25
-769000,-3778000,2.6212e-10,65.6,21.25
-769000,-3775500,2.752e-10,65.6,21.25
-769000,-3773000,2.9269e-10,65.6,21.25
-769000,-3770500,3.0342e-10,65.6,21.25
-769000,-3768000,2.9952e-10,65.6,21.25
-769000,-3765500,2.9689e-10,65.6,21.25
-769000,-3763000,2.9582e-10,65.6,21.25
-769000,-3760500,3.0324e-10,65.6,21.25
-769000,-3758000,2.7276e-10,65.6,21.25
-769000,-3755500,2.0273e-10,65.6,21.25
-769000,-3753000,1.5135e-10,65.6,21.25
-769000,-3750500,1.3965e-10,65.6,21.25
-769000,-3748000,1.3777e-10,65.6,21.25
-766500,-3785500,2.1696e-10,65.6,21.25
-766500,-3783000,2.3229e-10,65.6,21.25
-766500,-3780500,2.4662e-10,65.6,21.25
-766500,-3778000,2.5482e-10,65.6,21.25
-766500,-3775500,2.8375e-10,65.6,21.25
-766500,-3773000,3.0924e-10,65.6,21.25
-766500,-3770500,3.1744e-10,65.6,21.25
-766500,-3768000,3.1267e-10,65.6,21.25
-766500,-3765500,3.0714e-10,65.6,21.25
-766500,-3763000,2.9728e-10,65.6,21.25
-766500,-3760500,3.0136e-10,65.6,21.25
-766500,-3758000,2.916e-10,65.6,21.25
-766500,-3755500,2.2679e-10,65.6,21.25
-766500,-3753000,1.6465e-10,65.6,21.25
-766500,-3750500,1.4014e-10,65.6,21.25
-766500,-3748000,1.3787e-10,65.6,21.25
-764000,-3785500,2.1566e-10,65.6,21.25
-764000,-3783000,2.3142e-10,65.6,21.25
-764000,-3780500,2.4646e-10,65.6,21.25
-764000,-3778000,2.6813e-10,65.6,21.25
-764000,-3775500,2.9826e-10,65.6,21.25
-764000,-3773000,3.2386e-10,65.6,21.25
-764000,-3770500,3.317e-10,65.6,21.25
-764000,-3768000,3.3283e-10,65.6,21.25
-764000,-3765500,3.2457e-10,65.6,21.25
-764000,-3763000,3.0814e-10,65.6,21.25
-764000,-3760500,3.0479e-10,65.6,21.25
-764000,-3758000,2.9711e-10,65.6,21.25
-764000,-3755500,2.4531e-10,65.6,21.25
-764000,-3753000,1.7802e-10,65.6,21.25
-764000,-3750500,1.4595e-10,65.6,21.25
-764000,-3748000,1.3683e-10,65.6,21.25
-761500,-3785500,2.1764e-10,65.6,21.25
-761500,-3783000,2.2892e-10,65.6,21.25
-761500,-3780500,2.5467e-10,65.6,21.25
-761500,-3778000,2.8169e-10,65.6,21.25
-761500,-3775500,3.0618e-10,65.6,21.25
-761500,-3773000,3.1549e-10,65.6,21.25
-761500,-3770500,3.2079e-10,65.6,21.25
-761500,-3768000,3.2204e-10,65.6,21.25
-761500,-3765500,3.2141e-10,65.6,21.25
-761500,-3763000,3.1716e-10,65.6,21.25
-761500,-3760500,3.081e-10,65.6,21.25
-761500,-3758000,2.9185e-10,65.6,21.25
-761500,-3755500,2.4673e-10,65.6,21.25
-761500,-3753000,1.8501e-10,65.6,21.25
-761500,-3750500,1.4457e-10,65.6,21.25
-761500,-3748000,1.3728e-10,65.6,21.25
-759000,-3785500,2.0524e-10,65.6,21.25
-759000,-3783000,2.2449e-10,65.6,21.25
-759000,-3780500,2.5743e-10,65.6,21.25
-759000,-3778000,2.895e-10,65.6,21.25
-759000,-3775500,3.0574e-10,65.6,21.25
-759000,-3773000,3.07e-10,65.6,21.25
-759000,-3770500,3.0551e-10,65.6,21.25
-759000,-3768000,3.0665e-10,65.6,21.25
-759000,-3765500,3.0772e-10,65.6,21.25
-759000,-3763000,3.0887e-10,65.6,21.25
-759000,-3760500,3.0978e-10,65.6,21.25
-759000,-3758000,2.9273e-10,65.6,21.25
-759000,-3755500,2.4921e-10,65.6,21.25
-759000,-3753000,1.9148e-10,65.6,21.25
-759000,-3750500,1.4514e-10,65.6,21.25
-759000,-3748000,1.3855e-10,65.6,21.25
-756500,-3785500,1.85e-10,65.6,21.25
-756500,-3783000,2.0103e-10,65.6,21.25
-756500,-3780500,2.413e-10,65.6,21.25
-756500,-3778000,2.8355e-10,65.6,21.25
-756500,-3775500,2.9272e-10,65.6,21.25
-756500,-3773000,2.9535e-10,65.6,21.25
-756500,-3770500,3.0341e-10,65.6,21.25
-756500,-3768000,3.0479e-10,65.6,21.25
-756500,-3765500,3.0571e-10,65.6,21.25
-756500,-3763000,3.0559e-10,65.6,21.25
-756500,-3760500,3.0141e-10,65.6,21.25
-756500,-3758000,2.8439e-10,65.6,21.25
-756500,-3755500,2.4868e-10,65.6,21.25
-756500,-3753000,1.9211e-10,65.6,21.25
-756500,-3750500,1.4959e-10,65.6,21.25
-756500,-3748000,1.3856e-10,65.6,21.25
-754000,-3785500,1.6036e-10,65.6,21.25
-754000,-3783000,1.6853e-10,65.6,21.25
-754000,-3780500,2.0201e-10,65.6,21.25
-754000,-3778000,2.4218e-10,65.6,21.25
-754000,-3775500,2.5603e-10,65.6,21.25
-754000,-3773000,2.6697e-10,65.6,21.25
-754000,-3770500,2.7466e-10,65.6,21.25
-754000,-3768000,2.7569e-10,65.6,21.25
-754000,-3765500,2.8825e-10,65.6,21.25
-754000,-3763000,2.8485e-10,65.6,21.25
-754000,-3760500,2.8916e-10,65.6,21.25
-754000,-3758000,2.6875e-10,65.6,21.25
-754000,-3755500,2.4738e-10,65.6,21.25
-754000,-3753000,2.0074e-10,65.6,21.25
-754000,-3750500,1.5341e-10,65.6,21.25
-754000,-3748000,1.3998e-10,65.6,21.25
-751500,-3785500,1.4681e-10,65.6,21.25
-751500,-3783000,1.4325e-10,65.6,21.25
-751500,-3780500,1.5904e-10,65.6,21.25
-751500,-3778000,1.8508e-10,65.6,21.25
-751500,-3775500,1.9823e-10,65.6,21.25
-751500,-3773000,2.0688e-10,65.6,21.25
-751500,-3770500,2.1331e-10,65.6,21.25
-751500,-3768000,2.2861e-10,65.6,21.25
-751500,-3765500,2.4751e-10,65.6,21.25
-751500,-3763000,2.6304e-10,65.6,21.25
-751500,-3760500,2.6599e-10,65.6,21.25
-751500,-3758000,2.5461e-10,65.6,21.25
-751500,-3755500,2.4359e-10,65.6,21.25
-751500,-3753000,1.9782e-10,65.6,21.25
-751500,-3750500,1.5267e-10,65.6,21.25
-751500,-3748000,1.3741e-10,65.6,21.25
-749000,-3785500,1.4011e-10,65.6,21.25
-749000,-3783000,1.3666e-10,65.6,21.25
-749000,-3780500,1.4132e-10,65.6,21.25
-749000,-3778000,1.5247e-10,65.6,21.25
-749000,-3775500,1.5719e-10,65.6,21.25
-749000,-3773000,1.6501e-10,65.6,21.25
-749000,-3770500,1.8475e-10,65.6,21.25
-749000,-3768000,2.0939e-10,65.6,21.25
-749000,-3765500,2.371e-10,65.6,21.25
-749000,-3763000,2.5264e-10,65.6,21.25
-749000,-3760500,2.5221e-10,65.6,21.25
-749000,-3758000,2.5017e-10,65.6,21.25
-749000,-3755500,2.3875e-10,65.6,21.25
-749000,-3753000,1.9391e-10,65.6,21.25
-749000,-3750500,1.5252e-10,65.6,21.25
-749000,-3748000,1.4042e-10,65.6,21.25
-746500,-3785500,1.3962e-10,65.6,21.25
-746500,-3783000,1.3789e-10,65.6,21.25
-746500,-3780500,1.4062e-10,65.6,21.25
-746500,-3778000,1.4291e-10,65.6,21.25
-746500,-3775500,1.4956e-10,65.6,21.25
-746500,-3773000,1.5793e-10,65.5,21.25
-746500,-3770500,1.7602e-10,65.5,21.25
-746500,-3768000,2.1049e-10,65.5,21.25
-746500,-3765500,2.4265e-10,65.5,21.25
-746500,-3763000,2.5106e-10,65.6,21.25
-746500,-3760500,2.5192e-10,65.6,21.25
-746500,-3758000,2.4681e-10,65.5,21.25
-746500,-3755500,2.3608e-10,65.6,21.25
-746500,-3753000,1.9571e-10,65.6,21.25
-746500,-3750500,1.5216e-10,65.5,21.25
-746500,-3748000,1.3971e-10,65.5,21.25
-744000,-3785500,1.409e-10,65.5,21.25
-744000,-3783000,1.3939e-10,65.5,21.25
-744000,-3780500,1.4474e-10,65.5,21.25
-744000,-3778000,1.5146e-10,65.5,21.25
-744000,-3775500,1.5126e-10,65.5,21.25
-744000,-3773000,1.5129e-10,65.5,21.25
-744000,-3770500,1.5892e-10,65.5,21.25
-744000,-3768000,1.9364e-10,65.5,21.25
-744000,-3765500,2.2743e-10,65.5,21.25
-744000,-3763000,2.4183e-10,65.5,21.25
-744000,-3760500,2.4747e-10,65.5,21.25
-744000,-3758000,2.4459e-10,65.5,21.25
-744000,-3755500,2.3281e-10,65.5,21.25
-744000,-3753000,1.8711e-10,65.5,21.25
-744000,-3750500,1.4842e-10,65.5,21.25
-744000,-3748000,1.401e-10,65.5,21.25
-741500,-3785500,1.4026e-10,65.5,21.25
-741500,-3783000,1.4156e-10,65.5,21.25
-741500,-3780500,1.4936e-10,65.5,21.25
-741500,-3778000,1.5426e-10,65.5,21.25
-741500,-3775500,1.5825e-10,65.5,21.25
-741500,-3773000,1.5306e-10,65.5,21.25
-741500,-3770500,1.5617e-10,65.5,21.25
-741500,-3768000,1.7291e-10,65.5,21.25
-741500,-3765500,2.1528e-10,65.5,21.25
-741500,-3763000,2.3398e-10,65.5,21.25
-741500,-3760500,2.2792e-10,65.5,21.25
-741500,-3758000,2.2175e-10,65.5,21.25
-741500,-3755500,2.0271e-10,65.5,21.25
-741500,-3753000,1.6942e-10,65.5,21.25
-741500,-3750500,1.445e-10,65.5,21.25
-741500,-3748000,1.3667e-10,65.5,21.25
