General parameters:
Start time: 2023             12             30             16             13      35.247059
Finish time: 2023             12             30             16             18      24.238199
Raster type: raster_jump
Horizontal range (nm): -3750500.000000,-3791500.000000
Vertical range (nm): -656500.000000,-691500.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.04e-03
Sample chamber pressure: 1.60e-08
Initial position (nm): -3084317.000000,-605600.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3750500 -3791500
hori_res:2500
vert_range:-656500 -691500
vert_res:2500
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 3.336210
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-691500,-3791500,2.1594e-10,65.5,21.25
-691500,-3789000,2.5627e-10,65.5,21.25
-691500,-3786500,2.598e-10,65.5,21.25
-691500,-3784000,2.6689e-10,65.5,21.25
-691500,-3781500,2.7718e-10,65.5,21.25
-691500,-3779000,2.7722e-10,65.5,21.25
-691500,-3776500,2.8152e-10,65.5,21.25
-691500,-3774000,2.7796e-10,65.5,21.25
-691500,-3771500,2.5868e-10,65.5,21.25
-691500,-3769000,2.112e-10,65.5,21.25
-691500,-3766500,1.6561e-10,65.5,21.25
-691500,-3764000,1.4705e-10,65.5,21.25
-691500,-3761500,1.4341e-10,65.5,21.25
-691500,-3759000,1.3816e-10,65.5,21.25
-691500,-3756500,1.3817e-10,65.5,21.25
-691500,-3754000,1.357e-10,65.5,21.25
-691500,-3751500,1.3609e-10,65.5,21.25
-689000,-3791500,2.2674e-10,65.5,21.25
-689000,-3789000,2.4813e-10,65.5,21.25
-689000,-3786500,2.6016e-10,65.5,21.25
-689000,-3784000,2.7261e-10,65.5,21.25
-689000,-3781500,2.8568e-10,65.5,21.25
-689000,-3779000,2.8914e-10,65.5,21.25
-689000,-3776500,2.856e-10,65.5,21.25
-689000,-3774000,2.8305e-10,65.5,21.25
-689000,-3771500,2.6596e-10,65.5,21.25
-689000,-3769000,2.2635e-10,65.5,21.25
-689000,-3766500,1.8295e-10,65.5,21.25
-689000,-3764000,1.6031e-10,65.5,21.25
-689000,-3761500,1.5121e-10,65.5,21.25
-689000,-3759000,1.371e-10,65.5,21.25
-689000,-3756500,1.3641e-10,65.5,21.25
-689000,-3754000,1.3379e-10,65.5,21.25
-689000,-3751500,1.3454e-10,65.5,21.25
-686500,-3791500,2.2765e-10,65.5,21.25
-686500,-3789000,2.5368e-10,65.5,21.25
-686500,-3786500,2.665e-10,65.5,21.25
-686500,-3784000,2.774e-10,65.5,21.25
