General parameters:
Start time: 2024              1              2             17             28       6.134409
Finish time: 2024              1              2             18             20      41.403642
Raster type: raster_jump
Horizontal range (nm): -2888385.298924,-3188385.298924
Vertical range (nm): -977452.763363,-1277452.763363
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.06e-03
Sample chamber pressure: 1.60e-08
Initial position (nm): -2863896.000000,-966050.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-2888385.2989     -3188385.2989
hori_res:5000
vert_range:-977452.76336     -1277452.7634
vert_res:5000
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 3.357414
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.277453e+06,-3.188385e+06,1.3505e-10,65.9,21.25
-1.277453e+06,-3.183385e+06,1.2657e-10,65.9,21.25
-1.277453e+06,-3.178385e+06,1.2726e-10,65.9,21.25
-1.277453e+06,-3.173385e+06,1.3036e-10,65.9,21.25
-1.277453e+06,-3.168385e+06,1.2524e-10,65.9,21.25
-1.277453e+06,-3.163385e+06,1.3112e-10,65.9,21.25
-1.277453e+06,-3.158385e+06,1.2788e-10,65.9,21.25
-1.277453e+06,-3.153385e+06,1.3006e-10,65.9,21.25
-1.277453e+06,-3.148385e+06,1.3076e-10,65.9,21.25
-1.277453e+06,-3.143385e+06,1.2547e-10,65.9,21.25
-1.277453e+06,-3.138385e+06,1.282e-10,65.9,21.25
-1.277453e+06,-3.133385e+06,1.2691e-10,65.9,21.25
-1.277453e+06,-3.128385e+06,1.2551e-10,65.9,21.25
-1.277453e+06,-3.123385e+06,1.2844e-10,65.9,21.25
-1.277453e+06,-3.118385e+06,1.2759e-10,65.9,21.25
-1.277453e+06,-3.113385e+06,1.2727e-10,65.9,21.25
-1.277453e+06,-3.108385e+06,1.3226e-10,65.9,21.25
-1.277453e+06,-3.103385e+06,1.2502e-10,65.9,21.25
-1.277453e+06,-3.098385e+06,1.2556e-10,65.9,21.25
-1.277453e+06,-3.093385e+06,1.5552e-10,65.9,21.25
