General parameters:
Start time: 2024              1              2             19             13      44.986163
Finish time: 2024              1              2             20              6      27.091042
Raster type: raster_jump
Horizontal range (nm): -2938789.642106,-3238789.642106
Vertical range (nm): -996996.495507,-1296996.495507
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.06e-03
Sample chamber pressure: 1.60e-08
Initial position (nm): -2913386.000000,-987777.000000,-750002.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-2938789.6421     -3238789.6421
hori_res:5000
vert_range:-996996.49551     -1296996.4955
vert_res:5000
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 3.360492
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.296996e+06,-3.238790e+06,1.3301e-10,65.9,21.25
-1.296996e+06,-3.233790e+06,1.3095e-10,65.9,21.25
-1.296996e+06,-3.228790e+06,1.2623e-10,65.9,21.25
-1.296996e+06,-3.223790e+06,1.2492e-10,65.9,21.25
-1.296996e+06,-3.218790e+06,1.2691e-10,65.9,21.25
-1.296996e+06,-3.213790e+06,1.2726e-10,65.9,21.25
-1.296996e+06,-3.208790e+06,1.3015e-10,65.9,21.25
-1.296996e+06,-3.203790e+06,1.2827e-10,65.9,21.25
-1.296996e+06,-3.198790e+06,1.2995e-10,65.9,21.25
-1.296996e+06,-3.193790e+06,1.272e-10,65.9,21.25
-1.296996e+06,-3.188790e+06,1.3093e-10,65.9,21.25
-1.296996e+06,-3.183790e+06,1.2554e-10,65.9,21.25
-1.296996e+06,-3.178790e+06,1.3044e-10,65.9,21.25
-1.296996e+06,-3.173790e+06,1.2808e-10,65.9,21.25
-1.296996e+06,-3.168790e+06,1.2949e-10,65.9,21.25
-1.296996e+06,-3.163790e+06,1.2906e-10,65.9,21.25
-1.296996e+06,-3.158790e+06,1.2858e-10,65.9,21.25
-1.296996e+06,-3.153790e+06,1.3051e-10,65.9,21.25
-1.296996e+06,-3.148790e+06,1.3053e-10,65.9,21.25
-1.296996e+06,-3.143790e+06,1.3003e-10,65.9,21.25
-1.296996e+06,-3.138790e+06,1.3127e-10,65.9,21.25
-1.296996e+06,-3.133790e+06,1.3509e-10,65.9,21.25
-1.296996e+06,-3.128790e+06,1.4753e-10,65.9,21.25
-1.296996e+06,-3.123790e+06,1.3646e-10,65.9,21.25
-1.296996e+06,-3.118790e+06,1.2656e-10,65.9,21.25
-1.296996e+06,-3.113790e+06,1.28e-10,65.9,21.25
-1.296996e+06,-3.108790e+06,1.291e-10,65.9,21.25
-1.296996e+06,-3.103790e+06,1.301e-10,65.9,21.25
-1.296996e+06,-3.098790e+06,1.2837e-10,65.9,21.25
-1.296996e+06,-3.093790e+06,1.2756e-10,65.9,21.25
-1.296996e+06,-3.088790e+06,1.2995e-10,65.9,21.25
-1.296996e+06,-3.083790e+06,1.2967e-10,65.9,21.25
-1.296996e+06,-3.078790e+06,1.2746e-10,65.9,21.25
-1.296996e+06,-3.073790e+06,1.2986e-10,65.9,21.25
-1.296996e+06,-3.068790e+06,1.2735e-10,65.9,21.25
-1.296996e+06,-3.063790e+06,1.2956e-10,65.9,21.25
-1.296996e+06,-3.058790e+06,1.2888e-10,65.9,21.25
-1.296996e+06,-3.053790e+06,1.2772e-10,65.9,21.25
-1.296996e+06,-3.048790e+06,1.291e-10,65.9,21.25
-1.296996e+06,-3.043790e+06,1.2761e-10,65.9,21.25
-1.296996e+06,-3.038790e+06,1.2949e-10,65.9,21.25
-1.296996e+06,-3.033790e+06,1.2841e-10,65.9,21.25
-1.296996e+06,-3.028790e+06,1.2944e-10,65.9,21.25
-1.296996e+06,-3.023790e+06,1.28e-10,65.9,21.25
-1.296996e+06,-3.018790e+06,1.2918e-10,65.9,21.25
-1.296996e+06,-3.013790e+06,1.2834e-10,65.9,21.25
-1.296996e+06,-3.008790e+06,1.3081e-10,65.9,21.25
-1.296996e+06,-3.003790e+06,1.2959e-10,65.9,21.25
-1.296996e+06,-2.998790e+06,1.3117e-10,65.9,21.25
-1.296996e+06,-2.993790e+06,1.3396e-10,65.9,21.25
-1.296996e+06,-2.988790e+06,1.3205e-10,65.9,21.25
-1.296996e+06,-2.983790e+06,1.3332e-10,65.9,21.25
-1.296996e+06,-2.978790e+06,1.3007e-10,65.9,21.25
-1.296996e+06,-2.973790e+06,1.3631e-10,65.9,21.25
-1.296996e+06,-2.968790e+06,1.3711e-10,65.9,21.25
-1.296996e+06,-2.963790e+06,1.3542e-10,65.9,21.25
-1.296996e+06,-2.958790e+06,1.3206e-10,65.9,21.25
-1.296996e+06,-2.953790e+06,1.3274e-10,65.9,21.25
-1.296996e+06,-2.948790e+06,1.346e-10,65.9,21.25
-1.296996e+06,-2.943790e+06,1.3402e-10,65.9,21.25
-1.296996e+06,-2.938790e+06,1.3423e-10,65.9,21.25
-1.291996e+06,-3.238790e+06,1.2678e-10,65.9,21.25
-1.291996e+06,-3.233790e+06,1.2954e-10,65.9,21.25
-1.291996e+06,-3.228790e+06,1.2708e-10,65.9,21.25
-1.291996e+06,-3.223790e+06,1.2727e-10,65.9,21.25
-1.291996e+06,-3.218790e+06,1.2711e-10,65.9,21.25
-1.291996e+06,-3.213790e+06,1.2679e-10,65.9,21.25
-1.291996e+06,-3.208790e+06,1.2714e-10,65.9,21.25
-1.291996e+06,-3.203790e+06,1.2593e-10,65.9,21.25
-1.291996e+06,-3.198790e+06,1.3152e-10,65.9,21.25
-1.291996e+06,-3.193790e+06,1.2853e-10,65.9,21.25
-1.291996e+06,-3.188790e+06,1.2922e-10,65.9,21.25
-1.291996e+06,-3.183790e+06,1.2704e-10,65.9,21.25
-1.291996e+06,-3.178790e+06,1.282e-10,65.9,21.25
-1.291996e+06,-3.173790e+06,1.2779e-10,65.9,21.25
-1.291996e+06,-3.168790e+06,1.3049e-10,65.9,21.25
-1.291996e+06,-3.163790e+06,1.3311e-10,65.9,21.25
-1.291996e+06,-3.158790e+06,1.3314e-10,65.9,21.25
-1.291996e+06,-3.153790e+06,1.3216e-10,65.9,21.25
-1.291996e+06,-3.148790e+06,1.2852e-10,65.9,21.25
-1.291996e+06,-3.143790e+06,1.8056e-10,65.9,21.25
-1.291996e+06,-3.138790e+06,1.6279e-10,65.9,21.25
-1.291996e+06,-3.133790e+06,1.3851e-10,65.9,21.25
-1.291996e+06,-3.128790e+06,1.6731e-10,65.9,21.25
-1.291996e+06,-3.123790e+06,1.4586e-10,65.9,21.25
-1.291996e+06,-3.118790e+06,1.3068e-10,65.9,21.25
-1.291996e+06,-3.113790e+06,1.299e-10,65.9,21.25
-1.291996e+06,-3.108790e+06,1.2909e-10,65.9,21.25
-1.291996e+06,-3.103790e+06,1.2997e-10,65.9,21.25
-1.291996e+06,-3.098790e+06,1.3037e-10,65.9,21.25
-1.291996e+06,-3.093790e+06,1.3051e-10,65.9,21.25
-1.291996e+06,-3.088790e+06,1.2929e-10,65.9,21.25
-1.291996e+06,-3.083790e+06,1.2574e-10,65.9,21.25
-1.291996e+06,-3.078790e+06,1.2812e-10,65.9,21.25
-1.291996e+06,-3.073790e+06,1.2947e-10,65.9,21.25
-1.291996e+06,-3.068790e+06,1.5308e-10,65.9,21.25
-1.291996e+06,-3.063790e+06,1.4004e-10,65.9,21.25
-1.291996e+06,-3.058790e+06,1.2978e-10,65.9,21.25
-1.291996e+06,-3.053790e+06,1.2718e-10,65.9,21.25
-1.291996e+06,-3.048790e+06,1.292e-10,65.9,21.25
-1.291996e+06,-3.043790e+06,1.2944e-10,65.9,21.25
-1.291996e+06,-3.038790e+06,1.2656e-10,65.9,21.25
-1.291996e+06,-3.033790e+06,1.2844e-10,65.9,21.25
-1.291996e+06,-3.028790e+06,1.3172e-10,65.9,21.25
-1.291996e+06,-3.023790e+06,1.2649e-10,65.9,21.25
-1.291996e+06,-3.018790e+06,1.2616e-10,65.9,21.25
-1.291996e+06,-3.013790e+06,1.3059e-10,65.9,21.25
-1.291996e+06,-3.008790e+06,1.3219e-10,65.9,21.25
-1.291996e+06,-3.003790e+06,1.3279e-10,65.9,21.25
-1.291996e+06,-2.998790e+06,1.3293e-10,65.9,21.25
-1.291996e+06,-2.993790e+06,1.3322e-10,65.9,21.25
-1.291996e+06,-2.988790e+06,1.3236e-10,65.9,21.25
-1.291996e+06,-2.983790e+06,1.325e-10,65.9,21.25
-1.291996e+06,-2.978790e+06,1.3395e-10,65.9,21.25
-1.291996e+06,-2.973790e+06,1.3755e-10,65.9,21.25
-1.291996e+06,-2.968790e+06,1.3492e-10,65.9,21.25
-1.291996e+06,-2.963790e+06,1.3281e-10,65.9,21.25
-1.291996e+06,-2.958790e+06,1.3232e-10,65.9,21.25
-1.291996e+06,-2.953790e+06,1.3099e-10,65.9,21.25
-1.291996e+06,-2.948790e+06,1.3161e-10,65.9,21.25
-1.291996e+06,-2.943790e+06,1.3289e-10,65.9,21.25
-1.291996e+06,-2.938790e+06,1.3172e-10,65.9,21.25
-1.286996e+06,-3.238790e+06,1.3127e-10,65.9,21.25
-1.286996e+06,-3.233790e+06,1.2826e-10,65.9,21.25
-1.286996e+06,-3.228790e+06,1.3113e-10,65.9,21.25
-1.286996e+06,-3.223790e+06,1.2677e-10,65.9,21.25
-1.286996e+06,-3.218790e+06,1.2643e-10,65.9,21.25
-1.286996e+06,-3.213790e+06,1.281e-10,65.9,21.25
-1.286996e+06,-3.208790e+06,1.2738e-10,65.9,21.25
-1.286996e+06,-3.203790e+06,1.2845e-10,65.9,21.25
-1.286996e+06,-3.198790e+06,1.2763e-10,65.9,21.25
-1.286996e+06,-3.193790e+06,1.2664e-10,65.9,21.25
-1.286996e+06,-3.188790e+06,1.2751e-10,65.9,21.25
-1.286996e+06,-3.183790e+06,1.2584e-10,65.9,21.25
-1.286996e+06,-3.178790e+06,1.2511e-10,65.9,21.25
-1.286996e+06,-3.173790e+06,1.2824e-10,65.9,21.25
-1.286996e+06,-3.168790e+06,1.3246e-10,65.9,21.25
-1.286996e+06,-3.163790e+06,1.3032e-10,65.9,21.25
-1.286996e+06,-3.158790e+06,1.2663e-10,65.9,21.25
-1.286996e+06,-3.153790e+06,1.3078e-10,65.9,21.25
-1.286996e+06,-3.148790e+06,1.7897e-10,65.9,21.25
-1.286996e+06,-3.143790e+06,2.696e-10,65.9,21.25
-1.286996e+06,-3.138790e+06,2.509e-10,65.9,21.25
-1.286996e+06,-3.133790e+06,1.9585e-10,65.9,21.25
-1.286996e+06,-3.128790e+06,1.7547e-10,65.9,21.25
-1.286996e+06,-3.123790e+06,1.4733e-10,65.9,21.25
-1.286996e+06,-3.118790e+06,1.2981e-10,65.9,21.25
-1.286996e+06,-3.113790e+06,1.3045e-10,NaN,21.25
-1.286996e+06,-3.108790e+06,1.3434e-10,65.9,21.25
-1.286996e+06,-3.103790e+06,1.3465e-10,65.9,21.25
-1.286996e+06,-3.098790e+06,1.3056e-10,65.9,21.25
-1.286996e+06,-3.093790e+06,1.276e-10,65.9,21.25
-1.286996e+06,-3.088790e+06,1.3094e-10,65.9,21.25
-1.286996e+06,-3.083790e+06,1.2834e-10,65.9,21.25
-1.286996e+06,-3.078790e+06,1.2778e-10,65.9,21.25
-1.286996e+06,-3.073790e+06,1.3074e-10,65.9,21.25
-1.286996e+06,-3.068790e+06,1.4853e-10,65.9,21.25
-1.286996e+06,-3.063790e+06,1.3676e-10,65.9,21.25
-1.286996e+06,-3.058790e+06,1.2799e-10,65.9,21.25
-1.286996e+06,-3.053790e+06,1.303e-10,65.9,21.25
-1.286996e+06,-3.048790e+06,1.2944e-10,65.9,21.25
-1.286996e+06,-3.043790e+06,1.3178e-10,65.9,21.25
-1.286996e+06,-3.038790e+06,1.2689e-10,65.9,21.25
-1.286996e+06,-3.033790e+06,1.2933e-10,65.9,21.25
-1.286996e+06,-3.028790e+06,1.2834e-10,65.9,21.25
-1.286996e+06,-3.023790e+06,1.2888e-10,65.9,21.25
-1.286996e+06,-3.018790e+06,1.2687e-10,65.9,21.25
-1.286996e+06,-3.013790e+06,1.3072e-10,65.9,21.25
-1.286996e+06,-3.008790e+06,1.347e-10,65.9,21.25
-1.286996e+06,-3.003790e+06,1.3317e-10,65.9,21.25
-1.286996e+06,-2.998790e+06,1.3293e-10,65.9,21.25
-1.286996e+06,-2.993790e+06,1.3251e-10,65.9,21.25
-1.286996e+06,-2.988790e+06,1.3313e-10,65.9,21.25
-1.286996e+06,-2.983790e+06,1.3239e-10,65.9,21.25
-1.286996e+06,-2.978790e+06,1.3194e-10,65.9,21.25
-1.286996e+06,-2.973790e+06,1.3495e-10,65.9,21.25
-1.286996e+06,-2.968790e+06,1.3425e-10,65.9,21.25
-1.286996e+06,-2.963790e+06,1.3408e-10,65.9,21.25
-1.286996e+06,-2.958790e+06,1.3069e-10,65.9,21.25
-1.286996e+06,-2.953790e+06,1.2868e-10,65.9,21.25
-1.286996e+06,-2.948790e+06,1.2956e-10,65.9,21.25
-1.286996e+06,-2.943790e+06,1.3251e-10,65.9,21.25
-1.286996e+06,-2.938790e+06,1.3572e-10,65.9,21.25
-1.281996e+06,-3.238790e+06,1.3336e-10,65.9,21.25
-1.281996e+06,-3.233790e+06,1.2699e-10,65.9,21.25
-1.281996e+06,-3.228790e+06,1.2576e-10,65.9,21.25
-1.281996e+06,-3.223790e+06,1.2499e-10,65.9,21.25
-1.281996e+06,-3.218790e+06,1.2572e-10,65.9,21.25
-1.281996e+06,-3.213790e+06,1.2774e-10,65.9,21.25
-1.281996e+06,-3.208790e+06,1.3087e-10,65.9,21.25
-1.281996e+06,-3.203790e+06,1.287e-10,65.9,21.25
-1.281996e+06,-3.198790e+06,1.2737e-10,65.9,21.25
-1.281996e+06,-3.193790e+06,1.2584e-10,65.9,21.25
-1.281996e+06,-3.188790e+06,1.2712e-10,65.9,21.25
-1.281996e+06,-3.183790e+06,1.3026e-10,65.9,21.25
-1.281996e+06,-3.178790e+06,1.2479e-10,65.9,21.25
-1.281996e+06,-3.173790e+06,1.2724e-10,65.9,21.25
-1.281996e+06,-3.168790e+06,1.2784e-10,65.9,21.25
-1.281996e+06,-3.163790e+06,1.3029e-10,65.9,21.25
-1.281996e+06,-3.158790e+06,1.315e-10,65.9,21.25
-1.281996e+06,-3.153790e+06,1.726e-10,65.9,21.25
-1.281996e+06,-3.148790e+06,2.8342e-10,65.9,21.25
-1.281996e+06,-3.143790e+06,3.6036e-10,65.9,21.25
-1.281996e+06,-3.138790e+06,4.0473e-10,65.9,21.25
-1.281996e+06,-3.133790e+06,3.8553e-10,65.9,21.25
-1.281996e+06,-3.128790e+06,3.9294e-10,65.9,21.25
-1.281996e+06,-3.123790e+06,3.5451e-10,65.9,21.25
-1.281996e+06,-3.118790e+06,2.2621e-10,65.9,21.25
-1.281996e+06,-3.113790e+06,1.5332e-10,65.9,21.25
-1.281996e+06,-3.108790e+06,1.4218e-10,65.9,21.25
-1.281996e+06,-3.103790e+06,1.4246e-10,65.9,21.25
-1.281996e+06,-3.098790e+06,1.3575e-10,65.9,21.25
-1.281996e+06,-3.093790e+06,1.3441e-10,65.9,21.25
-1.281996e+06,-3.088790e+06,1.2997e-10,65.9,21.25
-1.281996e+06,-3.083790e+06,1.2841e-10,65.9,21.25
-1.281996e+06,-3.078790e+06,1.2737e-10,65.9,21.25
-1.281996e+06,-3.073790e+06,1.2932e-10,65.9,21.25
-1.281996e+06,-3.068790e+06,1.3663e-10,65.9,21.25
-1.281996e+06,-3.063790e+06,1.306e-10,65.9,21.25
-1.281996e+06,-3.058790e+06,1.2834e-10,65.9,21.25
-1.281996e+06,-3.053790e+06,1.2939e-10,65.9,21.25
-1.281996e+06,-3.048790e+06,1.2725e-10,65.9,21.25
-1.281996e+06,-3.043790e+06,1.3277e-10,65.9,21.25
-1.281996e+06,-3.038790e+06,1.2897e-10,65.9,21.25
-1.281996e+06,-3.033790e+06,1.3147e-10,65.9,21.25
-1.281996e+06,-3.028790e+06,1.2913e-10,65.9,21.25
-1.281996e+06,-3.023790e+06,1.2906e-10,65.9,21.25
-1.281996e+06,-3.018790e+06,1.2562e-10,65.9,21.25
-1.281996e+06,-3.013790e+06,1.2966e-10,65.9,21.25
-1.281996e+06,-3.008790e+06,1.2968e-10,65.9,21.25
-1.281996e+06,-3.003790e+06,1.3148e-10,65.9,21.25
-1.281996e+06,-2.998790e+06,1.3001e-10,65.9,21.25
-1.281996e+06,-2.993790e+06,1.3305e-10,65.9,21.25
-1.281996e+06,-2.988790e+06,1.3487e-10,65.9,21.25
-1.281996e+06,-2.983790e+06,1.2896e-10,65.9,21.25
-1.281996e+06,-2.978790e+06,1.3252e-10,65.9,21.25
-1.281996e+06,-2.973790e+06,1.3355e-10,65.9,21.25
-1.281996e+06,-2.968790e+06,1.3229e-10,65.9,21.25
-1.281996e+06,-2.963790e+06,1.3282e-10,65.9,21.25
-1.281996e+06,-2.958790e+06,1.3151e-10,65.9,21.25
-1.281996e+06,-2.953790e+06,1.3187e-10,65.9,21.25
-1.281996e+06,-2.948790e+06,1.3124e-10,65.9,21.25
-1.281996e+06,-2.943790e+06,1.3245e-10,65.9,21.25
-1.281996e+06,-2.938790e+06,1.325e-10,65.9,21.25
-1.276996e+06,-3.238790e+06,1.3276e-10,65.9,21.25
-1.276996e+06,-3.233790e+06,1.2656e-10,65.9,21.25
-1.276996e+06,-3.228790e+06,1.2865e-10,65.9,21.25
-1.276996e+06,-3.223790e+06,1.2839e-10,65.9,21.25
-1.276996e+06,-3.218790e+06,1.2876e-10,65.9,21.25
-1.276996e+06,-3.213790e+06,1.2879e-10,65.9,21.25
-1.276996e+06,-3.208790e+06,1.2822e-10,65.9,21.25
-1.276996e+06,-3.203790e+06,1.2831e-10,65.9,21.25
-1.276996e+06,-3.198790e+06,1.2913e-10,65.9,21.25
