General parameters:
Start time: 2024              1              2             20              6      39.677264
Finish time: 2024              1              2             20             59      28.322909
Raster type: raster_jump
Horizontal range (nm): -2964583.102678,-3264583.102678
Vertical range (nm): -1005101.067047,-1305101.067047
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.07e-03
Sample chamber pressure: 1.60e-08
Initial position (nm): -2938758.000000,-997000.000000,-750002.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-2964583.1027     -3264583.1027
hori_res:5000
vert_range:-1005101.067      -1305101.067
vert_res:5000
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 3.363228
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.305101e+06,-3.264583e+06,1.3418e-10,65.9,21.25
-1.305101e+06,-3.259583e+06,1.3123e-10,65.9,21.25
-1.305101e+06,-3.254583e+06,1.2609e-10,65.9,21.25
-1.305101e+06,-3.249583e+06,1.2922e-10,65.9,21.25
-1.305101e+06,-3.244583e+06,1.277e-10,65.9,21.25
-1.305101e+06,-3.239583e+06,1.268e-10,65.9,21.25
-1.305101e+06,-3.234583e+06,1.2909e-10,65.9,21.25
-1.305101e+06,-3.229583e+06,1.2909e-10,65.9,21.25
-1.305101e+06,-3.224583e+06,1.2724e-10,65.9,21.25
-1.305101e+06,-3.219583e+06,1.3048e-10,65.9,21.25
-1.305101e+06,-3.214583e+06,1.2941e-10,65.9,21.25
-1.305101e+06,-3.209583e+06,1.3083e-10,65.9,21.25
-1.305101e+06,-3.204583e+06,1.316e-10,65.9,21.25
-1.305101e+06,-3.199583e+06,1.2933e-10,65.9,21.25
-1.305101e+06,-3.194583e+06,1.2927e-10,65.9,21.25
-1.305101e+06,-3.189583e+06,1.2805e-10,65.9,21.25
-1.305101e+06,-3.184583e+06,1.2778e-10,65.9,21.25
-1.305101e+06,-3.179583e+06,1.2837e-10,65.9,21.25
-1.305101e+06,-3.174583e+06,1.2791e-10,65.9,21.25
-1.305101e+06,-3.169583e+06,1.3027e-10,65.9,21.25
