General parameters:
Start time: 2024              1              4             16              4      34.667268
Finish time: 2024              1              4             16             21      19.777418
Raster type: raster_jump
Horizontal range (nm): -3063001.000000,-3129001.000000
Vertical range (nm): -1193000.000000,-1273000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.04e-03
Sample chamber pressure: 1.62e-08
Initial position (nm): -3047486.000000,-1189500.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3063001 -3129001
hori_res:2500
vert_range:-1193000 -1273000
vert_res:2500
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 3.364254
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1273000,-3129001,1.3662e-10,64.8,21.25
-1273000,-3126501,1.3064e-10,64.8,21.25
-1273000,-3124001,1.331e-10,64.8,21.25
-1273000,-3121501,1.2997e-10,64.8,21.25
-1273000,-3119001,1.3169e-10,64.8,21.25
-1273000,-3116501,1.3253e-10,64.8,21.25
-1273000,-3114001,1.3341e-10,64.8,21.25
-1273000,-3111501,1.3327e-10,64.8,21.25
-1273000,-3109001,1.3351e-10,64.8,21.25
-1273000,-3106501,1.3392e-10,64.8,21.25
-1273000,-3104001,1.3316e-10,64.8,21.25
-1273000,-3101501,1.4039e-10,64.8,21.25
-1273000,-3099001,1.6233e-10,64.8,21.25
-1273000,-3096501,2.0035e-10,64.8,21.25
-1273000,-3094001,2.6236e-10,64.8,21.25
-1273000,-3091501,3.2485e-10,64.8,21.25
-1273000,-3089001,3.6072e-10,64.8,21.25
-1273000,-3086501,3.8264e-10,64.8,21.25
-1273000,-3084001,3.8941e-10,64.8,21.25
-1273000,-3081501,3.9925e-10,64.8,21.25
-1273000,-3079001,3.7099e-10,64.8,21.25
-1273000,-3076501,3.489e-10,64.8,21.25
-1273000,-3074001,3.4351e-10,64.8,21.25
-1273000,-3071501,3.3261e-10,64.8,21.25
-1273000,-3069001,3.0933e-10,64.8,21.25
-1273000,-3066501,2.3261e-10,64.8,21.25
-1273000,-3064001,1.6137e-10,64.8,21.25
-1270500,-3129001,1.3591e-10,64.8,21.25
-1270500,-3126501,1.3271e-10,64.8,21.25
-1270500,-3124001,1.3105e-10,64.8,21.25
-1270500,-3121501,1.3222e-10,64.8,21.25
-1270500,-3119001,1.345e-10,64.8,21.25
-1270500,-3116501,1.3055e-10,64.8,21.25
-1270500,-3114001,1.3127e-10,64.8,21.25
-1270500,-3111501,1.319e-10,64.8,21.25
-1270500,-3109001,1.3261e-10,64.8,21.25
-1270500,-3106501,1.3653e-10,64.8,21.25
-1270500,-3104001,1.4464e-10,64.8,21.25
-1270500,-3101501,1.8341e-10,64.8,21.25
-1270500,-3099001,2.3918e-10,64.8,21.25
-1270500,-3096501,3.042e-10,64.8,21.25
-1270500,-3094001,3.6506e-10,64.8,21.25
