General parameters:
Start time: 2024              1              4             17             57      55.129493
Finish time: 2024              1              4             18              4       1.091829
Raster type: raster_jump
Horizontal range (nm): -3148497.000000,-3195497.000000
Vertical range (nm): -1203500.000000,-1244500.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.05e-03
Sample chamber pressure: 1.64e-08
Initial position (nm): -2463311.000000,-1272600.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3148497 -3195497
hori_res:2500
vert_range:-1203500 -1244500
vert_res:2500
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 3.365964
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1244500,-3195497,1.5315e-10,64.6,21.25
-1244500,-3192997,1.358e-10,64.6,21.25
-1244500,-3190497,1.3561e-10,64.5,21.25
-1244500,-3187997,1.3778e-10,64.6,21.25
-1244500,-3185497,1.4043e-10,64.6,21.25
-1244500,-3182997,1.365e-10,64.6,21.25
-1244500,-3180497,1.4241e-10,64.6,21.25
-1244500,-3177997,1.5691e-10,64.6,21.25
-1244500,-3175497,1.8706e-10,64.6,21.25
-1244500,-3172997,2.1397e-10,64.5,21.25
-1244500,-3170497,2.4085e-10,64.6,21.25
-1244500,-3167997,2.4803e-10,64.6,21.25
-1244500,-3165497,2.4428e-10,64.5,21.25
-1244500,-3162997,2.4895e-10,64.6,21.25
-1244500,-3160497,2.4479e-10,64.6,21.25
-1244500,-3157997,2.3893e-10,64.6,21.25
-1244500,-3155497,2.4607e-10,64.5,21.25
-1244500,-3152997,2.4204e-10,64.5,21.25
-1244500,-3150497,2.4437e-10,64.5,21.25
-1242000,-3195497,1.495e-10,64.5,21.25
-1242000,-3192997,1.3626e-10,64.6,21.25
-1242000,-3190497,1.3711e-10,64.6,21.25
-1242000,-3187997,1.3587e-10,64.6,21.25
-1242000,-3185497,1.3548e-10,64.5,21.25
-1242000,-3182997,1.427e-10,64.5,21.25
-1242000,-3180497,1.5158e-10,64.6,21.25
-1242000,-3177997,1.7368e-10,64.6,21.25
-1242000,-3175497,2.1367e-10,64.5,21.25
-1242000,-3172997,2.361e-10,64.5,21.25
-1242000,-3170497,2.4153e-10,64.5,21.25
-1242000,-3167997,2.4606e-10,64.6,21.25
-1242000,-3165497,2.5038e-10,64.6,21.25
-1242000,-3162997,2.5493e-10,64.5,21.25
-1242000,-3160497,2.5881e-10,64.5,21.25
-1242000,-3157997,2.5329e-10,64.5,21.25
-1242000,-3155497,2.5263e-10,64.5,21.25
-1242000,-3152997,2.4493e-10,64.5,21.25
-1242000,-3150497,2.467e-10,64.5,21.25
-1239500,-3195497,1.5267e-10,64.5,21.25
-1239500,-3192997,1.4555e-10,64.5,21.25
-1239500,-3190497,1.441e-10,64.5,21.25
-1239500,-3187997,1.4116e-10,64.5,21.25
-1239500,-3185497,1.3752e-10,64.5,21.25
-1239500,-3182997,1.4113e-10,64.5,21.25
-1239500,-3180497,1.5589e-10,64.5,21.25
-1239500,-3177997,1.9859e-10,64.5,21.25
-1239500,-3175497,2.4055e-10,64.5,21.25
-1239500,-3172997,2.4937e-10,64.5,21.25
-1239500,-3170497,2.5329e-10,64.5,21.25
-1239500,-3167997,2.5143e-10,64.5,21.25
-1239500,-3165497,2.5994e-10,64.5,21.25
-1239500,-3162997,2.6872e-10,64.5,21.25
-1239500,-3160497,2.7449e-10,64.5,21.25
-1239500,-3157997,2.749e-10,64.5,21.25
-1239500,-3155497,2.7007e-10,64.5,21.25
-1239500,-3152997,2.5923e-10,64.5,21.25
-1239500,-3150497,2.5409e-10,64.5,21.25
-1237000,-3195497,1.7742e-10,64.5,21.25
-1237000,-3192997,1.6984e-10,64.5,21.25
-1237000,-3190497,1.6387e-10,64.5,21.25
-1237000,-3187997,1.581e-10,64.5,21.25
-1237000,-3185497,1.455e-10,64.5,21.25
-1237000,-3182997,1.5323e-10,64.5,21.25
-1237000,-3180497,1.942e-10,64.5,21.25
-1237000,-3177997,2.5589e-10,64.5,21.25
-1237000,-3175497,3.1232e-10,64.5,21.25
-1237000,-3172997,3.2065e-10,64.5,21.25
-1237000,-3170497,3.0122e-10,64.5,21.25
-1237000,-3167997,2.77e-10,64.5,21.25
-1237000,-3165497,2.7034e-10,64.5,21.25
-1237000,-3162997,2.7034e-10,64.5,21.25
-1237000,-3160497,2.8328e-10,64.5,21.25
-1237000,-3157997,2.7691e-10,64.5,21.25
-1237000,-3155497,2.6951e-10,64.5,21.25
-1237000,-3152997,2.7015e-10,64.5,21.25
-1237000,-3150497,2.6135e-10,64.5,21.25
-1234500,-3195497,2.38e-10,64.5,21.25
-1234500,-3192997,2.3046e-10,64.5,21.25
-1234500,-3190497,2.5321e-10,64.5,21.25
-1234500,-3187997,2.296e-10,64.5,21.25
-1234500,-3185497,1.7915e-10,64.5,21.25
-1234500,-3182997,1.7323e-10,64.5,21.25
-1234500,-3180497,2.2591e-10,64.5,21.25
-1234500,-3177997,3.1962e-10,64.5,21.25
-1234500,-3175497,3.8222e-10,64.5,21.25
-1234500,-3172997,3.8765e-10,64.5,21.25
-1234500,-3170497,3.7437e-10,64.5,21.25
-1234500,-3167997,3.4636e-10,64.5,21.25
-1234500,-3165497,3.125e-10,64.5,21.25
-1234500,-3162997,2.9453e-10,64.5,21.25
-1234500,-3160497,2.9174e-10,64.5,21.25
-1234500,-3157997,2.8303e-10,64.5,21.25
-1234500,-3155497,2.8385e-10,64.5,21.25
-1234500,-3152997,2.8078e-10,64.5,21.25
-1234500,-3150497,2.7812e-10,64.5,21.25
-1232000,-3195497,2.8504e-10,64.5,21.25
-1232000,-3192997,2.8798e-10,64.5,21.25
-1232000,-3190497,3.109e-10,64.5,21.25
-1232000,-3187997,2.8104e-10,64.5,21.25
-1232000,-3185497,2.12e-10,64.5,21.25
-1232000,-3182997,1.8989e-10,64.5,21.25
-1232000,-3180497,2.5026e-10,64.5,21.25
-1232000,-3177997,3.3494e-10,64.5,21.25
-1232000,-3175497,3.7872e-10,64.5,21.25
-1232000,-3172997,4.0682e-10,64.5,21.25
-1232000,-3170497,4.2396e-10,64.5,21.25
-1232000,-3167997,4.1578e-10,64.5,21.25
-1232000,-3165497,3.9429e-10,64.5,21.25
-1232000,-3162997,3.6179e-10,64.5,21.25
-1232000,-3160497,3.3762e-10,64.5,21.25
-1232000,-3157997,3.1259e-10,64.5,21.25
-1232000,-3155497,2.8741e-10,64.5,21.25
-1232000,-3152997,2.8563e-10,64.5,21.25
-1232000,-3150497,2.8116e-10,64.5,21.25
-1229500,-3195497,2.8624e-10,64.5,21.25
-1229500,-3192997,2.7942e-10,64.5,21.25
-1229500,-3190497,2.7119e-10,64.5,21.25
-1229500,-3187997,2.4411e-10,64.5,21.25
-1229500,-3185497,1.9208e-10,64.5,21.25
-1229500,-3182997,1.9977e-10,64.5,21.25
-1229500,-3180497,2.593e-10,64.5,21.25
-1229500,-3177997,3.4584e-10,64.5,21.25
-1229500,-3175497,3.8703e-10,64.5,21.25
-1229500,-3172997,4.0338e-10,64.5,21.25
-1229500,-3170497,4.2335e-10,64.5,21.25
-1229500,-3167997,4.3815e-10,64.5,21.25
