General parameters:
Start time: 2024              1              5             16              0      57.053594
Finish time: 2024              1              5             16              7      47.755899
Raster type: raster_jump
Horizontal range (nm): -3249500.000000,-3298500.000000
Vertical range (nm): -1195500.000000,-1238500.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.05e-03
Sample chamber pressure: 1.60e-08
Initial position (nm): -2551313.000000,-1268600.000000,-749994.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3249500 -3298500
hori_res:2500
vert_range:-1195500 -1238500
vert_res:2500
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 3.371436
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1238500,-3298500,1.5398e-10,64.5,21.25
-1238500,-3296000,1.4173e-10,64.5,21.25
-1238500,-3293500,1.4088e-10,64.5,21.25
-1238500,-3291000,1.4134e-10,64.5,21.25
-1238500,-3288500,1.3809e-10,64.5,21.25
-1238500,-3286000,1.4905e-10,64.5,21.25
-1238500,-3283500,1.7438e-10,64.5,21.25
-1238500,-3281000,2.0342e-10,64.5,21.25
-1238500,-3278500,2.3631e-10,64.5,21.25
-1238500,-3276000,2.4774e-10,64.5,21.25
-1238500,-3273500,2.5039e-10,64.5,21.25
-1238500,-3271000,2.606e-10,64.5,21.25
-1238500,-3268500,2.7156e-10,64.5,21.25
-1238500,-3266000,2.7671e-10,64.5,21.25
-1238500,-3263500,2.8692e-10,64.5,21.25
-1238500,-3261000,2.8526e-10,64.5,21.25
-1238500,-3258500,2.7198e-10,64.5,21.25
-1238500,-3256000,2.6576e-10,64.5,21.25
-1238500,-3253500,2.6726e-10,64.5,21.25
-1238500,-3251000,2.5686e-10,64.5,21.25
-1236000,-3298500,1.4992e-10,64.5,21.25
-1236000,-3296000,1.3755e-10,64.5,21.25
-1236000,-3293500,1.3883e-10,64.5,21.25
-1236000,-3291000,1.3793e-10,64.5,21.25
-1236000,-3288500,1.3769e-10,64.5,21.25
-1236000,-3286000,1.5081e-10,64.5,21.25
