General parameters:
Start time: 2024              1              5             16             37       5.081266
Finish time: 2024              1              5             16             43      12.748523
Raster type: raster_jump
Horizontal range (nm): -3297500.000000,-3340500.000000
Vertical range (nm): -1190500.000000,-1233500.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.07e-03
Sample chamber pressure: 1.60e-08
Initial position (nm): -2600305.000000,-1266600.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3297500 -3340500
hori_res:2500
vert_range:-1190500 -1233500
vert_res:2500
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 3.373488
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1233500,-3340500,1.5685e-10,64.6,21.25
-1233500,-3338000,1.6204e-10,64.6,21.25
-1233500,-3335500,1.9917e-10,64.6,21.25
-1233500,-3333000,2.3384e-10,64.6,21.25
-1233500,-3330500,2.5152e-10,64.6,21.25
-1233500,-3328000,2.5348e-10,64.6,21.25
-1233500,-3325500,2.6006e-10,64.6,21.25
-1233500,-3323000,2.7077e-10,64.6,21.25
-1233500,-3320500,2.7901e-10,64.6,21.25
-1233500,-3318000,2.85e-10,64.6,21.25
-1233500,-3315500,2.8614e-10,64.6,21.25
-1233500,-3313000,2.7777e-10,64.6,21.25
-1233500,-3310500,2.6966e-10,64.6,21.25
-1233500,-3308000,2.6915e-10,64.6,21.25
-1233500,-3305500,2.6769e-10,NaN,21.25
-1233500,-3303000,2.5536e-10,64.6,21.25
-1233500,-3300500,2.2771e-10,64.6,21.25
-1233500,-3298000,1.8612e-10,64.6,21.25
-1231000,-3340500,1.6097e-10,64.6,21.25
-1231000,-3338000,1.7642e-10,64.6,21.25
-1231000,-3335500,2.1544e-10,64.6,21.25
-1231000,-3333000,2.4466e-10,64.6,21.25
-1231000,-3330500,2.53e-10,64.6,21.25
-1231000,-3328000,2.6153e-10,64.6,21.25
-1231000,-3325500,2.7061e-10,64.6,21.25
-1231000,-3323000,2.8506e-10,64.6,21.25
-1231000,-3320500,2.9205e-10,64.6,21.25
-1231000,-3318000,2.9334e-10,64.6,21.25
-1231000,-3315500,2.892e-10,64.6,21.25
-1231000,-3313000,2.9239e-10,64.6,21.25
-1231000,-3310500,2.8636e-10,64.6,21.25
-1231000,-3308000,2.8108e-10,64.6,21.25
-1231000,-3305500,2.8901e-10,64.6,21.25
-1231000,-3303000,2.9601e-10,64.6,21.25
-1231000,-3300500,2.8195e-10,64.6,21.25
-1231000,-3298000,2.4544e-10,64.6,21.25
-1228500,-3340500,1.6964e-10,64.6,21.25
-1228500,-3338000,1.8411e-10,64.6,21.25
-1228500,-3335500,2.365e-10,64.6,21.25
-1228500,-3333000,2.6908e-10,64.6,21.25
-1228500,-3330500,2.7833e-10,64.6,21.25
-1228500,-3328000,2.8669e-10,64.6,21.25
-1228500,-3325500,2.8522e-10,64.6,21.25
-1228500,-3323000,2.8682e-10,64.6,21.25
