General parameters:
Start time: 2024              1              5             17             18      34.402599
Finish time: 2024              1              5             17             20      18.838329
Raster type: raster_jump
Horizontal range (nm): -3353001.000000,-3399001.000000
Vertical range (nm): -1179500.000000,-1222500.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.05e-03
Sample chamber pressure: 1.62e-08
Initial position (nm): -2653305.000000,-1255600.000000,-750001.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3353001 -3399001
hori_res:2500
vert_range:-1179500 -1222500
vert_res:2500
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 3.376224
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1222500,-3399001,2.1255e-10,64.5,21.25
-1222500,-3396501,1.991e-10,64.5,21.25
-1222500,-3394001,1.5784e-10,64.5,21.25
-1222500,-3391501,1.5034e-10,64.5,21.25
-1222500,-3389001,1.7711e-10,64.5,21.25
-1222500,-3386501,2.2125e-10,64.5,21.25
-1222500,-3384001,2.4681e-10,64.5,21.25
-1222500,-3381501,2.4716e-10,64.5,21.25
-1222500,-3379001,2.505e-10,64.5,21.25
-1222500,-3376501,2.6332e-10,64.5,21.25
-1222500,-3374001,2.7273e-10,64.5,21.25
-1222500,-3371501,2.7787e-10,64.5,21.25
-1222500,-3369001,2.8331e-10,64.5,21.25
-1222500,-3366501,2.8051e-10,64.5,21.25
-1222500,-3364001,2.7596e-10,64.5,21.25
-1222500,-3361501,2.7369e-10,64.5,21.25
-1222500,-3359001,2.7427e-10,64.5,21.25
-1222500,-3356501,2.7055e-10,64.5,21.25
-1222500,-3354001,2.4394e-10,64.5,21.25
-1220000,-3399001,1.8379e-10,64.5,21.25
-1220000,-3396501,1.5604e-10,64.5,21.25
-1220000,-3394001,1.4546e-10,64.5,21.25
-1220000,-3391501,1.638e-10,64.5,21.25
-1220000,-3389001,2.0191e-10,64.5,21.25
-1220000,-3386501,2.3828e-10,64.5,21.25
-1220000,-3384001,2.5299e-10,64.5,21.25
-1220000,-3381501,2.5543e-10,64.5,21.25
-1220000,-3379001,2.6351e-10,64.5,21.25
-1220000,-3376501,2.7839e-10,64.5,21.25
-1220000,-3374001,2.889e-10,64.5,21.25
-1220000,-3371501,2.9038e-10,64.5,21.25
-1220000,-3369001,2.9134e-10,64.5,21.25
-1220000,-3366501,2.9087e-10,64.5,21.25
-1220000,-3364001,2.9094e-10,64.5,21.25
-1220000,-3361501,2.8796e-10,64.5,21.25
-1220000,-3359001,2.9012e-10,64.5,21.25
-1220000,-3356501,2.9381e-10,64.5,21.25
-1220000,-3354001,2.8343e-10,64.5,21.25
-1217500,-3399001,1.6299e-10,64.5,21.25
-1217500,-3396501,1.406e-10,64.5,21.25
-1217500,-3394001,1.4992e-10,64.5,21.25
-1217500,-3391501,1.7304e-10,64.5,21.25
-1217500,-3389001,2.1301e-10,64.5,21.25
-1217500,-3386501,2.4196e-10,NaN,21.25
-1217500,-3384001,2.5666e-10,64.5,21.25
-1217500,-3381501,2.675e-10,64.5,21.25
-1217500,-3379001,2.7535e-10,64.5,21.25
-1217500,-3376501,2.8819e-10,64.5,21.25
-1217500,-3374001,2.9772e-10,64.5,21.25
-1217500,-3371501,3.0364e-10,64.5,21.25
-1217500,-3369001,3.0148e-10,64.5,21.25
-1217500,-3366501,3.0058e-10,64.5,21.25
-1217500,-3364001,3.0303e-10,64.5,21.25
-1217500,-3361501,2.9814e-10,64.5,21.25
-1217500,-3359001,2.9158e-10,64.5,21.25
-1217500,-3356501,2.9529e-10,64.5,21.25
-1217500,-3354001,2.8612e-10,64.5,21.25
-1215000,-3399001,1.584e-10,64.5,21.25
-1215000,-3396501,1.4058e-10,64.5,21.25
-1215000,-3394001,1.4873e-10,64.5,21.25
-1215000,-3391501,1.7441e-10,64.5,21.25
-1215000,-3389001,2.3194e-10,64.5,21.25
-1215000,-3386501,2.7258e-10,64.5,21.25
-1215000,-3384001,2.9648e-10,64.5,21.25
-1215000,-3381501,3.0334e-10,64.5,21.25
-1215000,-3379001,3.0425e-10,64.5,21.25
-1215000,-3376501,3.0314e-10,64.5,21.25
-1215000,-3374001,3.1132e-10,64.5,21.25
-1215000,-3371501,3.1848e-10,64.5,21.25
-1215000,-3369001,3.098e-10,64.5,21.25
-1215000,-3366501,2.9855e-10,64.5,21.25
-1215000,-3364001,2.9387e-10,64.5,21.25
-1215000,-3361501,2.9724e-10,64.5,21.25
-1215000,-3359001,2.8805e-10,64.5,21.25
-1215000,-3356501,2.8664e-10,64.5,21.25
-1215000,-3354001,2.8446e-10,64.5,21.25
-1212500,-3399001,1.6072e-10,64.5,21.25
-1212500,-3396501,1.4038e-10,64.5,21.25
-1212500,-3394001,1.4833e-10,64.5,21.25
-1212500,-3391501,2.0151e-10,64.5,21.25
-1212500,-3389001,2.7278e-10,64.5,21.25
-1212500,-3386501,3.394e-10,64.5,21.25
-1212500,-3384001,3.6626e-10,64.5,21.25
-1212500,-3381501,3.7266e-10,64.5,21.25
-1212500,-3379001,3.7065e-10,64.5,21.25
-1212500,-3376501,3.7623e-10,64.5,21.25
-1212500,-3374001,3.6328e-10,64.5,21.25
-1212500,-3371501,3.5836e-10,64.5,21.25
-1212500,-3369001,3.3781e-10,64.5,21.25
-1212500,-3366501,3.0681e-10,64.5,21.25
-1212500,-3364001,2.8976e-10,64.5,21.25
-1212500,-3361501,2.9003e-10,64.5,21.25
-1212500,-3359001,NaN,NaN,NaN
-1212500,-3356501,NaN,NaN,NaN
-1212500,-3354001,NaN,NaN,NaN
-1210000,-3399001,NaN,NaN,NaN
-1210000,-3396501,NaN,NaN,NaN
-1210000,-3394001,NaN,NaN,NaN
-1210000,-3391501,NaN,NaN,NaN
-1210000,-3389001,NaN,NaN,NaN
-1210000,-3386501,NaN,NaN,NaN
-1210000,-3384001,NaN,NaN,NaN
-1210000,-3381501,NaN,NaN,NaN
-1210000,-3379001,NaN,NaN,NaN
-1210000,-3376501,NaN,NaN,NaN
-1210000,-3374001,NaN,NaN,NaN
-1210000,-3371501,NaN,NaN,NaN
-1210000,-3369001,NaN,NaN,NaN
-1210000,-3366501,NaN,NaN,NaN
-1210000,-3364001,NaN,NaN,NaN
-1210000,-3361501,NaN,NaN,NaN
-1210000,-3359001,NaN,NaN,NaN
-1210000,-3356501,NaN,NaN,NaN
-1210000,-3354001,NaN,NaN,NaN
-1207500,-3399001,NaN,NaN,NaN
-1207500,-3396501,NaN,NaN,NaN
-1207500,-3394001,NaN,NaN,NaN
-1207500,-3391501,NaN,NaN,NaN
-1207500,-3389001,NaN,NaN,NaN
-1207500,-3386501,NaN,NaN,NaN
-1207500,-3384001,NaN,NaN,NaN
-1207500,-3381501,NaN,NaN,NaN
-1207500,-3379001,NaN,NaN,NaN
-1207500,-3376501,NaN,NaN,NaN
-1207500,-3374001,NaN,NaN,NaN
-1207500,-3371501,NaN,NaN,NaN
-1207500,-3369001,NaN,NaN,NaN
-1207500,-3366501,NaN,NaN,NaN
-1207500,-3364001,NaN,NaN,NaN
-1207500,-3361501,NaN,NaN,NaN
-1207500,-3359001,NaN,NaN,NaN
-1207500,-3356501,NaN,NaN,NaN
-1207500,-3354001,NaN,NaN,NaN
-1205000,-3399001,NaN,NaN,NaN
-1205000,-3396501,NaN,NaN,NaN
-1205000,-3394001,NaN,NaN,NaN
-1205000,-3391501,NaN,NaN,NaN
-1205000,-3389001,NaN,NaN,NaN
-1205000,-3386501,NaN,NaN,NaN
-1205000,-3384001,NaN,NaN,NaN
-1205000,-3381501,NaN,NaN,NaN
-1205000,-3379001,NaN,NaN,NaN
-1205000,-3376501,NaN,NaN,NaN
-1205000,-3374001,NaN,NaN,NaN
-1205000,-3371501,NaN,NaN,NaN
-1205000,-3369001,NaN,NaN,NaN
-1205000,-3366501,NaN,NaN,NaN
-1205000,-3364001,NaN,NaN,NaN
-1205000,-3361501,NaN,NaN,NaN
-1205000,-3359001,NaN,NaN,NaN
-1205000,-3356501,NaN,NaN,NaN
-1205000,-3354001,NaN,NaN,NaN
-1202500,-3399001,NaN,NaN,NaN
-1202500,-3396501,NaN,NaN,NaN
-1202500,-3394001,NaN,NaN,NaN
-1202500,-3391501,NaN,NaN,NaN
-1202500,-3389001,NaN,NaN,NaN
-1202500,-3386501,NaN,NaN,NaN
-1202500,-3384001,NaN,NaN,NaN
-1202500,-3381501,NaN,NaN,NaN
-1202500,-3379001,NaN,NaN,NaN
-1202500,-3376501,NaN,NaN,NaN
-1202500,-3374001,NaN,NaN,NaN
-1202500,-3371501,NaN,NaN,NaN
-1202500,-3369001,NaN,NaN,NaN
-1202500,-3366501,NaN,NaN,NaN
-1202500,-3364001,NaN,NaN,NaN
-1202500,-3361501,NaN,NaN,NaN
-1202500,-3359001,NaN,NaN,NaN
-1202500,-3356501,NaN,NaN,NaN
-1202500,-3354001,NaN,NaN,NaN
-1200000,-3399001,NaN,NaN,NaN
-1200000,-3396501,NaN,NaN,NaN
-1200000,-3394001,NaN,NaN,NaN
-1200000,-3391501,NaN,NaN,NaN
-1200000,-3389001,NaN,NaN,NaN
-1200000,-3386501,NaN,NaN,NaN
-1200000,-3384001,NaN,NaN,NaN
-1200000,-3381501,NaN,NaN,NaN
-1200000,-3379001,NaN,NaN,NaN
-1200000,-3376501,NaN,NaN,NaN
-1200000,-3374001,NaN,NaN,NaN
-1200000,-3371501,NaN,NaN,NaN
-1200000,-3369001,NaN,NaN,NaN
-1200000,-3366501,NaN,NaN,NaN
-1200000,-3364001,NaN,NaN,NaN
-1200000,-3361501,NaN,NaN,NaN
-1200000,-3359001,NaN,NaN,NaN
-1200000,-3356501,NaN,NaN,NaN
-1200000,-3354001,NaN,NaN,NaN
-1197500,-3399001,NaN,NaN,NaN
-1197500,-3396501,NaN,NaN,NaN
-1197500,-3394001,NaN,NaN,NaN
-1197500,-3391501,NaN,NaN,NaN
-1197500,-3389001,NaN,NaN,NaN
-1197500,-3386501,NaN,NaN,NaN
-1197500,-3384001,NaN,NaN,NaN
-1197500,-3381501,NaN,NaN,NaN
