General parameters:
Start time: 2024              1              5             18              4      10.665951
Finish time: 2024              1              5             18             10        1.62432
Raster type: raster_jump
Horizontal range (nm): -3397002.000000,-3441002.000000
Vertical range (nm): -1166000.000000,-1206000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.05e-03
Sample chamber pressure: 1.60e-08
Initial position (nm): -2715328.000000,-1243600.000000,-750002.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3397002 -3441002
hori_res:2500
vert_range:-1166000 -1206000
vert_res:2500
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 3.374172
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1206000,-3441002,1.7027e-10,64.6,21.25
-1206000,-3438502,1.493e-10,64.6,21.25
-1206000,-3436002,1.5793e-10,64.6,21.25
-1206000,-3433502,1.8841e-10,64.6,21.25
-1206000,-3431002,2.305e-10,64.6,21.25
-1206000,-3428502,2.4908e-10,64.6,21.25
-1206000,-3426002,2.5694e-10,64.6,21.25
-1206000,-3423502,2.6447e-10,64.6,21.25
-1206000,-3421002,2.7846e-10,64.6,21.25
-1206000,-3418502,2.9436e-10,64.6,21.25
-1206000,-3416002,2.9545e-10,64.6,21.25
-1206000,-3413502,2.984e-10,64.6,21.25
-1206000,-3411002,2.9813e-10,64.6,21.25
-1206000,-3408502,2.9939e-10,64.6,21.25
-1206000,-3406002,3.0055e-10,64.6,21.25
-1206000,-3403502,2.8559e-10,64.6,21.25
-1206000,-3401002,2.9139e-10,64.6,21.25
-1206000,-3398502,2.8972e-10,64.6,21.25
-1203500,-3441002,1.6129e-10,64.6,21.25
-1203500,-3438502,1.465e-10,64.6,21.25
-1203500,-3436002,1.6282e-10,64.6,21.25
-1203500,-3433502,1.9997e-10,64.6,21.25
-1203500,-3431002,2.3634e-10,64.6,21.25
-1203500,-3428502,2.5388e-10,64.6,21.25
-1203500,-3426002,2.6684e-10,64.6,21.25
-1203500,-3423502,2.7677e-10,64.6,21.25
