General parameters:
Start time: 2024              1              5             18             41      58.814982
Finish time: 2024              1              5             18             48        30.0559
Raster type: raster_jump
Horizontal range (nm): -3448500.000000,-3491500.000000
Vertical range (nm): -1145500.000000,-1190500.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.04e-03
Sample chamber pressure: 1.60e-08
Initial position (nm): -2756340.000000,-1227600.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3448500 -3491500
hori_res:2500
vert_range:-1145500 -1190500
vert_res:2500
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 3.375198
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1190500,-3491500,2.3494e-10,64.6,21.25
-1190500,-3489000,2.2972e-10,64.6,21.25
-1190500,-3486500,1.7869e-10,64.6,21.25
-1190500,-3484000,1.5986e-10,64.6,21.25
-1190500,-3481500,1.9549e-10,64.6,21.25
-1190500,-3479000,2.3464e-10,64.6,21.25
-1190500,-3476500,2.4836e-10,64.6,21.25
-1190500,-3474000,2.4945e-10,64.6,21.25
-1190500,-3471500,2.539e-10,64.6,21.25
-1190500,-3469000,2.6392e-10,64.6,21.25
-1190500,-3466500,2.7501e-10,64.6,21.25
-1190500,-3464000,2.8403e-10,64.6,21.25
-1190500,-3461500,2.8246e-10,64.6,21.25
-1190500,-3459000,2.8164e-10,64.6,21.25
-1190500,-3456500,2.8065e-10,64.6,21.25
-1190500,-3454000,2.9231e-10,64.6,21.25
-1190500,-3451500,3.0422e-10,64.6,21.25
-1190500,-3449000,2.9206e-10,64.6,21.25
-1188000,-3491500,2.3495e-10,64.6,21.25
-1188000,-3489000,1.855e-10,64.6,21.25
-1188000,-3486500,1.5244e-10,64.6,21.25
-1188000,-3484000,1.6569e-10,64.6,21.25
-1188000,-3481500,2.0683e-10,NaN,21.25
-1188000,-3479000,2.389e-10,64.6,21.25
-1188000,-3476500,2.4884e-10,64.6,21.25
-1188000,-3474000,2.5848e-10,64.6,21.25
-1188000,-3471500,2.7178e-10,64.6,21.25
-1188000,-3469000,2.8808e-10,64.6,21.25
-1188000,-3466500,2.9572e-10,64.6,21.25
-1188000,-3464000,2.9294e-10,64.6,21.25
-1188000,-3461500,2.9542e-10,64.6,21.25
-1188000,-3459000,2.9781e-10,64.6,21.25
-1188000,-3456500,2.9751e-10,64.6,21.25
-1188000,-3454000,2.9019e-10,64.6,21.25
-1188000,-3451500,2.9416e-10,64.6,21.25
-1188000,-3449000,2.8974e-10,64.6,21.25
-1185500,-3491500,2.0219e-10,64.6,21.25
-1185500,-3489000,1.5855e-10,64.6,21.25
-1185500,-3486500,1.5125e-10,64.6,21.25
-1185500,-3484000,1.7909e-10,64.6,21.25
-1185500,-3481500,2.2032e-10,64.6,21.25
-1185500,-3479000,2.4365e-10,64.6,21.25
-1185500,-3476500,2.5407e-10,64.6,21.25
-1185500,-3474000,2.6781e-10,64.6,21.25
-1185500,-3471500,2.8234e-10,64.6,21.25
-1185500,-3469000,2.9321e-10,64.6,21.25
-1185500,-3466500,3.0221e-10,64.6,21.25
-1185500,-3464000,3.0265e-10,64.6,21.25
-1185500,-3461500,2.949e-10,64.6,21.25
-1185500,-3459000,3.0173e-10,64.6,21.25
-1185500,-3456500,3.01e-10,64.6,21.25
-1185500,-3454000,2.9302e-10,64.6,21.25
-1185500,-3451500,2.9344e-10,64.6,21.25
-1185500,-3449000,2.8632e-10,64.6,21.25
-1183000,-3491500,1.7563e-10,64.6,21.25
-1183000,-3489000,1.452e-10,64.6,21.25
-1183000,-3486500,1.5847e-10,64.6,21.25
-1183000,-3484000,1.8935e-10,64.6,21.25
-1183000,-3481500,2.3101e-10,64.6,21.25
-1183000,-3479000,2.4631e-10,64.6,21.25
-1183000,-3476500,2.5969e-10,64.6,21.25
-1183000,-3474000,2.766e-10,64.6,21.25
-1183000,-3471500,2.8699e-10,64.6,21.25
-1183000,-3469000,2.9389e-10,64.6,21.25
-1183000,-3466500,3.0702e-10,64.6,21.25
-1183000,-3464000,3.1488e-10,64.6,21.25
-1183000,-3461500,3.0685e-10,64.6,21.25
-1183000,-3459000,2.9705e-10,64.6,21.25
-1183000,-3456500,2.9699e-10,64.6,21.25
-1183000,-3454000,2.9296e-10,64.6,21.25
-1183000,-3451500,2.8916e-10,64.6,21.25
-1183000,-3449000,2.8105e-10,64.6,21.25
-1180500,-3491500,1.5704e-10,64.6,21.25
-1180500,-3489000,1.4476e-10,64.6,21.25
-1180500,-3486500,1.6092e-10,NaN,21.25
-1180500,-3484000,1.898e-10,64.6,21.25
-1180500,-3481500,2.3676e-10,64.6,21.25
-1180500,-3479000,2.7128e-10,64.6,21.25
-1180500,-3476500,2.9996e-10,64.6,21.25
-1180500,-3474000,3.1098e-10,64.6,21.25
-1180500,-3471500,3.2552e-10,64.6,21.25
-1180500,-3469000,3.3171e-10,64.6,21.25
-1180500,-3466500,3.4026e-10,64.6,21.25
-1180500,-3464000,3.4797e-10,64.6,21.25
-1180500,-3461500,3.3027e-10,64.6,21.25
-1180500,-3459000,3.0155e-10,64.6,21.25
-1180500,-3456500,2.9222e-10,64.6,21.25
-1180500,-3454000,2.8832e-10,64.6,21.25
-1180500,-3451500,2.829e-10,64.6,21.25
-1180500,-3449000,2.6278e-10,64.6,21.25
-1178000,-3491500,1.5551e-10,64.6,21.25
-1178000,-3489000,1.4288e-10,64.6,21.25
-1178000,-3486500,1.5625e-10,64.6,21.25
-1178000,-3484000,1.994e-10,64.6,21.25
-1178000,-3481500,2.652e-10,64.6,21.25
-1178000,-3479000,3.3112e-10,64.6,21.25
-1178000,-3476500,3.6322e-10,64.6,21.25
-1178000,-3474000,3.7795e-10,64.6,21.25
-1178000,-3471500,3.8686e-10,64.6,21.25
-1178000,-3469000,3.9647e-10,64.6,21.25
-1178000,-3466500,3.9287e-10,64.6,21.25
-1178000,-3464000,3.7846e-10,64.6,21.25
-1178000,-3461500,3.5846e-10,64.6,21.25
-1178000,-3459000,3.1334e-10,64.6,21.25
-1178000,-3456500,2.895e-10,64.6,21.25
-1178000,-3454000,2.8376e-10,64.6,21.25
-1178000,-3451500,2.7271e-10,64.6,21.25
-1178000,-3449000,2.3241e-10,64.6,21.25
-1175500,-3491500,1.572e-10,64.6,21.25
-1175500,-3489000,1.4142e-10,64.6,21.25
-1175500,-3486500,1.5643e-10,64.6,21.25
-1175500,-3484000,2.1563e-10,64.6,21.25
-1175500,-3481500,3.016e-10,64.6,21.25
-1175500,-3479000,3.6987e-10,64.6,21.25
-1175500,-3476500,3.9243e-10,64.6,21.25
-1175500,-3474000,4.1137e-10,64.6,21.25
-1175500,-3471500,4.2664e-10,64.6,21.25
-1175500,-3469000,4.2932e-10,64.6,21.25
-1175500,-3466500,4.15e-10,64.6,21.25
-1175500,-3464000,3.9041e-10,64.6,21.25
-1175500,-3461500,3.6302e-10,64.6,21.25
-1175500,-3459000,3.3131e-10,64.6,21.25
-1175500,-3456500,3.0851e-10,64.6,21.25
-1175500,-3454000,2.8966e-10,64.6,21.25
-1175500,-3451500,2.5134e-10,NaN,21.25
-1175500,-3449000,2.0511e-10,64.6,21.25
-1173000,-3491500,1.5656e-10,64.6,21.25
-1173000,-3489000,1.4636e-10,64.6,21.25
-1173000,-3486500,1.5925e-10,64.6,21.25
-1173000,-3484000,2.0934e-10,64.6,21.25
-1173000,-3481500,2.8832e-10,64.6,21.25
-1173000,-3479000,3.5449e-10,64.6,21.25
-1173000,-3476500,3.8502e-10,64.6,21.25
-1173000,-3474000,3.9676e-10,64.6,21.25
-1173000,-3471500,4.159e-10,64.6,21.25
-1173000,-3469000,4.2836e-10,64.6,21.25
-1173000,-3466500,4.1999e-10,64.6,21.25
-1173000,-3464000,3.9478e-10,64.6,21.25
-1173000,-3461500,3.7759e-10,64.6,21.25
-1173000,-3459000,3.6444e-10,64.6,21.25
-1173000,-3456500,3.4446e-10,64.6,21.25
-1173000,-3454000,2.8481e-10,64.6,21.25
-1173000,-3451500,2.298e-10,64.6,21.25
-1173000,-3449000,1.8532e-10,64.6,21.25
-1170500,-3491500,2.1336e-10,64.6,21.25
-1170500,-3489000,2.0951e-10,64.6,21.25
-1170500,-3486500,1.7424e-10,64.6,21.25
-1170500,-3484000,1.9326e-10,64.6,21.25
-1170500,-3481500,2.6059e-10,64.6,21.25
-1170500,-3479000,3.3359e-10,64.6,21.25
-1170500,-3476500,3.7523e-10,64.6,21.25
-1170500,-3474000,3.9288e-10,64.6,21.25
-1170500,-3471500,4.0096e-10,64.6,21.25
-1170500,-3469000,4.2668e-10,64.6,21.25
-1170500,-3466500,4.2556e-10,64.6,21.25
-1170500,-3464000,3.9954e-10,64.6,21.25
-1170500,-3461500,3.8014e-10,64.6,21.25
-1170500,-3459000,3.8396e-10,64.6,21.25
-1170500,-3456500,3.5008e-10,64.6,21.25
-1170500,-3454000,2.7569e-10,64.6,21.25
-1170500,-3451500,2.0533e-10,64.6,21.25
-1170500,-3449000,1.7409e-10,64.6,21.25
-1168000,-3491500,3.0716e-10,64.6,21.25
-1168000,-3489000,3.1268e-10,64.6,21.25
-1168000,-3486500,2.2847e-10,64.6,21.25
-1168000,-3484000,1.9112e-10,64.6,21.25
-1168000,-3481500,2.2985e-10,64.6,21.25
-1168000,-3479000,2.9679e-10,64.6,21.25
-1168000,-3476500,3.6433e-10,64.6,21.25
-1168000,-3474000,3.9073e-10,64.6,21.25
-1168000,-3471500,3.9713e-10,64.6,21.25
-1168000,-3469000,4.0846e-10,64.6,21.25
-1168000,-3466500,4.1043e-10,64.6,21.25
-1168000,-3464000,4.0535e-10,64.6,21.25
-1168000,-3461500,3.9857e-10,64.6,21.25
-1168000,-3459000,3.8731e-10,64.6,21.25
-1168000,-3456500,3.1952e-10,64.6,21.25
-1168000,-3454000,2.3391e-10,64.6,21.25
-1168000,-3451500,1.7822e-10,64.6,21.25
-1168000,-3449000,1.5906e-10,64.6,21.25
-1165500,-3491500,3.3147e-10,64.6,21.25
-1165500,-3489000,3.1515e-10,64.6,21.25
-1165500,-3486500,2.3535e-10,64.6,21.25
-1165500,-3484000,2.0027e-10,64.6,21.25
-1165500,-3481500,2.1346e-10,64.6,21.25
-1165500,-3479000,2.6073e-10,64.6,21.25
-1165500,-3476500,3.2738e-10,64.6,21.25
-1165500,-3474000,3.8023e-10,64.6,21.25
-1165500,-3471500,3.9522e-10,64.6,21.25
-1165500,-3469000,3.9668e-10,64.6,21.25
-1165500,-3466500,3.9768e-10,64.6,21.25
-1165500,-3464000,3.8794e-10,64.6,21.25
-1165500,-3461500,3.8094e-10,64.6,21.25
-1165500,-3459000,3.4247e-10,64.6,21.25
-1165500,-3456500,2.593e-10,64.6,21.25
-1165500,-3454000,1.828e-10,64.6,21.25
-1165500,-3451500,1.5658e-10,64.6,21.25
-1165500,-3449000,1.4566e-10,64.6,21.25
-1163000,-3491500,2.7944e-10,64.6,21.25
-1163000,-3489000,2.5781e-10,64.6,21.25
-1163000,-3486500,2.0631e-10,64.6,21.25
-1163000,-3484000,2.1367e-10,64.6,21.25
-1163000,-3481500,2.479e-10,64.6,21.25
-1163000,-3479000,2.6868e-10,64.6,21.25
-1163000,-3476500,3.1032e-10,64.6,21.25
-1163000,-3474000,3.6544e-10,64.6,21.25
-1163000,-3471500,3.9118e-10,64.6,21.25
-1163000,-3469000,3.9621e-10,64.6,21.25
-1163000,-3466500,3.8742e-10,64.6,21.25
-1163000,-3464000,3.6589e-10,64.6,21.25
-1163000,-3461500,3.3455e-10,64.6,21.25
-1163000,-3459000,2.6979e-10,64.6,21.25
-1163000,-3456500,1.9455e-10,64.6,21.25
-1163000,-3454000,1.5217e-10,64.6,21.25
-1163000,-3451500,1.4092e-10,64.6,21.25
-1163000,-3449000,1.3708e-10,64.6,21.25
-1160500,-3491500,2.9573e-10,64.6,21.25
-1160500,-3489000,2.5e-10,64.6,21.25
-1160500,-3486500,2.0427e-10,64.6,21.25
-1160500,-3484000,2.3153e-10,64.6,21.25
-1160500,-3481500,2.8091e-10,64.6,21.25
-1160500,-3479000,3.0876e-10,64.6,21.25
-1160500,-3476500,3.1933e-10,64.6,21.25
-1160500,-3474000,3.4568e-10,64.6,21.25
-1160500,-3471500,3.6552e-10,64.6,21.25
-1160500,-3469000,3.682e-10,64.6,21.25
-1160500,-3466500,3.4401e-10,64.6,21.25
-1160500,-3464000,3.1039e-10,64.6,21.25
-1160500,-3461500,2.5571e-10,64.6,21.25
-1160500,-3459000,2.0071e-10,64.6,21.25
-1160500,-3456500,1.5426e-10,64.6,21.25
-1160500,-3454000,1.3909e-10,64.6,21.25
-1160500,-3451500,1.378e-10,64.6,21.25
-1160500,-3449000,1.3631e-10,64.6,21.25
-1158000,-3491500,3.1211e-10,64.6,21.25
-1158000,-3489000,2.9401e-10,64.6,21.25
-1158000,-3486500,2.3583e-10,64.6,21.25
-1158000,-3484000,2.5709e-10,64.6,21.25
-1158000,-3481500,2.918e-10,64.6,21.25
-1158000,-3479000,3.1706e-10,64.6,21.25
-1158000,-3476500,3.1265e-10,64.6,21.25
-1158000,-3474000,3.0998e-10,64.6,21.25
-1158000,-3471500,3.151e-10,64.6,21.25
-1158000,-3469000,3.0774e-10,64.6,21.25
-1158000,-3466500,2.7556e-10,64.6,21.25
-1158000,-3464000,2.3084e-10,64.6,21.25
-1158000,-3461500,1.9173e-10,64.6,21.25
-1158000,-3459000,1.556e-10,64.6,21.25
-1158000,-3456500,1.4165e-10,64.6,21.25
-1158000,-3454000,1.3666e-10,64.6,21.25
-1158000,-3451500,1.3625e-10,NaN,21.25
-1158000,-3449000,1.3715e-10,64.6,21.25
-1155500,-3491500,3.1889e-10,64.6,21.25
-1155500,-3489000,3.0391e-10,64.6,21.25
-1155500,-3486500,2.7101e-10,64.6,21.25
-1155500,-3484000,2.895e-10,64.6,21.25
-1155500,-3481500,2.9432e-10,64.6,21.25
-1155500,-3479000,2.9415e-10,64.6,21.25
-1155500,-3476500,2.8817e-10,64.6,21.25
-1155500,-3474000,2.7417e-10,64.6,21.25
-1155500,-3471500,2.6439e-10,64.6,21.25
-1155500,-3469000,2.4656e-10,64.6,21.25
-1155500,-3466500,2.1146e-10,64.6,21.25
-1155500,-3464000,1.81e-10,64.6,21.25
-1155500,-3461500,1.5172e-10,64.6,21.25
-1155500,-3459000,1.4035e-10,64.6,21.25
-1155500,-3456500,1.3835e-10,64.6,21.25
-1155500,-3454000,1.3712e-10,64.6,21.25
-1155500,-3451500,1.3835e-10,64.6,21.25
-1155500,-3449000,1.3724e-10,64.6,21.25
-1153000,-3491500,2.7109e-10,64.6,21.25
-1153000,-3489000,2.7286e-10,64.6,21.25
-1153000,-3486500,2.4404e-10,64.6,21.25
-1153000,-3484000,2.646e-10,64.6,21.25
-1153000,-3481500,2.7324e-10,64.6,21.25
-1153000,-3479000,2.6726e-10,64.6,21.25
-1153000,-3476500,2.5791e-10,64.6,21.25
-1153000,-3474000,2.4315e-10,64.6,21.25
-1153000,-3471500,2.2772e-10,64.6,21.25
-1153000,-3469000,1.9931e-10,64.6,21.25
-1153000,-3466500,1.7243e-10,64.6,21.25
-1153000,-3464000,1.4928e-10,64.6,21.25
-1153000,-3461500,1.3996e-10,64.6,21.25
-1153000,-3459000,1.3801e-10,64.6,21.25
-1153000,-3456500,1.3704e-10,64.6,21.25
-1153000,-3454000,1.3777e-10,64.6,21.25
-1153000,-3451500,1.3471e-10,64.6,21.25
-1153000,-3449000,1.3808e-10,64.6,21.25
-1150500,-3491500,2.1388e-10,64.6,21.25
-1150500,-3489000,2.0356e-10,64.6,21.25
