General parameters:
Start time: 2024              1              6             16             26      14.479014
Finish time: 2024              1              6             16             31       3.512004
Raster type: raster_jump
Horizontal range (nm): -3614500.000000,-3653500.000000
Vertical range (nm): -1031000.000000,-1069000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.05e-03
Sample chamber pressure: 1.60e-08
Initial position (nm): -2935318.000000,-1113600.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3614500 -3653500
hori_res:2500
vert_range:-1031000 -1069000
vert_res:2500
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 3.384090
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1069000,-3653500,1.6581e-10,64.9,21.25
-1069000,-3651000,2.0488e-10,64.9,21.25
-1069000,-3648500,2.4073e-10,64.9,21.25
-1069000,-3646000,2.4192e-10,64.9,21.25
-1069000,-3643500,2.5233e-10,64.9,21.25
-1069000,-3641000,2.7012e-10,64.9,21.25
-1069000,-3638500,2.8827e-10,64.9,21.25
-1069000,-3636000,2.9393e-10,64.9,21.25
-1069000,-3633500,3.0082e-10,64.9,21.25
-1069000,-3631000,2.949e-10,64.9,21.25
-1069000,-3628500,2.9688e-10,64.9,21.25
-1069000,-3626000,2.9564e-10,64.9,21.25
-1069000,-3623500,2.9466e-10,64.9,21.25
-1069000,-3621000,2.92e-10,64.9,21.25
-1069000,-3618500,2.8027e-10,64.9,21.25
-1069000,-3616000,2.3964e-10,64.9,21.25
-1066500,-3653500,1.7973e-10,64.9,21.25
-1066500,-3651000,2.0684e-10,64.9,21.25
-1066500,-3648500,2.4116e-10,64.9,21.25
-1066500,-3646000,2.456e-10,64.9,21.25
-1066500,-3643500,2.5513e-10,64.9,21.25
-1066500,-3641000,2.6866e-10,64.9,21.25
-1066500,-3638500,2.8644e-10,64.9,21.25
-1066500,-3636000,2.9426e-10,64.9,21.25
-1066500,-3633500,3.0331e-10,64.9,21.25
-1066500,-3631000,3.0265e-10,64.9,21.25
-1066500,-3628500,2.9835e-10,64.9,21.25
-1066500,-3626000,2.9316e-10,64.9,21.25
-1066500,-3623500,2.9264e-10,64.9,21.25
-1066500,-3621000,2.868e-10,64.9,21.25
-1066500,-3618500,2.8122e-10,64.9,21.25
-1066500,-3616000,2.2495e-10,64.9,21.25
-1064000,-3653500,1.7912e-10,64.9,21.25
-1064000,-3651000,2.0381e-10,64.9,21.25
-1064000,-3648500,2.3527e-10,64.9,21.25
-1064000,-3646000,2.4822e-10,64.9,21.25
-1064000,-3643500,2.5948e-10,64.9,21.25
-1064000,-3641000,2.7884e-10,64.9,21.25
-1064000,-3638500,2.8086e-10,64.9,21.25
-1064000,-3636000,3.0035e-10,64.9,21.25
-1064000,-3633500,3.2105e-10,64.9,21.25
-1064000,-3631000,3.3193e-10,64.9,21.25
-1064000,-3628500,3.2129e-10,64.9,21.25
-1064000,-3626000,3.0024e-10,64.9,21.25
-1064000,-3623500,2.9088e-10,64.9,21.25
-1064000,-3621000,2.89e-10,64.9,21.25
-1064000,-3618500,2.6202e-10,64.9,21.25
-1064000,-3616000,2.1111e-10,64.9,21.25
-1061500,-3653500,1.7597e-10,64.9,21.25
-1061500,-3651000,2.0287e-10,64.9,21.25
-1061500,-3648500,2.3618e-10,64.9,21.25
-1061500,-3646000,2.5578e-10,64.9,21.25
-1061500,-3643500,2.7258e-10,64.9,21.25
-1061500,-3641000,2.9048e-10,64.9,21.25
-1061500,-3638500,3.1e-10,64.9,21.25
-1061500,-3636000,3.35e-10,64.9,21.25
-1061500,-3633500,3.5025e-10,64.9,21.25
-1061500,-3631000,3.5998e-10,64.9,21.25
-1061500,-3628500,3.4824e-10,64.9,21.25
-1061500,-3626000,3.2423e-10,64.9,21.25
-1061500,-3623500,3.0759e-10,64.9,21.25
-1061500,-3621000,2.9535e-10,64.9,21.25
-1061500,-3618500,2.5251e-10,64.9,21.25
-1061500,-3616000,2.0459e-10,64.9,21.25
-1059000,-3653500,1.7394e-10,64.9,21.25
-1059000,-3651000,1.9256e-10,64.9,21.25
-1059000,-3648500,2.3225e-10,64.9,21.25
-1059000,-3646000,2.7097e-10,64.9,21.25
-1059000,-3643500,3.0232e-10,64.9,21.25
-1059000,-3641000,3.3069e-10,64.9,21.25
-1059000,-3638500,3.5265e-10,64.9,21.25
-1059000,-3636000,3.8129e-10,64.9,21.25
-1059000,-3633500,3.8388e-10,64.9,21.25
-1059000,-3631000,3.7127e-10,64.9,21.25
-1059000,-3628500,3.5792e-10,64.9,21.25
-1059000,-3626000,3.4496e-10,64.9,21.25
-1059000,-3623500,3.3948e-10,64.9,21.25
-1059000,-3621000,3.1558e-10,64.9,21.25
-1059000,-3618500,2.5567e-10,64.9,21.25
-1059000,-3616000,2.0047e-10,64.9,21.25
-1056500,-3653500,1.7029e-10,64.9,21.25
-1056500,-3651000,1.818e-10,64.9,21.25
-1056500,-3648500,2.3153e-10,64.9,21.25
-1056500,-3646000,2.9597e-10,64.9,21.25
-1056500,-3643500,3.4092e-10,64.9,21.25
-1056500,-3641000,3.6112e-10,64.9,21.25
-1056500,-3638500,3.821e-10,64.9,21.25
-1056500,-3636000,3.9433e-10,64.9,21.25
-1056500,-3633500,4.0327e-10,64.9,21.25
-1056500,-3631000,3.9008e-10,64.9,21.25
-1056500,-3628500,3.6222e-10,64.9,21.25
-1056500,-3626000,3.54e-10,64.9,21.25
-1056500,-3623500,3.5805e-10,64.9,21.25
-1056500,-3621000,3.3282e-10,64.9,21.25
-1056500,-3618500,2.5697e-10,64.9,21.25
-1056500,-3616000,1.909e-10,64.9,21.25
-1054000,-3653500,1.6023e-10,64.9,21.25
-1054000,-3651000,1.6917e-10,64.9,21.25
-1054000,-3648500,2.3227e-10,64.9,21.25
-1054000,-3646000,3.0331e-10,64.9,21.25
-1054000,-3643500,3.5062e-10,64.9,21.25
-1054000,-3641000,3.6284e-10,64.9,21.25
-1054000,-3638500,3.729e-10,64.9,21.25
-1054000,-3636000,3.8405e-10,64.9,21.25
-1054000,-3633500,3.99e-10,64.9,21.25
-1054000,-3631000,4.0154e-10,64.9,21.25
-1054000,-3628500,3.7732e-10,64.9,21.25
-1054000,-3626000,3.6644e-10,64.9,21.25
-1054000,-3623500,3.6699e-10,64.9,21.25
-1054000,-3621000,3.2438e-10,64.9,21.25
-1054000,-3618500,2.4172e-10,64.9,21.25
-1054000,-3616000,1.757e-10,64.9,21.25
-1051500,-3653500,1.511e-10,64.9,21.25
-1051500,-3651000,1.5883e-10,64.9,21.25
-1051500,-3648500,2.1312e-10,64.9,21.25
-1051500,-3646000,2.8254e-10,64.9,21.25
-1051500,-3643500,3.2726e-10,64.9,21.25
-1051500,-3641000,3.5567e-10,64.9,21.25
-1051500,-3638500,3.6653e-10,64.9,21.25
-1051500,-3636000,3.6681e-10,64.9,21.25
-1051500,-3633500,3.7795e-10,64.9,21.25
-1051500,-3631000,3.8657e-10,64.9,21.25
-1051500,-3628500,3.7634e-10,64.9,21.25
-1051500,-3626000,3.7205e-10,64.9,21.25
-1051500,-3623500,3.5353e-10,64.9,21.25
-1051500,-3621000,3.0305e-10,64.9,21.25
-1051500,-3618500,2.1656e-10,64.9,21.25
-1051500,-3616000,1.5647e-10,64.9,21.25
-1049000,-3653500,1.5167e-10,64.9,21.25
-1049000,-3651000,1.5335e-10,64.9,21.25
-1049000,-3648500,1.8163e-10,64.9,21.25
-1049000,-3646000,2.353e-10,64.9,21.25
-1049000,-3643500,2.8447e-10,64.9,21.25
-1049000,-3641000,3.3219e-10,64.9,21.25
-1049000,-3638500,3.5804e-10,64.9,21.25
-1049000,-3636000,3.6566e-10,64.9,21.25
-1049000,-3633500,3.7174e-10,64.9,21.25
-1049000,-3631000,3.7272e-10,64.9,21.25
-1049000,-3628500,3.6588e-10,64.9,21.25
-1049000,-3626000,3.5728e-10,64.9,21.25
-1049000,-3623500,3.3407e-10,64.9,21.25
-1049000,-3621000,2.6779e-10,64.9,21.25
-1049000,-3618500,1.8627e-10,64.9,21.25
-1049000,-3616000,1.4778e-10,64.9,21.25
-1046500,-3653500,2.0772e-10,64.9,21.25
-1046500,-3651000,2.0965e-10,64.9,21.25
-1046500,-3648500,1.8312e-10,64.9,21.25
-1046500,-3646000,1.9631e-10,64.9,21.25
-1046500,-3643500,2.3488e-10,64.9,21.25
-1046500,-3641000,2.8337e-10,64.9,21.25
-1046500,-3638500,3.2248e-10,64.9,21.25
-1046500,-3636000,3.5563e-10,64.9,21.25
-1046500,-3633500,3.6701e-10,64.9,21.25
-1046500,-3631000,3.6802e-10,64.9,21.25
-1046500,-3628500,3.6111e-10,64.9,21.25
-1046500,-3626000,3.3841e-10,64.9,21.25
-1046500,-3623500,2.9328e-10,64.9,21.25
-1046500,-3621000,2.266e-10,64.9,21.25
-1046500,-3618500,1.6577e-10,64.9,21.25
-1046500,-3616000,1.4212e-10,64.9,21.25
-1044000,-3653500,2.9268e-10,64.9,21.25
-1044000,-3651000,3.2871e-10,64.9,21.25
-1044000,-3648500,2.4277e-10,64.9,21.25
-1044000,-3646000,1.9154e-10,64.9,21.25
-1044000,-3643500,2.0804e-10,64.9,21.25
-1044000,-3641000,2.3997e-10,64.9,21.25
-1044000,-3638500,2.7757e-10,64.9,21.25
-1044000,-3636000,3.3064e-10,64.9,21.25
-1044000,-3633500,3.575e-10,64.9,21.25
-1044000,-3631000,3.599e-10,64.9,21.25
-1044000,-3628500,3.3984e-10,64.9,21.25
-1044000,-3626000,3.0262e-10,64.9,21.25
-1044000,-3623500,2.4711e-10,64.9,21.25
-1044000,-3621000,1.8899e-10,64.9,21.25
-1044000,-3618500,1.5215e-10,64.9,21.25
-1044000,-3616000,1.407e-10,64.9,21.25
-1041500,-3653500,3.3825e-10,64.9,21.25
-1041500,-3651000,3.6769e-10,64.9,21.25
-1041500,-3648500,2.8232e-10,64.9,21.25
-1041500,-3646000,2.0564e-10,64.9,21.25
-1041500,-3643500,2.2518e-10,64.9,21.25
-1041500,-3641000,2.5538e-10,64.9,21.25
-1041500,-3638500,2.7935e-10,64.9,21.25
-1041500,-3636000,3.0669e-10,64.9,21.25
-1041500,-3633500,3.2346e-10,64.9,21.25
-1041500,-3631000,3.2132e-10,64.9,21.25
-1041500,-3628500,3.0309e-10,64.9,21.25
-1041500,-3626000,2.6157e-10,64.9,21.25
-1041500,-3623500,2.1005e-10,64.9,21.25
-1041500,-3621000,1.619e-10,64.9,21.25
-1041500,-3618500,1.412e-10,64.9,21.25
-1041500,-3616000,1.3846e-10,64.9,21.25
-1039000,-3653500,3.2696e-10,64.9,21.25
-1039000,-3651000,3.296e-10,64.9,21.25
-1039000,-3648500,2.52e-10,64.9,21.25
-1039000,-3646000,1.9759e-10,64.9,21.25
-1039000,-3643500,2.271e-10,64.9,21.25
-1039000,-3641000,2.7624e-10,64.9,21.25
-1039000,-3638500,2.9583e-10,64.9,21.25
-1039000,-3636000,2.9429e-10,64.9,21.25
-1039000,-3633500,2.9036e-10,64.9,21.25
-1039000,-3631000,2.791e-10,64.9,21.25
-1039000,-3628500,2.6181e-10,64.9,21.25
