General parameters:
Start time: 2024              1              6             16             59      27.079231
Finish time: 2024              1              6             17              4      15.874301
Raster type: raster_jump
Horizontal range (nm): -3632498.000000,-3673498.000000
Vertical range (nm): -997500.000000,-1034500.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.04e-03
Sample chamber pressure: 1.60e-08
Initial position (nm): -2981307.000000,-1080600.000000,-750001.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3632498 -3673498
hori_res:2500
vert_range:-997500 -1034500
vert_res:2500
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 3.382380
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1034500,-3673498,2.1653e-10,64.9,21.25
-1034500,-3670998,2.4542e-10,64.9,21.25
-1034500,-3668498,2.4334e-10,64.9,21.25
-1034500,-3665998,2.4764e-10,64.9,21.25
-1034500,-3663498,2.6776e-10,64.9,21.25
-1034500,-3660998,2.8414e-10,64.9,21.25
-1034500,-3658498,2.9246e-10,64.9,21.25
-1034500,-3655998,2.9338e-10,64.9,21.25
-1034500,-3653498,2.96e-10,64.9,21.25
-1034500,-3650998,3.0194e-10,64.9,21.25
-1034500,-3648498,2.9527e-10,64.9,21.25
-1034500,-3645998,2.9352e-10,64.9,21.25
-1034500,-3643498,2.8539e-10,64.9,21.25
-1034500,-3640998,2.5971e-10,64.9,21.25
-1034500,-3638498,2.0023e-10,64.9,21.25
-1034500,-3635998,1.5284e-10,64.9,21.25
-1034500,-3633498,1.4006e-10,64.9,21.25
-1032000,-3673498,2.2881e-10,64.9,21.25
-1032000,-3670998,2.4068e-10,64.9,21.25
-1032000,-3668498,2.4697e-10,64.9,21.25
-1032000,-3665998,2.6031e-10,64.9,21.25
-1032000,-3663498,2.7956e-10,64.9,21.25
-1032000,-3660998,2.8938e-10,64.9,21.25
-1032000,-3658498,2.9775e-10,64.9,21.25
-1032000,-3655998,2.9491e-10,64.9,21.25
-1032000,-3653498,2.9205e-10,64.9,21.25
-1032000,-3650998,2.9477e-10,64.9,21.25
-1032000,-3648498,2.9589e-10,64.9,21.25
-1032000,-3645998,2.9188e-10,64.9,21.25
-1032000,-3643498,2.8294e-10,64.9,21.25
-1032000,-3640998,2.4992e-10,64.9,21.25
-1032000,-3638498,1.8717e-10,64.9,21.25
-1032000,-3635998,1.4978e-10,64.9,21.25
-1032000,-3633498,1.4038e-10,64.9,21.25
-1029500,-3673498,2.2625e-10,64.9,21.25
-1029500,-3670998,2.4053e-10,64.9,21.25
-1029500,-3668498,2.4223e-10,64.9,21.25
-1029500,-3665998,2.5958e-10,64.9,21.25
-1029500,-3663498,2.7718e-10,64.9,21.25
-1029500,-3660998,2.866e-10,64.9,21.25
-1029500,-3658498,2.9772e-10,64.9,21.25
-1029500,-3655998,3.0821e-10,64.9,21.25
-1029500,-3653498,3.1055e-10,64.9,21.25
-1029500,-3650998,2.9778e-10,64.9,21.25
-1029500,-3648498,2.8834e-10,64.9,21.25
-1029500,-3645998,2.8832e-10,64.9,21.25
-1029500,-3643498,2.7818e-10,64.9,21.25
-1029500,-3640998,2.3701e-10,64.9,21.25
-1029500,-3638498,1.856e-10,64.9,21.25
-1029500,-3635998,1.469e-10,64.9,21.25
-1029500,-3633498,1.4055e-10,64.9,21.25
-1027000,-3673498,2.2151e-10,64.9,21.25
-1027000,-3670998,2.4287e-10,64.9,21.25
-1027000,-3668498,2.5228e-10,64.9,21.25
-1027000,-3665998,2.6777e-10,64.9,21.25
-1027000,-3663498,2.781e-10,64.9,21.25
-1027000,-3660998,2.9222e-10,64.9,21.25
-1027000,-3658498,3.0921e-10,64.9,21.25
-1027000,-3655998,3.3463e-10,64.9,21.25
-1027000,-3653498,3.3779e-10,64.9,21.25
-1027000,-3650998,3.2729e-10,64.9,21.25
-1027000,-3648498,3.1023e-10,64.9,21.25
-1027000,-3645998,2.9632e-10,64.9,21.25
-1027000,-3643498,2.6942e-10,64.9,21.25
-1027000,-3640998,2.2845e-10,64.9,21.25
-1027000,-3638498,1.8735e-10,64.9,21.25
-1027000,-3635998,1.5694e-10,64.9,21.25
-1027000,-3633498,1.4395e-10,64.9,21.25
-1024500,-3673498,2.1828e-10,64.9,21.25
-1024500,-3670998,2.4546e-10,64.9,21.25
-1024500,-3668498,2.6105e-10,64.9,21.25
-1024500,-3665998,2.8678e-10,64.9,21.25
-1024500,-3663498,3.0476e-10,64.9,21.25
-1024500,-3660998,3.2872e-10,64.9,21.25
-1024500,-3658498,3.4933e-10,64.9,21.25
-1024500,-3655998,3.6286e-10,64.9,21.25
-1024500,-3653498,3.5707e-10,64.9,21.25
-1024500,-3650998,3.4169e-10,64.9,21.25
-1024500,-3648498,3.2897e-10,64.9,21.25
-1024500,-3645998,3.2087e-10,64.9,21.25
-1024500,-3643498,2.8143e-10,64.9,21.25
-1024500,-3640998,2.2994e-10,64.9,21.25
-1024500,-3638498,1.9132e-10,64.9,21.25
-1024500,-3635998,1.6392e-10,64.9,21.25
-1024500,-3633498,1.4617e-10,64.9,21.25
-1022000,-3673498,2.1636e-10,64.9,21.25
-1022000,-3670998,2.4271e-10,64.9,21.25
-1022000,-3668498,2.8023e-10,64.9,21.25
-1022000,-3665998,3.1593e-10,64.9,21.25
-1022000,-3663498,3.3626e-10,64.9,21.25
-1022000,-3660998,3.65e-10,64.9,21.25
-1022000,-3658498,3.8573e-10,64.9,21.25
-1022000,-3655998,3.8689e-10,64.9,21.25
-1022000,-3653498,3.5926e-10,64.9,21.25
-1022000,-3650998,3.4961e-10,64.9,21.25
-1022000,-3648498,3.4596e-10,64.9,21.25
-1022000,-3645998,3.4308e-10,64.9,21.25
-1022000,-3643498,2.9845e-10,64.9,21.25
-1022000,-3640998,2.2698e-10,64.9,21.25
-1022000,-3638498,1.8108e-10,64.9,21.25
-1022000,-3635998,1.5713e-10,64.9,21.25
-1022000,-3633498,1.4591e-10,64.9,21.25
-1019500,-3673498,2.0149e-10,64.9,21.25
-1019500,-3670998,2.5088e-10,64.9,21.25
-1019500,-3668498,3.0589e-10,64.9,21.25
-1019500,-3665998,3.4296e-10,64.9,21.25
-1019500,-3663498,3.6031e-10,64.9,21.25
-1019500,-3660998,3.7783e-10,64.9,21.25
-1019500,-3658498,3.8864e-10,64.9,21.25
-1019500,-3655998,3.9442e-10,64.9,21.25
-1019500,-3653498,3.8691e-10,64.9,21.25
-1019500,-3650998,3.5632e-10,64.9,21.25
-1019500,-3648498,3.5766e-10,64.9,21.25
-1019500,-3645998,3.5321e-10,64.9,21.25
-1019500,-3643498,2.9944e-10,64.9,21.25
-1019500,-3640998,2.1869e-10,64.9,21.25
-1019500,-3638498,1.6707e-10,64.9,21.25
-1019500,-3635998,1.4567e-10,64.9,21.25
-1019500,-3633498,1.3966e-10,64.9,21.25
-1017000,-3673498,1.8685e-10,64.9,21.25
-1017000,-3670998,2.4389e-10,64.9,21.25
-1017000,-3668498,3.1615e-10,64.9,21.25
-1017000,-3665998,3.4695e-10,64.9,21.25
-1017000,-3663498,3.5902e-10,64.9,21.25
-1017000,-3660998,3.6801e-10,64.9,21.25
-1017000,-3658498,3.741e-10,64.9,21.25
-1017000,-3655998,3.8136e-10,64.9,21.25
-1017000,-3653498,3.7981e-10,64.9,21.25
-1017000,-3650998,3.7159e-10,64.9,21.25
-1017000,-3648498,3.6598e-10,64.9,21.25
-1017000,-3645998,3.472e-10,64.9,21.25
-1017000,-3643498,2.8002e-10,64.9,21.25
-1017000,-3640998,1.9968e-10,64.9,21.25
-1017000,-3638498,1.5156e-10,64.9,21.25
-1017000,-3635998,1.419e-10,64.9,21.25
-1017000,-3633498,1.3953e-10,64.9,21.25
-1014500,-3673498,1.7037e-10,64.9,21.25
-1014500,-3670998,2.1586e-10,64.9,21.25
-1014500,-3668498,2.847e-10,64.9,21.25
-1014500,-3665998,3.2571e-10,64.9,21.25
-1014500,-3663498,3.4645e-10,64.9,21.25
-1014500,-3660998,3.5869e-10,64.9,21.25
-1014500,-3658498,3.646e-10,64.9,21.25
