General parameters:
Start time: 2024              1              8             18             19       8.082198
Finish time: 2024              1              8             18             22       4.372595
Raster type: raster_jump
Horizontal range (nm): -3759498.000000,-3790498.000000
Vertical range (nm): -704500.000000,-733500.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.02e-03
Sample chamber pressure: 1.60e-08
Initial position (nm): -3119300.000000,-754600.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3759498 -3790498
hori_res:2500
vert_range:-704500 -733500
vert_res:2500
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 3.395376
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-733500,-3790498,2.4435e-10,65.4,21.25
-733500,-3787998,2.8487e-10,65.4,21.25
-733500,-3785498,3.0103e-10,65.4,21.25
-733500,-3782998,3.0405e-10,65.4,21.25
-733500,-3780498,3.0404e-10,65.4,21.25
-733500,-3777998,3.0602e-10,65.4,21.25
-733500,-3775498,2.9817e-10,65.4,21.25
-733500,-3772998,2.7667e-10,65.4,21.25
-733500,-3770498,2.3104e-10,65.4,21.25
-733500,-3767998,1.9862e-10,65.4,21.25
-733500,-3765498,1.8159e-10,65.4,21.25
-733500,-3762998,1.5585e-10,65.4,21.25
-733500,-3760498,1.3916e-10,65.4,21.25
-731000,-3790498,2.7126e-10,65.4,21.25
-731000,-3787998,2.9206e-10,65.4,21.25
-731000,-3785498,3.0021e-10,65.4,21.25
-731000,-3782998,2.9611e-10,65.4,21.25
-731000,-3780498,2.9715e-10,65.4,21.25
-731000,-3777998,3.0555e-10,65.4,21.25
-731000,-3775498,3.0171e-10,65.4,21.25
-731000,-3772998,2.881e-10,65.4,21.25
-731000,-3770498,2.5433e-10,65.4,21.25
-731000,-3767998,2.1784e-10,65.4,21.25
-731000,-3765498,1.8296e-10,65.5,21.25
-731000,-3762998,1.6038e-10,65.4,21.25
-731000,-3760498,1.377e-10,65.5,21.25
-728500,-3790498,2.7166e-10,65.5,21.25
