General parameters:
Start time: 2024              1              8             18             57       26.35984
Finish time: 2024              1              8             19              1      18.922559
Raster type: raster_jump
Horizontal range (nm): -3752000.000000,-3792000.000000
Vertical range (nm): -659500.000000,-688500.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.01e-03
Sample chamber pressure: 1.60e-08
Initial position (nm): -3794003.000000,-690500.000000,-749997.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3752000 -3792000
hori_res:2500
vert_range:-659500 -688500
vert_res:2500
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 3.395034
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-688500,-3792000,2.592e-10,65.5,21.25
-688500,-3789500,2.7877e-10,65.5,21.25
-688500,-3787000,2.894e-10,65.5,21.25
-688500,-3784500,3.0206e-10,65.5,21.25
-688500,-3782000,3.0607e-10,65.5,21.25
-688500,-3779500,3.0571e-10,65.5,21.25
-688500,-3777000,3.0394e-10,65.5,21.25
-688500,-3774500,2.9666e-10,65.5,21.25
-688500,-3772000,2.7091e-10,65.5,21.25
-688500,-3769500,2.3397e-10,65.5,21.25
-688500,-3767000,2.0114e-10,65.5,21.25
-688500,-3764500,1.7795e-10,65.5,21.25
-688500,-3762000,1.5375e-10,65.5,21.25
-688500,-3759500,1.3714e-10,65.5,21.25
-688500,-3757000,1.3417e-10,65.5,21.25
-688500,-3754500,1.3432e-10,65.5,21.25
-688500,-3752000,1.3572e-10,65.5,21.25
-686000,-3792000,2.5493e-10,65.5,21.25
-686000,-3789500,2.8237e-10,65.5,21.25
-686000,-3787000,2.9282e-10,65.5,21.25
-686000,-3784500,2.9568e-10,65.5,21.25
-686000,-3782000,2.9228e-10,65.5,21.25
-686000,-3779500,2.95e-10,65.5,21.25
-686000,-3777000,3.0284e-10,65.5,21.25
-686000,-3774500,3.106e-10,65.5,21.25
-686000,-3772000,2.9533e-10,65.5,21.25
-686000,-3769500,2.7156e-10,65.5,21.25
-686000,-3767000,2.2935e-10,65.5,21.25
-686000,-3764500,1.8354e-10,65.5,21.25
-686000,-3762000,1.5617e-10,65.5,21.25
-686000,-3759500,1.3888e-10,65.5,21.25
-686000,-3757000,1.3746e-10,65.5,21.25
-686000,-3754500,1.3351e-10,65.5,21.25
-686000,-3752000,1.3342e-10,65.5,21.25
-683500,-3792000,2.583e-10,65.5,21.25
-683500,-3789500,2.8982e-10,65.5,21.25
-683500,-3787000,2.9836e-10,65.5,21.25
-683500,-3784500,2.9727e-10,65.5,21.25
-683500,-3782000,2.9131e-10,65.5,21.25
-683500,-3779500,2.921e-10,65.5,21.25
-683500,-3777000,3.0578e-10,65.5,21.25
-683500,-3774500,3.0795e-10,65.5,21.25
-683500,-3772000,3.0286e-10,65.5,21.25
-683500,-3769500,2.9152e-10,65.5,21.25
-683500,-3767000,2.6209e-10,65.5,21.25
-683500,-3764500,2.0532e-10,65.5,21.25
-683500,-3762000,1.6107e-10,65.5,21.25
-683500,-3759500,1.3789e-10,65.5,21.25
-683500,-3757000,1.3404e-10,65.5,21.25
-683500,-3754500,1.3598e-10,65.5,21.25
-683500,-3752000,1.3482e-10,65.5,21.25
-681000,-3792000,2.5168e-10,65.5,21.25
-681000,-3789500,2.9102e-10,65.5,21.25
-681000,-3787000,2.943e-10,65.5,21.25
-681000,-3784500,2.9249e-10,65.5,21.25
-681000,-3782000,2.8988e-10,65.5,21.25
-681000,-3779500,2.9204e-10,65.5,21.25
-681000,-3777000,3.0094e-10,65.5,21.25
-681000,-3774500,3.0254e-10,65.5,21.25
-681000,-3772000,2.9295e-10,65.5,21.25
-681000,-3769500,2.969e-10,65.5,21.25
-681000,-3767000,2.9264e-10,65.5,21.25
-681000,-3764500,2.4541e-10,65.5,21.25
-681000,-3762000,1.8382e-10,65.5,21.25
-681000,-3759500,1.4832e-10,65.5,21.25
-681000,-3757000,1.3555e-10,65.5,21.25
-681000,-3754500,1.3232e-10,65.5,21.25
-681000,-3752000,1.3488e-10,65.5,21.25
-678500,-3792000,2.4437e-10,65.5,21.25
-678500,-3789500,2.7586e-10,65.5,21.25
-678500,-3787000,2.8671e-10,65.5,21.25
-678500,-3784500,2.8349e-10,65.5,21.25
-678500,-3782000,2.8688e-10,65.5,21.25
-678500,-3779500,3.0302e-10,65.5,21.25
-678500,-3777000,3.1067e-10,65.5,21.25
-678500,-3774500,3.0828e-10,65.5,21.25
-678500,-3772000,2.9767e-10,65.5,21.25
-678500,-3769500,3.0025e-10,65.5,21.25
-678500,-3767000,2.9827e-10,65.5,21.25
-678500,-3764500,2.761e-10,65.5,21.25
-678500,-3762000,2.1604e-10,65.5,21.25
-678500,-3759500,1.6145e-10,65.5,21.25
-678500,-3757000,1.3768e-10,65.5,21.25
-678500,-3754500,1.3607e-10,65.5,21.25
-678500,-3752000,1.3516e-10,65.5,21.25
-676000,-3792000,2.336e-10,65.5,21.25
-676000,-3789500,2.6261e-10,65.5,21.25
-676000,-3787000,2.7717e-10,65.5,21.25
-676000,-3784500,2.8284e-10,65.5,21.25
-676000,-3782000,2.9862e-10,65.5,21.25
-676000,-3779500,3.1488e-10,65.5,21.25
-676000,-3777000,3.2441e-10,65.5,21.25
-676000,-3774500,3.214e-10,65.5,21.25
-676000,-3772000,3.1081e-10,65.5,21.25
-676000,-3769500,2.9873e-10,65.5,21.25
-676000,-3767000,2.9919e-10,65.5,21.25
-676000,-3764500,2.8913e-10,65.5,21.25
-676000,-3762000,2.4309e-10,65.5,21.25
-676000,-3759500,1.807e-10,65.5,21.25
-676000,-3757000,1.4284e-10,65.5,21.25
-676000,-3754500,1.3536e-10,65.5,21.25
-676000,-3752000,1.3468e-10,65.5,21.25
-673500,-3792000,2.269e-10,65.5,21.25
-673500,-3789500,2.577e-10,65.5,21.25
-673500,-3787000,2.738e-10,65.5,21.25
-673500,-3784500,2.8919e-10,65.5,21.25
-673500,-3782000,3.0204e-10,65.5,21.25
-673500,-3779500,3.1585e-10,65.5,21.25
-673500,-3777000,3.1645e-10,65.5,21.25
-673500,-3774500,3.1918e-10,65.5,21.25
-673500,-3772000,3.1941e-10,65.5,21.25
-673500,-3769500,3.0629e-10,65.5,21.25
-673500,-3767000,2.9985e-10,65.5,21.25
-673500,-3764500,2.9119e-10,65.5,21.25
-673500,-3762000,2.5222e-10,65.5,21.25
-673500,-3759500,1.9763e-10,65.5,21.25
-673500,-3757000,1.4793e-10,65.5,21.25
-673500,-3754500,1.3527e-10,65.5,21.25
-673500,-3752000,1.3489e-10,65.5,21.25
-671000,-3792000,2.2569e-10,65.5,21.25
-671000,-3789500,2.5332e-10,65.5,21.25
-671000,-3787000,2.6994e-10,65.5,21.25
-671000,-3784500,2.918e-10,65.5,21.25
-671000,-3782000,2.9912e-10,65.5,21.25
-671000,-3779500,3.1006e-10,65.5,21.25
-671000,-3777000,3.0722e-10,65.5,21.25
-671000,-3774500,3.0165e-10,65.5,21.25
-671000,-3772000,3.0321e-10,65.5,21.25
-671000,-3769500,3.0026e-10,65.5,21.25
-671000,-3767000,3.0185e-10,65.5,21.25
-671000,-3764500,2.9121e-10,65.5,21.25
-671000,-3762000,2.6133e-10,65.5,21.25
-671000,-3759500,2.0876e-10,65.5,21.25
-671000,-3757000,1.5638e-10,65.5,21.25
-671000,-3754500,1.3803e-10,65.5,21.25
-671000,-3752000,1.3319e-10,65.5,21.25
-668500,-3792000,2.1834e-10,65.5,21.25
-668500,-3789500,2.4151e-10,65.5,21.25
-668500,-3787000,2.6918e-10,65.5,21.25
-668500,-3784500,2.8599e-10,65.5,21.25
-668500,-3782000,2.9675e-10,65.5,21.25
-668500,-3779500,2.9789e-10,65.5,21.25
-668500,-3777000,2.9894e-10,65.5,21.25
-668500,-3774500,2.9765e-10,65.5,21.25
-668500,-3772000,2.9996e-10,65.5,21.25
-668500,-3769500,2.9485e-10,65.5,21.25
-668500,-3767000,2.9348e-10,65.5,21.25
-668500,-3764500,2.8347e-10,65.5,21.25
-668500,-3762000,2.6656e-10,65.5,21.25
-668500,-3759500,2.239e-10,65.5,21.25
-668500,-3757000,1.6901e-10,65.5,21.25
-668500,-3754500,1.4006e-10,65.5,21.25
-668500,-3752000,1.3486e-10,65.5,21.25
-666000,-3792000,1.9635e-10,65.5,21.25
-666000,-3789500,2.1766e-10,65.5,21.25
-666000,-3787000,2.4442e-10,65.5,21.25
-666000,-3784500,2.722e-10,65.5,21.25
-666000,-3782000,2.8469e-10,65.5,21.25
-666000,-3779500,2.826e-10,65.5,21.25
-666000,-3777000,2.8772e-10,65.5,21.25
-666000,-3774500,2.8742e-10,65.5,21.25
-666000,-3772000,2.8185e-10,65.5,21.25
-666000,-3769500,2.8517e-10,65.5,21.25
-666000,-3767000,2.774e-10,65.5,21.25
-666000,-3764500,2.7123e-10,65.5,21.25
-666000,-3762000,2.5708e-10,65.5,21.25
-666000,-3759500,2.3499e-10,65.5,21.25
-666000,-3757000,1.7744e-10,65.5,21.25
-666000,-3754500,1.4067e-10,65.5,21.25
-666000,-3752000,1.3657e-10,65.5,21.25
-663500,-3792000,1.7012e-10,65.5,21.25
-663500,-3789500,1.799e-10,65.5,21.25
-663500,-3787000,2.0386e-10,65.5,21.25
-663500,-3784500,2.3019e-10,65.5,21.25
-663500,-3782000,2.4683e-10,65.5,21.25
-663500,-3779500,2.4893e-10,65.5,21.25
-663500,-3777000,2.45e-10,65.5,21.25
-663500,-3774500,2.4325e-10,65.5,21.25
-663500,-3772000,2.5143e-10,65.5,21.25
-663500,-3769500,2.5868e-10,65.5,21.25
-663500,-3767000,2.5951e-10,65.5,21.25
-663500,-3764500,2.534e-10,65.5,21.25
-663500,-3762000,2.5552e-10,65.5,21.25
-663500,-3759500,2.4109e-10,65.5,21.25
-663500,-3757000,1.8805e-10,65.5,21.25
-663500,-3754500,1.4439e-10,65.5,21.25
-663500,-3752000,1.3766e-10,65.5,21.25
-661000,-3792000,1.5044e-10,65.5,21.25
-661000,-3789500,1.5277e-10,65.5,21.25
-661000,-3787000,1.5555e-10,65.5,21.25
-661000,-3784500,1.7481e-10,65.5,21.25
-661000,-3782000,1.9144e-10,65.5,21.25
-661000,-3779500,1.9884e-10,65.5,21.25
-661000,-3777000,2.0092e-10,65.5,21.25
-661000,-3774500,2.0934e-10,65.5,21.25
-661000,-3772000,2.2398e-10,65.5,21.25
-661000,-3769500,2.4619e-10,65.5,21.25
-661000,-3767000,2.5405e-10,65.5,21.25
-661000,-3764500,2.5199e-10,65.5,21.25
-661000,-3762000,2.5709e-10,65.5,21.25
-661000,-3759500,2.4436e-10,65.5,21.25
-661000,-3757000,1.962e-10,65.5,21.25
-661000,-3754500,1.4723e-10,65.5,21.25
-661000,-3752000,1.3663e-10,65.5,21.25
