General parameters:
Start time: 2024              1              9             18              9       8.568807
Finish time: 2024              1              9             18             14      31.515858
Raster type: raster_jump
Horizontal range (nm): -2938500.000000,-3017500.000000
Vertical range (nm): -998000.000000,-1036000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.02e-03
Sample chamber pressure: 1.59e-08
Initial position (nm): -3008333.000000,-1057600.000000,-749997.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-2938500 -3017500
hori_res:2500
vert_range:-998000 -1036000
vert_res:2500
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 3.405294
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1036000,-3017500,1.4489e-10,66.3,21.25
-1036000,-3015000,1.4342e-10,66.3,21.25
-1036000,-3012500,1.4246e-10,66.3,21.25
-1036000,-3010000,1.4307e-10,66.3,21.25
-1036000,-3007500,1.4091e-10,66.3,21.25
-1036000,-3005000,1.4023e-10,66.3,21.25
-1036000,-3002500,1.4234e-10,66.3,21.25
-1036000,-3000000,1.4391e-10,66.3,21.25
-1036000,-2997500,1.4427e-10,66.3,21.25
-1036000,-2995000,1.4326e-10,66.3,21.25
-1036000,-2992500,1.3994e-10,66.3,21.25
-1036000,-2990000,1.43e-10,66.3,21.25
-1036000,-2987500,1.4167e-10,66.3,21.25
-1036000,-2985000,1.3981e-10,66.3,21.25
-1036000,-2982500,1.4314e-10,66.3,21.25
-1036000,-2980000,1.4227e-10,66.3,21.25
-1036000,-2977500,1.4417e-10,66.3,21.25
-1036000,-2975000,1.4075e-10,66.3,21.25
-1036000,-2972500,1.4042e-10,66.3,21.25
-1036000,-2970000,1.4096e-10,66.3,21.25
-1036000,-2967500,1.4141e-10,66.3,21.25
-1036000,-2965000,1.4314e-10,66.3,21.25
-1036000,-2962500,1.4193e-10,66.3,21.25
-1036000,-2960000,1.4375e-10,66.3,21.25
-1036000,-2957500,1.4423e-10,66.3,21.25
-1036000,-2955000,1.4371e-10,66.3,21.25
