General parameters:
Start time: 2024              1             10             14             15      11.966707
Finish time: 2024              1             10             14             26      51.540653
Raster type: raster_jump
Horizontal range (nm): -3097502.000000,-3146502.000000
Vertical range (nm): -1201000.000000,-1281000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 9.97e-04
Sample chamber pressure: 1.60e-08
Initial position (nm): -3104011.000000,-1273500.000000,-750000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3097502 -3146502
hori_res:2500
vert_range:-1201000 -1281000
vert_res:2500
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 3.414870
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1281000,-3146502,1.8964e-10,0.0,21.25
-1281000,-3144002,1.5378e-10,0.0,21.25
-1281000,-3141502,1.8589e-10,0.0,21.25
-1281000,-3139002,2.4907e-10,0.0,21.25
-1281000,-3136502,3.3192e-10,0.0,21.25
-1281000,-3134002,4.1125e-10,0.0,21.25
-1281000,-3131502,4.4273e-10,0.0,21.25
-1281000,-3129002,4.7185e-10,0.0,21.25
-1281000,-3126502,4.7896e-10,0.0,21.25
-1281000,-3124002,4.6425e-10,0.0,21.25
-1281000,-3121502,4.4553e-10,0.0,21.25
-1281000,-3119002,4.3228e-10,0.0,21.25
-1281000,-3116502,4.2476e-10,0.0,21.25
-1281000,-3114002,4.3358e-10,0.0,21.25
-1281000,-3111502,3.752e-10,0.0,21.25
-1281000,-3109002,2.6563e-10,0.0,21.25
-1281000,-3106502,1.7593e-10,0.0,21.25
-1281000,-3104002,1.5066e-10,0.0,21.25
-1281000,-3101502,1.4373e-10,0.0,21.25
-1281000,-3099002,1.4812e-10,0.0,21.25
-1278500,-3146502,1.6929e-10,0.0,21.25
-1278500,-3144002,2.1108e-10,0.0,21.25
-1278500,-3141502,2.8674e-10,0.0,21.25
-1278500,-3139002,3.654e-10,0.0,21.25
-1278500,-3136502,4.3912e-10,0.0,21.25
-1278500,-3134002,4.7603e-10,0.0,21.25
-1278500,-3131502,4.9186e-10,0.0,21.25
-1278500,-3129002,5.0709e-10,0.0,21.25
-1278500,-3126502,5.2488e-10,0.0,21.25
-1278500,-3124002,5.0631e-10,0.0,21.25
-1278500,-3121502,4.7519e-10,0.0,21.25
-1278500,-3119002,4.7086e-10,0.0,21.25
-1278500,-3116502,4.9137e-10,0.0,21.25
-1278500,-3114002,5.2606e-10,0.0,21.25
-1278500,-3111502,5.0359e-10,0.0,21.25
-1278500,-3109002,4.0388e-10,0.0,21.25
-1278500,-3106502,3.073e-10,0.0,21.25
-1278500,-3104002,2.3433e-10,0.0,21.25
-1278500,-3101502,1.7164e-10,0.0,21.25
-1278500,-3099002,1.5496e-10,0.0,21.25
-1276000,-3146502,2.4157e-10,0.0,21.25
-1276000,-3144002,3.1589e-10,0.0,21.25
-1276000,-3141502,4.0221e-10,0.0,21.25
-1276000,-3139002,4.6545e-10,0.0,21.25
-1276000,-3136502,4.9832e-10,0.0,21.25
-1276000,-3134002,5.0693e-10,0.0,21.25
-1276000,-3131502,5.1043e-10,0.0,21.25
-1276000,-3129002,5.2486e-10,0.0,21.25
-1276000,-3126502,5.2834e-10,0.0,21.25
-1276000,-3124002,5.0546e-10,0.0,21.25
-1276000,-3121502,4.7866e-10,0.0,21.25
-1276000,-3119002,4.6782e-10,0.0,21.25
-1276000,-3116502,4.9547e-10,0.0,21.25
-1276000,-3114002,4.9826e-10,0.0,21.25
-1276000,-3111502,4.9621e-10,0.0,21.25
-1276000,-3109002,4.5077e-10,0.0,21.25
-1276000,-3106502,4.2186e-10,0.0,21.25
-1276000,-3104002,3.8932e-10,0.0,21.25
-1276000,-3101502,3.0977e-10,0.0,21.25
-1276000,-3099002,2.2416e-10,0.0,21.25
-1273500,-3146502,3.3975e-10,NaN,21.25
-1273500,-3144002,4.2758e-10,0.0,21.25
-1273500,-3141502,4.7705e-10,0.0,21.25
-1273500,-3139002,5.0774e-10,0.0,21.25
-1273500,-3136502,5.1985e-10,0.0,21.25
-1273500,-3134002,5.2679e-10,0.0,21.25
-1273500,-3131502,5.2321e-10,0.0,21.25
-1273500,-3129002,5.4332e-10,0.0,21.25
-1273500,-3126502,5.3369e-10,0.0,21.25
-1273500,-3124002,5.117e-10,0.0,21.25
-1273500,-3121502,4.8765e-10,0.0,21.25
-1273500,-3119002,4.8127e-10,0.0,21.25
-1273500,-3116502,4.8541e-10,0.0,21.25
-1273500,-3114002,4.8298e-10,0.0,21.25
-1273500,-3111502,4.606e-10,0.0,21.25
-1273500,-3109002,4.2962e-10,0.0,21.25
-1273500,-3106502,4.4387e-10,0.0,21.25
-1273500,-3104002,4.9603e-10,0.0,21.25
-1273500,-3101502,4.6502e-10,0.0,21.25
-1273500,-3099002,3.695e-10,0.0,21.25
-1271000,-3146502,4.4465e-10,0.0,21.25
-1271000,-3144002,4.9133e-10,0.0,21.25
-1271000,-3141502,5.1501e-10,0.0,21.25
-1271000,-3139002,5.1894e-10,0.0,21.25
-1271000,-3136502,5.2169e-10,0.0,21.25
-1271000,-3134002,5.312e-10,0.0,21.25
-1271000,-3131502,5.3707e-10,0.0,21.25
-1271000,-3129002,5.2677e-10,0.0,21.25
-1271000,-3126502,5.2826e-10,0.0,21.25
-1271000,-3124002,5.0567e-10,0.0,21.25
-1271000,-3121502,4.9648e-10,0.0,21.25
-1271000,-3119002,4.8573e-10,0.0,21.25
-1271000,-3116502,4.8688e-10,0.0,21.25
-1271000,-3114002,4.7659e-10,0.0,21.25
-1271000,-3111502,4.4853e-10,0.0,21.25
-1271000,-3109002,4.0576e-10,0.0,21.25
-1271000,-3106502,3.9978e-10,0.0,21.25
-1271000,-3104002,4.5767e-10,0.0,21.25
-1271000,-3101502,4.9566e-10,0.0,21.25
-1271000,-3099002,4.8933e-10,0.0,21.25
-1268500,-3146502,4.9858e-10,0.0,21.25
-1268500,-3144002,5.1344e-10,0.0,21.25
-1268500,-3141502,5.169e-10,0.0,21.25
-1268500,-3139002,5.2657e-10,0.0,21.25
-1268500,-3136502,5.1875e-10,0.0,21.25
-1268500,-3134002,5.1369e-10,0.0,21.25
-1268500,-3131502,5.2064e-10,0.0,21.25
-1268500,-3129002,5.2151e-10,0.0,21.25
-1268500,-3126502,5.0748e-10,0.0,21.25
-1268500,-3124002,4.8586e-10,0.0,21.25
-1268500,-3121502,4.8536e-10,0.0,21.25
-1268500,-3119002,4.9598e-10,0.0,21.25
-1268500,-3116502,4.9846e-10,NaN,21.25
-1268500,-3114002,4.908e-10,0.0,21.25
-1268500,-3111502,4.6356e-10,0.0,21.25
-1268500,-3109002,4.264e-10,0.0,21.25
-1268500,-3106502,4.223e-10,0.0,21.25
-1268500,-3104002,4.2631e-10,0.0,21.25
-1268500,-3101502,4.3684e-10,0.0,21.25
-1268500,-3099002,4.5396e-10,0.0,21.25
-1266000,-3146502,5.0745e-10,0.0,21.25
-1266000,-3144002,5.2275e-10,0.0,21.25
-1266000,-3141502,5.2184e-10,0.0,21.25
-1266000,-3139002,5.1717e-10,0.0,21.25
-1266000,-3136502,5.0958e-10,0.0,21.25
-1266000,-3134002,5.1609e-10,0.0,21.25
