General parameters:
Start time: 2024              1             10             14             53       58.94062
Finish time: 2024              1             10             14             58       51.05656
Raster type: raster_jump
Horizontal range (nm): -3125498.000000,-3166498.000000
Vertical range (nm): -1207000.000000,-1243000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 1.00e-03
Sample chamber pressure: 1.58e-08
Initial position (nm): -2451314.000000,-1266600.000000,-750001.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3125498 -3166498
hori_res:2500
vert_range:-1207000 -1243000
vert_res:2500
pause:0.25
data_path:/icon/data/2023_12_defect1_repeat_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 3.415896
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3500
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1243000,-3166498,2.0673e-10,0.0,21.25
-1243000,-3163998,2.4193e-10,0.0,21.25
-1243000,-3161498,2.703e-10,0.0,21.25
-1243000,-3158998,2.7665e-10,0.0,21.25
-1243000,-3156498,2.7748e-10,0.0,21.25
-1243000,-3153998,2.7631e-10,0.0,21.25
-1243000,-3151498,2.722e-10,0.0,21.25
-1243000,-3148998,2.6884e-10,0.0,21.25
-1243000,-3146498,2.7128e-10,0.0,21.25
-1243000,-3143998,2.7364e-10,0.0,21.25
-1243000,-3141498,2.6976e-10,0.0,21.25
-1243000,-3138998,2.7191e-10,0.0,21.25
-1243000,-3136498,2.7912e-10,0.0,21.25
-1243000,-3133998,2.9974e-10,0.0,21.25
-1243000,-3131498,3.0315e-10,0.0,21.25
-1243000,-3128998,3.1572e-10,0.0,21.25
-1243000,-3126498,3.3714e-10,0.0,21.25
-1240500,-3166498,2.5505e-10,0.0,21.25
-1240500,-3163998,2.6054e-10,0.0,21.25
-1240500,-3161498,2.6724e-10,0.0,21.25
-1240500,-3158998,2.7144e-10,0.0,21.25
-1240500,-3156498,2.7533e-10,0.0,21.25
-1240500,-3153998,2.8131e-10,0.0,21.25
-1240500,-3151498,2.8129e-10,0.0,21.25
-1240500,-3148998,2.7859e-10,0.0,21.25
-1240500,-3146498,2.7642e-10,0.0,21.25
-1240500,-3143998,2.6891e-10,0.0,21.25
-1240500,-3141498,2.6703e-10,0.0,21.25
-1240500,-3138998,2.6529e-10,0.0,21.25
-1240500,-3136498,2.5538e-10,0.0,21.25
-1240500,-3133998,2.4588e-10,0.0,21.25
-1240500,-3131498,2.7139e-10,0.0,21.25
-1240500,-3128998,3.1026e-10,0.0,21.25
-1240500,-3126498,3.1636e-10,0.0,21.25
-1238000,-3166498,2.9385e-10,0.0,21.25
-1238000,-3163998,2.9154e-10,0.0,21.25
-1238000,-3161498,2.8444e-10,0.0,21.25
-1238000,-3158998,2.8087e-10,0.0,21.25
-1238000,-3156498,2.8038e-10,0.0,21.25
-1238000,-3153998,2.8773e-10,0.0,21.25
-1238000,-3151498,2.9379e-10,0.0,21.25
-1238000,-3148998,2.9833e-10,0.0,21.25
-1238000,-3146498,2.8955e-10,0.0,21.25
-1238000,-3143998,2.782e-10,0.0,21.25
-1238000,-3141498,2.6531e-10,0.0,21.25
-1238000,-3138998,2.6397e-10,0.0,21.25
-1238000,-3136498,2.4085e-10,0.0,21.25
-1238000,-3133998,1.9843e-10,0.0,21.25
-1238000,-3131498,2.0394e-10,0.0,21.25
-1238000,-3128998,2.5219e-10,0.0,21.25
-1238000,-3126498,2.9727e-10,0.0,21.25
-1235500,-3166498,3.8e-10,0.0,21.25
-1235500,-3163998,3.929e-10,0.0,21.25
-1235500,-3161498,3.5819e-10,0.0,21.25
-1235500,-3158998,3.2621e-10,0.0,21.25
-1235500,-3156498,2.9584e-10,0.0,21.25
-1235500,-3153998,2.9163e-10,0.0,21.25
-1235500,-3151498,3.029e-10,0.0,21.25
-1235500,-3148998,2.997e-10,0.0,21.25
-1235500,-3146498,2.9253e-10,0.0,21.25
-1235500,-3143998,2.8641e-10,0.0,21.25
-1235500,-3141498,2.735e-10,0.0,21.25
-1235500,-3138998,2.727e-10,0.0,21.25
-1235500,-3136498,2.633e-10,0.0,21.25
-1235500,-3133998,2.2784e-10,0.0,21.25
-1235500,-3131498,1.806e-10,0.0,21.25
-1235500,-3128998,1.8917e-10,0.0,21.25
-1235500,-3126498,2.3978e-10,0.0,21.25
-1233000,-3166498,4.3824e-10,0.0,21.25
-1233000,-3163998,4.7516e-10,0.0,21.25
-1233000,-3161498,4.5099e-10,0.0,21.25
-1233000,-3158998,4.1455e-10,0.0,21.25
-1233000,-3156498,3.643e-10,0.0,21.25
-1233000,-3153998,3.3214e-10,0.0,21.25
-1233000,-3151498,3.1813e-10,0.0,21.25
-1233000,-3148998,3.0668e-10,0.0,21.25
-1233000,-3146498,3.0153e-10,0.0,21.25
-1233000,-3143998,2.9933e-10,0.0,21.25
-1233000,-3141498,2.9335e-10,0.0,21.25
-1233000,-3138998,2.8578e-10,0.0,21.25
-1233000,-3136498,2.9585e-10,0.0,21.25
-1233000,-3133998,2.7883e-10,0.0,21.25
-1233000,-3131498,2.2465e-10,0.0,21.25
-1233000,-3128998,1.7608e-10,0.0,21.25
-1233000,-3126498,1.9688e-10,0.0,21.25
-1230500,-3166498,4.3443e-10,0.0,21.25
-1230500,-3163998,4.9112e-10,0.0,21.25
-1230500,-3161498,5.0954e-10,0.0,21.25
-1230500,-3158998,5.0512e-10,0.0,21.25
-1230500,-3156498,4.6617e-10,0.0,21.25
-1230500,-3153998,4.1541e-10,0.0,21.25
-1230500,-3151498,3.804e-10,0.0,21.25
-1230500,-3148998,3.4053e-10,0.0,21.25
-1230500,-3146498,3.1114e-10,0.0,21.25
-1230500,-3143998,3.0782e-10,0.0,21.25
-1230500,-3141498,3.0544e-10,0.0,21.25
-1230500,-3138998,2.9797e-10,0.0,21.25
-1230500,-3136498,3.0218e-10,0.0,21.25
-1230500,-3133998,3.0714e-10,0.0,21.25
-1230500,-3131498,2.6591e-10,0.0,21.25
-1230500,-3128998,2.1477e-10,0.0,21.25
-1230500,-3126498,1.8685e-10,0.0,21.25
-1228000,-3166498,4.3764e-10,0.0,21.25
-1228000,-3163998,4.8221e-10,0.0,21.25
-1228000,-3161498,5.1085e-10,0.0,21.25
-1228000,-3158998,5.2606e-10,0.0,21.25
-1228000,-3156498,5.0994e-10,0.0,21.25
-1228000,-3153998,4.8207e-10,0.0,21.25
-1228000,-3151498,4.3227e-10,0.0,21.25
-1228000,-3148998,3.6609e-10,0.0,21.25
-1228000,-3146498,3.1982e-10,0.0,21.25
-1228000,-3143998,3.0807e-10,0.0,21.25
-1228000,-3141498,3.0411e-10,0.0,21.25
-1228000,-3138998,2.9772e-10,0.0,21.25
-1228000,-3136498,3.0076e-10,0.0,21.25
-1228000,-3133998,2.9785e-10,0.0,21.25
-1228000,-3131498,2.8685e-10,0.0,21.25
-1228000,-3128998,2.5189e-10,0.0,21.25
-1228000,-3126498,1.9698e-10,0.0,21.25
-1225500,-3166498,4.4123e-10,0.0,21.25
-1225500,-3163998,4.8348e-10,0.0,21.25
-1225500,-3161498,5.103e-10,0.0,21.25
-1225500,-3158998,5.2997e-10,0.0,21.25
-1225500,-3156498,5.0699e-10,0.0,21.25
-1225500,-3153998,4.678e-10,0.0,21.25
-1225500,-3151498,4.2411e-10,0.0,21.25
-1225500,-3148998,3.5793e-10,0.0,21.25
-1225500,-3146498,3.2059e-10,0.0,21.25
-1225500,-3143998,3.0738e-10,0.0,21.25
-1225500,-3141498,3.0107e-10,0.0,21.25
-1225500,-3138998,2.9715e-10,0.0,21.25
-1225500,-3136498,2.9845e-10,0.0,21.25
-1225500,-3133998,2.9418e-10,0.0,21.25
-1225500,-3131498,2.755e-10,0.0,21.25
-1225500,-3128998,2.3346e-10,0.0,21.25
-1225500,-3126498,1.9263e-10,0.0,21.25
-1223000,-3166498,4.4541e-10,0.0,21.25
-1223000,-3163998,4.8214e-10,0.0,21.25
-1223000,-3161498,5.1062e-10,0.0,21.25
-1223000,-3158998,5.2664e-10,0.0,21.25
-1223000,-3156498,4.9646e-10,0.0,21.25
-1223000,-3153998,4.4803e-10,0.0,21.25
-1223000,-3151498,3.9772e-10,0.0,21.25
-1223000,-3148998,3.462e-10,0.0,21.25
-1223000,-3146498,3.1196e-10,0.0,21.25
-1223000,-3143998,3.0735e-10,0.0,21.25
-1223000,-3141498,3.0007e-10,0.0,21.25
-1223000,-3138998,2.9585e-10,0.0,21.25
-1223000,-3136498,2.7886e-10,0.0,21.25
-1223000,-3133998,2.5431e-10,0.0,21.25
-1223000,-3131498,2.248e-10,0.0,21.25
-1223000,-3128998,1.8783e-10,0.0,21.25
-1223000,-3126498,1.5726e-10,0.0,21.25
-1220500,-3166498,4.4803e-10,0.0,21.25
-1220500,-3163998,4.8647e-10,0.0,21.25
-1220500,-3161498,4.9872e-10,0.0,21.25
-1220500,-3158998,5.0541e-10,0.0,21.25
-1220500,-3156498,4.8258e-10,0.0,21.25
-1220500,-3153998,4.5504e-10,0.0,21.25
-1220500,-3151498,4.2397e-10,0.0,21.25
-1220500,-3148998,3.7872e-10,0.0,21.25
-1220500,-3146498,3.3675e-10,0.0,21.25
-1220500,-3143998,3.1229e-10,0.0,21.25
-1220500,-3141498,2.8807e-10,0.0,21.25
-1220500,-3138998,2.5413e-10,0.0,21.25
-1220500,-3136498,2.2557e-10,0.0,21.25
-1220500,-3133998,1.8944e-10,0.0,21.25
-1220500,-3131498,1.6296e-10,0.0,21.25
-1220500,-3128998,1.4383e-10,0.0,21.25
-1220500,-3126498,1.3561e-10,0.0,21.25
-1218000,-3166498,4.4288e-10,0.0,21.25
-1218000,-3163998,4.756e-10,0.0,21.25
-1218000,-3161498,4.8264e-10,0.0,21.25
-1218000,-3158998,4.8143e-10,0.0,21.25
-1218000,-3156498,4.8183e-10,0.0,21.25
-1218000,-3153998,4.7832e-10,0.0,21.25
-1218000,-3151498,4.459e-10,0.0,21.25
-1218000,-3148998,3.9097e-10,0.0,21.25
-1218000,-3146498,3.1961e-10,0.0,21.25
-1218000,-3143998,2.7264e-10,0.0,21.25
-1218000,-3141498,2.2898e-10,0.0,21.25
-1218000,-3138998,1.9514e-10,0.0,21.25
-1218000,-3136498,1.6316e-10,0.0,21.25
-1218000,-3133998,1.4384e-10,0.0,21.25
-1218000,-3131498,1.4061e-10,0.0,21.25
-1218000,-3128998,1.3658e-10,0.0,21.25
-1218000,-3126498,1.3726e-10,0.0,21.25
-1215500,-3166498,4.136e-10,0.0,21.25
-1215500,-3163998,4.6184e-10,0.0,21.25
-1215500,-3161498,4.604e-10,0.0,21.25
-1215500,-3158998,4.6619e-10,0.0,21.25
-1215500,-3156498,4.6686e-10,0.0,21.25
-1215500,-3153998,4.5024e-10,0.0,21.25
-1215500,-3151498,3.9144e-10,0.0,21.25
-1215500,-3148998,3.7729e-10,0.0,21.25
-1215500,-3146498,4.162e-10,0.0,21.25
-1215500,-3143998,2.9726e-10,0.0,21.25
-1215500,-3141498,1.8855e-10,0.0,21.25
-1215500,-3138998,1.4909e-10,0.0,21.25
-1215500,-3136498,1.3806e-10,0.0,21.25
-1215500,-3133998,1.3638e-10,0.0,21.25
-1215500,-3131498,1.3637e-10,0.0,21.25
-1215500,-3128998,1.3582e-10,0.0,21.25
-1215500,-3126498,1.3719e-10,0.0,21.25
-1213000,-3166498,3.3212e-10,0.0,21.25
-1213000,-3163998,3.6387e-10,0.0,21.25
-1213000,-3161498,3.7082e-10,0.0,21.25
-1213000,-3158998,3.7659e-10,0.0,21.25
-1213000,-3156498,3.5963e-10,0.0,21.25
-1213000,-3153998,3.1591e-10,0.0,21.25
-1213000,-3151498,2.6941e-10,0.0,21.25
-1213000,-3148998,3.571e-10,0.0,21.25
-1213000,-3146498,4.502e-10,0.0,21.25
-1213000,-3143998,3.9665e-10,0.0,21.25
-1213000,-3141498,2.148e-10,0.0,21.25
-1213000,-3138998,1.4798e-10,0.0,21.25
-1213000,-3136498,1.3769e-10,0.0,21.25
-1213000,-3133998,1.3656e-10,0.0,21.25
-1213000,-3131498,1.3774e-10,0.0,21.25
-1213000,-3128998,1.3405e-10,0.0,21.25
-1213000,-3126498,1.3702e-10,0.0,21.25
-1210500,-3166498,2.3501e-10,0.0,21.25
-1210500,-3163998,2.4635e-10,0.0,21.25
-1210500,-3161498,2.4172e-10,0.0,21.25
-1210500,-3158998,2.3224e-10,0.0,21.25
-1210500,-3156498,2.1234e-10,0.0,21.25
-1210500,-3153998,1.8808e-10,0.0,21.25
-1210500,-3151498,1.6018e-10,0.0,21.25
-1210500,-3148998,2.0712e-10,0.0,21.25
-1210500,-3146498,3.5032e-10,0.0,21.25
-1210500,-3143998,3.3771e-10,0.0,21.25
-1210500,-3141498,1.832e-10,0.0,21.25
-1210500,-3138998,1.4025e-10,0.0,21.25
-1210500,-3136498,1.3554e-10,0.0,21.25
-1210500,-3133998,1.3625e-10,0.0,21.25
-1210500,-3131498,1.3708e-10,0.0,21.25
-1210500,-3128998,1.3336e-10,0.0,21.25
-1210500,-3126498,1.3417e-10,0.0,21.25
-1208000,-3166498,1.7566e-10,0.0,21.25
-1208000,-3163998,1.7442e-10,0.0,21.25
-1208000,-3161498,1.6545e-10,0.0,21.25
-1208000,-3158998,1.5799e-10,0.0,21.25
-1208000,-3156498,1.4747e-10,0.0,21.25
-1208000,-3153998,1.3949e-10,0.0,21.25
-1208000,-3151498,1.368e-10,0.0,21.25
-1208000,-3148998,1.4048e-10,0.0,21.25
-1208000,-3146498,1.4403e-10,0.0,21.25
-1208000,-3143998,1.4375e-10,0.0,21.25
-1208000,-3141498,1.41e-10,0.0,21.25
-1208000,-3138998,1.3838e-10,0.0,21.25
-1208000,-3136498,1.3529e-10,0.0,21.25
-1208000,-3133998,1.3461e-10,0.0,21.25
-1208000,-3131498,1.3711e-10,0.0,21.25
-1208000,-3128998,1.3731e-10,0.0,21.25
-1208000,-3126498,1.3338e-10,0.0,21.25
