General parameters:
Start time: 2024              2             22             18             52      32.121305
Finish time: 2024              2             23              3             47      55.579632
Raster type: raster_jump
Horizontal range (nm): -4381050.000000,-3981050.000000
Vertical range (nm): -1651800.000000,-1251800.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 8.18e-07
Sample chamber pressure: 1.75e-08
Initial position (nm): -4969128.000000,-1243400.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2024_02_sample4a_5um_mos2_hbd_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4381050 -3981050
hori_res:2500
vert_range:-1651800 -1251800
vert_res:2500
pause:0.35
data_path:/icon/data/2024_02_sample4a_5um_mos2_hbd_sub/
N_dwell:50
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 2.373822
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1350
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1651800,-4381050,6.1564e-11,66.8,21.25
-1651800,-4378550,5.8836e-11,66.8,21.25
-1651800,-4376050,6.2486e-11,66.8,21.25
-1651800,-4373550,6.8658e-11,66.8,21.25
-1651800,-4371050,7.1472e-11,66.8,21.25
-1651800,-4368550,6.5418e-11,66.8,21.25
-1651800,-4366050,5.731e-11,66.8,21.25
-1651800,-4363550,5.7022e-11,66.8,21.25
-1651800,-4361050,5.387e-11,66.8,21.25
-1651800,-4358550,5.3944e-11,66.8,21.25
-1651800,-4356050,5.4666e-11,66.8,21.25
-1651800,-4353550,5.4762e-11,66.8,21.25
-1651800,-4351050,5.2886e-11,66.8,21.25
-1651800,-4348550,5.4496e-11,66.8,21.25
-1651800,-4346050,5.4568e-11,66.8,21.25
-1651800,-4343550,5.5306e-11,66.8,21.25
-1651800,-4341050,5.545e-11,66.8,21.25
-1651800,-4338550,5.385e-11,66.8,21.25
-1651800,-4336050,5.4554e-11,66.8,21.25
-1651800,-4333550,5.572e-11,66.8,21.25
-1651800,-4331050,5.38e-11,66.8,21.25
-1651800,-4328550,5.4022e-11,66.8,21.25
-1651800,-4326050,5.6772e-11,66.8,21.25
-1651800,-4323550,6.131e-11,66.8,21.25
-1651800,-4321050,5.873e-11,66.8,21.25
-1651800,-4318550,5.5634e-11,66.8,21.25
-1651800,-4316050,5.5012e-11,66.8,21.25
-1651800,-4313550,5.3862e-11,66.8,21.25
-1651800,-4311050,5.4896e-11,66.8,21.25
-1651800,-4308550,5.41e-11,66.8,21.25
-1651800,-4306050,5.3818e-11,66.8,21.25
-1651800,-4303550,5.3928e-11,66.8,21.25
-1651800,-4301050,5.4036e-11,66.8,21.25
-1651800,-4298550,5.4256e-11,66.8,21.25
-1651800,-4296050,5.5048e-11,66.8,21.25
-1651800,-4293550,5.4526e-11,66.8,21.25
-1651800,-4291050,5.473e-11,66.8,21.25
-1651800,-4288550,5.4336e-11,66.8,21.25
-1651800,-4286050,5.4402e-11,66.8,21.25
-1651800,-4283550,5.4912e-11,66.8,21.25
-1651800,-4281050,5.4732e-11,66.8,21.25
-1651800,-4278550,5.4644e-11,66.8,21.25
-1651800,-4276050,5.3038e-11,66.8,21.25
-1651800,-4273550,5.5452e-11,66.8,21.25
-1651800,-4271050,5.4622e-11,66.8,21.25
-1651800,-4268550,5.5022e-11,66.8,21.25
-1651800,-4266050,5.4408e-11,66.8,21.25
-1651800,-4263550,5.4252e-11,66.8,21.25
-1651800,-4261050,5.3868e-11,66.8,21.25
-1651800,-4258550,5.4434e-11,66.8,21.25
-1651800,-4256050,5.494e-11,66.8,21.25
-1651800,-4253550,5.4384e-11,66.8,21.25
-1651800,-4251050,5.4626e-11,66.8,21.25
-1651800,-4248550,5.4836e-11,66.8,21.25
-1651800,-4246050,5.4504e-11,66.8,21.25
-1651800,-4243550,5.4278e-11,66.8,21.25
-1651800,-4241050,5.498e-11,66.8,21.25
-1651800,-4238550,5.3104e-11,66.8,21.25
-1651800,-4236050,5.465e-11,66.8,21.25
-1651800,-4233550,5.4022e-11,66.8,21.25
-1651800,-4231050,5.495e-11,66.8,21.25
-1651800,-4228550,5.3974e-11,66.8,21.25
-1651800,-4226050,5.5302e-11,66.8,21.25
-1651800,-4223550,5.318e-11,66.8,21.25
-1651800,-4221050,5.4294e-11,66.8,21.25
-1651800,-4218550,5.5076e-11,66.8,21.25
-1651800,-4216050,5.4762e-11,66.8,21.25
-1651800,-4213550,5.4024e-11,66.8,21.25
-1651800,-4211050,5.423e-11,66.8,21.25
-1651800,-4208550,5.4348e-11,66.8,21.25
-1651800,-4206050,5.37e-11,66.8,21.25
-1651800,-4203550,5.3842e-11,66.8,21.25
-1651800,-4201050,5.461e-11,66.8,21.25
-1651800,-4198550,5.4754e-11,66.8,21.25
-1651800,-4196050,5.4174e-11,66.8,21.25
-1651800,-4193550,5.4782e-11,66.8,21.25
-1651800,-4191050,5.5234e-11,66.8,21.25
-1651800,-4188550,5.416e-11,66.8,21.25
-1651800,-4186050,5.5506e-11,66.8,21.25
-1651800,-4183550,5.449e-11,66.8,21.25
-1651800,-4181050,5.437e-11,66.8,21.25
-1651800,-4178550,5.4658e-11,66.8,21.25
-1651800,-4176050,5.5012e-11,66.8,21.25
-1651800,-4173550,5.4408e-11,66.8,21.25
-1651800,-4171050,5.4532e-11,66.8,21.25
-1651800,-4168550,5.505e-11,66.8,21.25
