 Diffraction intensities for potential:1x1MoS2_pristine10001.in                
#     -9     3       3.7143967022E-008
#     -8     0       1.4503481570E-007
#     -8     1       8.8971337602E-007
#     -8     2       3.0541042658E-006
#     -8     3       4.7595347147E-006
#     -8     4       4.5595205747E-006
#     -8     5       1.6717133177E-006
#     -7    -1       8.8970802509E-007
#     -7     0       1.0817921440E-005
#     -7     1       4.6260069173E-005
#     -7     2       8.4581704596E-005
#     -7     3       8.7553357524E-005
#     -7     4       2.0493212052E-005
#     -7     5       5.3939736648E-006
#     -6    -3       3.7145353417E-008
#     -6    -2       3.0540625896E-006
#     -6    -1       4.6260151043E-005
#     -6     0       2.5849716256E-004
#     -6     1       7.2954790893E-004
#     -6     2       8.5751609604E-004
#     -6     3       6.3515869228E-004
#     -6     4       9.5966831599E-005
#     -6     5       2.5326655426E-005
#     -5    -3       4.7593485187E-006
#     -5    -2       8.4582033892E-005
#     -5    -1       7.2954746303E-004
#     -5     0       2.4974973843E-003
#     -5     1       4.8107242651E-003
#     -5     2       4.6532585560E-003
#     -5     3       1.9233628553E-003
#     -5     4       5.2438303470E-004
#     -5     5       1.2079537296E-004
#     -4    -4       4.5593511322E-006
#     -4    -3       8.7553795130E-005
#     -4    -2       8.5751584224E-004
#     -4    -1       4.8107224895E-003
#     -4     0       1.3714555758E-002
#     -4     1       1.6696730632E-002
#     -4     2       1.3323567189E-002
#     -4     3       3.7096337249E-003
#     -4     4       2.4803105449E-003
#     -4     5       2.2526377367E-004
#     -3    -5       1.6710276864E-006
#     -3    -4       2.0493239381E-005
#     -3    -3       6.3515730492E-004
#     -3    -2       4.6532575794E-003
#     -3    -1       1.6696731751E-002
#     -3     0       4.1508299820E-002
#     -3     1       3.0608882931E-002
#     -3     2       1.5274194588E-002
#     -3     3       1.5878568629E-002
#     -3     4       2.4089901835E-003
#     -2    -5       5.3925296640E-006
#     -2    -4       9.5966352551E-005
#     -2    -3       1.9233661749E-003
#     -2    -2       1.3323566154E-002
#     -2    -1       3.0608886336E-002
#     -2     0       5.1738963341E-002
#     -2     1       2.7840624215E-002
#     -2     2       2.0952797921E-002
#     -2     3       2.8711175251E-002
#     -1    -5       2.5328099442E-005
#     -1    -4       5.2438619340E-004
#     -1    -3       3.7096337153E-003
#     -1    -2       1.5274182916E-002
#     -1    -1       2.7840635365E-002
#     -1     0       1.0541288117E-002
#     -1     1       5.3924864359E-003
#     -1     2       9.0663646541E-002
#     -1     3       2.6751017428E-002
#      0    -5       1.2079036578E-004
#      0    -4       2.4803058949E-003
#      0    -3       1.5878603831E-002
#      0    -2       2.0952786377E-002
#      0    -1       5.3924695476E-003
#      0     0       7.3091398980E-002
#      0     1       1.3048680539E-002
#      0     2       1.9908865135E-002
#      1    -5       2.2527098447E-004
#      1    -4       2.4089712342E-003
#      1    -3       2.8711227800E-002
#      1    -2       9.0663634036E-002
#      1    -1       1.3048747541E-002
#      1     0       1.0961677703E-001
#      2    -3       2.6751058664E-002
#      2    -2       1.9908757910E-002
